# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.7612420872,0.7612420872
0.4161633664,0.1867735919,0.7637076887,0.7637076887
0.8334651695,0.3710359803,0.7662552661,0.7662552661
1.2517692639,0.5531059932,0.7688672173,0.7688672173
1.6709362196,0.7333090283,0.7715258497,0.7715258497
2.0908266975,0.9119703014,0.7742134867,0.7742134867
2.5113013588,1.0894151189,0.7769125713,0.7769125713
2.9322208644,1.2659687877,0.7796057710,0.7796057710
3.3534457843,1.4419567057,0.7822760784,0.7822760784
3.7748367793,1.6177040883,0.7849069111,0.7849069111
4.1962546019,1.7935362424,0.7874822078,0.7874822078
4.6175598218,1.9697784745,0.7899865199,0.7899865199
5.0386131002,2.1467560914,0.7924051013,0.7924051013
5.4592769230,2.3247895635,0.7947239904,0.7947239904
5.8795532977,2.5038329920,0.7969300893,0.7969300893
6.2996781972,2.6832260911,0.7990112356,0.7990112356
6.7199098594,2.8622499921,0.8009562695,0.8009562695
7.1405067046,3.0401854616,0.8027550927,0.8027550927
7.5617270619,3.2163136310,0.8043987229,0.8043987229
7.9838291692,3.3899154494,0.8058793380,0.8058793380
8.4070714468,3.5602718657,0.8071903156,0.8071903156
8.8317122240,3.7266639202,0.8083262634,0.8083262634
9.2580097385,3.8883724706,0.8092830426,0.8092830426
9.6862224106,4.0446787396,0.8100577822,0.8100577822
10.1166085696,4.1948634025,0.8106488875,0.8106488875
10.5494263620,4.3382076819,0.8110560385,0.8110560385
10.9848744394,4.4741079585,0.8112801816,0.8112801816
11.4228434840,4.6025520957,0.8113235128,0.8113235128
11.8631262670,4.7237174839,0.8111894549,0.8111894549
12.3055153766,4.8377811484,0.8108826242,0.8108826242
12.7498034927,4.9449204794,0.8104087933,0.8104087933
13.1957832036,5.0453126846,0.8097748448,0.8097748448
13.6432553104,5.1389211728,0.8089887189,0.8089887189
14.0921886055,5.2213262439,0.8080593555,0.8080593555
14.5427091967,5.2840009385,0.8069966293,0.8069966293
14.9949482102,5.3184116357,0.8058112806,0.8058112806
15.4489601224,5.3253366992,0.8045148402,0.8045148402
15.9046803284,5.3201079756,0.8031195508,0.8031195508
16.3620139278,5.3187554662,0.8016382841,0.8016382841
16.8204721851,5.3260794753,0.8000844543,0.8000844543
17.2792055615,5.3365851026,0.7984719297,0.7984719297
17.7373511046,5.3443970261,0.7968149412,0.7968149412
18.1940458619,5.3436396500,0.7951279899,0.7951279899
18.6484269722,5.3284374698,0.7934257536,0.7934257536
19.0996743706,5.2930479325,0.7917229929,0.7917229929
19.5477931671,5.2342791084,0.7900344575,0.7900344575
19.9935314302,5.1512369289,0.7883747939,0.7883747939
20.4376248185,5.0431210390,0.7867584537,0.7867584537
20.8786680800,4.9097678274,0.7851996052,0.7851996052
21.3120453269,4.7519685238,0.7837120463,0.7837120463
21.7330018801,4.5705699294,0.7823091214,0.7823091214
22.1390856661,4.3660014674,0.7810036430,0.7810036430
22.5298707293,4.1383250965,0.7798078145,0.7798078145
22.9050004641,3.8875902745,0.7787331612,0.7787331612
23.2641181739,3.6138463675,0.7777904649,0.7777904649
23.6068672532,3.3171428331,0.7769897031,0.7769897031
23.9328898189,2.9975318665,0.7763399957,0.7763399957
24.2413917211,2.6561387642,0.7758495576,0.7758495576
24.5304883710,2.2967711203,0.7755256569,0.7755256569
24.7981276444,1.9236481582,0.7753745811,0.7753745811
25.0420965431,1.5399405463,0.7754016095,0.7754016095
25.2594655732,1.1441376385,0.7756109922,0.7756109922
25.4471164439,0.7334307560,0.7760059383,0.7760059383
25.6056975786,0.3073671156,0.7765886085,0.7765886085
25.7450417262,-0.1287621439,0.7773601176,0.7773601176
25.8763552237,-0.5688067640,0.7783205423,0.7783205423
26.0077937340,-1.0079290278,0.7794689366,0.7794689366
26.1342566484,-1.4469951728,0.7808033550,0.7808033550
26.2470538524,-1.8884177611,0.7823208817,0.7823208817
26.3405087666,-2.3337744161,0.7840176656,0.7840176656
26.4161444469,-2.7826491287,0.7858889627,0.7858889627
26.4765362457,-3.2343342539,0.7879291844,0.7879291844
26.5242594242,-3.6881223296,0.7901319504,0.7901319504
26.5618891523,-4.1433058936,0.7924901475,0.7924901475
26.5919993222,-4.5991779397,0.7949959929,0.7949959929
26.6167910696,-5.0552177036,0.7976411018,0.7976411018
26.6375926314,-5.5113402313,0.8004165581,0.8004165581
26.6556074143,-5.9675228017,0.8033129898,0.8033129898
26.6720389162,-6.4237425108,0.8063206461,0.8063206461
26.6880905438,-6.8799766374,0.8094294760,0.8094294760
26.7049657039,-7.3362024603,0.8126292105,0.8126292105
26.7236261727,-7.7923993569,0.8159094432,0.8159094432
26.7431884665,-8.2485623085,0.8192597138,0.8192597138
26.7619181941,-8.7046937787,0.8226695898,0.8226695898
26.7780766757,-9.1607964140,0.8261287483,0.8261287483
26.7899249573,-9.6168725866,0.8296270557,0.8296270557
26.7957240855,-10.0729247605,0.8331546462,0.8331546462
26.7939464418,-10.5289535744,0.8367019974,0.8367019974
26.7846416662,-10.9849448845,0.8402600034,0.8402600034
26.7685738873,-11.4408782507,0.8438200436,0.8438200436
26.7465102449,-11.8967329593,0.8473740481,0.8473740481
26.7192183352,-12.3524884790,0.8509145592,0.8509145592
26.6874653892,-12.8081241874,0.8544347856,0.8544347856
26.6520189118,-13.2636194617,0.8579286544,0.8579286544
26.6136462252,-13.7189536796,0.8613908553,0.8613908553
26.5731147431,-14.1741061272,0.8648168797,0.8648168797
26.5311918790,-14.6290564558,0.8682030528,0.8682030528
26.4886450466,-15.0837837691,0.8715465600,0.8715465600
26.4462415680,-15.5382676270,0.8748454659,0.8748454659
26.4046524057,-15.9924963496,0.8780987271,0.8780987271
26.3638579407,-16.4465224969,0.8813061969,0.8813061969
26.3235373376,-16.9004266428,0.8844686240,0.8844686240
26.2833685748,-17.3542894523,0.8875876438,0.8875876438
26.2430295392,-17.8081914995,0.8906657627,0.8906657627
26.2021982092,-18.2622135405,0.8937063347,0.8937063347
26.1605524717,-18.7164362406,0.8967135332,0.8967135332
26.1177703964,-19.1709402648,0.8996923134,0.8996923134
26.0735297791,-19.6258063695,0.9026483710,0.9026483710
26.0275085980,-20.0811150374,0.9055880934,0.9055880934
25.9793849227,-20.5369471159,0.9085185042,0.9085185042
25.9288365489,-20.9933830879,0.9114472049,0.9114472049
25.8752990948,-21.4503979506,0.9143823088,0.9143823088
25.8099693864,-21.9043687091,0.9173323728,0.9173323728
25.7139840149,-22.3472792220,0.9203063220,0.9203063220
25.5679177441,-22.7708479014,0.9233133741,0.9233133741
25.3598945522,-23.1670605222,0.9263629575,0.9263629575
25.0935598819,-23.5284526414,0.9294646296,0.9294646296
24.7745637586,-23.8478355740,0.9326279906,0.9326279906
24.4114844245,-24.1244697376,0.9358625974,0.9358625974
24.0163218189,-24.3651508942,0.9391778766,0.9391778766
23.6012468840,-24.5770105153,0.9425830361,0.9425830361
23.1755505254,-24.7557199683,0.9460869781,0.9460869781
22.7428695169,-24.8744522632,0.9496982132,0.9496982132
22.3063243393,-24.9043690741,0.9534247743,0.9534247743
21.8732253140,-24.8346079858,0.9572741357,0.9572741357
21.4556673718,-24.6748312919,0.9612531312,0.9612531312
21.0660000315,-24.4358373501,0.9653678791,0.9653678791
20.7158948231,-24.1301000530,0.9696237086,0.9696237086
20.4157532577,-23.7732330276,0.9740250906,0.9740250906
20.1758355908,-23.3811942789,0.9785755758,0.9785755758
20.0019181383,-22.9674192934,0.9832777350,0.9832777350
19.8852423476,-22.5371675458,0.9881331072,0.9881331072
19.8141098611,-22.0940449676,0.9931421529,0.9931421529
19.7768224123,-21.6416572164,0.9983042148,0.9983042148
19.7616815522,-21.1836102234,1.0036174844,1.0036174844
19.7569902919,-20.7235095551,1.0090789763,1.0090789763
19.7535496145,-20.2641650766,1.0146845100,1.0146845100
19.7499853845,-19.8058960720,1.0204286985,1.0204286985
19.7464511758,-19.3485351888,1.0263049457,1.0263049457
19.7431007448,-18.8919151653,1.0323054502,1.0323054502
19.7400876656,-18.4358686490,1.0384212190,1.0384212190
19.7375655120,-17.9802282869,1.0446420860,1.0446420860
19.7356879494,-17.5248269089,1.0509567414,1.0509567414
19.7346086428,-17.0694971623,1.0573527668,1.0573527668
19.7344810752,-16.6140716943,1.0638166781,1.0638166781
19.7354590028,-16.1583833346,1.0703339761,1.0703339761
19.7376959997,-15.7022646394,1.0768892045,1.0768892045
19.7413452748,-15.2455485296,1.0834660123,1.0834660123
19.7459704701,-14.7881821713,1.0900472265,1.0900472265
19.7493587699,-14.3304576563,1.0966149270,1.0966149270
19.7489642043,-13.8727315900,1.1031505293,1.1031505293
19.7422407123,-13.4153609430,1.1096348715,1.1096348715
19.7266423241,-12.9587023208,1.1160483059,1.1160483059
19.6996231610,-12.5031124200,1.1223707950,1.1223707950
19.6587322447,-12.0489732138,1.1285820108,1.1285820108
19.6024937867,-11.5969235443,1.1346614370,1.1346614370
19.5300031333,-11.1477531814,1.1405884733,1.1405884733
19.4403629307,-10.7022536286,1.1463425418,1.1463425418
19.3326760077,-10.2612163896,1.1519031950,1.1519031950
19.2060449193,-9.8254332418,1.1572502223,1.1572502223
19.0599515471,-9.3955278797,1.1623637587,1.1623637587
18.8976651097,-8.9704497407,1.1672243905,1.1672243905
18.7246333309,-8.5481843869,1.1718132615,1.1718132615
18.5463298496,-8.1267063393,1.1761121750,1.1761121750
18.3682286699,-7.7039898448,1.1801036949,1.1801036949
18.1958034307,-7.2780092421,1.1837712421,1.1837712421
18.0334936332,-6.8472680288,1.1870991875,1.1870991875
17.8756439595,-6.4154353728,1.1900729404,1.1900729404
17.7108991524,-5.9890972521,1.1926790318,1.1926790318
17.5278392582,-5.5748724033,1.1949051920,1.1949051920
17.3150445970,-5.1793799285,1.1967404223,1.1967404223
17.0610953067,-4.8092383820,1.1981750598,1.1981750598
16.7559519567,-4.4713487371,1.1992008362,1.1992008362
16.4026216038,-4.1752751024,1.1998109280,1.1998109280
16.0112926899,-3.9320477021,1.2000000000,1.2000000000
15.5921654280,-3.7523250988,1.1997642410,1.1997642410
15.1542133559,-3.6392090670,1.1991013902,1.1991013902
14.7052933833,-3.5889246798,1.1980107577,1.1980107577
14.2531681586,-3.5973500780,1.1964932339,1.1964932339
13.8025680887,-3.6549192366,1.1945512915,1.1945512915
13.3536303223,-3.7438184881,1.1921889804,1.1921889804
12.9061086667,-3.8455571802,1.1894119116,1.1894119116
12.4597511802,-3.9466887852,1.1862272345,1.1862272345
12.0142902262,-4.0468548726,1.1826436051,1.1826436051
11.5694567994,-4.1477768761,1.1786711474,1.1786711474
11.1250447656,-4.2503668407,1.1743214045,1.1743214045
10.6809407923,-4.3543356859,1.1696072846,1.1696072846
10.2370392118,-4.4592972413,1.1645429983,1.1645429983
9.7932341739,-4.5648654276,1.1591439902,1.1591439902
9.3494201023,-4.6706540742,1.1534268620,1.1534268620
8.9054912379,-4.7762768280,1.1474092921,1.1474092921
8.4613418221,-4.8813476098,1.1411099479,1.1411099479
8.0168661870,-4.9854803403,1.1345483937,1.1345483937
7.5719585738,-5.0882886664,1.1277449935,1.1277449935
7.1265132236,-5.1893865089,1.1207208119,1.1207208119
6.6804244687,-5.2883876971,1.1134975085,1.1134975085
6.2335940328,-5.3849304244,1.1060972325,1.1060972325
5.7862873625,-5.4798519107,1.0985425137,1.0985425137
5.3392912164,-5.5757056995,1.0908561527,1.0908561527
4.8934323206,-5.6751779209,1.0830611092,1.0830611092
4.4495373101,-5.7809543400,1.0751803931,1.0751803931
4.0084331847,-5.8957211780,1.0672369518,1.0672369518
3.5709465795,-6.0221642912,1.0592535623,1.0592535623
3.1377060253,-6.1622743011,1.0512527240,1.0512527240
2.7084729029,-6.3149983638,1.0432565529,1.0432565529
2.2827713430,-6.4784519816,1.0352866808,1.0352866808
1.8601255675,-6.6507502007,1.0273641556,1.0273641556
1.4400597068,-6.8300084320,1.0195093491,1.0195093491
1.0220979828,-7.0143418130,1.0117418661,1.0117418661
0.6058111549,-7.2021082064,1.0040804609,1.0040804609
0.1909705504,-7.3927032624,0.9965429592,0.9965429592
-0.2225995787,-7.5858002146,0.9891461853,0.9891461853
-0.6350747062,-7.7810719310,0.9819058968,0.9819058968
-1.0466301236,-7.9781917362,0.9748367254,0.9748367254
-1.4574414875,-8.1768324987,0.9679521255,0.9679521255
-1.8676842719,-8.3766674515,0.9612643294,0.9612643294
-2.2775339506,-8.5773695543,0.9547843116,0.9547843116
-2.6871659979,-8.7786120404,0.9485217585,0.9485217585
-3.0967558876,-8.9800678693,0.9424850490,0.9424850490
-3.5064791849,-9.1814101830,0.9366812408,0.9366812408
-3.9165113640,-9.3823119411,0.9311160651,0.9311160651
-4.3270091924,-9.5824801394,0.9257939306,0.9257939306
-4.7378403576,-9.7821432683,0.9207179329,0.9207179329
-5.1486449690,-9.9819410823,0.9158898748,0.9158898748
-5.5590568398,-10.1825242862,0.9113102907,0.9113102907
-5.9687096921,-10.3845436759,0.9069784809,0.9069784809
-6.3772376128,-10.5886501385,0.9028925519,0.9028925519
-6.7842742326,-10.7954942875,0.8990494627,0.8990494627
-7.1894534560,-11.0057270100,0.8954450799,0.8954450799
-7.5924090964,-11.2199990107,0.8920742349,0.8920742349
-7.9927751493,-11.4389611767,0.8889307905,0.8889307905
-8.3901853368,-11.6632642128,0.8860077095,0.8860077095
-8.7842734721,-11.8935589148,0.8832971293,0.8832971293
-9.1746692623,-12.1304992725,0.8807904414,0.8807904414
-9.5601590805,-12.3753899801,0.8784783709,0.8784783709
-9.9376748237,-12.6309659865,0.8763510633,0.8763510633
-10.3039016485,-12.9001530445,0.8743981700,0.8743981700
-10.6555245290,-13.1858768159,0.8726089373,0.8726089373
-10.9892285305,-13.4910628710,0.8709722961,0.8709722961
-11.3017072958,-13.8186257388,0.8694769524,0.8694769524
-11.5911915763,-14.1695210820,0.8681114761,0.8681114761
-11.8592076214,-14.5405033160,0.8668643915,0.8668643915
-12.1077077279,-14.9277842830,0.8657242644,0.8657242644
-12.3386441008,-15.3275755514,0.8646797882,0.8646797882
-12.5539690367,-15.7360886896,0.8637198675,0.8637198675
-12.7555919446,-16.1495497747,0.8628336986,0.8628336986
-12.9384515448,-16.5664939685,0.8620108458,0.8620108458
-13.0828680133,-16.9902995332,0.8612413147,0.8612413147
-13.1673204635,-17.4249548294,0.8605156206,0.8605156206
-13.1788728210,-17.8725992165,0.8598248507,0.8598248507
-13.1360560707,-18.3285943590,0.8591607231,0.8591607231
-13.0646089538,-18.7867496659,0.8585156387,0.8585156387
-12.9860701506,-19.2411322362,0.8578827268,0.8578827268
-12.8943016300,-19.6875061477,0.8572558856,0.8572558856
-12.7719646814,-20.1223225004,0.8566298142,0.8566298142
-12.6027777267,-20.5419616755,0.8560000407,0.8560000407
-12.3842835826,-20.9418800553,0.8553629400,0.8553629400
-12.1235343327,-21.3168983738,0.8547157478,0.8547157478
-11.8274419004,-21.6624374257,0.8540565647,0.8540565647
-11.5008398052,-21.9778065388,0.8533843554,0.8533843554
-11.1477479801,-22.2638365456,0.8526989406,0.8526989406
-10.7721847159,-22.5213618373,0.8520009801,0.8520009801
-10.3781681207,-22.7512165312,0.8512919520,0.8512919520
-9.9697164851,-22.9542351098,0.8505741232,0.8505741232
-9.5506168720,-23.1316708023,0.8498505145,0.8498505145
-9.1232348498,-23.2873556579,0.8491248594,0.8491248594
-8.6893954209,-23.4261016610,0.8484015573,0.8484015573
-8.2509224018,-23.5527227119,0.8476856211,0.8476856211
-7.8096398825,-23.6720328938,0.8469826209,0.8469826209
-7.3673717705,-23.7888461071,0.8462986209,0.8462986209
-6.9257289957,-23.9074101367,0.8456401149,0.8456401149
-6.4850396022,-24.0285604687,0.8450139563,0.8450139563
-6.0451534835,-24.1518611099,0.8444272859,0.8444272859
-5.6059195296,-24.2768737861,0.8438874567,0.8438874567
-5.1671867214,-24.4031603140,0.8434019579,0.8434019579
-4.7288040399,-24.5302824194,0.8429783351,0.8429783351
-4.2906204661,-24.6578019191,0.8426241125,0.8426241125
-3.8524850725,-24.7852805387,0.8423467129,0.8423467129
-3.4142468399,-24.9122801865,0.8421533788,0.8421533788
-2.9757546583,-25.0383624966,0.8420510940,0.8420510940
-2.5368575998,-25.1630892861,0.8420465073,0.8420465073
-2.0974046456,-25.2860223719,0.8421458573,0.8421458573
-1.6572499778,-25.4067389007,0.8423549012,0.8423549012
-1.2163802741,-25.5252117714,0.8426788454,0.8426788454
-0.7749226457,-25.6418316258,0.8431222803,0.8431222803
-0.3330105918,-25.7570093631,0.8436891197,0.8436891197
0.1092221152,-25.8711559739,0.8443825435,0.8443825435
0.5516417936,-25.9846821751,0.8452049477,0.8452049477
0.9941148534,-26.0979990486,0.8461578966,0.8461578966
1.4365075218,-26.2115174023,0.8472420843,0.8472420843
1.8786861174,-26.3256481356,0.8484572997,0.8484572997
2.3205170500,-26.4408020566,0.8498023994,0.8498023994
2.7618666381,-26.5573901559,0.8512752861,0.8512752861
3.2026011092,-26.6758232416,0.8528728953,0.8528728953
3.6425930780,-26.7964977041,0.8545911872,0.8545911872
4.0818623457,-26.9194626361,0.8564251473,0.8564251473
4.5205793677,-27.0444120760,0.8583687933,0.8583687933
4.9589215341,-27.1710242756,0.8604151887,0.8604151887
5.3970660528,-27.2989771222,0.8625564654,0.8625564654
5.8351903139,-27.4279488677,0.8647838502,0.8647838502
6.2734710690,-27.5576186766,0.8670877014,0.8670877014
6.7114838225,-27.6890499781,0.8694575498,0.8694575498
7.1470113787,-27.8274336269,0.8718821474,0.8718821474
7.5775037529,-27.9787261576,0.8743495210,0.8743495210
8.0009810909,-28.1474801304,0.8768470337,0.8768470337
8.4185240680,-28.3307108448,0.8793614488,0.8793614488
8.8322355435,-28.5229161919,0.8818790025,0.8818790025
9.2437842997,-28.7197497455,0.8843854776,0.8843854776
9.6535697384,-28.9202442543,0.8868662841,0.8868662841
