# 567f7bb9-2c65-49fc-abdd-e1505c552447
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1534221; -0.2407787; -1.1603850; 0.0013968; 6.8652641; -0.0074080
0.1998953; 0.3370464; -0.1608528; -1.1601510; 0.0009396; 6.8650484; 0.0147354
0.3997906; 0.5204818; -0.0809681; -1.1600090; 0.0004802; 6.8654774; 0.0352028
0.5996858; 0.7037394; -0.0011399; -1.1599591; 0.0000186; 6.8665023; 0.0541372
0.7995811; 0.8868305; 0.0786166; -1.1600016; -0.0004451; 6.8680782; 0.0296823
0.9994764; 1.0697778; 0.1582911; -1.1601368; -0.0009064; 6.8689420; 0.0055318
1.1993717; 1.2533411; 0.2381964; -1.1603350; -0.0010731; 6.8691030; -0.0027810
1.3992669; 1.4367706; 0.3179966; -1.1605663; -0.0012403; 6.8690221; -0.0104466
1.5991622; 1.6200777; 0.3976894; -1.1608310; -0.0014079; 6.8687180; -0.0175123
1.7990575; 1.8032736; 0.4772727; -1.1611290; -0.0015759; 6.8682084; -0.0240218
1.9989528; 1.9863994; 0.5567570; -1.1614603; -0.0017368; 6.8675092; -0.0296703
2.1988481; 2.1699974; 0.6363714; -1.1618102; -0.0017596; 6.8666455; -0.0283470
2.3987433; 2.3535121; 0.7158731; -1.1621644; -0.0017823; 6.8658203; -0.0271229
2.5986386; 2.5369498; 0.7952636; -1.1625229; -0.0018048; 6.8650305; -0.0259896
2.7985339; 2.7203164; 0.8745450; -1.1628857; -0.0018271; 6.8642737; -0.0249396
2.9984292; 2.9036628; 0.9537382; -1.1632528; -0.0018525; 6.8635474; -0.0241159
3.1983244; 3.0873433; 1.0329948; -1.1636287; -0.0019058; 6.8628450; -0.0246743
3.3982197; 3.2709717; 1.1121460; -1.1640151; -0.0019589; 6.8621263; -0.0251800
3.5981150; 3.4545552; 1.1911925; -1.1644120; -0.0020119; 6.8613928; -0.0256363
