# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.9492642383,0.9492642383
-0.3547468317,0.2926600264,0.9487144854,0.9487144854
-0.7095285240,0.5852757182,0.9479607292,0.9479607292
-1.0643405697,0.8778526864,0.9469969056,0.9469969056
-1.4191782780,1.1703967256,0.9458176293,0.9458176293
-1.7740371418,1.4629136306,0.9444182317,0.9444182317
-2.1289125620,1.7554090122,0.9427947966,0.9427947966
-2.4837998476,2.0478887572,0.9409441911,0.9409441911
-2.8386944917,2.3403585683,0.9388640946,0.9388640946
-3.1935918032,2.6328241482,0.9365530231,0.9365530231
-3.5484873671,2.9252911999,0.9340103502,0.9340103502
-3.9033764004,3.2177656100,0.9312363233,0.9312363233
-4.2582543961,3.5102530813,0.9282320774,0.9282320774
-4.6131166631,3.8027592246,0.9249996424,0.9249996424
-4.9679587864,4.0952899267,0.9215419488,0.9215419488
-5.3227759831,4.3878508903,0.9178628269,0.9178628269
-5.6775637461,4.6804479101,0.9139670029,0.9139670029
-6.0323175683,4.9730865971,0.9098600902,0.9098600902
-6.3870326668,5.2657728378,0.9055485765,0.9055485765
-6.7417045346,5.5585123352,0.9010398070,0.9010398070
-7.0963311480,5.8513075727,0.8963419629,0.8963419629
-7.4509160024,6.1441545030,0.8914640358,0.8914640358
-7.8054631448,6.4370478835,0.8864157986,0.8864157986
-8.1599768065,6.7299826551,0.8812077716,0.8812077716
-8.5144611264,7.0229537589,0.8758511856,0.8758511856
-8.8689203356,7.3159561360,0.8703579419,0.8703579419
-9.2233585734,7.6089845435,0.8647405668,0.8647405668
-9.5777799788,7.9020340146,0.8590121649,0.8590121649
-9.9321887828,8.1950994902,0.8531863693,0.8531863693
-10.2865891247,8.4881757275,0.8472772875,0.8472772875
-10.6409850515,8.7812576676,0.8412994461,0.8412994461
-10.9953808863,9.0743402515,0.8352677330,0.8352677330
-11.3497807683,9.3674183284,0.8291973372,0.8291973372
-11.7041888365,9.6604869314,0.8231036875,0.8231036875
-12.0586092301,9.9535408175,0.8170023893,0.8170023893
-12.4130461801,10.2465749278,0.8109091597,0.8109091597
-12.7675038258,10.5395842034,0.8048397639,0.8048397639
-13.1219863060,10.8325634935,0.7988099484,0.7988099484
-13.4764978521,11.1255077390,0.7928353756,0.7928353756
-13.8310425111,11.4184118812,0.7869315588,0.7869315588
-14.1856246061,11.7112707690,0.7811137962,0.7811137962
-14.5402482762,12.0040792516,0.7753971069,0.7753971069
-14.8949175685,12.2968323621,0.7697961677,0.7697961677
-15.2496368061,12.5895248575,0.7643252502,0.7643252502
-15.6044099442,12.8821517709,0.7589981623,0.7589981623
-15.9592413978,13.1747078596,0.7538281878,0.7538281878
-16.3141352141,13.4671882484,0.7488280314,0.7488280314
-16.6690952562,13.7595879705,0.7440097653,0.7440097653
-17.0241213401,14.0519073018,0.7393847775,0.7393847775
-17.3792102466,14.3441501974,0.7349637249,0.7349637249
-17.7343587564,14.6363205206,0.7307564883,0.7307564883
-18.0895634661,14.9284223184,0.7267721313,0.7267721313
-18.4448211565,15.2204595461,0.7230188632,0.7230188632
-18.8001285163,15.5124361587,0.7195040056,0.7195040056
-19.1554823261,15.8043561115,0.7162339626,0.7162339626
-19.5108791828,16.0962234515,0.7132141956,0.7132141956
-19.8663159588,16.3880419499,0.7104492025,0.7104492025
-20.2217891591,16.6798157460,0.7079425009,0.7079425009
-20.5772957482,16.9715487947,0.7056966164,0.7056966164
-20.9328322310,17.2632450514,0.7037130741,0.7037130741
-21.2883953880,17.5549083790,0.7019923968,0.7019923968
-21.6439820000,17.8465429169,0.7005341059,0.7005341059
-21.9995886637,18.1381524360,0.6993367280,0.6993367280
-22.3552122518,18.4297410757,0.6983978048,0.6983978048
-22.7108492690,18.7213126990,0.6977139096,0.6977139096
-23.0664965881,19.0128713531,0.6972806664,0.6972806664
-23.4221508976,19.3044209931,0.6970927740,0.6970927740
-23.7778088863,19.5959654822,0.6971440339,0.6971440339
-24.1334672430,19.8875088675,0.6974273837,0.6974273837
-24.4891227482,20.1790551042,0.6979349319,0.6979349319
-24.8447719988,20.4706082395,0.6986579992,0.6986579992
-25.2004118674,20.7621721365,0.6995871620,0.6995871620
-25.5560389508,21.0537507503,0.7007122980,0.7007122980
-25.9116500296,21.3453480361,0.7020226377,0.7020226377
-26.2672417925,21.6369681330,0.7035068171,0.7035068171
-26.6228104683,21.9286154561,0.7051529322,0.7051529322
-26.9783518260,22.2202953402,0.7069485979,0.7069485979
-27.3338616344,22.5120131202,0.7088810078,0.7088810078
-27.6893356625,22.8037740390,0.7109369947,0.7109369947
-28.0447695872,23.0955835234,0.7131030955,0.7131030955
-28.4001590854,23.3874467243,0.7153656143,0.7153656143
-28.7555000180,23.6793691605,0.7177106876,0.7177106876
-29.1107879699,23.9713560750,0.7201243506,0.7201243506
-29.4660188021,24.2634128024,0.7225926024,0.7225926024
-29.8211880994,24.5555445859,0.7251014719,0.7251014719
-30.1762917228,24.8477568521,0.7276370840,0.7276370840
-30.5313253491,25.1400548439,0.7301857224,0.7301857224
-30.8862847473,25.4324439883,0.7327338948,0.7327338948
-31.2411655944,25.7249294360,0.7352683944,0.7352683944
-31.5959635671,26.0175166140,0.7377763605,0.7377763605
-31.9506745265,26.3102108570,0.7402453370,0.7402453370
-32.3052941495,26.6030174081,0.7426633288,0.7426633288
-32.6598182049,26.8959416939,0.7450188560,0.7450188560
-33.0142422777,27.1889889574,0.7473010041,0.7473010041
-33.3685622288,27.4821645334,0.7494994736,0.7494994736
-33.7227737350,27.7754737569,0.7516046232,0.7516046232
-34.0768725654,28.0689219626,0.7536075128,0.7536075128
-34.4308544888,28.3625144854,0.7554999404,0.7554999404
-34.7847150902,28.6562565682,0.7572744765,0.7572744765
-35.1384502304,28.9501535459,0.7589244950,0.7589244950
-35.4920555864,29.2442107533,0.7604441975,0.7604441975
-35.8455268351,29.5384336172,0.7618286373,0.7618286373
-36.1988670119,29.8328185505,0.7630737354,0.7630737354
-36.5521279016,30.1273029144,0.7641762951,0.7641762951
-36.9053817088,30.4217988679,0.7651340096,0.7651340096
-37.2587007301,30.7162190296,0.7659454673,0.7659454673
-37.6121573539,31.0104754664,0.7666101520,0.7666101520
-37.9658236929,31.3044806129,0.7671284380,0.7671284380
-38.3197722274,31.5981468119,0.7675015817,0.7675015817
-38.6740751622,31.8913864063,0.7677317082,0.7677317082
-39.0288047936,32.1841115547,0.7678217949,0.7678217949
-39.3840335102,32.4762347840,0.7677756492,0.7677756492
-39.7398334245,32.7676683448,0.7675978840,0.7675978840
-40.0962770171,33.0583245800,0.7672938879,0.7672938879
-40.4534364925,33.3481157403,0.7668697926,0.7668697926
-40.8113788124,33.6369599633,0.7663324369,0.7663324369
-41.1693529575,33.9256482796,0.7656893263,0.7656893263
-41.5249222772,34.2167715909,0.7649485910,0.7649485910
-41.8754419695,34.5131426551,0.7641189400,0.7641189400
-42.2182671405,34.8175744143,0.7632096129,0.7632096129
-42.5507530801,35.1328796266,0.7622303295,0.7622303295
-42.8702548943,35.4618712339,0.7611912372,0.7611912372
-43.1738807220,35.8074073408,0.7601028565,0.7601028565
-43.4507813009,36.1738021918,0.7589760252,0.7589760252
-43.6806369835,36.5671034928,0.7578218409,0.7578218409
-43.8425750445,36.9934599440,0.7566516035,0.7566516035
-43.9168959678,37.4544841442,0.7554767556,0.7554767556
-43.8916661350,37.9217608904,0.7543088247,0.7543088247
-43.7581075887,38.3546728707,0.7531593627,0.7531593627
-43.5093528945,38.7149587570,0.7520398885,0.7520398885
-43.1622057524,38.9941256389,0.7509618285,0.7509618285
-42.7495204276,39.2038655023,0.7499364602,0.7499364602
-42.3044547203,39.3562534311,0.7489748558,0.7489748558
-41.8535504704,39.4629035959,0.7480878271,0.7480878271
-41.4012125233,39.5338875652,0.7472858733,0.7472858733
-40.9472211380,39.5789546088,0.7465791290,0.7465791290
-40.4913669674,39.6077067358,0.7459773163,0.7459773163
-40.0337292064,39.6256500719,0.7454896984,0.7454896984
-39.5747067738,39.6337550094,0.7451250357,0.7451250357
-39.1147150527,39.6327567471,0.7448915451,0.7448915451
-38.6541694260,39.6233904835,0.7447968633,0.7447968633
-38.1934853690,39.6063912333,0.7448480120,0.7448480120
-37.7330782647,39.5824943793,0.7450513671,0.7450513671
-37.2733448243,39.5523963043,0.7454126319,0.7454126319
-36.8144624777,39.5163398364,0.7459368138,0.7459368138
-36.3564653496,39.4742716271,0.7466282042,0.7466282042
-35.8993852654,39.4261331768,0.7474903636,0.7474903636
-35.4432539581,39.3718659860,0.7485261094,0.7485261094
-34.9881030689,39.3114117393,0.7497375087,0.7497375087
-34.5339645152,39.2447120291,0.7511258744,0.7511258744
-34.0808699380,39.1717082640,0.7526917656,0.7526917656
-33.6288511626,39.0923421285,0.7544349926,0.7544349926
-33.1779398302,39.0065552150,0.7563546246,0.7563546246
-32.7281678580,38.9142890241,0.7584490029,0.7584490029
-32.2795667952,38.8154850563,0.7607157561,0.7607157561
-31.8321685590,38.7100850880,0.7631518212,0.7631518212
-31.3860048826,38.5980304358,0.7657534656,0.7657534656
-30.9412153921,38.4791251817,0.7685163154,0.7685163154
-30.4982943898,38.3527210484,0.7714353848,0.7714353848
-30.0578090262,38.2180766744,0.7745051093,0.7745051093
-29.6203263601,38.0744509745,0.7777193824,0.7777193824
-29.1864134500,37.9211027712,0.7810715947,0.7810715947
-28.7566374466,37.7572907952,0.7845546744,0.7845546744
-28.3315638449,37.5822780082,0.7881611312,0.7881611312
-27.9115977262,37.3957370522,0.7918831023,0.7918831023
-27.4968463395,37.1981003267,0.7957123997,0.7957123997
-27.0873850168,36.9898824616,0.7996405583,0.7996405583
-26.6832889978,36.7715979027,0.8036588863,0.8036588863
-26.2846334306,36.5437613721,0.8077585164,0.8077585164
-25.8914935551,36.3068874074,0.8119304565,0.8119304565
-25.5039355050,36.0614931221,0.8161656420,0.8161656420
-25.1217842419,35.8081631430,0.8204549878,0.8204549878
