# ac1ee12c-0018-40f9-bdf2-6f24434d871c
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1105507; 0.1719490; 0.8905258; -0.0005710; 6.8677195; 0.0247328
0.1999399; -0.0447127; 0.2975892; 0.8904053; -0.0006351; 6.8684395; 0.0197182
0.3998799; -0.2000445; 0.4233173; 0.8902720; -0.0006991; 6.8690135; 0.0151130
0.5998198; -0.3554416; 0.5491344; 0.8901258; -0.0007629; 6.8694534; 0.0108845
0.7997597; -0.5109012; 0.6750412; 0.8899668; -0.0008266; 6.8697702; 0.0070024
0.9996996; -0.6663914; 0.8010154; 0.8897951; -0.0008866; 6.8699740; 0.0036061
1.1996396; -0.8215754; 0.9267868; 0.8896164; -0.0009020; 6.8700789; 0.0025897
1.3995795; -0.9768147; 1.0526494; 0.8894346; -0.0009174; 6.8701543; 0.0016563
1.5995194; -1.1321082; 1.1786031; 0.8892497; -0.0009327; 6.8702025; 0.0007993
1.7994594; -1.2874549; 1.3046481; 0.8890615; -0.0009480; 6.8702258; 0.0000123
1.9993993; -1.4428036; 1.4307435; 0.8888704; -0.0009596; 6.8702261; -0.0005365
2.1993392; -1.5978818; 1.5566685; 0.8886799; -0.0009477; 6.8702105; 0.0000716
2.3992792; -1.7530103; 1.6826832; 0.8884917; -0.0009357; 6.8702126; 0.0006284
2.5992191; -1.9081887; 1.8087865; 0.8883057; -0.0009239; 6.8702309; 0.0011382
2.7991590; -2.0634164; 1.9349776; 0.8881221; -0.0009120; 6.8702640; 0.0016047
2.9990989; -2.2186280; 2.0612026; 0.8879409; -0.0008987; 6.8703107; 0.0021034
3.1990389; -2.3736005; 2.1872795; 0.8877633; -0.0008788; 6.8703719; 0.0028774
3.3989788; -2.5286208; 2.3134405; 0.8875897; -0.0008588; 6.8704556; 0.0035863
3.5989187; -2.6836887; 2.4396844; 0.8874199; -0.0008390; 6.8705600; 0.0042353
3.7988587; -2.8388039; 2.5660101; 0.8872541; -0.0008192; 6.8706833; 0.0048292
3.9987986; -2.9938920; 2.6923561; 0.8870922; -0.0007990; 6.8708238; 0.0053912
4.1987385; -3.1487682; 2.8185705; 0.8869347; -0.0007776; 6.8709807; 0.0059699
4.3986784; -3.3036906; 2.9448627; 0.8867814; -0.0007562; 6.8711544; 0.0064992
4.5986184; -3.4586590; 3.0712314; 0.8866324; -0.0007348; 6.8713435; 0.0069832
4.7985583; -3.6136732; 3.1976754; 0.8864875; -0.0007136; 6.8715467; 0.0074257
4.9984982; -3.7686547; 3.3241295; 0.8863469; -0.0006925; 6.8717628; 0.0078210
5.1984382; -3.9234466; 3.4504647; 0.8862105; -0.0006721; 6.8719903; 0.0081552
5.3983781; -4.0782833; 3.5768711; 0.8860782; -0.0006518; 6.8722276; 0.0084602
5.5983180; -4.2331646; 3.7033474; 0.8859499; -0.0006315; 6.8724737; 0.0087382
5.7982579; -4.3880901; 3.8298926; 0.8858256; -0.0006112; 6.8727279; 0.0089916
5.9981979; -4.5429812; 3.9564412; 0.8857054; -0.0005916; 6.8729895; 0.0091949
6.1981378; -4.6977010; 4.0828804; 0.8855890; -0.0005737; 6.8732570; 0.0093043
6.3980777; -4.8524641; 4.2093846; 0.8854761; -0.0005557; 6.8735276; 0.0094029
6.5980177; -5.0072701; 4.3359524; 0.8853667; -0.0005379; 6.8738011; 0.0094916
6.7979576; -5.1621186; 4.4625829; 0.8852609; -0.0005200; 6.8740772; 0.0095713
6.9978975; -5.3169340; 4.5892132; 0.8851587; -0.0005030; 6.8743556; 0.0096063
7.1978375; -5.4715930; 4.7157415; 0.8850597; -0.0004880; 6.8746350; 0.0095405
7.3977774; -5.6262933; 4.8423287; 0.8849636; -0.0004731; 6.8749125; 0.0094785
7.5977173; -5.7810345; 4.9689739; 0.8848705; -0.0004582; 6.8751881; 0.0094199
7.7976572; -5.9358162; 5.0956760; 0.8847803; -0.0004434; 6.8754621; 0.0093645
7.9975972; -6.0905683; 5.2223767; 0.8846931; -0.0004294; 6.8757344; 0.0092745
8.1975371; -6.2451760; 5.3489814; 0.8846085; -0.0004175; 6.8760041; 0.0090909
8.3974770; -6.3998227; 5.4756396; 0.8845262; -0.0004057; 6.8762684; 0.0089208
8.5974170; -6.5545080; 5.6023503; 0.8844463; -0.0003938; 6.8765278; 0.0087632
8.7973569; -6.7092314; 5.7291126; 0.8843687; -0.0003820; 6.8767826; 0.0086172
8.9972968; -6.8639303; 5.8558746; 0.8842934; -0.0003710; 6.8770331; 0.0084482
9.1972367; -7.0184945; 5.9825454; 0.8842202; -0.0003619; 6.8772787; 0.0081990
9.3971767; -7.1730950; 6.1092647; 0.8841488; -0.0003528; 6.8775171; 0.0079690
9.5971166; -7.3277315; 6.2360316; 0.8840791; -0.0003438; 6.8777488; 0.0077565
9.7970565; -7.4824033; 6.3628453; 0.8840113; -0.0003348; 6.8779742; 0.0075602
9.9969965; -7.6370566; 6.4896612; 0.8839452; -0.0003263; 6.8781940; 0.0073521
10.1969364; -7.7915834; 6.6163902; 0.8838807; -0.0003196; 6.8784077; 0.0070792
10.3968763; -7.9461436; 6.7431631; 0.8838175; -0.0003129; 6.8786135; 0.0068275
10.5968162; -8.1007367; 6.8699791; 0.8837556; -0.0003062; 6.8788120; 0.0065953
10.7967562; -8.2553621; 6.9968375; 0.8836950; -0.0002996; 6.8790037; 0.0063812
10.9966961; -8.4099754; 7.1237016; 0.8836357; -0.0002933; 6.8791891; 0.0061642
11.1966360; -8.5644693; 7.2504827; 0.8835776; -0.0002885; 6.8793683; 0.0058974
11.3965760; -8.7189935; 7.3773037; 0.8835204; -0.0002837; 6.8795397; 0.0056514
11.5965159; -8.8735474; 7.5041637; 0.8834641; -0.0002789; 6.8797039; 0.0054247
11.7964558; -9.0281303; 7.6310619; 0.8834088; -0.0002741; 6.8798616; 0.0052158
11.9963958; -9.1827075; 7.7579696; 0.8833545; -0.0002696; 6.8800131; 0.0050103
12.1963357; -9.3371720; 7.8847988; 0.8833010; -0.0002662; 6.8801588; 0.0047685
12.3962756; -9.4916635; 8.0116638; 0.8832481; -0.0002628; 6.8802973; 0.0045457
12.5962155; -9.6461812; 8.1385640; 0.8831959; -0.0002594; 6.8804294; 0.0043404
12.7961555; -9.8007244; 8.2654986; 0.8831443; -0.0002561; 6.8805556; 0.0041512
12.9960954; -9.9552678; 8.3924466; 0.8830934; -0.0002529; 6.8806762; 0.0039694
13.1960353; -10.1097055; 8.5193208; 0.8830431; -0.0002505; 6.8807915; 0.0037627
13.3959753; -10.2641666; 8.6462272; 0.8829933; -0.0002482; 6.8809009; 0.0035722
13.5959152; -10.4186503; 8.7731651; 0.8829439; -0.0002458; 6.8810047; 0.0033968
13.7958551; -10.5731560; 8.9001337; 0.8828950; -0.0002435; 6.8811034; 0.0032351
13.9957950; -10.7276669; 9.0271192; 0.8828465; -0.0002412; 6.8811973; 0.0030823
14.1957350; -10.8820797; 9.1540365; 0.8827985; -0.0002395; 6.8812869; 0.0029143
14.3956749; -11.0365121; 9.2809824; 0.8827508; -0.0002379; 6.8813716; 0.0027594
14.5956148; -11.1909636; 9.4079563; 0.8827034; -0.0002362; 6.8814518; 0.0026167
14.7955548; -11.3454334; 9.5349574; 0.8826563; -0.0002345; 6.8815278; 0.0024852
14.9954947; -11.4999121; 9.6619780; 0.8826096; -0.0002329; 6.8816000; 0.0023626
15.1954346; -11.6543014; 9.7889371; 0.8825631; -0.0002316; 6.8816686; 0.0022323
15.3953745; -11.8087066; 9.9159213; 0.8825170; -0.0002304; 6.8817335; 0.0021121
15.5953145; -11.9631271; 10.0429301; 0.8824710; -0.0002292; 6.8817949; 0.0020014
15.7952544; -12.1175622; 10.1699626; 0.8824253; -0.0002279; 6.8818530; 0.0018994
15.9951943; -12.2720087; 10.2970163; 0.8823799; -0.0002267; 6.8819082; 0.0018050
16.1951343; -12.4263755; 10.4240163; 0.8823346; -0.0002257; 6.8819606; 0.0017088
16.3950742; -12.5807547; 10.5510381; 0.8822896; -0.0002246; 6.8820103; 0.0016202
16.5950141; -12.7351454; 10.6780810; 0.8822448; -0.0002236; 6.8820573; 0.0015384
16.7949541; -12.8895468; 10.8051443; 0.8822002; -0.0002226; 6.8821020; 0.0014629
16.9948940; -13.0439583; 10.9322275; 0.8821558; -0.0002216; 6.8821445; 0.0013933
17.1948339; -13.1983059; 11.0592694; 0.8821116; -0.0002207; 6.8821850; 0.0013263
17.3947738; -13.3526600; 11.1863282; 0.8820676; -0.0002197; 6.8822235; 0.0012644
17.5947138; -13.5070218; 11.3134047; 0.8820237; -0.0002188; 6.8822603; 0.0012072
17.7946537; -13.6613907; 11.4404984; 0.8819801; -0.0002178; 6.8822953; 0.0011544
17.9945936; -13.8157658; 11.5676084; 0.8819366; -0.0002169; 6.8823289; 0.0011056
