# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.8969352783,0.8969352783
-0.2428405567,-0.3765121896,0.9024632088,0.9024632088
-0.4856639050,-0.7530351344,0.9078678866,0.9078678866
-0.7284709412,-1.1295682967,0.9131414548,0.9131414548
-0.9712630098,-1.5061109594,0.9182766936,0.9182766936
-1.2140410966,-1.8826623159,0.9232670396,0.9232670396
-1.4568064564,-2.2592216492,0.9281066050,0.9281066050
-1.6995601647,-2.6357883318,0.9327901919,0.9327901919
-1.9423034763,-3.0123616469,0.9373133031,0.9373133031
-2.1850373771,-3.3889407877,0.9416721507,0.9416721507
-2.4277631219,-3.7655251269,0.9458636601,0.9458636601
-2.6704818757,-4.1421139474,0.9498854710,0.9498854710
-2.9131946246,-4.5187064426,0.9537359355,0.9537359355
-3.1559027129,-4.8953019851,0.9574141116,0.9574141116
-3.3986071265,-5.2718998579,0.9609197551,0.9609197551
-3.6413091201,-5.6484992543,0.9642533070,0.9642533070
-3.8840097694,-6.0250995471,0.9674158774,0.9674158774
-4.1267103290,-6.4017001087,0.9704092283,0.9704092283
-4.3694117849,-6.7783000429,0.9732357502,0.9732357502
-4.6121153022,-7.1548987223,0.9758984400,0.9758984400
-4.8548221357,-7.5314953404,0.9784008717,0.9784008717
-5.0975333609,-7.9080893592,0.9807471681,0.9807471681
-5.3402501430,-8.2846799722,0.9829419683,0.9829419683
-5.5829736471,-8.6612664624,0.9849903929,0.9849903929
-5.8257049487,-9.0378481128,0.9868980081,0.9868980081
-6.0684452130,-9.4144241167,0.9886707870,0.9886707870
-6.3111956051,-9.7909939363,0.9903150699,0.9903150699
-6.5539572006,-10.1675568546,0.9918375219,0.9918375219
-6.7967299098,-10.5441127821,0.9932450913,0.9932450913
-7.0395131053,-10.9206623461,0.9945449645,0.9945449645
-7.2823057116,-11.2972060843,0.9957445219,0.9957445219
-7.5251070118,-11.6737444449,0.9968512929,0.9968512929
-7.7679161094,-12.0502779657,0.9978729090,0.9978729090
-8.0107322876,-12.4268072740,0.9988170591,0.9988170591
-8.2535545604,-12.8033328180,0.9996914429,0.9996914429
-8.4963821212,-13.1798552250,1.0005037257,1.0005037257
-8.7392141633,-13.5563748537,1.0012614931,1.0012614931
-8.9820497905,-13.9328924209,1.0019722072,1.0019722072
-9.2248881962,-14.3094083748,1.0026431630,1.0026431630
-9.4677285736,-14.6859233428,1.0032814459,1.0032814459
-9.7105700265,-15.0624376834,1.0038938917,1.0038938917
-9.9534117483,-15.4389520241,1.0044870473,1.0044870473
-10.1962528428,-15.8154669025,1.0050671328,1.0050671328
-10.4390925928,-16.1919828564,1.0056400071,1.0056400071
-10.6819299229,-16.5685004236,1.0062111336,1.0062111336
-10.9247642953,-16.9450201418,1.0067855504,1.0067855504
-11.1675946345,-17.3215424593,1.0073678407,1.0073678407
-11.4104201339,-17.6980680032,1.0079621087,1.0079621087
-11.6532399868,-18.0745973116,1.0085719545,1.0085719545
-11.8960533865,-18.4511308323,1.0092004554,1.0092004554
-12.1388594369,-18.8276691929,1.0098501483,1.0098501483
-12.3816574208,-19.2042129312,1.0105230151,1.0105230151
-12.6244462628,-19.5807624951,1.0112204723,1.0112204723
-12.8672253355,-19.9573184226,1.0119433623,1.0119433623
-13.1099936530,-20.3338813410,1.0126919499,1.0126919499
-13.3527504983,-20.7104516983,1.0134659196,1.0134659196
-13.5954948854,-21.0870300325,1.0142643786,1.0142643786
-13.8382260974,-21.4636168812,1.0150858611,1.0150858611
-14.0809432380,-21.8402128719,1.0159283372,1.0159283372
-14.3236454109,-22.2168183629,1.0167892242,1.0167892242
-14.5663318991,-22.5934340715,1.0176654012,1.0176654012
-14.8090018063,-22.9700604456,1.0185532273,1.0185532273
-15.0516542364,-23.3466980231,1.0194485622,1.0194485622
-15.2942884722,-23.7233472520,1.0203467894,1.0203467894
-15.5369035279,-24.1000088495,1.0212428438,1.0212428438
-15.7794985968,-24.4766831739,1.0221312396,1.0221312396
-16.0220728722,-24.8533708528,1.0230061030,1.0230061030
-16.2646255477,-25.2300724238,1.0238612058,1.0238612058
-16.5071557268,-25.6067884247,1.0246900016,1.0246900016
-16.7496626029,-25.9835193036,1.0254856643,1.0254856643
-16.9921452798,-26.3602655984,1.0262411284,1.0262411284
-17.2346029508,-26.7370279364,1.0269491309,1.0269491309
-17.4770347197,-27.1138068553,1.0276022540,1.0276022540
-17.7194398695,-27.4906028033,1.0281929702,1.0281929702
-17.9618174141,-27.8674164078,1.0287136884,1.0287136884
-18.2041666367,-28.2442480272,1.0291567991,1.0291567991
-18.4464865514,-28.6210983787,1.0295147225,1.0295147225
-18.6887765307,-28.9979679999,1.0297799553,1.0297799553
-18.9310354992,-29.3748572494,1.0299451186,1.0299451186
-19.1732627397,-29.7517667546,1.0300030051,1.0300030051
-19.4154574457,-30.1286971428,1.0299466260,1.0299466260
-19.6576186314,-30.5056488621,1.0297692582,1.0297692582
-19.8997455795,-30.8826223608,1.0294644889,1.0294644889
-20.1418373940,-31.2596183558,1.0290262614,1.0290262614
-20.3838933578,-31.6366372056,1.0284489179,1.0284489179
-20.6259123953,-32.0136795377,1.0277272412,1.0277272412
-20.8678946858,-32.3907454416,1.0268564961,1.0268564961
-21.1098417531,-32.7678336625,1.0258324662,1.0258324662
-21.3517556584,-33.1449430354,1.0246514913,1.0246514913
-21.5936382839,-33.5220723951,1.0233105012,1.0233105012
-21.8354915119,-33.8992204867,1.0218070469,1.0218070469
-22.0773174037,-34.2763860556,1.0201393292,1.0201393292
-22.3191177519,-34.6535678469,1.0183062261,1.0183062261
-22.5608945282,-35.0307646956,1.0163073146,1.0163073146
-22.8026496148,-35.4079752571,1.0141428914,1.0141428914
-23.0443850732,-35.7851984560,1.0118139898,1.0118139898
-23.2861026958,-36.1624330375,1.0093223938,1.0093223938
-23.5278044545,-36.5396776572,1.0066706472,1.0066706472
-23.7694922314,-36.9169312396,1.0038620613,1.0038620613
-24.0111680880,-37.2941924403,1.0009007186,1.0009007186
-24.2528338167,-37.6714600045,0.9977914711,0.9977914711
-24.4944913894,-38.0487328566,0.9945399384,0.9945399384
-24.7361426882,-38.4260095627,0.9911524986,0.9911524986
-24.9777897746,-38.8032890472,0.9876362784,0.9876362784
-25.2194344410,-39.1805700554,0.9839991381,0.9839991381
-25.4610786593,-39.5578514221,0.9802496539,0.9802496539
-25.7027244012,-39.9351317133,0.9763970962,0.9763970962
-25.9443734594,-40.3124098534,0.9724514046,0.9724514046
-26.1860279848,-40.6896845877,0.9684231597,0.9684231597
-26.4276896803,-41.0669547511,0.9643235521,0.9643235521
-26.6693606074,-41.4442189990,0.9601643477,0.9601643477
-26.9110426482,-41.8214760769,0.9559578498,0.9559578498
-27.1527376849,-42.1987249090,0.9517168598,0.9517168598
-27.3944476892,-42.5759641511,0.9474546336,0.9474546336
-27.6361747227,-42.9531926380,0.9431848365,0.9431848365
-27.8779204881,-43.3304091149,0.9389214954,0.9389214954
-28.1196869574,-43.7076123271,0.9346789494,0.9346789494
-28.3614761918,-44.0848011093,0.9304717974,0.9304717974
-28.6032899840,-44.4619741172,0.9263148458,0.9263148458
-28.8451303057,-44.8391302753,0.9222230527,0.9222230527
-29.0869991287,-45.2162682391,0.9182114727,0.9182114727
-29.3288983352,-45.5933868435,0.9142951992,0.9142951992
-29.5708298970,-45.9704847442,0.9104893072,0.9104893072
-29.8127956066,-46.3475608655,0.9068087944,0.9068087944
-30.0547976150,-46.7246139528,0.9032685232,0.9032685232
-30.2968376252,-47.1016426616,0.8998831619,0.8998831619
-30.5389176986,-47.4786458267,0.8966671260,0.8966671260
-30.7810397173,-47.8556222831,0.8936345211,0.8936345211
-31.0232055635,-48.2325706862,0.8907990852,0.8907990852
-31.2654172986,-48.6094899607,0.8881741327,0.8881741327
-31.5076767152,-48.9863787621,0.8857725000,0.8857725000
-31.7499857850,-49.3632358356,0.8836064910,0.8836064910
-31.9923464799,-49.7400600160,0.8816878264,0.8816878264
-32.2347606819,-50.1168500486,0.8800275936,0.8800275936
-32.4772303629,-50.4936047683,0.8786361985,0.8786361985
-32.7197574051,-50.8703228306,0.8775233210,0.8775233210
-32.9623436906,-51.2470030705,0.8766978719,0.8766978719
-33.2049912808,-51.6236443226,0.8761679526,0.8761679526
-33.4477019682,-52.0002452428,0.8759408187,0.8759408187
-33.6904777247,-52.3768046657,0.8760228452,0.8760228452
-33.9333205220,-52.7533213366,0.8764194966,0.8764194966
-34.1762322424,-53.1297940904,0.8771352988,0.8771352988
-34.4192147679,-53.5062215827,0.8781738157,0.8781738157
-34.6622692637,-53.8826031861,0.8795376289,0.8795376289
-34.9052354771,-54.2590367730,0.8812283208,0.8812283208
-35.1476020873,-54.6358347824,0.8832464624,0.8832464624
-35.3888120638,-55.0133376169,0.8855916041,0.8855916041
-35.6283080177,-55.3918858582,0.8882622708,0.8882622708
-35.8655328286,-55.7718199986,0.8912559609,0.8912559609
-36.0999291974,-56.1534804405,0.8945691491,0.8945691491
-36.3309400039,-56.5372079451,0.8981972931,0.8981972931
-36.5581733998,-56.9232417262,0.9021348447,0.9021348447
-36.7836231330,-57.3103633076,0.9063752643,0.9063752643
-37.0110754871,-57.6962587946,0.9109110390,0.9109110390
-37.2443600356,-58.0785877627,0.9157337056,0.9157337056
-37.4860119618,-58.4558171459,0.9208338754,0.9208338754
-37.7335330982,-58.8295532353,0.9262012648,0.9262012648
-37.9832018717,-59.2021654049,0.9318247270,0.9318247270
-38.2313993319,-59.5759469351,0.9376922895,0.9376922895
-38.4782908402,-59.9503819342,0.9437911921,0.9437911921
-38.7288373289,-60.3213952515,0.9501079306,0.9501079306
-38.9883084050,-60.6846825603,0.9566283009,0.9566283009
-39.2619737653,-61.0359393550,0.9633374475,0.9633374475
-39.5551030166,-61.3708612193,0.9702199139,0.9702199139
-39.8729657662,-61.6851437371,0.9772596942,0.9772596942
-40.2208086765,-61.9744453869,0.9844402893,0.9844402893
-40.5995849284,-62.2274893260,0.9917447616,0.9917447616
-41.0009661318,-62.4180184010,0.9991557942,0.9991557942
-41.4195823874,-62.5268606351,1.0066557493,1.0066557493
-41.8583996249,-62.5559643355,1.0142267295,1.0142267295
-42.3116114623,-62.5313935099,1.0218506378,1.0218506378
-42.7659719567,-62.4915613934,1.0295092402,1.0295092402
-43.2070597992,-62.4244332591,1.0371842285,1.0371842285
-43.6234745520,-62.2921750407,1.0448572803,1.0448572803
-44.0181563323,-62.1010040586,1.0525101235,1.0525101235
-44.3974701657,-61.8678556532,1.0601245965,1.0601245965
-44.7677808089,-61.6096649854,1.0676827088,1.0676827088
-45.1350788269,-61.3422426687,1.0751667019,1.0751667019
-45.5039561585,-61.0771996744,1.0825591080,1.0825591080
-45.8786788597,-60.8251671736,1.0898428064,1.0898428064
-46.2634480964,-60.5966342789,1.0970010801,1.0970010801
-46.6602614706,-60.3972534830,1.1040176695,1.1040176695
-47.0684223132,-60.2267634343,1.1108768239,1.1108768239
-47.4870701174,-60.0845425709,1.1175633509,1.1175633509
-47.9153441076,-59.9699693311,1.1240626637,1.1240626637
-48.3523835978,-59.8824221530,1.1303608249,1.1303608249
-48.7973279017,-59.8212794750,1.1364445887,1.1364445887
-49.2493019036,-59.7859401701,1.1423014386,1.1423014386
-49.7051743123,-59.7789923014,1.1479196227,1.1479196227
-50.1571328983,-59.8096401817,1.1532881865,1.1532881865
-50.5967837545,-59.8879106287,1.1583970002,1.1583970002
-51.0163044341,-60.0227870249,1.1632367852,1.1632367852
-51.4155207921,-60.2092900645,1.1677991345,1.1677991345
-51.7997147145,-60.4324809337,1.1720765309,1.1720765309
-52.1742852293,-60.6772060729,1.1760623616,1.1760623616
-52.5438141477,-60.9308097313,1.1797509278,1.1797509278
-52.9099074024,-61.1897294234,1.1831374521,1.1831374521
-53.2734936166,-61.4524725048,1.1862180805,1.1862180805
-53.6355014134,-61.7175460618,1.1889898824,1.1889898824
-53.9968594159,-61.9834571812,1.1914508451,1.1914508451
