# 4753e3f7-b3ee-4240-9d80-94def73d981e
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1122313; 0.0380819; 2.5754060; -0.0008756; 6.8753690; -0.0108090
0.1999834; -0.2194977; -0.1306499; 2.5752380; -0.0008051; 6.8750546; -0.0066074
0.3999668; -0.3268025; -0.2993822; 2.5750840; -0.0007347; 6.8748624; -0.0027463
0.5999502; -0.4341435; -0.4681166; 2.5749441; -0.0006643; 6.8747825; 0.0008020
0.7999335; -0.5415183; -0.6368546; 2.5748183; -0.0005939; 6.8748058; 0.0040631
0.9999169; -0.6489238; -0.8055965; 2.5747065; -0.0005242; 6.8749240; 0.0070335
1.1999003; -0.7563027; -0.9742573; 2.5746051; -0.0004899; 6.8751286; 0.0080863
1.3998837; -0.8637095; -1.1429254; 2.5745106; -0.0004557; 6.8753638; 0.0090537
1.5998671; -0.9711431; -1.3116016; 2.5744229; -0.0004215; 6.8756272; 0.0099427
1.7998505; -1.0786021; -1.4802864; 2.5743420; -0.0003873; 6.8759164; 0.0107595
1.9998339; -1.1860837; -1.6489777; 2.5742679; -0.0003538; 6.8762293; 0.0114822
2.1998172; -1.2935349; -1.8175948; 2.5741986; -0.0003401; 6.8765632; 0.0112053
2.3998006; -1.4010084; -1.9862217; 2.5741319; -0.0003265; 6.8768891; 0.0109505
2.5997840; -1.5085038; -2.1548586; 2.5740680; -0.0003128; 6.8772075; 0.0107158
2.7997674; -1.6160206; -2.3235057; 2.5740068; -0.0002992; 6.8775191; 0.0104998
2.9997508; -1.7235562; -2.4921600; 2.5739483; -0.0002857; 6.8778244; 0.0102926
3.1997342; -1.8310609; -2.6607446; 2.5738921; -0.0002766; 6.8781237; 0.0098996
3.3997176; -1.9385855; -2.8293399; 2.5738377; -0.0002674; 6.8784115; 0.0095379
3.5997010; -2.0461297; -2.9979459; 2.5737851; -0.0002583; 6.8786888; 0.0092051
3.7996843; -2.1536930; -3.1665628; 2.5737344; -0.0002491; 6.8789564; 0.0088989
3.9996677; -2.2612727; -3.3351868; 2.5736855; -0.0002400; 6.8792151; 0.0086138
4.1996511; -2.3688217; -3.5037449; 2.5736382; -0.0002324; 6.8794655; 0.0082856
4.3996345; -2.4763888; -3.6723140; 2.5735926; -0.0002247; 6.8797064; 0.0079836
4.5996179; -2.5839737; -3.8408943; 2.5735484; -0.0002170; 6.8799385; 0.0077057
4.7996013; -2.6915759; -4.0094856; 2.5735058; -0.0002093; 6.8801625; 0.0074500
4.9995847; -2.7991926; -4.1780840; 2.5734646; -0.0002018; 6.8803790; 0.0072108
5.1995680; -2.9067790; -4.3466199; 2.5734249; -0.0001956; 6.8805886; 0.0069223
5.3995514; -3.0143818; -4.5151671; 2.5733864; -0.0001895; 6.8807898; 0.0066568
5.5995348; -3.1220009; -4.6837256; 2.5733491; -0.0001834; 6.8809832; 0.0064126
5.7995182; -3.2296358; -4.8522953; 2.5733131; -0.0001772; 6.8811696; 0.0061878
5.9995016; -3.3372836; -5.0208721; 2.5732782; -0.0001712; 6.8813494; 0.0059772
6.1994850; -3.4449017; -5.1893895; 2.5732445; -0.0001665; 6.8815231; 0.0057206
6.3994684; -3.5525348; -5.3579181; 2.5732117; -0.0001618; 6.8816894; 0.0054845
6.5994517; -3.6601829; -5.5264581; 2.5731798; -0.0001571; 6.8818488; 0.0052673
6.7994351; -3.7678455; -5.6950093; 2.5731488; -0.0001523; 6.8820018; 0.0050674
6.9994185; -3.8755199; -5.8635675; 2.5731188; -0.0001477; 6.8821491; 0.0048802
7.1994019; -3.9831652; -6.0320691; 2.5730897; -0.0001442; 6.8822909; 0.0046550
7.3993853; -4.0908244; -6.2005819; 2.5730612; -0.0001407; 6.8824262; 0.0044478
7.5993687; -4.1984974; -6.3691059; 2.5730334; -0.0001372; 6.8825554; 0.0042572
7.7993521; -4.3061840; -6.5376409; 2.5730063; -0.0001337; 6.8826791; 0.0040818
7.9993354; -4.4138816; -6.7061830; 2.5729799; -0.0001302; 6.8827977; 0.0039179
8.1993188; -4.5215506; -6.8746710; 2.5729541; -0.0001276; 6.8829115; 0.0037253
8.3993022; -4.6292328; -7.0431699; 2.5729289; -0.0001251; 6.8830198; 0.0035481
8.5992856; -4.7369278; -7.2116797; 2.5729041; -0.0001225; 6.8831229; 0.0033851
8.7992690; -4.8446355; -7.3802003; 2.5728799; -0.0001199; 6.8832212; 0.0032352
8.9992524; -4.9523536; -7.5487281; 2.5728562; -0.0001174; 6.8833152; 0.0030954
9.1992358; -5.0600440; -7.7172039; 2.5728329; -0.0001155; 6.8834051; 0.0029360
9.3992191; -5.1677467; -7.8856904; 2.5728100; -0.0001136; 6.8834904; 0.0027894
9.5992025; -5.2754615; -8.0541874; 2.5727874; -0.0001118; 6.8835715; 0.0026544
9.7991859; -5.3831883; -8.2226949; 2.5727653; -0.0001099; 6.8836486; 0.0025303
9.9991693; -5.4909250; -8.3912097; 2.5727435; -0.0001080; 6.8837221; 0.0024150
10.1991527; -5.5986349; -8.5596746; 2.5727220; -0.0001066; 6.8837923; 0.0022877
10.3991361; -5.7063564; -8.7281496; 2.5727008; -0.0001052; 6.8838587; 0.0021706
10.5991195; -5.8140894; -8.8966349; 2.5726799; -0.0001038; 6.8839218; 0.0020628
10.7991029; -5.9218338; -9.0651302; 2.5726593; -0.0001024; 6.8839817; 0.0019637
10.9990862; -6.0295878; -9.2336330; 2.5726390; -0.0001010; 6.8840387; 0.0018719
11.1990696; -6.1373158; -9.4020877; 2.5726189; -0.0000999; 6.8840931; 0.0017740
11.3990530; -6.2450549; -9.5705522; 2.5725990; -0.0000988; 6.8841447; 0.0016840
11.5990364; -6.3528049; -9.7390264; 2.5725793; -0.0000977; 6.8841936; 0.0016012
11.7990198; -6.4605656; -9.9075102; 2.5725599; -0.0000966; 6.8842401; 0.0015249
11.9990032; -6.5683359; -10.0760017; 2.5725407; -0.0000955; 6.8842844; 0.0014546
12.1989866; -6.6760810; -10.2444469; 2.5725217; -0.0000946; 6.8843266; 0.0013824
12.3989699; -6.7838367; -10.4129015; 2.5725029; -0.0000936; 6.8843668; 0.0013160
12.5989533; -6.8916027; -10.5813653; 2.5724842; -0.0000927; 6.8844050; 0.0012548
12.7989367; -6.9993789; -10.7498382; 2.5724658; -0.0000918; 6.8844415; 0.0011986
12.9989201; -7.1071645; -10.9183189; 2.5724475; -0.0000908; 6.8844763; 0.0011468
13.1989035; -7.2149260; -11.0867552; 2.5724294; -0.0000900; 6.8845096; 0.0010959
13.3988869; -7.3226974; -11.2552003; 2.5724115; -0.0000891; 6.8845414; 0.0010491
13.5988703; -7.4304786; -11.4236542; 2.5723938; -0.0000882; 6.8845719; 0.0010060
13.7988536; -7.5382695; -11.5921167; 2.5723763; -0.0000874; 6.8846011; 0.0009663
13.9988370; -7.6460697; -11.7605872; 2.5723589; -0.0000865; 6.8846292; 0.0009298
14.1988204; -7.7538467; -11.9290150; 2.5723417; -0.0000856; 6.8846562; 0.0008958
14.3988038; -7.8616331; -12.0974511; 2.5723246; -0.0000848; 6.8846822; 0.0008644
14.5987872; -7.9694288; -12.2658955; 2.5723077; -0.0000839; 6.8847073; 0.0008356
14.7987706; -8.0772337; -12.4343481; 2.5722910; -0.0000831; 6.8847316; 0.0008091
14.9987540; -8.1850477; -12.6028087; 2.5722745; -0.0000822; 6.8847551; 0.0007846
15.1987373; -8.2928396; -12.7712286; 2.5722582; -0.0000813; 6.8847779; 0.0007632
15.3987207; -8.4006403; -12.9396563; 2.5722420; -0.0000805; 6.8848001; 0.0007436
15.5987041; -8.5084497; -13.1080917; 2.5722260; -0.0000796; 6.8848217; 0.0007254
15.7986875; -8.6162679; -13.2765347; 2.5722102; -0.0000787; 6.8848428; 0.0007087
15.9986709; -8.7240946; -13.4449853; 2.5721945; -0.0000778; 6.8848633; 0.0006934
16.1986543; -8.8319010; -13.6133984; 2.5721790; -0.0000769; 6.8848835; 0.0006809
