# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.8988490961,0.8988490961
-0.1706322774,0.3552331239,0.8970281395,0.8970281395
-0.3407710916,0.7107420392,0.8950678857,0.8950678857
-0.5104794446,1.0664871332,0.8929807095,0.8929807095
-0.6798202596,1.4224287935,0.8907790997,0.8907790997
-0.8488564599,1.7785275650,0.8884756028,0.8884756028
-1.0176508900,2.1347436778,0.8860827691,0.8860827691
-1.1862665519,2.4910377555,0.8836130973,0.8836130973
-1.3547662901,2.8473700283,0.8810789818,0.8810789818
-1.5232131853,3.2037011197,0.8784926607,0.8784926607
-1.6916700034,3.5599912598,0.8758661643,0.8758661643
-1.8601997463,3.9162009937,0.8732112672,0.8732112672
-2.0288654160,4.2722907874,0.8705394406,0.8705394406
-2.1977297783,4.6282208711,0.8678618073,0.8678618073
-2.3668558352,4.9839518684,0.8651890987,0.8651890987
-2.5363095813,5.3394478682,0.8625316157,0.8625316157
-2.7061664615,5.6946853235,0.8598991890,0.8598991890
-2.8765039683,6.0496426562,0.8573011467,0.8573011467
-3.0473994366,6.4042985242,0.8547462802,0.8547462802
-3.2189301227,6.7586315069,0.8522428171,0.8522428171
-3.3911735190,7.1126201837,0.8497983947,0.8497983947
-3.5642069605,7.4662430550,0.8474200373,0.8474200373
-3.7381077034,7.8194787003,0.8451141384,0.8451141384
-3.9129532401,8.1723057775,0.8428864443,0.8428864443
-4.0888209057,8.5247028661,0.8407420421,0.8407420421
-4.2657880351,8.8766483877,0.8386853514,0.8386853514
-4.4439319632,9.2281211580,0.8367201192,0.8367201192
-4.6233301039,9.5790995200,0.8348494185,0.8348494185
-4.8040597920,9.9295622106,0.8330756499,0.8330756499
-4.9861326041,10.2795061584,0.8314005477,0.8314005477
-5.1693618182,10.6289837339,0.8298251884,0.8298251884
-5.3535231469,10.9780579390,0.8283500032,0.8283500032
-5.5383923032,11.3267916970,0.8269747930,0.8269747930
-5.7237450000,11.6752477736,0.8256987478,0.8256987478
-5.9093571862,12.0234892496,0.8245204680,0.8245204680
-6.0950044961,12.3715789696,0.8234379888,0.8234379888
-6.2804626424,12.7195797779,0.8224488082,0.8224488082
-6.4655074956,13.0675546767,0.8215499164,0.8215499164
-6.6499147684,13.4155665104,0.8207378289,0.8207378289
-6.8334602526,13.7636782023,0.8200086204,0.8200086204
-7.0159196608,14.1119527544,0.8193579621,0.8193579621
-7.1970687060,14.4604529325,0.8187811602,0.8187811602
-7.3766832585,14.8092417384,0.8182731963,0.8182731963
-7.5546169962,15.1583851670,0.8178287689,0.8178287689
-7.7315182885,15.5079803987,0.8174423364,0.8174423364
-7.9084995934,15.8581431210,0.8171081610,0.8171081610
-8.0866794327,16.2089891000,0.8168203535,0.8168203535
-8.2671762496,16.5606341021,0.8165729178,0.8165729178
-8.4511084873,16.9131938933,0.8163597976,0.8163597976
-8.6395945102,17.2667844761,0.8161749207,0.8161749207
-8.8330758048,17.6215565829,0.8160122443,0.8160122443
-9.0170209579,17.9784400444,0.8158658008,0.8158658008
-9.1622495654,18.3391261497,0.8157297406,0.8157297406
-9.2389690013,18.7053380824,0.8155983767,0.8155983767
-9.2245991882,19.0779939393,0.8154662248,0.8154662248
-9.1342372974,19.4538058030,0.8153280467,0.8153280467
-8.9952426598,19.8281171952,0.8151788864,0.8151788864
-8.8348176528,20.1963196764,0.8150141097,0.8150141097
-8.6704029649,20.5567400707,0.8148294390,0.8148294390
-8.5043303791,20.9122474896,0.8146209856,0.8146209856
-8.3376345459,21.2661010271,0.8143852819,0.8143852819
-8.1712018248,21.6212594936,0.8141193089,0.8141193089
-8.0045671036,21.9779448926,0.8138205219,0.8138205219
-7.8365424793,22.3349162420,0.8134868739,0.8134868739
-7.6659342214,22.6909194080,0.8131168355,0.8131168355
-7.4920053639,23.0450960670,0.8127094117,0.8127094117
-7.3152322019,23.3976389264,0.8122641561,0.8122641561
-7.1362901958,23.7489132404,0.8117811813,0.8117811813
-6.9558548059,24.0992842630,0.8112611668,0.8112611668
-6.7746012561,24.4491172486,0.8107053630,0.8107053630
-6.5932051642,24.7987772936,0.8101155920,0.8101155920
-6.4123417544,25.1486297310,0.8094942452,0.8094942452
-6.2324603883,25.4989231824,0.8088442778,0.8088442778
-6.0529388425,25.8493535845,0.8081691996,0.8081691996
-5.8728377569,26.1994533835,0.8074730628,0.8074730628
-5.6912178505,26.5487551046,0.8067604461,0.8067604461
-5.5071396844,26.8967911154,0.8060364368,0.8060364368
-5.3196638200,27.2430937833,0.8053066085,0.8053066085
-5.1278508973,27.5871957124,0.8045769966,0.8045769966
-4.9308260547,27.9286434456,0.8038540718,0.8038540718
-4.7282781410,28.2671084275,0.8031447085,0.8031447085
-4.5201874681,28.6023264433,0.8024561532,0.8024561532
-4.3065368680,28.9340337509,0.8017959894,0.8017959894
-4.0873091725,29.2619667658,0.8011720998,0.8011720998
-3.8624870562,29.5858618244,0.8005926280,0.8005926280
-3.6320534297,29.9054552633,0.8000659367,0.8000659367
-3.3960590885,30.2205750872,0.7996005649,0.7996005649
-3.1548683416,30.5314712564,0.7992051848,0.7992051848
-2.9089355123,30.8385150102,0.7988885548,0.7988885548
-2.6587150812,31.1420776668,0.7986594754,0.7986594754
-2.4046613718,31.4425305443,0.7985267402,0.7985267402
-2.1472288646,31.7402449608,0.7984990892,0.7984990892
-1.8868719616,32.0355922342,0.7985851611,0.7985851611
-1.6240449862,32.3289436041,0.7987934459,0.7987934459
-1.3592024190,32.6206704671,0.7991322360,0.7991322360
-1.0927985833,32.9111439840,0.7996095804,0.7996095804
-0.8252879598,33.2007355514,0.8002332375,0.8002332375
-0.5571248717,33.4898164876,0.8010106300,0.8010106300
-0.2887637998,33.7787581106,0.8019488001,0.8019488001
-0.0206591461,34.0679316597,0.8030543673,0.8030543673
0.2467538243,34.3576923876,0.8043334865,0.8043334865
0.5133706068,34.6481162116,0.8057918085,0.8057918085
0.7793675283,34.9390422404,0.8074344431,0.8074344431
1.0449297359,35.2303019435,0.8092659234,0.8092659234
1.3102423768,35.5217269482,0.8112901732,0.8112901732
1.5754906770,35.8131487240,0.8135104772,0.8135104772
1.8408597047,36.1043988981,0.8159294527,0.8159294527
2.1065346072,36.3953089401,0.8185490262,0.8185490262
2.3727006891,36.6857104772,0.8213704113,0.8213704113
2.6395429400,36.9754350576,0.8243940908,0.8243940908
2.9072466647,37.2643141511,0.8276198010,0.8276198010
3.1759969315,37.5521793848,0.8310465216,0.8310465216
3.4459788875,37.8388622283,0.8346724661,0.8346724661
3.7173777587,38.1241943875,0.8384950784,0.8384950784
3.9903685332,38.4080165460,0.8425110305,0.8425110305
4.2649567236,38.6903263413,0.8467162266,0.8467162266
4.5410075844,38.9712506437,0.8511058079,0.8511058079
4.8183819598,39.2509202611,0.8556741633,0.8556741633
5.0969409306,39.5294661589,0.8604149421,0.8604149421
5.3765454196,39.8070191451,0.8653210714,0.8653210714
5.6570564289,40.0837100275,0.8703847761,0.8703847761
5.9383348813,40.3596696929,0.8755976026,0.8755976026
6.2202418575,40.6350291066,0.8809504462,0.8809504462
6.5026382019,40.9099189979,0.8864335809,0.8864335809
6.7853849949,41.1844703321,0.8920366930,0.8920366930
7.0683431596,41.4588138385,0.8977489173,0.8977489173
7.3513736979,41.7330804824,0.9035588760,0.9035588760
7.6343375328,42.0074010717,0.9094547203,0.9094547203
7.9170959024,42.2819064145,0.9154241748,0.9154241748
8.1995552488,42.5566847922,0.9214545837,0.9214545837
8.4817288023,42.8317254945,0.9275329590,0.9275329590
8.7636448350,43.1070036357,0.9336460307,0.9336460307
9.0453318555,43.3824941723,0.9397802987,0.9397802987
9.3268180570,43.6581721400,0.9459220864,0.9459220864
9.6081320269,43.9340127315,0.9520575946,0.9520575946
9.8893019583,44.2099908250,0.9581729565,0.9581729565
10.1703563599,44.4860814558,0.9642542940,0.9642542940
10.4513235824,44.7622598169,0.9702877743,0.9702877743
10.7322319768,45.0385008650,0.9762596655,0.9762596655
11.0131099727,45.3147795568,0.9821563936,0.9821563936
11.2939859211,45.5910710852,0.9879645981,0.9879645981
11.5748881728,45.8673504070,0.9936711873,0.9936711873
11.8558449212,46.1435927152,0.9992633933,0.9992633933
12.1368331706,46.4198221079,1.0047288244,1.0047288244
12.4177132141,46.6961738820,1.0100555181,1.0100555181
12.6983289642,46.9727986911,1.0152319904,1.0152319904
12.9785243333,47.2498475037,1.0202472847,1.0202472847
13.2581432341,47.5274710521,1.0250910186,1.0250910186
13.5370298153,47.8058200686,1.0297534273,1.0297534273
13.8150278319,48.0850454431,1.0342254060,1.0342254060
14.0919813540,48.3652979866,1.0384985476,1.0384985476
14.3677342940,48.6467284314,1.0425651803,1.0425651803
14.6421305645,48.9294875885,1.0464183988,1.0464183988
14.9150142356,49.2137262691,1.0500520963,1.0500520963
15.1862291409,49.4995952054,1.0534609884,1.0534609884
15.4556193506,49.7872453659,1.0566406381,1.0566406381
15.7230287771,50.0768274044,1.0595874739,1.0595874739
15.9884150517,50.3683745542,1.0622988063,1.0622988063
16.2525734171,50.6610541651,1.0647728389,1.0647728389
16.5166733481,50.9536466757,1.0670086772,1.0670086772
16.7818860521,51.2449305559,1.0690063320,1.0690063320
17.0493828151,51.5336845117,1.0707667206,1.0707667206
17.3203346871,51.8186870916,1.0722916625,1.0722916625
17.5959130328,52.0987168442,1.0735838718,1.0735838718
17.8781423431,52.3712703060,1.0746469466,1.0746469466
18.1815219789,52.6150997345,1.0754853522,1.0754853522
18.5279818369,52.7955725319,1.0761044040,1.0761044040
18.9105040445,52.8895554632,1.0765102431,1.0765102431
