# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.7323943824,0.7323943824
0.0073712883,-0.3640844678,0.7284041172,0.7284041172
0.0147546727,-0.7281690813,0.7246394184,0.7246394184
0.0221490602,-1.0922537676,0.7211008625,0.7211008625
0.0295535036,-1.4563385997,0.7177878149,0.7177878149
0.0369669826,-1.8204235047,0.7146984819,0.7146984819
0.0443884771,-2.1845084097,0.7118299704,0.7118299704
0.0518169671,-2.5485933875,0.7091783522,0.7091783522
0.0592514322,-2.9126782196,0.7067387362,0.7067387362
0.0666909252,-3.2767630517,0.7045053459,0.7045053459
0.0741343531,-3.6408477381,0.7024715995,0.7024715995
0.0815807686,-4.0049322787,0.7006301986,0.7006301986
0.0890291516,-4.3690166008,0.6989732160,0.6989732160
0.0964784819,-4.7331007771,0.6974921898,0.6974921898
0.1039277392,-5.0971846619,0.6961782194,0.6961782194
0.1113759765,-5.4612682552,0.6950220612,0.6950220612
0.1188221005,-5.8253515571,0.6940142290,0.6940142290
0.1262650912,-6.1894344946,0.6931450914,0.6931450914
0.1337040742,-6.5535170678,0.6924049711,0.6924049711
0.1411378835,-6.9175991309,0.6917842425,0.6917842425
0.1485655718,-7.2816808297,0.6912734274,0.6912734274
0.1559861191,-7.6457620184,0.6908632897,0.6908632897
0.1633985051,-8.0098426241,0.6905449258,0.6905449258
0.1708017826,-8.3739227198,0.6903098524,0.6903098524
0.1781949313,-8.7380022325,0.6901500899,0.6901500899
0.1855768584,-9.1020810165,0.6900582408,0.6900582408
0.1929466164,-9.4661592176,0.6900275641,0.6900275641
0.2003031853,-9.8302366900,0.6900520426,0.6900520426
0.2076455448,-10.1943134337,0.6901264450,0.6901264450
0.2149727477,-10.5583894488,0.6902463810,0.6902463810
0.2222837010,-10.9224645894,0.6904083494,0.6904083494
0.2295773845,-11.2865389284,0.6906097794,0.6906097794
0.2368528509,-11.6506123931,0.6908490637,0.6908490637
0.2441090800,-12.0146849104,0.6911255850,0.6911255850
0.2513450518,-12.3787565534,0.6914397324,0.6914397324
0.2585597460,-12.7428271762,0.6917929119,0.6917929119
0.2657521425,-13.1068967788,0.6921875473,0.6921875473
0.2729212940,-13.4709652884,0.6926270741,0.6926270741
0.2800661075,-13.8350327778,0.6931159236,0.6931159236
0.2871856356,-14.1990991742,0.6936595004,0.6936595004
0.2942788583,-14.5631643319,0.6942641512,0.6942641512
0.3013446825,-14.9272283236,0.6949371263,0.6949371263
0.3083822338,-15.2912911495,0.6956865328,0.6956865328
0.3153904191,-15.6553526638,0.6965212815,0.6965212815
0.3223682912,-16.0194129392,0.6974510265,0.6974510265
0.3293146842,-16.3834718302,0.6984860976,0.6984860976
0.3362287965,-16.7475294095,0.6996374283,0.6996374283
0.3431094622,-17.1115855315,0.7009164767,0.7009164767
0.3499558070,-17.4756402690,0.7023351414,0.7023351414
0.3567666649,-17.8396935491,0.7039056740,0.7039056740
0.3635411614,-18.2037452990,0.7056405863,0.7056405863
0.3702898626,-18.5677950814,0.7075525545,0.7075525545
0.3772090028,-18.9318342251,0.7096543216,0.7096543216
0.3846423021,-19.2958480834,0.7119585962,0.7119585962
0.3929379252,-19.6598214999,0.7144779500,0.7144779500
0.4024438914,-20.0237395363,0.7172247164,0.7172247164
0.4135082200,-20.3875871820,0.7202108862,0.7202108862
0.4264789300,-20.7513494260,0.7234480059,0.7234480059
0.4417040406,-21.1150111845,0.7269470769,0.7269470769
0.4595317169,-21.4785574467,0.7307184555,0.7307184555
0.4803098322,-21.8419732746,0.7347717570,0.7347717570
0.5043865514,-22.2052436573,0.7391157619,0.7391157619
0.5321098209,-22.5683534382,0.7437583272,0.7437583272
0.5638277327,-22.9312877521,0.7487063004,0.7487063004
0.5998834239,-23.2940178160,0.7539654404,0.7539654404
0.6405816297,-23.6564075120,0.7595403430,0.7595403430
0.6862091601,-24.0182705155,0.7654343736,0.7654343736
0.7370527519,-24.3794199924,0.7716496043,0.7716496043
0.7933990691,-24.7396691080,0.7781867608,0.7781867608
0.8555347030,-25.0988312466,0.7850451757,0.7850451757
0.9237463904,-25.4567195009,0.7922227493,0.7922227493
0.9983207954,-25.8131472552,0.7997159182,0.7997159182
1.0795446550,-26.1679276749,0.8075196351,0.8075196351
1.1677045602,-26.5208739256,0.8156273531,0.8156273531
1.2630871751,-26.8717993916,0.8240310222,0.8240310222
1.3659792366,-27.2205171655,0.8327210938,0.8327210938
1.4766650771,-27.5668399028,0.8416865332,0.8416865332
1.5953272316,-27.9105484885,0.8509148421,0.8509148421
1.7220089111,-28.2513807423,0.8603920902,0.8603920902
1.8567434893,-28.5890713506,0.8701029549,0.8701029549
1.9995641213,-28.9233550725,0.8800307701,0.8800307701
2.1505040351,-29.2539665216,0.8901575833,0.8901575833
2.3095964586,-29.5806404572,0.9004642214,0.9004642214
2.4767927887,-29.9031790417,0.9109303625,0.9109303625
2.6516966215,-30.2216708831,0.9215346185,0.9215346185
2.8338187920,-30.5362808094,0.9322546212,0.9322546212
3.0226704992,-30.8471738675,0.9430671173,0.9430671173
3.2177626510,-31.1545147398,0.9539480685,0.9539480685
3.4186063736,-31.4584684732,0.9648727575,0.9648727575
3.6247270027,-31.7591888198,0.9758158987,0.9758158987
3.8358832712,-32.0566512958,0.9867517533,0.9867517533
4.0520244627,-32.3506856079,0.9976542484,0.9976542484
4.2731054718,-32.6411173094,1.0084970988,1.0084970988
4.4990811200,-32.9277718077,1.0192539303,1.0192539303
4.7299061562,-33.2104748018,1.0298984073,1.0298984073
4.9655355477,-33.4890516261,1.0404043575,1.0404043575
5.2059240432,-33.7633279069,1.0507459006,1.0507459006
5.4510265374,-34.0331290515,1.0608975730,1.0608975730
5.7007977788,-34.2982806860,1.0708344543,1.0708344543
5.9551926620,-34.5586082179,1.0805322891,1.0805322891
6.2141660816,-34.8139372733,1.0899676084,1.0899676084
6.4776727134,-35.0640934053,1.0991178457,1.0991178457
6.7456607480,-35.3089525920,1.1079614500,1.1079614500
7.0180622721,-35.5485106071,1.1164779941,1.1164779941
7.2948072593,-35.7827809312,1.1246482767,1.1246482767
7.5758253188,-36.0117770449,1.1324544195,1.1324544195
7.8610463511,-36.2355124290,1.1398799568,1.1398799568
8.1504001113,-36.4540003454,1.1469099185,1.1469099185
8.4438164270,-36.6672543476,1.1535309048,1.1535309048
8.7412251262,-36.8752879163,1.1597311546,1.1597311546
9.0425559637,-37.0781144593,1.1655006030,1.1655006030
9.3477386945,-37.2757473843,1.1708309313,1.1708309313
9.6567032920,-37.4682000991,1.1757156078,1.1757156078
9.9693793655,-37.6554861572,1.1801499196,1.1801499196
10.2856963784,-37.8376156145,1.1841309933,1.1841309933
10.6055605491,-38.0144474707,1.1876578071,1.1876578071
10.9288462527,-38.1856302818,1.1907311934,1.1907311934
11.2554256052,-38.3507969371,1.1933538303,1.1933538303
11.5851705041,-38.5095802532,1.1955302244,1.1955302244
11.9179529925,-38.6616132649,1.1972666831,1.1972666831
12.2536450408,-38.8065287888,1.1985712773,1.1985712773
12.5921186193,-38.9439597141,1.1994537955,1.1994537955
12.9332458442,-39.0735390032,1.1999256874,1.1999256874
13.2768986856,-39.1948995451,1.2000000000,1.2000000000
13.6229490411,-39.3076743022,1.1996913039,1.1996913039
13.9712690268,-39.4114960180,1.1990156124,1.1990156124
14.3217306129,-39.5059978005,1.1979902928,1.1979902928
14.6742013248,-39.5909463980,1.1966339702,1.1966339702
15.0285291593,-39.6666931817,1.1949664245,1.1949664245
15.3845570849,-39.7337488858,1.1930084827,1.1930084827
15.7421277062,-39.7926240987,1.1907819036,1.1907819036
16.1010838460,-39.8438296275,1.1883092597,1.1883092597
16.4612682545,-39.8878760607,1.1856138137,1.1856138137
16.8225236819,-39.9252740595,1.1827193926,1.1827193926
17.1846930240,-39.9565343582,1.1796502583,1.1796502583
17.5476188852,-39.9821676180,1.1764309761,1.1764309761
17.9111441613,-40.0026845003,1.1730862831,1.1730862831
18.2751116025,-40.0185957392,1.1696409550,1.1696409550
18.6393638861,-40.0304119233,1.1661196738,1.1661196738
19.0037439807,-40.0386436409,1.1625468960,1.1625468960
19.3681351513,-40.0437438416,1.1589467228,1.1589467228
19.7325191079,-40.0460256408,1.1553427737,1.1553427737
20.0968920615,-40.0457808760,1.1517580615,1.1517580615
20.4612505142,-40.0433016765,1.1482148733,1.1482148733
20.8255907498,-40.0388799529,1.1447346534,1.1447346534
21.1899092707,-40.0328078342,1.1413378951,1.1413378951
21.5542023605,-40.0253772311,1.1380440345,1.1380440345
21.9184663758,-40.0168801999,1.1348713539,1.1348713539
22.2826977462,-40.0076087969,1.1318368897,1.1318368897
22.6468928281,-39.9978549325,1.1289563498,1.1289563498
23.0110479781,-39.9879107361,1.1262440373,1.1262440373
23.3751596258,-39.9780680453,1.1237127841,1.1237127841
23.7392247834,-39.9685953798,1.1213738912,1.1213738912
24.1032461472,-39.9595653896,1.1192370803,1.1192370803
24.4672293280,-39.9509539551,1.1173104525,1.1173104525
24.8311797909,-39.9427363739,1.1156004586,1.1156004586
25.1951031467,-39.9348880895,1.1141118766,1.1141118766
25.5590049336,-39.9273843995,1.1128478012,1.1128478012
25.9228906894,-39.9202005286,1.1118096411,1.1118096411
26.2867659521,-39.9133118473,1.1109971276,1.1109971276
26.6506362599,-39.9066936533,1.1104083313,1.1104083313
27.0145072234,-39.9003212443,1.1100396901,1.1100396901
27.3783843079,-39.8941699177,1.1098860436,1.1098860436
27.7422731970,-39.8882151171,1.1099406802,1.1099406802
28.1061792102,-39.8824319943,1.1101953896,1.1101953896
28.4701081041,-39.8767959197,1.1106405254,1.1106405254
28.8340653437,-39.8712822640,1.1112650757,1.1112650757
29.1980565400,-39.8658662519,1.1120567400,1.1120567400
29.5620871581,-39.8605232538,1.1130020148,1.1130020148
29.9261627359,-39.8552286404,1.1140862839,1.1140862839
30.2902888843,-39.8499575634,1.1152939159,1.1152939159
30.6544711414,-39.8446854662,1.1166083667,1.1166083667
31.0187150451,-39.8393875736,1.1180122860,1.1180122860
31.3830261334,-39.8340393290,1.1194876291,1.1194876291
31.7474100172,-39.8286158843,1.1210157710,1.1210157710
32.1118721615,-39.8230926829,1.1225776230,1.1225776230
32.4764181045,-39.8174449494,1.1241537527,1.1241537527
32.8410509794,-39.8116313676,1.1257245030,1.1257245030
33.2057283768,-39.8053141928,1.1272701141,1.1272701141
33.5703693401,-39.7979010781,1.1287708430,1.1287708430
33.9348914551,-39.7887916613,1.1302070830,1.1302070830
34.2992124535,-39.7773853617,1.1315594829,1.1315594829
34.6632499940,-39.7630816712,1.1328090606,1.1328090606
35.0269216626,-39.7452802275,1.1339373166,1.1339373166
35.3901452639,-39.7233804499,1.1349263432,1.1349263432
35.7528382378,-39.6967818303,1.1357589277,1.1357589277
36.1149184619,-39.6648838608,1.1364186529,1.1364186529
36.4763034492,-39.6270861063,1.1368899905,1.1368899905
36.8369110042,-39.5827881317,1.1371583891,1.1371583891
37.1966585671,-39.5313896475,1.1372103555,1.1372103555
37.5554369081,-39.4724533709,1.1370335294,1.1370335294
37.9130687388,-39.4059532879,1.1366167494,1.1366167494
38.2693659129,-39.3319278729,1.1359501130,1.1359501130
38.6241406489,-39.2504152362,1.1350250269,1.1350250269
38.9772048006,-39.1614537064,1.1338342500,1.1338342500
39.3283705135,-39.0650816852,1.1323719270,1.1323719270
39.6774497144,-38.9613373555,1.1306336137,1.1306336137
40.0242544758,-38.8502590462,1.1286162939,1.1286162939
40.3685968703,-38.7318850131,1.1263183857,1.1263183857
40.7102888248,-38.6062535850,1.1237397411,1.1237397411
41.0491424117,-38.4734030176,1.1208816351,1.1208816351
41.3849696308,-38.3333716399,1.1177467471,1.1177467471
41.7175915902,-38.1862049944,1.1143391327,1.1143391327
42.0469067845,-38.0320111449,1.1106641880,1.1106641880
42.3728534212,-37.8709300716,1.1067286059,1.1067286059
42.6953699995,-37.7031020459,1.1025403239,1.1025403239
43.0143950184,-37.5286672666,1.0981084646,1.0981084646
43.3298669043,-37.3477660052,1.0934432706,1.0934432706
43.6417241563,-37.1605385332,1.0885560307,1.0885560307
43.9499052734,-36.9671249764,1.0834590024,1.0834590024
44.2543487549,-36.7676657523,1.0781653261,1.0781653261
44.5549930269,-36.5623009865,1.0726889379,1.0726889379
44.8517766615,-36.3511709506,1.0670444748,1.0670444748
45.1446380849,-36.1344158433,1.0612471779,1.0612471779
45.4335157962,-35.9121760090,1.0553127924,1.0553127924
45.7183482945,-35.6845916465,1.0492574650,1.0492574650
45.9990740062,-35.4518028814,1.0430976390,1.0430976390
46.2756315032,-35.2139501312,1.0368499496,1.0368499496
46.5479592117,-34.9711735945,1.0305311169,1.0305311169
46.8159956309,-34.7236133970,1.0241578417,1.0241578417
47.0796792598,-34.4714098833,1.0177467003,1.0177467003
47.3389485249,-34.2147033249,1.0113140412,1.0113140412
47.5937419979,-33.9536339204,1.0048758849,1.0048758849
47.8439981053,-33.6883418686,0.9984478266,0.9984478266
