# d5535076-e49e-452a-89c2-a716443d3ada
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1505305; 0.0101226; -3.1174524; 0.0002593; 8.0000000; 0.0000000
0.1999026; 0.1553615; -0.1897394; -3.1173978; 0.0002874; 8.0000000; 0.0000000
0.3998051; 0.1602038; -0.3895921; -3.1173375; 0.0003156; 8.0000000; 0.0000000
0.5997077; 0.1650585; -0.5894355; -3.1172716; 0.0003437; 8.0000000; 0.0000000
0.7996103; 0.1699266; -0.7892698; -3.1172001; 0.0003719; 8.0000000; 0.0000000
0.9995128; 0.1748095; -0.9890955; -3.1171230; 0.0003998; 8.0000000; 0.0000000
1.1994154; 0.1797090; -1.1889524; -3.1170418; 0.0004116; 8.0000000; 0.0000000
1.3993179; 0.1846247; -1.3888010; -3.1169584; 0.0004234; 8.0000000; 0.0000000
1.5992205; 0.1895572; -1.5886420; -3.1168726; 0.0004352; 8.0000000; 0.0000000
1.7991231; 0.1945069; -1.7884758; -3.1167844; 0.0004470; 8.0000000; 0.0000000
1.9990256; 0.1994743; -1.9883040; -3.1166938; 0.0004586; 8.0000000; 0.0000000
2.1989282; 0.2044605; -2.1881527; -3.1166019; 0.0004608; 8.0000000; 0.0000000
2.3988308; 0.2094650; -2.3879962; -3.1165096; 0.0004630; 8.0000000; 0.0000000
2.5987333; 0.2144879; -2.5878350; -3.1164168; 0.0004651; 8.0000000; 0.0000000
2.7986359; 0.2195293; -2.7876696; -3.1163236; 0.0004673; 8.0000000; 0.0000000
2.9985385; 0.2245893; -2.9875011; -3.1162300; 0.0004693; 8.0000000; 0.0000000
3.1984410; 0.2296682; -3.1873419; -3.1161364; 0.0004675; 8.0000000; 0.0000000
3.3983436; 0.2347658; -3.3871801; -3.1160431; 0.0004657; 8.0000000; 0.0000000
3.5982462; 0.2398819; -3.5870166; -3.1159502; 0.0004639; 8.0000000; 0.0000000
3.7981487; 0.2450166; -3.7868517; -3.1158576; 0.0004621; 8.0000000; 0.0000000
3.9980513; 0.2501697; -3.9866862; -3.1157654; 0.0004601; 8.0000000; 0.0000000
4.1979538; 0.2553411; -4.1865183; -3.1156740; 0.0004544; 8.0000000; 0.0000000
4.3978564; 0.2605307; -4.3863512; -3.1155837; 0.0004487; 8.0000000; 0.0000000
4.5977590; 0.2657383; -4.5861853; -3.1154946; 0.0004430; 8.0000000; 0.0000000
4.7976615; 0.2709636; -4.7860215; -3.1154066; 0.0004372; 8.0000000; 0.0000000
4.9975641; 0.2762065; -4.9858592; -3.1153198; 0.0004311; 8.0000000; 0.0000000
5.1974667; 0.2814661; -5.1856823; -3.1152347; 0.0004200; 8.0000000; 0.0000000
5.3973692; 0.2867427; -5.3855096; -3.1151519; 0.0004088; 8.0000000; 0.0000000
5.5972718; 0.2920357; -5.5853417; -3.1150713; 0.0003976; 8.0000000; 0.0000000
5.7971744; 0.2973448; -5.7851795; -3.1149929; 0.0003864; 8.0000000; 0.0000000
5.9970769; 0.3026694; -5.9850207; -3.1149168; 0.0003747; 8.0000000; 0.0000000
6.1969795; 0.3080083; -6.1848342; -3.1148437; 0.0003565; 8.0000000; 0.0000000
6.3968821; 0.3133616; -6.3846558; -3.1147743; 0.0003383; 8.0000000; 0.0000000
6.5967846; 0.3187286; -6.5844863; -3.1147085; 0.0003200; 8.0000000; 0.0000000
6.7966872; 0.3241087; -6.7843266; -3.1146463; 0.0003018; 8.0000000; 0.0000000
6.9965897; 0.3295010; -6.9841720; -3.1145878; 0.0002828; 8.0000000; 0.0000000
7.1964923; 0.3349035; -7.1839755; -3.1145339; 0.0002563; 8.0000000; 0.0000000
7.3963949; 0.3403165; -7.3837915; -3.1144854; 0.0002298; 8.0000000; 0.0000000
7.5962974; 0.3457391; -7.5836209; -3.1144421; 0.0002033; 8.0000000; 0.0000000
7.7962000; 0.3511702; -7.7834648; -3.1144041; 0.0001767; 8.0000000; 0.0000000
7.9961026; 0.3566085; -7.9833155; -3.1143714; 0.0001493; 8.0000000; 0.0000000
8.1960051; 0.3620512; -8.1831085; -3.1143451; 0.0001140; 8.0000000; 0.0000000
8.3959077; 0.3674990; -8.3829190; -3.1143259; 0.0000787; 8.0000000; 0.0000000
8.5958103; 0.3729504; -8.5827482; -3.1143137; 0.0000434; 8.0000000; 0.0000000
8.7957128; 0.3784040; -8.7825972; -3.1143085; 0.0000081; 8.0000000; 0.0000000
8.9956154; 0.3838583; -8.9824548; -3.1143104; -0.0000281; 8.0000000; 0.0000000
9.1955179; 0.3893093; -9.1822367; -3.1143203; -0.0000711; 8.0000000; 0.0000000
9.3954205; 0.3947581; -9.3820420; -3.1143389; -0.0001142; 8.0000000; 0.0000000
9.5953231; 0.4002030; -9.5818720; -3.1143660; -0.0001572; 8.0000000; 0.0000000
9.7952256; 0.4056423; -9.7817282; -3.1144017; -0.0002001; 8.0000000; 0.0000000
9.9951282; 0.4110739; -9.9815948; -3.1144460; -0.0002436; 8.0000000; 0.0000000
10.1950308; 0.4164932; -10.1813650; -3.1144994; -0.0002909; 8.0000000; 0.0000000
10.3949333; 0.4219016; -10.3811654; -3.1145623; -0.0003382; 8.0000000; 0.0000000
10.5948359; 0.4272974; -10.5809975; -3.1146346; -0.0003854; 8.0000000; 0.0000000
10.7947385; 0.4326786; -10.7808628; -3.1147164; -0.0004326; 8.0000000; 0.0000000
10.9946410; 0.4380429; -10.9807412; -3.1148076; -0.0004795; 8.0000000; 0.0000000
11.1945436; 0.4433849; -11.1804990; -3.1149079; -0.0005241; 8.0000000; 0.0000000
11.3944462; 0.4487069; -11.3802947; -3.1150171; -0.0005687; 8.0000000; 0.0000000
11.5943487; 0.4540072; -11.5801301; -3.1151352; -0.0006132; 8.0000000; 0.0000000
11.7942513; 0.4592841; -11.7800070; -3.1152623; -0.0006577; 8.0000000; 0.0000000
11.9941538; 0.4645351; -11.9799005; -3.1153982; -0.0007004; 8.0000000; 0.0000000
12.1940564; 0.4697543; -12.1796447; -3.1155412; -0.0007307; 8.0000000; 0.0000000
12.3939590; 0.4749455; -12.3794357; -3.1156903; -0.0007610; 8.0000000; 0.0000000
12.5938615; 0.4801076; -12.5792754; -3.1158454; -0.0007913; 8.0000000; 0.0000000
12.7937641; 0.4852393; -12.7791657; -3.1160067; -0.0008215; 8.0000000; 0.0000000
12.9936667; 0.4903388; -12.9790782; -3.1161739; -0.0008480; 8.0000000; 0.0000000
13.1935692; 0.4953998; -13.1788075; -3.1163432; -0.0008469; 8.0000000; 0.0000000
13.3934718; 0.5004285; -13.3785931; -3.1165123; -0.0008457; 8.0000000; 0.0000000
13.5933744; 0.5054248; -13.5784373; -3.1166813; -0.0008444; 8.0000000; 0.0000000
13.7932769; 0.5103888; -13.7783422; -3.1168500; -0.0008431; 8.0000000; 0.0000000
13.9931795; 0.5153199; -13.9782781; -3.1170185; -0.0008364; 8.0000000; 0.0000000
14.1930820; 0.5202124; -14.1779902; -3.1171799; -0.0007797; 8.0000000; 0.0000000
14.3929846; 0.5250753; -14.3777691; -3.1173300; -0.0007230; 8.0000000; 0.0000000
14.5928872; 0.5299110; -14.5776169; -3.1174689; -0.0006664; 8.0000000; 0.0000000
14.7927897; 0.5347218; -14.7775360; -3.1175965; -0.0006099; 8.0000000; 0.0000000
14.9926923; 0.5395092; -14.9774997; -3.1177128; -0.0005469; 8.0000000; 0.0000000
15.1925949; 0.5442688; -15.1771918; -3.1178078; -0.0004048; 8.0000000; 0.0000000
15.3924974; 0.5490140; -15.3769613; -3.1178745; -0.0002630; 8.0000000; 0.0000000
15.5924000; 0.5537507; -15.5768103; -3.1179130; -0.0001215; 8.0000000; 0.0000000
15.7923026; 0.5584844; -15.7767410; -3.1179231; 0.0000198; 8.0000000; 0.0000000
15.9922051; 0.5632204; -15.9767361; -3.1179050; 0.0001658; 8.0000000; 0.0000000
16.1921077; 0.5679559; -16.1764054; -3.1178466; 0.0004189; 8.0000000; 0.0000000
16.3920103; 0.5727103; -16.3761620; -3.1177377; 0.0006715; 8.0000000; 0.0000000
16.5919128; 0.5774936; -16.5760076; -3.1175783; 0.0009234; 8.0000000; 0.0000000
16.7918154; 0.5823160; -16.7759437; -3.1173684; 0.0011748; 8.0000000; 0.0000000
16.9917179; 0.5871877; -16.9759708; -3.1171083; 0.0014257; 8.0000000; 0.0000000
17.1916205; 0.5921074; -17.1756102; -3.1167898; 0.0017634; 8.0000000; 0.0000000
17.3915231; 0.5970998; -17.3753452; -3.1164038; 0.0021003; 8.0000000; 0.0000000
17.5914256; 0.6021787; -17.5751781; -3.1159504; 0.0024361; 8.0000000; 0.0000000
17.7913282; 0.6073575; -17.7751111; -3.1154297; 0.0027710; 8.0000000; 0.0000000
17.9912308; 0.6126499; -17.9751463; -3.1148418; 0.0031048; 8.0000000; 0.0000000
