# c24e635e-d9e8-4c1b-993b-0fd350909007
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0093505; 0.0275300; -1.7124665; 0.0002397; 6.8842959; -0.0054112
0.1999446; 0.2072918; -0.0006969; -1.7124214; 0.0002113; 6.8841387; -0.0036292
0.3998892; 0.4052347; -0.0289155; -1.7123820; 0.0001829; 6.8840333; -0.0019904
0.5998338; 0.6031790; -0.0571268; -1.7123483; 0.0001544; 6.8839755; -0.0004833
0.7997784; 0.8011246; -0.0853322; -1.7123203; 0.0001260; 6.8839615; 0.0009029
0.9997230; 0.9990713; -0.1135326; -1.7122979; 0.0000976; 6.8839877; 0.0021779
1.1996676; 1.1970167; -0.1417287; -1.7122795; 0.0000882; 6.8840510; 0.0024450
1.3996122; 1.3949629; -0.1699214; -1.7122627; 0.0000797; 6.8841220; 0.0026543
1.5995568; 1.5929102; -0.1981111; -1.7122476; 0.0000711; 6.8841991; 0.0028468
1.7995014; 1.7908586; -0.2262980; -1.7122342; 0.0000626; 6.8842818; 0.0030238
1.9994460; 1.9888081; -0.2544825; -1.7122226; 0.0000540; 6.8843696; 0.0031867
2.1993905; 2.1867549; -0.2826645; -1.7122118; 0.0000549; 6.8844621; 0.0028878
2.3993351; 2.3847025; -0.3108443; -1.7122006; 0.0000566; 6.8845460; 0.0025753
2.5992797; 2.5826515; -0.3390220; -1.7121891; 0.0000583; 6.8846208; 0.0022878
2.7992243; 2.7806018; -0.3671976; -1.7121773; 0.0000600; 6.8846872; 0.0020233
2.9991689; 2.9785536; -0.3953710; -1.7121651; 0.0000618; 6.8847460; 0.0017801
3.1991135; 3.1765016; -0.4235413; -1.7121525; 0.0000641; 6.8847977; 0.0015241
3.3990581; 3.3744506; -0.4517092; -1.7121394; 0.0000666; 6.8848420; 0.0012843
3.5990027; 3.5724012; -0.4798746; -1.7121259; 0.0000691; 6.8848792; 0.0010637
3.7989473; 3.7703536; -0.5080375; -1.7121118; 0.0000716; 6.8849101; 0.0008609
3.9988919; 3.9683078; -0.5361977; -1.7120973; 0.0000741; 6.8849351; 0.0006743
4.1988365; 4.1662576; -0.5643544; -1.7120823; 0.0000757; 6.8849547; 0.0005431
4.3987811; 4.3642081; -0.5925080; -1.7120670; 0.0000772; 6.8849705; 0.0004300
4.5987257; 4.5621607; -0.6206589; -1.7120514; 0.0000786; 6.8849830; 0.0003259
4.7986703; 4.7601154; -0.6488069; -1.7120356; 0.0000801; 6.8849924; 0.0002301
4.9986149; 4.9580723; -0.6769519; -1.7120194; 0.0000816; 6.8849991; 0.0001421
5.1985595; 5.1560242; -0.7050930; -1.7120030; 0.0000823; 6.8850033; 0.0000936
5.3985041; 5.3539767; -0.7332308; -1.7119865; 0.0000830; 6.8850060; 0.0000568
5.5984487; 5.5519314; -0.7613656; -1.7119698; 0.0000836; 6.8850076; 0.0000230
5.7983933; 5.7498886; -0.7894974; -1.7119531; 0.0000842; 6.8850083; -0.0000081
5.9983379; 5.9478481; -0.8176261; -1.7119362; 0.0000848; 6.8850081; -0.0000367
6.1982825; 6.1458024; -0.8457506; -1.7119192; 0.0000849; 6.8850070; -0.0000385
6.3982270; 6.3437569; -0.8738718; -1.7119022; 0.0000848; 6.8850059; -0.0000326
6.5981716; 6.5417139; -0.9019898; -1.7118852; 0.0000848; 6.8850049; -0.0000273
6.7981162; 6.7396736; -0.9301048; -1.7118683; 0.0000847; 6.8850041; -0.0000223
6.9980608; 6.9376358; -0.9582168; -1.7118514; 0.0000847; 6.8850035; -0.0000178
7.1980054; 7.1355927; -0.9863246; -1.7118345; 0.0000842; 6.8850030; 0.0000038
7.3979500; 7.3335492; -1.0144289; -1.7118177; 0.0000837; 6.8850031; 0.0000302
7.5978946; 7.5315085; -1.0425302; -1.7118010; 0.0000831; 6.8850040; 0.0000545
7.7978392; 7.7294705; -1.0706286; -1.7117844; 0.0000826; 6.8850055; 0.0000768
7.9977838; 7.9274353; -1.0987241; -1.7117680; 0.0000820; 6.8850078; 0.0000974
8.1977284; 8.1253948; -1.1268154; -1.7117517; 0.0000812; 6.8850106; 0.0001279
8.3976730; 8.3233533; -1.1549034; -1.7117355; 0.0000803; 6.8850143; 0.0001612
8.5976176; 8.5213147; -1.1829885; -1.7117196; 0.0000793; 6.8850190; 0.0001919
8.7975622; 8.7192790; -1.2110708; -1.7117038; 0.0000784; 6.8850246; 0.0002201
8.9975068; 8.9172463; -1.2391504; -1.7116882; 0.0000775; 6.8850309; 0.0002461
9.1974514; 9.1152083; -1.2672261; -1.7116728; 0.0000764; 6.8850381; 0.0002771
9.3973960; 9.3131688; -1.2952985; -1.7116576; 0.0000753; 6.8850461; 0.0003096
9.5973406; 9.5111322; -1.3233683; -1.7116427; 0.0000741; 6.8850551; 0.0003395
9.7972852; 9.7090987; -1.3514355; -1.7116280; 0.0000730; 6.8850650; 0.0003670
9.9972298; 9.9070682; -1.3795003; -1.7116135; 0.0000718; 6.8850756; 0.0003923
10.1971744; 10.1050326; -1.4075613; -1.7115993; 0.0000706; 6.8850870; 0.0004195
10.3971190; 10.3029949; -1.4356193; -1.7115853; 0.0000693; 6.8850992; 0.0004473
10.5970635; 10.5009602; -1.4636748; -1.7115716; 0.0000680; 6.8851122; 0.0004727
10.7970081; 10.6989286; -1.4917281; -1.7115581; 0.0000667; 6.8851259; 0.0004962
10.9969527; 10.8969001; -1.5197791; -1.7115449; 0.0000654; 6.8851404; 0.0005177
11.1968973; 11.0948669; -1.5478268; -1.7115320; 0.0000641; 6.8851554; 0.0005395
11.3968419; 11.2928308; -1.5758715; -1.7115193; 0.0000627; 6.8851711; 0.0005609
11.5967865; 11.4907978; -1.6039141; -1.7115069; 0.0000613; 6.8851873; 0.0005807
11.7967311; 11.6887679; -1.6319547; -1.7114948; 0.0000600; 6.8852042; 0.0005988
11.9966757; 11.8867411; -1.6599933; -1.7114829; 0.0000586; 6.8852216; 0.0006155
12.1966203; 12.0847101; -1.6880289; -1.7114713; 0.0000572; 6.8852395; 0.0006314
12.3965649; 12.2826755; -1.7160617; -1.7114600; 0.0000558; 6.8852578; 0.0006466
12.5965095; 12.4806440; -1.7440927; -1.7114490; 0.0000545; 6.8852766; 0.0006606
12.7964541; 12.6786157; -1.7721219; -1.7114382; 0.0000531; 6.8852958; 0.0006734
12.9963987; 12.8765905; -1.8001495; -1.7114278; 0.0000517; 6.8853153; 0.0006852
13.1963433; 13.0745615; -1.8281744; -1.7114176; 0.0000503; 6.8853352; 0.0006959
13.3962879; 13.2725282; -1.8561967; -1.7114077; 0.0000489; 6.8853554; 0.0007056
13.5962325; 13.4704980; -1.8842174; -1.7113980; 0.0000475; 6.8853759; 0.0007145
13.7961771; 13.6684709; -1.9122367; -1.7113887; 0.0000461; 6.8853967; 0.0007226
13.9961217; 13.8664470; -1.9402545; -1.7113796; 0.0000448; 6.8854176; 0.0007301
14.1960663; 14.0644199; -1.9682701; -1.7113708; 0.0000434; 6.8854389; 0.0007365
14.3960109; 14.2623877; -1.9962833; -1.7113622; 0.0000420; 6.8854602; 0.0007417
14.5959555; 14.4603587; -2.0242951; -1.7113540; 0.0000407; 6.8854818; 0.0007464
