# 0e74a780-51a3-4de0-a171-b16374005f98
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2329224; -0.0187303; -0.0798120; -0.0044205; 6.7620558; 0.1383383
0.1999518; 0.2489555; 0.1806374; -0.0806744; -0.0042032; 6.7661452; 0.1369499
0.3999036; 0.2651538; 0.3799625; -0.0814932; -0.0039857; 6.7701911; 0.1357056
0.5998554; 0.2815085; 0.5792453; -0.0822684; -0.0037681; 6.7741979; 0.1345932
0.7998072; 0.2980109; 0.7784863; -0.0830000; -0.0035503; 6.7781694; 0.1336017
0.9997590; 0.3146523; 0.9776858; -0.0836879; -0.0033324; 6.7821095; 0.1327212
1.1997108; 0.3314357; 1.1769850; -0.0843340; -0.0031292; 6.7860213; 0.1312578
1.3996626; 0.3483421; 1.3762521; -0.0849395; -0.0029267; 6.7898877; 0.1299039
1.5996144; 0.3653626; 1.5754801; -0.0855044; -0.0027240; 6.7937121; 0.1286893
1.7995662; 0.3824892; 1.7746700; -0.0860288; -0.0025211; 6.7974986; 0.1276020
1.9995180; 0.3997136; 1.9738227; -0.0865124; -0.0023181; 6.8012510; 0.1266315
2.1994698; 0.4170392; 2.1730668; -0.0869585; -0.0021455; 6.8049729; 0.1243513
2.3994216; 0.4344491; 2.3722904; -0.0873706; -0.0019764; 6.8086258; 0.1221135
2.5993734; 0.4519353; 2.5714795; -0.0877489; -0.0018071; 6.8122110; 0.1200795
2.7993252; 0.4694911; 2.7706348; -0.0880932; -0.0016377; 6.8157346; 0.1182322
2.9992769; 0.4871096; 2.9697570; -0.0884037; -0.0014682; 6.8192023; 0.1165561
3.1992287; 0.5047947; 3.1689627; -0.0886836; -0.0013375; 6.8226191; 0.1132255
3.3991805; 0.5225325; 3.3681574; -0.0889387; -0.0012136; 6.8259366; 0.1098564
3.5991323; 0.5403162; 3.5673212; -0.0891690; -0.0010896; 6.8291539; 0.1067744
3.7990841; 0.5581410; 3.7664547; -0.0893744; -0.0009656; 6.8322794; 0.1039557
3.9990359; 0.5760019; 3.9655585; -0.0895551; -0.0008414; 6.8353211; 0.1013786
4.1989877; 0.5939035; 4.1647386; -0.0897136; -0.0007507; 6.8382860; 0.0974571
4.3989395; 0.6118350; 4.3639157; -0.0898555; -0.0006680; 6.8411351; 0.0934820
4.5988913; 0.6297909; 4.5630649; -0.0899808; -0.0005853; 6.8438668; 0.0898356
4.7988431; 0.6477677; 4.7621867; -0.0900895; -0.0005025; 6.8464910; 0.0864912
4.9987949; 0.6657623; 4.9612817; -0.0901817; -0.0004197; 6.8490165; 0.0834240
5.1987467; 0.6837801; 5.1604458; -0.0902593; -0.0003619; 6.8514516; 0.0794325
5.3986985; 0.7018127; 5.3596133; -0.0903266; -0.0003118; 6.8537693; 0.0754047
5.5986503; 0.7198555; 5.5587553; -0.0903839; -0.0002616; 6.8559688; 0.0717051
5.7986021; 0.7379066; 5.7578723; -0.0904312; -0.0002114; 6.8580597; 0.0683070
5.9985539; 0.7559639; 5.9569646; -0.0904685; -0.0001612; 6.8600510; 0.0651859
6.1985057; 0.7740334; 6.1561191; -0.0904970; -0.0001286; 6.8619507; 0.0614906
6.3984575; 0.7921088; 6.3552821; -0.0905201; -0.0001025; 6.8637423; 0.0577847
