# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,1.0676400339,1.0676400339
0.0435553712,0.3951383916,1.0618245989,1.0618245989
0.0871667423,0.7902625648,1.0556205358,1.0556205358
0.1308234695,1.1853741876,1.0490307997,1.0490307997
0.1745151471,1.5804750870,1.0420598831,1.0420598831
0.2182310516,1.9755667722,1.0347138242,1.0347138242
0.2619608568,2.3706510702,1.0270002083,1.0270002083
0.3056939187,2.7657297285,1.0189281591,1.0189281591
0.3494197523,3.1608042563,1.0105083233,1.0105083233
0.3931277930,3.5558764805,1.0017528451,1.0017528451
0.4368075556,3.9509480693,0.9926753352,0.9926753352
0.4804483963,4.3460206907,0.9832908291,0.9832908291
0.5240399888,4.7410960922,0.9736157394,0.9736157394
0.5675716890,5.1361759420,0.9636677993,0.9636677993
0.6110329325,5.5312619081,0.9534659992,0.9534659992
0.6544132342,5.9263557380,0.9430305168,0.9430305168
0.6977021089,6.3214590998,0.9323826391,0.9323826391
0.7408889126,6.7165736617,0.9215446792,0.9215446792
0.7839637959,7.1117010121,0.9105398873,0.9105398873
0.8269244549,7.5068417867,0.8993923543,0.8993923543
0.8697746233,7.9019955088,0.8881269144,0.8881269144
0.9125183519,8.2971617813,0.8767690381,0.8767690381
0.9551594535,8.6923402864,0.8653447264,0.8653447264
0.9977018204,9.0875305475,0.8538803976,0.8538803976
1.0401494241,9.4827321675,0.8424027742,0.8424027742
1.0825061570,9.8779448286,0.8309387666,0.8309387666
1.1247758317,10.2731681337,0.8195153544,0.8195153544
1.1669624198,10.6684016062,0.8081594694,0.8081594694
1.2090698137,11.0636449283,0.7968978757,0.7968978757
1.2511019054,11.4588977029,0.7857570517,0.7857570517
1.2930626666,11.8541595328,0.7747630734,0.7747630734
1.3349559895,12.2494299414,0.7639414983,0.7639414983
1.3767856868,12.6447086905,0.7533172528,0.7533172528
1.4185558097,13.0399953034,0.7429145219,0.7429145219
1.4602700915,13.4352893829,0.7327566425,0.7327566425
1.5019325037,13.8305905320,0.7228660016,0.7228660016
1.5435470976,14.2258984328,0.7132639381,0.7132639381
1.5851175268,14.6212126088,0.7039706509,0.7039706509
1.6266478426,15.0165326629,0.6950051117,0.6950051117
1.6681420166,15.4118582772,0.6863849848,0.6863849848
1.7096037820,15.8071889752,0.6781265541,0.6781265541
1.7510371900,16.2025244391,0.6702446547,0.6702446547
1.7924459739,16.5978642719,0.6627526154,0.6627526154
1.8338342642,16.9932080763,0.6556622059,0.6556622059
1.8752057942,17.3885553757,0.6489835944,0.6489835944
1.9165645355,17.7839058524,0.6427253107,0.6427253107
1.9579143804,18.1792591887,0.6368942210,0.6368942210
1.9992593004,18.5746148286,0.6314955083,0.6314955083
2.0406031084,18.9699724542,0.6265326630,0.6265326630
2.0819496966,19.3653317480,0.6220074824,0.6220074824
2.1233030365,19.7606922332,0.6179200776,0.6179200776
2.1646670203,20.1560535128,0.6142688902,0.6142688902
2.2060454610,20.5514152689,0.6110507166,0.6110507166
2.2474424094,20.9467770251,0.6082607412,0.6082607412
2.2888617578,21.3421383841,0.6058925778,0.6058925778
2.3303073190,21.7374990282,0.6039383182,0.6039383182
2.3717829852,22.1328585602,0.6023885893,0.6023885893
2.4132928073,22.5282165830,0.6012326165,0.6012326165
2.4548405189,22.9235726200,0.6004582945,0.6004582945
2.4964300914,23.3189263535,0.6000522652,0.6000522652
2.5380654966,23.7142774657,0.6000000000,0.6000000000
2.5797506266,24.1096254006,0.6002858889,0.6002858889
2.6214892942,24.5049698404,0.6008933342,0.6008933342
2.6632853915,24.9003103881,0.6018048491,0.6018048491
