# d2b5fcc0-9abb-43fe-8c61-5486a7972aea
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2945779; 0.0319173; -0.0987130; -0.0200197; 6.4299328; 0.3913894
0.1999427; -0.2746782; 0.2289728; -0.1025243; -0.0184764; 6.4420918; 0.4209156
0.3998854; -0.2539508; 0.4269547; -0.1060524; -0.0169791; 6.4551425; 0.4464462
0.5998281; -0.2324470; 0.6258424; -0.1093027; -0.0155250; 6.4689560; 0.4684640
0.7997708; -0.2102180; 0.8256156; -0.1122805; -0.0141117; 6.4834192; 0.4873967
0.9997135; -0.1873993; 1.0255247; -0.1149814; -0.0127474; 6.4984326; 0.5031724
1.1996562; -0.1643861; 1.2226737; -0.1173844; -0.0114716; 6.5138958; 0.5143946
1.3995989; -0.1408239; 1.4206027; -0.1195465; -0.0102290; 6.5296659; 0.5237631
1.5995416; -0.1167603; 1.6192842; -0.1214718; -0.0090174; 6.5456842; 0.5315338
1.7994843; -0.0922429; 1.8186907; -0.1231641; -0.0078343; 6.5619002; 0.5379342
1.9994270; -0.0674211; 2.0179823; -0.1246223; -0.0067250; 6.5782708; 0.5411136
2.1993697; -0.0425817; 2.2152470; -0.1258665; -0.0057941; 6.5946971; 0.5367516
2.3993124; -0.0174318; 2.4131348; -0.1269309; -0.0048816; 6.6109507; 0.5323480
2.5992551; 0.0079909; 2.6116211; -0.1278178; -0.0039859; 6.6270316; 0.5279542
2.7991978; 0.0336487; 2.8106814; -0.1285292; -0.0031057; 6.6429413; 0.5236166
2.9991405; 0.0594310; 3.0097275; -0.1290667; -0.0022928; 6.6586827; 0.5170224
3.1990832; 0.0850952; 3.2071444; -0.1294632; -0.0016926; 6.6741895; 0.5018218
3.3990259; 0.1108904; 3.4050467; -0.1297418; -0.0011008; 6.6892060; 0.4877198
3.5989686; 0.1367899; 3.6034092; -0.1299034; -0.0005166; 6.7037682; 0.4746509
3.7989113; 0.1627672; 3.8022067; -0.1299490; 0.0000610; 6.7179100; 0.4570508
3.9988540; 0.1887663; 4.0011902; -0.1298796; 0.0006072; 6.7314993; 0.3956394
4.1987967; 0.2145661; 4.1988268; -0.1297241; 0.0009525; 6.7432405; 0.3481127
4.3987394; 0.2403736; 4.3968149; -0.1294997; 0.0012954; 6.7535545; 0.3044265
4.5986821; 0.2661713; 4.5951290; -0.1292065; 0.0016362; 6.7625612; 0.2642706
4.7986248; 0.2919420; 4.7937438; -0.1288448; 0.0019754; 6.7703701; 0.2273577
4.9985675; 0.3176683; 4.9926337; -0.1284147; 0.0023134; 6.7770811; 0.1934218
5.1985102; 0.3431820; 5.1905912; -0.1279353; 0.0024855; 6.7827852; 0.1698122
5.3984529; 0.3686195; 5.3887342; -0.1274220; 0.0026532; 6.7877891; 0.1483013
5.5983957; 0.3939752; 5.5870721; -0.1268747; 0.0028215; 6.7921561; 0.1284865
5.7983384; 0.4192387; 5.7855790; -0.1262932; 0.0029907; 6.7959373; 0.1102248
5.9982811; 0.4443995; 5.9842289; -0.1256773; 0.0031609; 6.7991794; 0.0933841
6.1982238; 0.4693980; 6.1826012; -0.1250364; 0.0032297; 6.8019250; 0.0825978
6.3981665; 0.4942652; 6.3809626; -0.1243863; 0.0032736; 6.8043526; 0.0738327
6.5981092; 0.5190084; 6.5793881; -0.1237272; 0.0033193; 6.8065217; 0.0657008
6.7980519; 0.5436226; 6.7778514; -0.1230587; 0.0033666; 6.8084514; 0.0581483
6.9979946; 0.5681025; 6.9763261; -0.1223806; 0.0034158; 6.8101589; 0.0511257
7.1979373; 0.5924593; 7.1749182; -0.1216956; 0.0034076; 6.8116597; 0.0473376
7.3978800; 0.6166840; 7.3735540; -0.1210183; 0.0033628; 6.8130491; 0.0455548
7.5978227; 0.6407649; 7.5721215; -0.1203500; 0.0033198; 6.8143858; 0.0438399
7.7977654; 0.6647004; 7.7705938; -0.1196905; 0.0032784; 6.8156720; 0.0421894
7.9977081; 0.6884895; 7.9689440; -0.1190395; 0.0032386; 6.8169096; 0.0406000
8.1976508; 0.7121776; 8.1675403; -0.1183969; 0.0031719; 6.8181003; 0.0403928
8.3975935; 0.7357805; 8.3664945; -0.1177718; 0.0030679; 6.8192847; 0.0419401
8.5975362; 0.7592353; 8.5652445; -0.1171682; 0.0029649; 6.8205143; 0.0433166
8.7974789; 0.7825435; 8.7637636; -0.1165858; 0.0028628; 6.8217840; 0.0445416
8.9974216; 0.8057065; 8.9620248; -0.1160244; 0.0027615; 6.8230894; 0.0456331
9.1973643; 0.8287766; 9.1604409; -0.1154826; 0.0026724; 6.8244265; 0.0460754
9.3973070; 0.8518427; 9.3597517; -0.1149521; 0.0026156; 6.8257763; 0.0449776
9.5972497; 0.8747629; 9.5587158; -0.1144339; 0.0025598; 6.8270936; 0.0439247
9.7971924; 0.8975367; 9.7573038; -0.1139277; 0.0025049; 6.8283799; 0.0429160
9.9971351; 0.9201635; 9.9554862; -0.1134334; 0.0024509; 6.8296364; 0.0419509
10.1970778; 0.9426835; 10.1535914; -0.1129500; 0.0024036; 6.8308645; 0.0407530
10.3970205; 0.9652820; 10.3532446; -0.1124684; 0.0023903; 6.8320572; 0.0380656
10.5969632; 0.9877279; 10.5524052; -0.1119906; 0.0023777; 6.8331711; 0.0355649
10.7969059; 1.0100205; 10.7510543; -0.1115165; 0.0023658; 6.8342117; 0.0332358
10.9968486; 1.0321589; 10.9491733; -0.1110460; 0.0023545; 6.8351840; 0.0310644
11.1967913; 1.0541707; 11.1470007; -0.1105789; 0.0022915; 6.8360926; 0.0314909
11.3967340; 1.0763004; 11.3466949; -0.1101750; 0.0017275; 6.8370136; 0.0553024
11.5966767; 1.0983003; 11.5458482; -0.1098861; 0.0011542; 6.8386307; 0.0776392
