# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.8016186211,0.8016186211
-0.3131746566,-0.3001359712,0.8002379522,0.8002379522
-0.6263122823,-0.6003101007,0.7987528626,0.7987528626
-0.9394108824,-0.9005243831,0.7971681879,0.7971681879
-1.2524686359,-1.2007811599,0.7954891512,0.7954891512
-1.5654836347,-1.5010825993,0.7937213475,0.7937213475
-1.8784540578,-1.8014308693,0.7918707245,0.7918707245
-2.1913781705,-2.1018283115,0.7899435633,0.7899435633
-2.5042538916,-2.4022769205,0.7879464577,0.7879464577
-2.8170794866,-2.7027790377,0.7858862923,0.7858862923
-3.1298530476,-3.0033368314,0.7837702197,0.7837702197
-3.4425728401,-3.3039524696,0.7816056364,0.7816056364
-3.7552367828,-3.6046282938,0.7794001584,0.7794001584
-4.0678432278,-3.9053662986,0.7771615959,0.7771615959
-4.3803901806,-4.2061689123,0.7748979268,0.7748979268
-4.6928759067,-4.5070381296,0.7726172704,0.7726172704
-5.0052984115,-4.8079762920,0.7703278600,0.7703278600
-5.3176558738,-5.1089855676,0.7680380154,0.7680380154
-5.6299465590,-5.4100681244,0.7657561146,0.7657561146
-5.9421683859,-5.7112262172,0.7634905662,0.7634905662
-6.2543197067,-6.0124620142,0.7612497808,0.7612497808
-6.5663985267,-6.3137777701,0.7590421431,0.7590421431
-6.8784031116,-6.6151756531,0.7568759832,0.7568759832
-7.1903314666,-6.9166578312,0.7547595492,0.7547595492
-7.5021817706,-7.2182265592,0.7527009790,0.7527009790
-7.8139522023,-7.5198840052,0.7507082733,0.7507082733
-8.1256408539,-7.8216324241,0.7487892685,0.7487892685
-8.4372459042,-8.1234740705,0.7469516109,0.7469516109
-8.7487655320,-8.4254109392,0.7452027302,0.7452027302
-9.0601977426,-8.7274454585,0.7435498152,0.7435498152
-9.3715625691,-9.0295556005,0.7419997902,0.7419997902
-9.6829769147,-9.3316113669,0.7405592906,0.7405592906
-9.9945852605,-9.6334524931,0.7392346417,0.7392346417
-10.3065320876,-9.9349185406,0.7380318377,0.7380318377
-10.6189617904,-10.2358491581,0.7369565209,0.7369565209
-10.9320185899,-10.5360840806,0.7360139640,0.7360139640
-11.2458471407,-10.8354629568,0.7352090521,0.7352090521
-11.5605917504,-11.1338253483,0.7345462665,0.7345462665
-11.8763968136,-11.4310109037,0.7340296704,0.7340296704
-12.1934067245,-11.7268593582,0.7336628954,0.7336628954
-12.5117659644,-12.0212103602,0.7334491296,0.7334491296
-12.8316188408,-12.3139035583,0.7333911078,0.7333911078
-13.1531098350,-12.6047785141,0.7334911022,0.7334911022
-13.4763833414,-12.8936748763,0.7337509157,0.7337509157
-13.8015838411,-13.1804324667,0.7341718761,0.7341718761
-14.1288555551,-13.4648907603,0.7347548326,0.7347548326
-14.4583146059,-13.7469141219,0.7355001535,0.7355001535
-14.7899539690,-14.0264728920,0.7364077253,0.7364077253
-15.1237336649,-14.3035662034,0.7374769534,0.7374769534
-15.4596134539,-14.5781931021,0.7387067662,0.7387067662
-15.7975532699,-14.8503528076,0.7400956179,0.7400956179
-16.1375131334,-15.1200441925,0.7416414948,0.7416414948
-16.4794528047,-15.3872665631,0.7433419233,0.7433419233
-16.8233321309,-15.6520189653,0.7451939786,0.7451939786
-17.1691112193,-15.9143003586,0.7471942944,0.7471942944
-17.5167498302,-16.1741100490,0.7493390767,0.7493390767
-17.8662078974,-16.4314469093,0.7516241156,0.7516241156
-18.2174452680,-16.6863101588,0.7540448006,0.7540448006
-18.5704218759,-16.9386989304,0.7565961372,0.7565961372
-18.9250977414,-17.1886121834,0.7592727637,0.7592727637
-19.2814325383,-17.4360491372,0.7620689697,0.7620689697
-19.6393863739,-17.6810088380,0.7649787165,0.7649787165
-19.9989467598,-17.9234460160,0.7679956571,0.7679956571
-20.3602170705,-18.1631313748,0.7711131579,0.7711131579
-20.7233303396,-18.3997874862,0.7743243222,0.7743243222
-21.0884199475,-18.6331371824,0.7776220127,0.7776220127
-21.4556191014,-18.8629031220,0.7809988758,0.7809988758
-21.8250608350,-19.0888081371,0.7844473668,0.7844473668
-22.1968785288,-19.3105748865,0.7879597750,0.7879597750
-22.5712053899,-19.5279260286,0.7915282491,0.7915282491
-22.9480813977,-19.7407999900,0.7951448242,0.7951448242
-23.3261189784,-19.9524350214,0.7988014472,0.7988014472
