# b2ea58c0-e7bb-4220-8f45-03e86b9a5a27
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0050811; 0.0912820; 1.3004743; -0.0000752; 6.8694032; 0.0434773
0.1999133; -0.1877340; 0.1447137; 1.3004578; -0.0000891; 6.8706683; 0.0393324
0.3998267; -0.3804649; 0.1981258; 1.3004386; -0.0001031; 6.8718127; 0.0355183
0.5997400; -0.5731142; 0.2515194; 1.3004166; -0.0001171; 6.8728459; 0.0320087
0.7996534; -0.7656844; 0.3048961; 1.3003918; -0.0001311; 6.8737769; 0.0287793
0.9995667; -0.9581782; 0.3582569; 1.3003642; -0.0001451; 6.8746138; 0.0258077
1.1994801; -1.1509509; 0.4117009; 1.3003376; -0.0001201; 6.8753643; 0.0249179
1.3993934; -1.3436622; 0.4651328; 1.3003162; -0.0000940; 6.8760888; 0.0241520
1.5993068; -1.5363060; 0.5185499; 1.3003000; -0.0000679; 6.8767909; 0.0234505
1.7992201; -1.7288856; 0.5719520; 1.3002891; -0.0000417; 6.8774726; 0.0228080
1.9991335; -1.9214042; 0.6253389; 1.3002834; -0.0000155; 6.8781355; 0.0222196
2.1990468; -2.1141413; 0.6787870; 1.3002846; 0.0000288; 6.8787813; 0.0198063
2.3989602; -2.3068362; 0.7322221; 1.3002949; 0.0000740; 6.8793569; 0.0160809
2.5988735; -2.4994801; 0.7856401; 1.3003142; 0.0001192; 6.8798242; 0.0126510
2.7987868; -2.6920762; 0.8390398; 1.3003425; 0.0001645; 6.8801918; 0.0094934
2.9987002; -2.8846280; 0.8924204; 1.3003799; 0.0002098; 6.8804677; 0.0065866
3.1986135; -3.0773436; 0.9458378; 1.3004261; 0.0002518; 6.8806590; 0.0040681
3.3985269; -3.2700325; 0.9992373; 1.3004806; 0.0002937; 6.8807772; 0.0017588
3.5984402; -3.4626871; 1.0526152; 1.3005435; 0.0003356; 6.8808283; -0.0003663
3.7983536; -3.6553104; 1.1059704; 1.3006148; 0.0003775; 6.8808177; -0.0023216
3.9982669; -3.8479060; 1.1593023; 1.3006944; 0.0004194; 6.8807502; -0.0041204
4.1981803; -4.0406133; 1.2126479; 1.3007814; 0.0004498; 6.8806305; -0.0052264
4.3980936; -4.2333072; 1.2659711; 1.3008743; 0.0004794; 6.8804787; -0.0062109
4.5980070; -4.4259829; 1.3192693; 1.3009731; 0.0005091; 6.8802982; -0.0071157
4.7979203; -4.6186437; 1.3725423; 1.3010778; 0.0005387; 6.8800914; -0.0079469
4.9978336; -4.8112927; 1.4257898; 1.3011885; 0.0005684; 6.8798605; -0.0087101
5.1977470; -5.0040014; 1.4790303; 1.3013033; 0.0005799; 6.8796074; -0.0085550
5.3976603; -5.1967086; 1.5322463; 1.3014203; 0.0005903; 6.8793588; -0.0083607
5.5975737; -5.3894131; 1.5854371; 1.3015394; 0.0006007; 6.8791159; -0.0081803
5.7974870; -5.5821181; 1.6386031; 1.3016605; 0.0006111; 6.8788781; -0.0080128
5.9974004; -5.7748265; 1.6917447; 1.3017837; 0.0006214; 6.8786453; -0.0078569
6.1973137; -5.9675412; 1.7448625; 1.3019064; 0.0006049; 6.8784169; -0.0064439
6.3972271; -6.1602650; 1.7979577; 1.3020255; 0.0005868; 6.8782296; -0.0050715
6.5971404; -6.3530009; 1.8510319; 1.3021410; 0.0005688; 6.8780822; -0.0038079
6.7970538; -6.5457514; 1.9040866; 1.3022529; 0.0005506; 6.8779715; -0.0026446
6.9969671; -6.7385194; 1.9571233; 1.3023612; 0.0005325; 6.8778947; -0.0015735
7.1968805; -6.9312375; 2.0101244; 1.3024622; 0.0004765; 6.8778489; 0.0012001
7.3967938; -7.1239745; 2.0631109; 1.3025517; 0.0004185; 6.8778838; 0.0038475
7.5967071; -7.3167364; 2.1160870; 1.3026295; 0.0003605; 6.8779957; 0.0062821
7.7966205; -7.5095258; 2.1690556; 1.3026958; 0.0003025; 6.8781782; 0.0085207
7.9965338; -7.7023449; 2.2220199; 1.3027505; 0.0002446; 6.8784259; 0.0105789
8.1964472; -7.8950550; 2.2749444; 1.3027888; 0.0001362; 6.8787333; 0.0148581
8.3963605; -8.0877914; 2.3278705; 1.3028049; 0.0000252; 6.8791651; 0.0189195
8.5962739; -8.2805638; 2.3808055; 1.3027989; -0.0000857; 6.8797149; 0.0145361
8.7961872; -8.4733738; 2.4337543; 1.3027707; -0.0001965; 6.8801373; 0.0081253
8.9961006; -8.6662233; 2.4867221; 1.3027203; -0.0003072; 6.8803734; 0.0022343
9.1960139; -8.8589022; 2.5396562; 1.3026419; -0.0004811; 6.8804383; -0.0061768
9.3959273; -9.0516113; 2.5926185; 1.3025280; -0.0006584; 6.8802589; -0.0140739
9.5958406; -9.2443641; 2.6456201; 1.3023787; -0.0008354; 6.8798499; -0.0213212
9.7957540; -9.4371616; 2.6986686; 1.3021940; -0.0010122; 6.8792303; -0.0279684
9.9956673; -9.6300051; 2.7517718; 1.3019739; -0.0011886; 6.8784175; -0.0340612
10.1955806; -9.8226150; 2.8048603; 1.3017119; -0.0014385; 6.8774275; -0.0431371
10.3954940; -10.0152528; 2.8580161; 1.3013990; -0.0016931; 6.8761735; -0.0516890
10.5954073; -10.2079382; 2.9112552; 1.3010351; -0.0019471; 6.8746705; -0.0595144
10.7953207; -10.4006714; 2.9645883; 1.3006204; -0.0022005; 6.8729397; -0.0666678
10.9952340; -10.5934526; 3.0180260; 1.3001549; -0.0024534; 6.8710002; -0.0731999
11.1951474; -10.7859379; 3.0714838; 1.2996323; -0.0027844; 6.8688701; -0.0828765
11.3950607; -10.9784400; 3.1250617; 1.2990423; -0.0031216; 6.8664576; -0.0920368
11.5949741; -11.1709887; 3.1787820; 1.2983846; -0.0034578; 6.8637775; -0.1003856
11.7948874; -11.3635832; 3.2326586; 1.2976595; -0.0037932; 6.8608531; -0.1079835
11.9948008; -11.5562228; 3.2867055; 1.2968671; -0.0041276; 6.8577059; -0.1148865
12.1947141; -11.7485074; 3.3408243; 1.2960029; -0.0045331; 6.8543559; -0.1245367
12.3946275; -11.9407856; 3.3951293; 1.2950559; -0.0049461; 6.8507228; -0.1337121
12.5945408; -12.1331041; 3.4496510; 1.2940260; -0.0053579; 6.8468197; -0.1420301
12.7944541; -12.3254611; 3.5044064; 1.2929134; -0.0057683; 6.8426715; -0.1495543
12.9943675; -12.5178545; 3.5594121; 1.2917182; -0.0061773; 6.8383008; -0.1563440
13.1942808; -12.7098401; 3.6145582; 1.2904389; -0.0066395; 6.8337286; -0.1650045
