# 46baa4e4-8882-40af-8af3-e0ed4cae15c0
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1924450; -0.0263103; -2.8842831; -0.0012033; 6.8804647; -0.0404416
0.1999889; 0.2434242; -0.2201287; -2.8844919; -0.0008804; 6.8792891; -0.0218964
0.3999778; 0.2943133; -0.4137436; -2.8846357; -0.0005556; 6.8786525; -0.0047618
0.5999667; 0.3451273; -0.6071601; -2.8847142; -0.0002289; 6.8785141; 0.0110770
0.7999556; 0.3958810; -0.8003831; -2.8847271; 0.0000995; 6.8788361; 0.0163125
0.9999445; 0.4465901; -0.9934204; -2.8846744; 0.0004288; 6.8793104; -0.0005843
1.1999334; 0.4975019; -1.1871667; -2.8845733; 0.0005802; 6.8792934; -0.0076994
1.3999223; 0.5483910; -1.3807350; -2.8844420; 0.0007321; 6.8790695; -0.0142685
1.5999112; 0.5992655; -1.5741327; -2.8842804; 0.0008845; 6.8786547; -0.0203314
1.7999002; 0.6501336; -1.7673670; -2.8840884; 0.0010374; 6.8780636; -0.0259248
1.9998891; 0.7010087; -1.9604655; -2.8838660; 0.0011873; 6.8773097; -0.0309272
2.1998780; 0.7520686; -2.1540817; -2.8836241; 0.0012289; 6.8764103; -0.0303966
2.3998669; 0.8031419; -2.3475553; -2.8833740; 0.0012704; 6.8755262; -0.0299050
2.5998558; 0.8542320; -2.5408936; -2.8831158; 0.0013118; 6.8746563; -0.0294487
2.7998447; 0.9053425; -2.7341040; -2.8828495; 0.0013531; 6.8737996; -0.0290241
2.9998336; 0.9564867; -2.9272302; -2.8825751; 0.0013915; 6.8729551; -0.0284926
3.1998225; 1.0077803; -3.1207043; -2.8822964; 0.0013934; 6.8721260; -0.0262846
3.3998114; 1.0591033; -3.3140713; -2.8820174; 0.0013952; 6.8713610; -0.0242456
3.5998003; 1.1104574; -3.5073380; -2.8817383; 0.0013968; 6.8706553; -0.0223621
3.7997892; 1.1618444; -3.7005115; -2.8814589; 0.0013982; 6.8700044; -0.0206213
3.9997781; 1.2132777; -3.8936414; -2.8811794; 0.0013955; 6.8694041; -0.0188292
4.1997670; 1.2648239; -4.0869788; -2.8809031; 0.0013667; 6.8688559; -0.0159494
4.3997559; 1.3164071; -4.2802426; -2.8806326; 0.0013377; 6.8683915; -0.0132923
4.5997448; 1.3680277; -4.4734394; -2.8803680; 0.0013085; 6.8680044; -0.0108403
4.7997337; 1.4196863; -4.6665756; -2.8801093; 0.0012790; 6.8676888; -0.0085770
4.9997227; 1.4713927; -4.8596928; -2.8798567; 0.0012419; 6.8674390; -0.0061342
5.1997116; 1.5231767; -5.0529079; -2.8796151; 0.0011737; 6.8672604; -0.0024216
5.3997005; 1.5749980; -5.2460811; -2.8793872; 0.0011053; 6.8671898; 0.0009999
5.5996894; 1.6268555; -5.4392185; -2.8791731; 0.0010367; 6.8672190; 0.0041533
5.7996783; 1.6787479; -5.6323263; -2.8789726; 0.0009680; 6.8673399; 0.0070597
5.9996672; 1.7306776; -5.8254235; -2.8787863; 0.0008863; 6.8675455; 0.0103436
6.1996561; 1.7826488; -6.0185393; -2.8786208; 0.0007688; 6.8678467; 0.0150496
6.3996450; 1.8346489; -6.2116437; -2.8784788; 0.0006513; 6.8682849; 0.0193821
6.5996339; 1.8866745; -6.4047430; -2.8783603; 0.0005337; 6.8688493; 0.0233704
6.7996228; 1.9387225; -6.5978433; -2.8782653; 0.0004161; 6.8695297; 0.0270416
6.9996117; 1.9907832; -6.7909268; -2.8781946; 0.0002787; 6.8703169; 0.0313530
7.1996006; 2.0428462; -6.9839765; -2.8781565; 0.0001023; 6.8712295; 0.0371655
7.3995895; 2.0949187; -7.1770459; -2.8781537; -0.0000741; 6.8723111; 0.0355119
7.5995784; 2.1469952; -7.3701414; -2.8781861; -0.0002504; 6.8733444; 0.0243364
7.7995673; 2.1990701; -7.5632693; -2.8782538; -0.0004264; 6.8740525; 0.0140617
7.9995562; 2.2511178; -7.7563621; -2.8783578; -0.0006297; 6.8744616; 0.0033250
8.1995451; 2.3031222; -7.9493914; -2.8785080; -0.0008730; 6.8745583; -0.0084388
8.3995341; 2.3551047; -8.1424732; -2.8787068; -0.0011159; 6.8743128; -0.0192376
8.5995230; 2.4070570; -8.3356147; -2.8789543; -0.0013584; 6.8737531; -0.0291436
8.7995119; 2.4589709; -8.5288228; -2.8792502; -0.0016004; 6.8729052; -0.0382233
8.9995008; 2.5108011; -8.7219663; -2.8795960; -0.0018756; 6.8717928; -0.0481304
9.1994897; 2.5625334; -8.9150345; -2.8800022; -0.0021884; 6.8703920; -0.0589944
9.3994786; 2.6141991; -9.1081917; -2.8804709; -0.0025003; 6.8686745; -0.0689283
9.5994675; 2.6657871; -9.3014460; -2.8810022; -0.0028114; 6.8666673; -0.0780007
9.7994564; 2.7172868; -9.4948053; -2.8815958; -0.0031217; 6.8643952; -0.0862747
9.9994453; 2.7686292; -9.6880598; -2.8822528; -0.0034663; 6.8618812; -0.0954735
10.1994342; 2.8198084; -9.8812394; -2.8829830; -0.0038415; 6.8590980; -0.1053377
10.3994231; 2.8708634; -10.0745497; -2.8837885; -0.0042155; 6.8560260; -0.1143030
10.5994120; 2.9217810; -10.2680001; -2.8846691; -0.0045880; 6.8526910; -0.1224343
10.7994009; 2.9725479; -10.4615998; -2.8856245; -0.0049589; 6.8491170; -0.1297919
10.9993898; 3.0230682; -10.6550414; -2.8866544; -0.0053560; 6.8453261; -0.1377306
11.1993787; 3.0733497; -10.8484147; -2.8877662; -0.0057719; 6.8413011; -0.1458514
11.3993676; 3.1234393; -11.0419668; -2.8889615; -0.0061856; 6.8370361; -0.1531564
11.5993566; 3.1733224; -11.2357085; -2.8902402; -0.0065971; 6.8325547; -0.1597033
11.7993455; 3.2229841; -11.4296507; -2.8916020; -0.0070062; 6.8278786; -0.1655458
11.9993344; 3.2722986; -11.6233663; -2.8930435; -0.0074187; 6.8230280; -0.1710061
12.1993233; 3.3212912; -11.8170174; -2.8945667; -0.0078322; 6.8180138; -0.1760022
12.3993122; 3.3700201; -12.0109023; -2.8961736; -0.0082426; 6.8128493; -0.1803826
12.5993011; 3.4184708; -12.2050332; -2.8978636; -0.0086498; 6.8075522; -0.1841897
12.7992900; 3.4666286; -12.3994225; -2.8996363; -0.0090536; 6.8021390; -0.1874625
12.9992789; 3.5143368; -12.5935018; -2.9014837; -0.0094195; 6.7966252; -0.1886498
13.1992678; 3.5616391; -12.7875040; -2.9033987; -0.0097604; 6.7910720; -0.1885314
13.3992567; 3.6086120; -12.9818008; -2.9053835; -0.0100974; 6.7855177; -0.1881914
13.5992456; 3.6552436; -13.1764054; -2.9074375; -0.0104304; 6.7799688; -0.1876422
13.7992345; 3.7015219; -13.3713313; -2.9095602; -0.0107591; 6.7744317; -0.1868954
13.9992234; 3.7472637; -13.5658588; -2.9117370; -0.0109901; 6.7689121; -0.1816830
14.1992123; 3.7925254; -13.7602580; -2.9139474; -0.0111568; 6.7635421; -0.1739358
14.3992012; 3.8374131; -13.9550148; -2.9161935; -0.0113195; 6.7583971; -0.1666383
14.5991901; 3.8819214; -14.1501427; -2.9184749; -0.0114780; 6.7534643; -0.1597513
14.7991790; 3.9260448; -14.3456555; -2.9207910; -0.0116325; 6.7487319; -0.1532387
14.9991680; 3.9695873; -14.5407057; -2.9231215; -0.0116175; 6.7441894; -0.1395519
