# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.7077671276,0.7077671276
-0.4382904906,-0.0372000856,0.7081280094,0.7081280094
-0.8765844989,-0.0743567269,0.7085984688,0.7085984688
-1.3148820250,-0.1114711551,0.7091758134,0.7091758134
-1.7531828049,-0.1485446895,0.7098572002,0.7098572002
-2.1914868389,-0.1855787370,0.7106396490,0.7106396490
-2.6297939508,-0.2225743531,0.7115200574,0.7115200574
-3.0681038770,-0.2595329448,0.7124952144,0.7124952144
-3.5064167053,-0.2964557433,0.7135618160,0.7135618160
-3.9447322599,-0.3333440678,0.7147164791,0.7147164791
-4.3830502769,-0.3701991496,0.7159557579,0.7159557579
-4.8213707563,-0.4070223077,0.7172761572,0.7172761572
-5.2596935222,-0.4438148613,0.7186741491,0.7186741491
-5.6980184868,-0.4805779537,0.7201461867,0.7201461867
-6.1363455620,-0.5173129921,0.7216887198,0.7216887198
-6.5746744841,-0.5540212076,0.7232982095,0.7232982095
-7.0130052529,-0.5907039193,0.7249711424,0.7249711424
-7.4513376048,-0.6273623585,0.7267040451,0.7267040451
-7.8896716276,-0.6639977564,0.7284934986,0.7284934986
-8.3280069695,-0.7006115202,0.7303361511,0.7303361511
-8.7663436306,-0.7372048809,0.7322287316,0.7322287316
-9.2046814350,-0.7737789820,0.7341680627,0.7341680627
-9.6430202947,-0.8103353183,0.7361510729,0.7361510729
-10.0813600338,-0.8468750333,0.7381748084,0.7381748084
-10.5197005644,-0.8833994461,0.7402364437,0.7402364437
-10.9580417986,-0.9199098757,0.7423332928,0.7423332928
-11.3963835605,-0.9564075536,0.7444628190,0.7444628190
-11.8347256741,-0.9928937107,0.7466226432,0.7466226432
-12.2730680515,-1.0293697543,0.7488105536,0.7488105536
-12.7114106928,-1.0658368277,0.7510245128,0.7510245128
-13.1497532461,-1.1022962499,0.7532626644,0.7532626644
-13.5880957115,-1.1387493402,0.7555233403,0.7555233403
-14.0264380010,-1.1751974176,0.7578050645,0.7578050645
-14.4647798508,-1.2116416255,0.7601065587,0.7601065587
-14.9031212609,-1.2480833710,0.7624267455,0.7624267455
-15.3414620554,-1.2845238853,0.7647647512,0.7647647512
-15.7798021463,-1.3209643996,0.7671199078,0.7671199078
-16.2181412698,-1.3574062331,0.7694917538,0.7694917538
-16.6564795139,-1.3938507048,0.7718800342,0.7718800342
-17.0948165268,-1.4302990461,0.7742847006,0.7742847006
-17.5331523964,-1.4667525761,0.7767059079,0.7767059079
-17.9714868589,-1.5032125260,0.7791440136,0.7791440136
-18.4098198263,-1.5396802149,0.7815995730,0.7815995730
-18.8481511229,-1.5761568742,0.7840733355,0.7840733355
-19.2864807484,-1.6126438228,0.7865662397,0.7865662397
-19.7248084393,-1.6491422921,0.7890794070,0.7890794070
-20.1631341074,-1.6856536892,0.7916141352,0.7916141352
-20.6014578407,-1.7221785416,0.7941718906,0.7941718906
-21.0397794634,-1.7587167616,0.7967543002,0.7967543002
-21.4780993272,-1.7952679972,0.7993631427,0.7993631427
-21.9164174322,-1.8318318968,0.8020003381,0.8020003381
-22.3547339541,-1.8684081964,0.8046679382,0.8046679382
-22.7930488931,-1.9049963685,0.8073681150,0.8073681150
-23.2313625129,-1.9415963250,0.8101031497,0.8101031497
-23.6696748135,-1.9782075384,0.8128754204,0.8128754204
-24.1079858830,-2.0148298327,0.8156873888,0.8156873888
-24.5462959850,-2.0514627681,0.8185415883,0.8185415883
-24.9846050317,-2.0881060810,0.8214406098,0.8214406098
-25.4229132870,-2.1247593316,0.8243870880,0.8243870880
-25.8612208386,-2.1614223439,0.8273836872,0.8273836872
-26.2995276868,-2.1980946782,0.8304330873,0.8304330873
-26.7378340952,-2.2347759829,0.8335379682,0.8335379682
-27.1761400639,-2.2714659939,0.8367009961,0.8367009961
-27.6144457687,-2.3081643597,0.8399248080,0.8399248080
-28.0527512977,-2.3448708163,0.8432119968,0.8432119968
-28.4910567387,-2.3815848360,0.8465650961,0.8465650961
-28.9293621797,-2.4183063310,0.8499865659,0.8499865659
-29.3676678846,-2.4550347735,0.8534787773,0.8534787773
-29.8059737653,-2.4917698998,0.8570439979,0.8570439979
-30.2442799978,-2.5285113581,0.8606843776,0.8606843776
-30.6825867580,-2.5652589724,0.8644019340,0.8644019340
-31.1208941338,-2.6020121272,0.8681985388,0.8681985388
-31.5592022131,-2.6387707345,0.8720759043,0.8720759043
-31.9975111719,-2.6755343546,0.8760355703,0.8760355703
-32.4358209222,-2.7123027237,0.8800788911,0.8800788911
-32.8741318157,-2.7490754020,0.8842070239,0.8842070239
-33.3124438525,-2.7858521257,0.8884209175,0.8884209175
-33.7507571206,-2.8226325431,0.8927213000,0.8927213000
-34.1890717957,-2.8594163024,0.8971086698,0.8971086698
-34.6273879659,-2.8962031397,0.9015832856,0.9015832856
-35.0657057190,-2.9329927032,0.9061451569,0.9061451569
-35.5040251431,-2.9697845533,0.9107940371,0.9107940371
-35.9423464141,-3.0065785140,0.9155294146,0.9155294146
-36.3806696197,-3.0433742337,0.9203505074,0.9203505074
-36.8189948481,-3.0801712724,0.9252562566,0.9252562566
-37.2573222751,-3.1169692786,0.9302453225,0.9302453225
-37.6956519007,-3.1537680763,0.9353160795,0.9353160795
-38.1339839887,-3.1905673136,0.9404666144,0.9404666144
-38.5723185392,-3.2273665510,0.9456947226,0.9456947226
-39.0106556400,-3.2641654366,0.9509979089,0.9509979089
-39.4489954671,-3.3009637945,0.9563733857,0.9563733857
-39.8873381084,-3.3377611851,0.9618180749,0.9618180749
-40.3256836518,-3.3745572565,0.9673286088,0.9673286088
-40.7640322733,-3.4113517449,0.9729013335,0.9729013335
-41.2023840607,-3.4481442985,0.9785323122,0.9785323122
-41.6407391021,-3.4849345656,0.9842173299,0.9842173299
-42.0790974853,-3.5217222824,0.9899518991,0.9899518991
-42.5174593863,-3.5585070090,0.9957312663,0.9957312663
-42.9558248051,-3.5952883938,1.0015504192,1.0015504192
-43.3941940054,-3.6320662608,1.0074040962,1.0074040962
-43.8325670753,-3.6688401703,1.0132867939,1.0132867939
-44.2709440147,-3.7056098586,1.0191927790,1.0191927790
-44.7093249995,-3.7423748858,1.0251160982,1.0251160982
-45.1477101176,-3.7791349881,1.0310505903,1.0310505903
-45.5860994571,-3.8158898138,1.0369898991,1.0369898991
-46.0244932818,-3.8526390991,1.0429274863,1.0429274863
-46.4628915036,-3.8893824042,1.0488566460,1.0488566460
-46.9012942985,-3.9261194652,1.0547705192,1.0547705192
-47.3397018423,-3.9628499305,1.0606621089,1.0606621089
-47.7781142231,-3.9995735361,1.0665242967,1.0665242967
-48.2165315287,-4.0362898424,1.0723498584,1.0723498584
-48.6549538472,-4.0729984976,1.0781314821,1.0781314821
-49.0933813543,-4.1096993258,1.0838617845,1.0838617845
-49.5318140501,-4.1463917993,1.0895333295,1.0895333295
-49.9702521985,-4.1830757422,1.0951386460,1.0951386460
-50.4086957993,-4.2197502752,1.1006702466,1.1006702466
-50.8471440612,-4.2559457778,1.1061206458,1.1061206458
-51.2855935543,-4.2898563225,1.1114823793,1.1114823793
-51.7240403211,-4.3194398524,1.1167480230,1.1167480230
-52.1624804922,-4.3426538709,1.1219102114,1.1219102114
-52.6009101979,-4.3574562331,1.1269616574,1.1269616574
-53.0393254808,-4.3618045304,1.1318951709,1.1318951709
-53.4777223835,-4.3536566178,1.1367036777,1.1367036777
-53.9160970364,-4.3309701746,1.1413802382,1.1413802382
-54.3542873588,-4.2914061575,1.1459180660,1.1459180660
-54.7815782685,-4.2128377982,1.1503105455,1.1503105455
-55.1702590005,-4.0412683455,1.1545512512,1.1545512512
-55.4995622229,-3.7438954355,1.1586339630,1.1586339630
-55.7850794184,-3.3963313698,1.1625526854,1.1625526854
-56.0128860805,-3.0218572682,1.1663016624,1.1663016624
-56.1804167985,-2.6200852102,1.1698753942,1.1698753942
-56.2966407048,-2.1985191833,1.1732686527,1.1732686527
-56.3705296582,-1.7646653736,1.1764764956,1.1764764956
-56.4106355854,-1.3259215323,1.1794942808,1.1794942808
-56.4173209913,-0.8875770442,1.1823176796,1.1823176796
-56.3835035791,-0.4530039415,1.1849426894,1.1849426894
-56.3018298334,-0.0255045169,1.1873656447,1.1873656447
-56.1649520430,0.3916122533,1.1895832290,1.1895832290
-55.9683788259,0.7915695013,1.1915924837,1.1915924837
-55.7151413438,1.1584596744,1.1933908172,1.1933908172
-55.4094939700,1.4748897595,1.1949760136,1.1949760136
-55.0556912534,1.7234667436,1.1963462392,1.1963462392
-54.6589330519,1.8886328265,1.1975000489,1.1975000489
-54.2327570947,1.9710173346,1.1984363905,1.1984363905
-53.7949231208,1.9797940460,1.1991546096,1.1991546096
-53.3573550013,1.9300121812,1.1996544518,1.1996544518
-52.9234995206,1.8449011489,1.1999360650,1.1999360650
-52.4948702810,1.7400957881,1.2000000000,1.2000000000
-52.0711562248,1.6194623757,1.1998472100,1.1998472100
-51.6519062879,1.4859638289,1.1994790494,1.1994790494
-51.2366358116,1.3426694770,1.1988972715,1.1988972715
-50.8232477741,1.1977228355,1.1981040246,1.1981040246
-50.4073577332,1.0664676491,1.1971018474,1.1971018474
-49.9844072058,0.9647953770,1.1958936637,1.1958936637
-49.5498377967,0.9085975664,1.1944827753,1.1944827753
-49.1030669657,0.9121491801,1.1928728544,1.1928728544
-48.6608340389,0.9826824588,1.1910679347,1.1910679347
-48.2445940693,1.1255125549,1.1890724022,1.1890724022
-47.8758020218,1.3459544448,1.1868909837,1.1868909837
-47.5753080714,1.6483290750,1.1845287360,1.1845287360
-47.3541994790,2.0209175719,1.1819910332,1.1819910332
-47.2156682556,2.4390291632,1.1792835528,1.1792835528
-47.1626797811,2.8776010742,1.1764122625,1.1764122625
-47.1981689185,3.3116079942,1.1733834050,1.1733834050
-47.3182700066,3.7242741004,1.1702034816,1.1702034816
-47.5038032766,4.1174016267,1.1668792368,1.1668792368
-47.7334942244,4.4953338576,1.1634176413,1.1634176413
-47.9860964878,4.8624102079,1.1598258740,1.1598258740
-48.2458514029,5.2222837785,1.1561113038,1.1561113038
-48.5090671736,5.5770979376,1.1522814719,1.1522814719
-48.7736575950,5.9287951897,1.1483440720,1.1483440720
-49.0375360228,6.2793181272,1.1443069314,1.1443069314
-49.2986162522,6.6306092545,1.1401779911,1.1401779911
-49.5548118146,6.9846110760,1.1359652856,1.1359652856
-49.8040362415,7.3432661842,1.1316769236,1.1316769236
-50.0442032402,7.7085170833,1.1273210670,1.1273210670
-50.2732432274,8.0822746182,1.1229059105,1.1229059105
-50.4897012595,8.4652905330,1.1184396618,1.1184396618
-50.6928996409,8.8568519547,1.1139305208,1.1139305208
-50.8822101006,9.2561520861,1.1093866595,1.1093866595
-51.0570046313,9.6623842180,1.1048162016,1.1048162016
-51.2166550499,10.0747414653,1.1002272033,1.1002272033
-51.3605331732,10.4924171188,1.0956276330,1.0956276330
-51.4880109941,10.9146043812,1.0910253522,1.0910253522
-51.5984604172,11.3404965435,1.0864280971,1.0864280971
-51.6915362629,11.7693671012,1.0818434590,1.0818434590
-51.7679741817,12.2007960343,1.0772788677,1.0772788677
-51.8287675877,12.6344362284,1.0727415731,1.0727415731
-51.8749098950,13.0699410086,1.0682386283,1.0682386283
