# 60c378f0-aa7b-4433-94f5-7caaf536f2e6
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0051999; -0.0602663; 1.6490051; -0.0001432; 6.8807927; 0.0088400
0.1999673; -0.1942205; -0.0758919; 1.6489788; -0.0001196; 6.8810496; 0.0092494
0.3999346; -0.3936092; -0.0915102; 1.6489573; -0.0000959; 6.8813184; 0.0096271
0.5999018; -0.5929666; -0.1071222; 1.6489405; -0.0000723; 6.8815981; 0.0099755
0.7998691; -0.7922929; -0.1227289; 1.6489284; -0.0000486; 6.8818880; 0.0102971
0.9998364; -0.9915881; -0.1383312; 1.6489210; -0.0000249; 6.8821872; 0.0105939
1.1998037; -1.1910001; -0.1539415; 1.6489170; -0.0000165; 6.8824950; 0.0101421
1.3997710; -1.3903893; -0.1695494; 1.6489145; -0.0000088; 6.8827897; 0.0096898
1.5997382; -1.5897484; -0.1851546; 1.6489135; -0.0000012; 6.8830712; 0.0092740
1.7997055; -1.7890779; -0.2007574; 1.6489140; 0.0000064; 6.8833406; 0.0082827
1.9996728; -1.9883783; -0.2163583; 1.6489160; 0.0000141; 6.8835812; 0.0072564
2.1996401; -2.1877812; -0.2319676; 1.6489189; 0.0000141; 6.8837920; 0.0066747
2.3996074; -2.3871693; -0.2475764; 1.6489216; 0.0000133; 6.8839859; 0.0061771
2.5995746; -2.5865293; -0.2631835; 1.6489242; 0.0000125; 6.8841653; 0.0057194
2.7995419; -2.7858618; -0.2787889; 1.6489266; 0.0000117; 6.8843315; 0.0052984
2.9995092; -2.9851671; -0.2943927; 1.6489289; 0.0000109; 6.8844854; 0.0049113
3.1994765; -3.1845621; -0.3100039; 1.6489309; 0.0000097; 6.8846280; 0.0045744
3.3994438; -3.3839488; -0.3256149; 1.6489328; 0.0000084; 6.8847609; 0.0042675
3.5994111; -3.5833095; -0.3412241; 1.6489343; 0.0000071; 6.8848848; 0.0039853
3.7993783; -3.7826446; -0.3568317; 1.6489356; 0.0000059; 6.8850006; 0.0037258
3.9993456; -3.9819545; -0.3724375; 1.6489367; 0.0000046; 6.8851088; 0.0034872
4.1993129; -4.1813426; -0.3880496; 1.6489375; 0.0000039; 6.8852101; 0.0032390
4.3992802; -4.3807278; -0.4036617; 1.6489382; 0.0000034; 6.8853041; 0.0030047
4.5992475; -4.5800889; -0.4192720; 1.6489389; 0.0000029; 6.8853914; 0.0027893
4.7992147; -4.7794265; -0.4348806; 1.6489394; 0.0000023; 6.8854724; 0.0025911
4.9991820; -4.9787409; -0.4504874; 1.6489398; 0.0000018; 6.8855477; 0.0024089
5.1991493; -5.1781231; -0.4660997; 1.6489401; 0.0000015; 6.8856176; 0.0022287
5.3991166; -5.3775067; -0.4817121; 1.6489404; 0.0000013; 6.8856824; 0.0020598
5.5990839; -5.5768682; -0.4973228; 1.6489406; 0.0000011; 6.8857422; 0.0019043
5.7990511; -5.7762080; -0.5129319; 1.6489408; 0.0000009; 6.8857975; 0.0017614
5.9990184; -5.9755266; -0.5285393; 1.6489410; 0.0000007; 6.8858486; 0.0016299
6.1989857; -6.1749039; -0.5441514; 1.6489411; 0.0000005; 6.8858960; 0.0015067
6.3989530; -6.3742856; -0.5597638; 1.6489412; 0.0000004; 6.8859397; 0.0013927
6.5989203; -6.5736473; -0.5753747; 1.6489413; 0.0000002; 6.8859802; 0.0012878
6.7988875; -6.7729892; -0.5909841; 1.6489413; 0.0000001; 6.8860176; 0.0011913
6.9988548; -6.9723119; -0.6065919; 1.6489413; -0.0000001; 6.8860521; 0.0010976
7.1988221; -7.1716849; -0.6222037; 1.6489413; -0.0000003; 6.8860840; 0.0009994
7.3987894; -7.3710647; -0.6378160; 1.6489412; -0.0000005; 6.8861130; 0.0009078
7.5987567; -7.5704263; -0.6534269; 1.6489411; -0.0000007; 6.8861394; 0.0008236
7.7987239; -7.7697703; -0.6690363; 1.6489409; -0.0000010; 6.8861633; 0.0007462
7.9986912; -7.9690969; -0.6846444; 1.6489407; -0.0000012; 6.8861850; 0.0006749
8.1986585; -8.1684662; -0.7002557; 1.6489404; -0.0000016; 6.8862046; 0.0006036
8.3986258; -8.3678439; -0.7158677; 1.6489400; -0.0000020; 6.8862221; 0.0005356
8.5985931; -8.5672055; -0.7314783; 1.6489396; -0.0000024; 6.8862377; 0.0004731
8.7985603; -8.7665512; -0.7470875; 1.6489391; -0.0000028; 6.8862514; 0.0004156
8.9985276; -8.9658816; -0.7626955; 1.6489384; -0.0000032; 6.8862635; 0.0003626
9.1984949; -9.1652479; -0.7783061; 1.6489377; -0.0000038; 6.8862740; 0.0003079
9.3984622; -9.3646235; -0.7939173; 1.6489369; -0.0000044; 6.8862829; 0.0002546
9.5984295; -9.5639848; -0.8095272; 1.6489360; -0.0000050; 6.8862903; 0.0002056
9.7983967; -9.7633323; -0.8251358; 1.6489349; -0.0000056; 6.8862963; 0.0001605
9.9983640; -9.9626664; -0.8407432; 1.6489338; -0.0000062; 6.8863010; 0.0001190
10.1983313; -10.1620302; -0.8563526; 1.6489324; -0.0000069; 6.8863044; 0.0000757
10.3982986; -10.3614035; -0.8719625; 1.6489310; -0.0000077; 6.8863066; 0.0000332
10.5982659; -10.5607646; -0.8875711; 1.6489294; -0.0000084; 6.8863076; -0.0000059
10.7982332; -10.7601137; -0.9031785; 1.6489276; -0.0000092; 6.8863074; -0.0000419
10.9982004; -10.9594514; -0.9187846; 1.6489257; -0.0000100; 6.8863062; -0.0000751
11.1981677; -11.1588131; -0.9343921; 1.6489236; -0.0000108; 6.8863040; -0.0001090
11.3981350; -11.3581842; -0.9500000; 1.6489214; -0.0000117; 6.8863009; -0.0001423
11.5981023; -11.5575450; -0.9656066; 1.6489189; -0.0000126; 6.8862967; -0.0001729
11.7980696; -11.7568958; -0.9812119; 1.6489163; -0.0000135; 6.8862917; -0.0002010
11.9980368; -11.9562370; -0.9968159; 1.6489135; -0.0000144; 6.8862859; -0.0002269
12.1980041; -12.1555971; -1.0124208; 1.6489106; -0.0000153; 6.8862793; -0.0002523
12.3979714; -12.3549660; -1.0280258; 1.6489074; -0.0000162; 6.8862719; -0.0002766
12.5979387; -12.5543264; -1.0436295; 1.6489041; -0.0000172; 6.8862639; -0.0002990
12.7979060; -12.7536788; -1.0592318; 1.6489006; -0.0000181; 6.8862552; -0.0003196
12.9978732; -12.9530235; -1.0748329; 1.6488968; -0.0000190; 6.8862460; -0.0003385
13.1978405; -13.1523825; -1.0904343; 1.6488929; -0.0000200; 6.8862361; -0.0003555
13.3978078; -13.3517491; -1.1060354; 1.6488888; -0.0000209; 6.8862258; -0.0003709
13.5977751; -13.5511092; -1.1216353; 1.6488846; -0.0000218; 6.8862150; -0.0003851
13.7977424; -13.7504631; -1.1372338; 1.6488801; -0.0000228; 6.8862038; -0.0003981
13.9977096; -13.9498113; -1.1528309; 1.6488755; -0.0000237; 6.8861923; -0.0004101
14.1976769; -14.1491696; -1.1684278; 1.6488706; -0.0000246; 6.8861804; -0.0004191
14.3976442; -14.3485339; -1.1840243; 1.6488656; -0.0000254; 6.8861682; -0.0004259
14.5976115; -14.5478936; -1.1996193; 1.6488605; -0.0000263; 6.8861558; -0.0004322
14.7975788; -14.7472492; -1.2152130; 1.6488551; -0.0000271; 6.8861433; -0.0004379
14.9975460; -14.9466009; -1.2308053; 1.6488496; -0.0000280; 6.8861306; -0.0004432
15.1975133; -15.1459587; -1.2463969; 1.6488440; -0.0000288; 6.8861177; -0.0004449
15.3974806; -15.3453208; -1.2619878; 1.6488381; -0.0000295; 6.8861048; -0.0004440
15.5974479; -15.5446802; -1.2775772; 1.6488322; -0.0000302; 6.8860919; -0.0004432
15.7974152; -15.7440373; -1.2931652; 1.6488260; -0.0000310; 6.8860790; -0.0004424
15.9973824; -15.9433925; -1.3087519; 1.6488198; -0.0000317; 6.8860662; -0.0004417
16.1973497; -16.1427502; -1.3243375; 1.6488134; -0.0000324; 6.8860533; -0.0004376
16.3973170; -16.3421100; -1.3399219; 1.6488068; -0.0000330; 6.8860406; -0.0004309
16.5972843; -16.5414691; -1.3555050; 1.6488002; -0.0000336; 6.8860281; -0.0004248
16.7972516; -16.7408278; -1.3710866; 1.6487934; -0.0000342; 6.8860158; -0.0004192
16.9972188; -16.9401864; -1.3866670; 1.6487865; -0.0000348; 6.8860036; -0.0004139
17.1971861; -17.1395443; -1.4022458; 1.6487795; -0.0000353; 6.8859916; -0.0004065
17.3971534; -17.3389019; -1.4178232; 1.6487724; -0.0000358; 6.8859798; -0.0003973
17.5971207; -17.5382606; -1.4333993; 1.6487652; -0.0000363; 6.8859682; -0.0003889
17.7970880; -17.7376208; -1.4489740; 1.6487579; -0.0000368; 6.8859569; -0.0003811
