# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.7748639287,0.7748639287
-0.4470895979,-0.0941688227,0.7736096127,0.7736096127
-0.8941657622,-0.1884129467,0.7723096638,0.7723096638
-1.3412179836,-0.2827768763,0.7709611952,0.7709611952
-1.7882358443,-0.3773050247,0.7695616506,0.7695616506
-2.2352089264,-0.4720418964,0.7681088124,0.7681088124
-2.6821266291,-0.5670319044,0.7666008060,0.7666008060
-3.1289787175,-0.6623196446,0.7650361054,0.7650361054
-3.5757545908,-0.7579494388,0.7634135355,0.7634135355
-4.0224462986,-0.8539549165,0.7617322739,0.7617322739
-4.4690563082,-0.9503252030,0.7599918514,0.7599918514
-4.9155894630,-1.0470381831,0.7581921525,0.7581921525
-5.3620508807,-1.1440714674,0.7563334111,0.7563334111
-5.8084453132,-1.2414029410,0.7544162095,0.7544162095
-6.2547779694,-1.3390104885,0.7524414727,0.7524414727
-6.7010536014,-1.4368717206,0.7504104630,0.7504104630
-7.1472772354,-1.5349646136,0.7483247732,0.7483247732
-7.5934538975,-1.6332669610,0.7461863185,0.7461863185
-8.0395885225,-1.7317564648,0.7439973279,0.7439973279
-8.4856859539,-1.8304109184,0.7417603327,0.7417603327
-8.9317513091,-1.9292082067,0.7394781568,0.7394781568
-9.3777895230,-2.0281261232,0.7371539032,0.7371539032
-9.8238055303,-2.1271423699,0.7347909416,0.7347909416
-10.2698042659,-2.2262348317,0.7323928933,0.7323928933
-10.7157907559,-2.3253813019,0.7299636175,0.7299636175
-11.1617699351,-2.4245595742,0.7275071946,0.7275071946
-11.6077467383,-2.5237474418,0.7250279097,0.7250279097
-12.0537261003,-2.6229226983,0.7225302358,0.7225302358
-12.4997131386,-2.7220631372,0.7200188157,0.7200188157
-12.9457126053,-2.8211466432,0.7174984437,0.7174984437
-13.3917296179,-2.9201509185,0.7149740467,0.7149740467
-13.8377691111,-3.0190537564,0.7124506651,0.7124506651
-14.2838359285,-3.1178329505,0.7099334328,0.7099334328
-14.7299351876,-3.2164664770,0.7074275578,0.7074275578
-15.1760718231,-3.3149318551,0.7049383019,0.7049383019
-15.6222507698,-3.4132071526,0.7024709598,0.7024709598
-16.0684769626,-3.5112699799,0.7000308401,0.7000308401
-16.5147554275,-3.6090982221,0.6976232439,0.6976232439
-16.9610910081,-3.7066696726,0.6952534455,0.6952534455
-17.4074888218,-3.8039620333,0.6929266714,0.6929266714
-17.8539537121,-3.9009532806,0.6906480811,0.6906480811
-18.3004907051,-3.9976211166,0.6884227478,0.6884227478
-18.7471047356,-4.0939433345,0.6862556384,0.6862556384
-19.1937979969,-4.1899103392,0.6841515954,0.6841515954
-19.6405612591,-4.2855629796,0.6821153190,0.6821153190
-20.0873826421,-4.3809550814,0.6801513485,0.6801513485
-20.5342499918,-4.4761403791,0.6782640461,0.6782640461
-20.9811513367,-4.5711725156,0.6764575801,0.6764575801
-21.4280746139,-4.6661053166,0.6747359100,0.6747359100
-21.8750079435,-4.7609924251,0.6731027703,0.6731027703
-22.3219391713,-4.8558875756,0.6715616582,0.6715616582
-22.7688563257,-4.9508445936,0.6701158192,0.6701158192
-23.2157475268,-5.0459171222,0.6687682365,0.6687682365
-23.6626005291,-5.1411588958,0.6675216183,0.6675216183
-24.1094034523,-5.2366237401,0.6663783885,0.6663783885
-24.5561442338,-5.3323652066,0.6653406778,0.6653406778
-25.0028109935,-5.4284372126,0.6644103157,0.6644103157
-25.4493914857,-5.5248933096,0.6635888236,0.6635888236
-25.8958738305,-5.6217873233,0.6628774092,0.6628774092
-26.3422460565,-5.7191730795,0.6622769618,0.6622769618
-26.7885031373,-5.8170715967,0.6617880493,0.6617880493
-27.2346930503,-5.9152630941,0.6614109162,0.6614109162
-27.6808871669,-6.0134190428,0.6611454824,0.6611454824
-28.1271572245,-6.1112103654,0.6609913434,0.6609913434
-28.5735748687,-6.2083081676,0.6609477722,0.6609477722
-29.0202117455,-6.3043832806,0.6610137217,0.6610137217
-29.4671395920,-6.3991069015,0.6611878290,0.6611878290
