# 0c7c2655-27c2-488f-8b10-fa59f0c89764
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0206453; -0.0711893; 1.7770983; 0.0007645; 6.8665819; 0.0187517
0.1999573; -0.1750699; -0.1121637; 1.7772451; 0.0007034; 6.8671280; 0.0201237
0.3999146; -0.3707787; -0.1531655; 1.7773796; 0.0006423; 6.8677139; 0.0213863
0.5998720; -0.5664818; -0.1941922; 1.7775019; 0.0005812; 6.8683365; 0.0225484
0.7998293; -0.7621797; -0.2352417; 1.7776120; 0.0005200; 6.8689930; 0.0236183
0.9997866; -0.9578731; -0.2763115; 1.7777099; 0.0004589; 6.8696804; 0.0246034
1.1997439; -1.1535639; -0.3173996; 1.7777978; 0.0004214; 6.8703965; 0.0243956
1.3997012; -1.3492511; -0.3585041; 1.7778784; 0.0003848; 6.8711065; 0.0241633
1.5996585; -1.5449349; -0.3996237; 1.7779517; 0.0003482; 6.8718097; 0.0239504
1.7996159; -1.7406155; -0.4407569; 1.7780177; 0.0003116; 6.8725066; 0.0237553
1.9995732; -1.9362931; -0.4819021; 1.7780763; 0.0002750; 6.8731977; 0.0235765
2.1995305; -2.1319701; -0.5230585; 1.7781291; 0.0002535; 6.8738835; 0.0227008
2.3994878; -2.3276446; -0.5642248; 1.7781777; 0.0002331; 6.8745439; 0.0218401
2.5994451; -2.5233167; -0.6054001; 1.7782223; 0.0002128; 6.8751791; 0.0210488
2.7994024; -2.7189864; -0.6465836; 1.7782628; 0.0001924; 6.8757912; 0.0203215
2.9993598; -2.9146540; -0.6877744; 1.7782992; 0.0001720; 6.8763822; 0.0196529
3.1993171; -3.1103224; -0.7289726; 1.7783322; 0.0001582; 6.8769537; 0.0187276
3.3992744; -3.3059892; -0.7701768; 1.7783625; 0.0001453; 6.8774982; 0.0178388
3.5992317; -3.5016541; -0.8113866; 1.7783903; 0.0001323; 6.8780168; 0.0170216
3.7991890; -3.6973171; -0.8526014; 1.7784154; 0.0001193; 6.8785116; 0.0162702
3.9991463; -3.8929783; -0.8938207; 1.7784380; 0.0001063; 6.8789846; 0.0155792
4.1991037; -4.0886415; -0.9350448; 1.7784583; 0.0000972; 6.8794374; 0.0147617
4.3990610; -4.2843037; -0.9762726; 1.7784768; 0.0000887; 6.8798665; 0.0139790
4.5990183; -4.4799642; -1.0175037; 1.7784937; 0.0000802; 6.8802727; 0.0132593
4.7989756; -4.6756229; -1.0587377; 1.7785089; 0.0000717; 6.8806581; 0.0125974
4.9989329; -4.8712800; -1.0999743; 1.7785224; 0.0000632; 6.8810242; 0.0119887
5.1988902; -5.0669401; -1.1412141; 1.7785344; 0.0000573; 6.8813725; 0.0113042
5.3988476; -5.2625997; -1.1824561; 1.7785453; 0.0000521; 6.8817010; 0.0106471
5.5988049; -5.4582576; -1.2237000; 1.7785552; 0.0000468; 6.8820104; 0.0100427
5.7987622; -5.6539138; -1.2649453; 1.7785641; 0.0000415; 6.8823021; 0.0094870
5.9987195; -5.8495682; -1.3061920; 1.7785718; 0.0000363; 6.8825778; 0.0089758
6.1986768; -6.0452266; -1.3474411; 1.7785787; 0.0000326; 6.8828385; 0.0084276
6.3986341; -6.2408848; -1.3886914; 1.7785849; 0.0000295; 6.8830834; 0.0079019
6.5985915; -6.4365413; -1.4299425; 1.7785905; 0.0000263; 6.8833129; 0.0074183
6.7985488; -6.6321959; -1.4711944; 1.7785954; 0.0000231; 6.8835284; 0.0069736
6.9985061; -6.8278488; -1.5124468; 1.7785997; 0.0000199; 6.8837310; 0.0065646
7.1984634; -7.0235062; -1.5537010; 1.7786035; 0.0000177; 6.8839217; 0.0061452
7.3984207; -7.2191638; -1.5949559; 1.7786068; 0.0000157; 6.8841002; 0.0057450
7.5983780; -7.4148196; -1.6362111; 1.7786097; 0.0000138; 6.8842670; 0.0053769
7.7983354; -7.6104733; -1.6774665; 1.7786123; 0.0000118; 6.8844232; 0.0050384
7.9982927; -7.8061250; -1.7187219; 1.7786145; 0.0000099; 6.8845696; 0.0047270
8.1982500; -8.0017819; -1.7599788; 1.7786163; 0.0000083; 6.8847068; 0.0044216
8.3982073; -8.1974395; -1.8012362; 1.7786178; 0.0000069; 6.8848353; 0.0041331
8.5981646; -8.3930950; -1.8424934; 1.7786190; 0.0000055; 6.8849553; 0.0038678
8.7981220; -8.5887483; -1.8837504; 1.7786200; 0.0000041; 6.8850676; 0.0036237
8.9980793; -8.7843992; -1.9250070; 1.7786207; 0.0000027; 6.8851729; 0.0033992
9.1980366; -8.9800558; -1.9662650; 1.7786211; 0.0000014; 6.8852716; 0.0031891
9.3979939; -9.1757138; -2.0075233; 1.7786212; 0.0000001; 6.8853642; 0.0029941
9.5979512; -9.3713693; -2.0487811; 1.7786211; -0.0000012; 6.8854511; 0.0027049
9.7979085; -9.5670224; -2.0900383; 1.7786208; -0.0000024; 6.8855297; 0.0024272
9.9978659; -9.7626729; -2.1312949; 1.7786202; -0.0000037; 6.8856002; 0.0021717
10.1978232; -9.9583294; -2.1725526; 1.7786193; -0.0000051; 6.8856633; 0.0019316
