# 40b218f1-6c8f-4c72-b9b8-32a51a2d66cd
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0761790; 0.1374310; 2.4829377; 0.0317034; 6.3636170; 0.1053699
0.1999298; -0.1986098; -0.0217941; 2.4892239; 0.0308913; 6.3669266; 0.1285075
0.3998596; -0.3197987; -0.1814422; 2.4953341; 0.0300770; 6.3709606; 0.1496671
0.5997893; -0.4397679; -0.3414756; 2.5012682; 0.0292605; 6.3756557; 0.1690556
0.7997191; -0.5585395; -0.5018563; 2.5070261; 0.0284417; 6.3809548; 0.1868602
0.9996489; -0.6761353; -0.6625466; 2.5126078; 0.0276205; 6.3868068; 0.2032510
1.1995787; -0.7935224; -0.8248218; 2.5180533; 0.0267402; 6.3931662; 0.2206884
1.3995084; -0.9101941; -0.9879417; 2.5233239; 0.0258183; 6.4000639; 0.2383921
1.5994382; -1.0257625; -1.1512979; 2.5283966; 0.0248786; 6.4075066; 0.2553991
1.7993680; -1.1402693; -1.3148728; 2.5332689; 0.0239215; 6.4154708; 0.2717689
1.9992978; -1.2537564; -1.4786487; 2.5379386; 0.0229479; 6.4239345; 0.2875558
2.1992276; -1.3667922; -1.6433793; 2.5424247; 0.0219642; 6.4328778; 0.3025659
2.3991573; -1.4795451; -1.8092560; 2.5467310; 0.0209742; 6.4422745; 0.3167377
2.5990871; -1.5913800; -1.9752786; 2.5508294; 0.0199712; 6.4520966; 0.3304350
2.7990169; -1.7023364; -2.1414253; 2.5547183; 0.0189558; 6.4623276; 0.3437061
2.9989467; -1.8124539; -2.3076743; 2.5583960; 0.0179282; 6.4729524; 0.3565954
3.1988765; -1.9220307; -2.4743990; 2.5618692; 0.0168891; 6.4839572; 0.3691302
3.3988062; -2.0316273; -2.6423873; 2.5651517; 0.0158387; 6.4953292; 0.3813555
3.5987360; -2.1404922; -2.8104171; 2.5682167; 0.0147758; 6.5070569; 0.3933671
3.7986658; -2.2486679; -2.9784696; 2.5710626; 0.0137008; 6.5191319; 0.4051872
3.9985956; -2.3561968; -3.1465256; 2.5736879; 0.0126141; 6.5315465; 0.4168369
4.1985253; -2.4632158; -3.3147152; 2.5760933; 0.0115335; 6.5442933; 0.4275874
4.3984551; -2.5704875; -3.4841648; 2.5783124; 0.0105943; 6.5573432; 0.4317155
4.5983849; -2.6772248; -3.6535649; 2.5803388; 0.0096455; 6.5704928; 0.4362309
4.7983147; -2.7834657; -3.8229007; 2.5821714; 0.0086874; 6.5837533; 0.4410971
4.9982445; -2.8892481; -3.9921574; 2.5838090; 0.0077204; 6.5971345; 0.4462812
5.1981742; -2.9946125; -4.1613243; 2.5852506; 0.0067455; 6.6106455; 0.4517193
5.3981040; -3.1003818; -4.3316556; 2.5865292; 0.0060077; 6.6242930; 0.4466581
5.5980338; -3.2057934; -4.5018677; 2.5876576; 0.0052633; 6.6377600; 0.4425649
5.7979636; -3.3108781; -4.6719517; 2.5886350; 0.0045128; 6.6510768; 0.4393477
5.9978934; -3.4156666; -4.8418988; 2.5894606; 0.0037563; 6.6642704; 0.4369231
6.1978231; -3.5201896; -5.0117001; 2.5901337; 0.0029941; 6.6773653; 0.4352150
6.3977529; -3.6251114; -5.1823804; 2.5906777; 0.0024480; 6.6903836; 0.4242394
6.5976827; -3.7298590; -5.3529646; 2.5911141; 0.0019119; 6.7030492; 0.4138940
6.7976125; -3.8344159; -5.5233845; 2.5914425; 0.0013723; 6.7153829; 0.4047271
6.9975422; -3.9388056; -5.6936365; 2.5916624; 0.0008292; 6.7274216; 0.3966299
7.1974720; -4.0430515; -5.8637170; 2.5917734; 0.0002829; 6.7391986; 0.3895029
7.3974018; -4.1476837; -6.0344516; 2.5917921; -0.0000797; 6.7507440; 0.3674897
7.5973316; -4.2522603; -6.2050893; 2.5917415; -0.0004261; 6.7616188; 0.3221719
7.7972614; -4.3567490; -6.3755509; 2.5916216; -0.0007742; 6.7711382; 0.2803258
7.9971911; -4.4611663; -6.5458370; 2.5914321; -0.0011237; 6.7794103; 0.2416959
8.1971209; -4.5655290; -6.7159482; 2.5911728; -0.0014746; 6.7865343; 0.2060459
8.3970507; -4.6702528; -6.8865368; 2.5908558; -0.0016798; 6.7926017; 0.1799346
8.5969805; -4.7749896; -7.0570181; 2.5905006; -0.0018709; 6.7978957; 0.1565559
8.7969103; -4.8797109; -7.2273311; 2.5901074; -0.0020623; 6.8024985; 0.1350259
8.9968400; -4.9844277; -7.3974796; 2.5896762; -0.0022541; 6.8064659; 0.1152038
9.1967698; -5.0891511; -7.5674675; 2.5892070; -0.0024460; 6.8098490; 0.0969593
9.3966996; -5.1941925; -7.7377861; 2.5887085; -0.0025287; 6.8126950; 0.0852527
9.5966294; -5.2992825; -7.9079907; 2.5881953; -0.0026027; 6.8151964; 0.0748956
9.7965591; -5.4044048; -8.0780495; 2.5876676; -0.0026764; 6.8173932; 0.0653875
9.9964889; -5.5095662; -8.2479685; 2.5871254; -0.0027497; 6.8193105; 0.0566617
10.1964187; -5.6147740; -8.4177537; 2.5865689; -0.0028228; 6.8209715; 0.0486567
10.3963485; -5.7202372; -8.5877378; 2.5860042; -0.0028195; 6.8223975; 0.0448550
10.5962783; -5.8257663; -8.7576141; 2.5854410; -0.0028126; 6.8237119; 0.0415264
10.7962080; -5.9313573; -8.9273771; 2.5848795; -0.0028053; 6.8249285; 0.0384917
10.9961378; -6.0370144; -9.0970342; 2.5843195; -0.0027975; 6.8260560; 0.0357270
11.1960676; -6.1427424; -9.2665937; 2.5837614; -0.0027889; 6.8271023; 0.0332219
11.3959974; -6.2486438; -9.4362211; 2.5832092; -0.0027339; 6.8280751; 0.0330859
11.5959272; -6.3546222; -9.6057656; 2.5826681; -0.0026784; 6.8290438; 0.0329857
11.7958569; -6.4606804; -9.7752357; 2.5821382; -0.0026224; 6.8300095; 0.0329175
11.9957867; -6.5668207; -9.9446395; 2.5816196; -0.0025659; 6.8309730; 0.0328777
12.1957165; -6.6730451; -10.1139844; 2.5811124; -0.0025082; 6.8319352; 0.0329010
12.3956463; -6.7793472; -10.2832648; 2.5806182; -0.0024358; 6.8328979; 0.0336096
12.5955760; -6.8857385; -10.4525041; 2.5801386; -0.0023630; 6.8338812; 0.0342805
12.7955058; -6.9922209; -10.6217108; 2.5796735; -0.0022899; 6.8348841; 0.0349156
12.9954356; -7.0987963; -10.7908936; 2.5792229; -0.0022165; 6.8359053; 0.0355164
13.1953654; -7.2054547; -10.9600418; 2.5787870; -0.0021483; 6.8369440; 0.0358252
13.3952952; -7.3121034; -11.1290133; 2.5783597; -0.0021287; 6.8379915; 0.0338358
13.5952249; -7.4188529; -11.2979851; 2.5779362; -0.0021088; 6.8389808; 0.0320235
13.7951547; -7.5257070; -11.4669648; 2.5775166; -0.0020886; 6.8399169; 0.0303735
13.9950845; -7.6326695; -11.6359595; 2.5771010; -0.0020681; 6.8408046; 0.0288721
14.1950143; -7.7397107; -11.8049239; 2.5766893; -0.0020541; 6.8416484; 0.0271910
14.3949441; -7.8466695; -11.9736045; 2.5762764; -0.0020797; 6.8424429; 0.0237885
14.5948738; -7.9537504; -12.1423229; 2.5758583; -0.0021048; 6.8431380; 0.0206838
14.7948036; -8.0609598; -12.3110867; 2.5754350; -0.0021295; 6.8437422; 0.0178532
14.9947334; -8.1683041; -12.4799038; 2.5750066; -0.0021536; 6.8442638; 0.0152752
15.1946632; -8.2757299; -12.6486886; 2.5745741; -0.0021321; 6.8447100; 0.0150447
15.3945929; -8.3830199; -12.8171033; 2.5741716; -0.0018993; 6.8451494; 0.0247362
15.5945227; -8.4904460; -12.9855905; 2.5738153; -0.0016672; 6.8458719; 0.0336098
15.7944525; -8.5980004; -13.1541549; 2.5735051; -0.0014359; 6.8468533; 0.0417344
15.9943823; -8.7056751; -13.3228011; 2.5732408; -0.0012055; 6.8480719; 0.0491732
16.1943121; -8.8133946; -13.4914278; 2.5730222; -0.0009958; 6.8495073; 0.0550408
16.3942418; -8.9209341; -13.6596981; 2.5728358; -0.0008715; 6.8511137; 0.0564403
16.5941716; -9.0285727; -13.8280589; 2.5726740; -0.0007476; 6.8527606; 0.0577121
16.7941014; -9.1363052; -13.9965111; 2.5725369; -0.0006242; 6.8544441; 0.0588673
16.9940312; -9.2441264; -14.1650557; 2.5724243; -0.0005012; 6.8561610; 0.0599159
17.1939610; -9.3519681; -14.3335950; 2.5723362; -0.0003836; 6.8579079; 0.0606265
17.3938907; -9.4596219; -14.5018120; 2.5722691; -0.0002881; 6.8596751; 0.0602516
17.5938205; -9.5673497; -14.6701233; 2.5722211; -0.0001928; 6.8614310; 0.0598977
17.7937503; -9.6751475; -14.8385298; 2.5721920; -0.0000979; 6.8631761; 0.0595632
17.9936801; -9.7830114; -15.0070322; 2.5721819; -0.0000032; 6.8649110; 0.0592470
18.1936098; -9.8908836; -15.1755473; 2.5721907; 0.0000912; 6.8666362; 0.0503459
18.3935396; -9.9985609; -15.3437648; 2.5722183; 0.0001854; 6.8681020; 0.0418636
18.5934694; -10.1062919; -15.5120798; 2.5722648; 0.0002794; 6.8693205; 0.0340707
18.7933992; -10.2140724; -15.6804929; 2.5723300; 0.0003731; 6.8703120; 0.0269123
18.9933290; -10.3218983; -15.8490046; 2.5724140; 0.0004665; 6.8710952; 0.0203380
19.1932587; -10.4297243; -16.0175512; 2.5725167; 0.0005607; 6.8716869; 0.0142576
19.3931885; -10.5373461; -16.1858202; 2.5726386; 0.0006600; 6.8721017; 0.0084198
19.5931183; -10.6450006; -16.3541891; 2.5727804; 0.0007591; 6.8723467; 0.0030615
19.7930481; -10.7526834; -16.5226586; 2.5729421; 0.0008580; 6.8724357; -0.0018554
19.9929779; -10.8603901; -16.6912293; 2.5731236; 0.0009567; 6.8723818; -0.0063663
20.1929076; -10.9680902; -16.8598608; 2.5733249; 0.0010552; 6.8721966; -0.0105044
20.3928374; -11.0755747; -17.0282329; 2.5735455; 0.0011536; 6.8718909; -0.0143043
20.5927672; -11.1830701; -17.1967079; 2.5737858; 0.0012518; 6.8714748; -0.0177880
20.7926970; -11.2905722; -17.3652862; 2.5740459; 0.0013498; 6.8709572; -0.0209809
20.9926267; -11.3980765; -17.5339685; 2.5743257; 0.0014477; 6.8703467; -0.0239065
21.1925565; -11.5055679; -17.7027383; 2.5746251; 0.0015448; 6.8696509; -0.0265609
21.3924863; -11.6128323; -17.8712665; 2.5749423; 0.0016309; 6.8688779; -0.0284775
21.5924161; -11.7200864; -18.0398998; 2.5752769; 0.0017169; 6.8680490; -0.0302316
21.7923459; -11.8273262; -18.2086384; 2.5756287; 0.0018028; 6.8671689; -0.0318365
21.9922756; -11.9345478; -18.3774828; 2.5759979; 0.0018886; 6.8662419; -0.0333045
22.1922054; -12.0417472; -18.5464333; 2.5763844; 0.0019743; 6.8652721; -0.0346468
22.3921352; -12.1487192; -18.7151723; 2.5767843; 0.0020288; 6.8642630; -0.0344136
22.5920650; -12.2556584; -18.8840107; 2.5771952; 0.0020828; 6.8632606; -0.0341684
22.7919947; -12.3625656; -19.0529543; 2.5776170; 0.0021368; 6.8622652; -0.0339407
22.9919245; -12.4694379; -19.2220026; 2.5780497; 0.0021907; 6.8612763; -0.0337293
23.1918543; -12.5762725; -19.3911552; 2.5784934; 0.0022446; 6.8602934; -0.0335331
23.3917841; -12.6829053; -19.5601557; 2.5789424; 0.0022440; 6.8593161; -0.0307859
23.5917139; -12.7894795; -19.7292314; 2.5793903; 0.0022378; 6.8584187; -0.0279971
23.7916436; -12.8960111; -19.8984071; 2.5798371; 0.0022317; 6.8576025; -0.0254392
23.9915734; -13.0024991; -20.0676811; 2.5802828; 0.0022257; 6.8568608; -0.0230935
24.1915032; -13.1089426; -20.2370516; 2.5807274; 0.0022197; 6.8561874; -0.0209425
24.3914330; -13.2152176; -20.4063199; 2.5811635; 0.0021292; 6.8555767; -0.0149875
24.5913628; -13.3214222; -20.5756361; 2.5815782; 0.0020203; 6.8551396; -0.0086571
24.7912925; -13.4275861; -20.7450392; 2.5819712; 0.0019116; 6.8548871; -0.0028507
24.9912223; -13.5337116; -20.9145252; 2.5823426; 0.0018032; 6.8548039; 0.0024752
25.1911521; -13.6398015; -21.0840902; 2.5826925; 0.0016950; 6.8548761; 0.0073607
25.3910819; -13.7457697; -21.2535876; 2.5830130; 0.0014839; 6.8550908; 0.0166836
25.5910116; -13.8516777; -21.4231006; 2.5832847; 0.0012349; 6.8555774; 0.0270383
25.7909414; -13.9575658; -21.5926750; 2.5835067; 0.0009863; 6.8563658; 0.0365471
25.9908712; -14.0634413; -21.7623035; 2.5836791; 0.0007379; 6.8574315; 0.0452825
26.1908010; -14.1693112; -21.9319789; 2.5838018; 0.0004897; 6.8587516; 0.0533106
26.3907308; -14.2751252; -22.1016010; 2.5838683; 0.0001368; 6.8603054; 0.0656356
26.5906605; -14.3809180; -22.2711995; 2.5838543; -0.0002770; 6.8622179; 0.0537661
26.7905903; -14.4867363; -22.4408178; 2.5837576; -0.0006906; 6.8637842; 0.0299669
26.9905201; -14.5925930; -22.6104457; 2.5835782; -0.0011038; 6.8646570; 0.0080813
27.1904499; -14.6985011; -22.7800725; 2.5833162; -0.0015169; 6.8648924; -0.0120352
27.3903797; -14.8044378; -22.9496310; 2.5829763; -0.0018423; 6.8645419; -0.0263966
27.5903094; -14.9104176; -23.1191196; 2.5825832; -0.0020900; 6.8637730; -0.0359305
27.7902392; -15.0164804; -23.2885834; 2.5821407; -0.0023375; 6.8627264; -0.0446796
27.9901690; -15.1226343; -23.4580168; 2.5816486; -0.0025850; 6.8614246; -0.0527050
28.1900988; -15.2288878; -23.6274143; 2.5811069; -0.0028323; 6.8598887; -0.0600632
28.3900285; -15.3352363; -23.7967500; 2.5805103; -0.0032113; 6.8581379; -0.0730017
28.5899583; -15.4416852; -23.9660034; 2.5798124; -0.0037690; 6.8560095; -0.0932695
28.7898881; -15.5482633; -24.1351792; 2.5790030; -0.0043276; 6.8532891; -0.1118894
28.9898179; -15.6549824; -24.3042541; 2.5780818; -0.0048876; 6.8500242; -0.1289985
29.1897477; -15.7618542; -24.4732051; 2.5770486; -0.0054492; 6.8462581; -0.1447238
29.3896774; -15.8689426; -24.6420902; 2.5758851; -0.0065621; 6.8420304; -0.1849042
29.5896072; -15.9763369; -24.8109602; 2.5743423; -0.0088575; 6.8366252; -0.2768779
29.7895370; -16.0839845; -24.9795678; 2.5723400; -0.0111631; 6.8285234; -0.3612039
29.9894668; -16.1919462; -25.1478379; 2.5698767; -0.0134820; 6.8179397; -0.4384194
30.1893966; -16.3002829; -25.3156956; 2.5669503; -0.0158171; 6.8050713; -0.5090363
30.3893263; -16.4091704; -25.4832421; 2.5635566; -0.0180831; 6.7900996; -0.5694750
30.5892561; -16.5189633; -25.6508535; 2.5597361; -0.0200551; 6.7733110; -0.6101660
30.7891859; -16.6293060; -25.8178372; 2.5555232; -0.0220469; 6.7552766; -0.6472403
30.9891157; -16.7402491; -25.9841302; 2.5509151; -0.0240602; 6.7360936; -0.6809870
31.1890454; -16.8518433; -26.1496700; 2.5459088; -0.0260965; 6.7158512; -0.7116718
31.3889752; -16.9642647; -26.3145768; 2.5404950; -0.0281617; 6.6946313; -0.7397359
31.5889050; -17.0781834; -26.4796730; 2.5346342; -0.0302814; 6.6725031; -0.7664667
31.7888348; -17.1929137; -26.6438052; 2.5283553; -0.0324336; 6.6494977; -0.7908855
31.9887646; -17.3085037; -26.8069031; 2.5216537; -0.0346198; 6.6256755; -0.8131870
32.1886943; -17.4250016; -26.9688958; 2.5145249; -0.0368418; 6.6010920; -0.8335428
32.3886241; -17.5425885; -27.1298936; 2.5069554; -0.0390873; 6.5757977; -0.8515248
32.5885539; -17.6622724; -27.2911008; 2.4988898; -0.0412631; 6.5498569; -0.8632806
32.7884837; -17.7830237; -27.4509643; 2.4904017; -0.0434797; 6.5234526; -0.8741412
32.9884135; -17.9048855; -27.6094123; 2.4814856; -0.0457378; 6.4966068; -0.8841567
33.1883432; -18.0279009; -27.7663730; 2.4721358; -0.0480381; 6.4693401; -0.8933606
33.3882730; -18.1523042; -27.9220113; 2.4623320; -0.0503338; 6.4416724; -0.8998278
33.5882028; -18.2792974; -28.0776524; 2.4520201; -0.0523425; 6.4136837; -0.8921927
33.7881326; -18.4075910; -28.2315590; 2.4413280; -0.0543899; 6.3858113; -0.8854656
33.9880623; -18.5372167; -28.3836665; 2.4302505; -0.0564752; 6.3580283; -0.8795042
34.1879921; -18.6682060; -28.5339101; 2.4187826; -0.0585974; 6.3303117; -0.8741651
34.3879219; -18.8009354; -28.6826071; 2.4068919; -0.0605727; 6.3026425; -0.8620513
34.5878517; -18.9364787; -28.8308057; 2.3945990; -0.0618471; 6.2752373; -0.8222305
34.7877815; -19.0734868; -28.9769245; 2.3820816; -0.0631394; 6.2489861; -0.7864315
34.9877112; -19.2119663; -29.1209234; 2.3693371; -0.0644484; 6.2237742; -0.7542183
35.1876410; -19.3519235; -29.2627623; 2.3563631; -0.0657723; 6.1994986; -0.7251896
35.3875708; -19.4939337; -29.4029556; 2.3431077; -0.0670160; 6.1760675; -0.6954039
35.5875006; -19.6385677; -29.5419604; 2.3295583; -0.0680658; 6.1535149; -0.6607606
35.7874304; -19.7847453; -29.6786630; 2.3158327; -0.0690899; 6.1320090; -0.6283019
35.9873601; -19.9324813; -29.8130465; 2.3019347; -0.0700853; 6.1114893; -0.5977406
36.1872899; -20.0817906; -29.9450935; 2.2878684; -0.0710488; 6.0919036; -0.5688167
36.3872197; -20.2332099; -30.0752302; 2.2736140; -0.0715100; 6.0732069; -0.5240544
36.5871495; -20.3867237; -30.2034005; 2.2593181; -0.0714314; 6.0559305; -0.4641676
36.7870792; -20.5419383; -30.3292740; 2.2450645; -0.0711910; 6.0405871; -0.4049193
36.9870090; -20.6989091; -30.4529128; 2.2308767; -0.0707904; 6.0271703; -0.3463712
37.1869388; -20.8576918; -30.5743789; 2.2167777; -0.0702326; 6.0156697; -0.2886053
37.3868686; -21.0176992; -30.6932726; 2.2029871; -0.0676582; 6.0060703; -0.1644931
37.5867984; -21.1793465; -30.8100345; 2.1898179; -0.0644133; 6.0005921; -0.0300134
37.7867281; -21.3428021; -30.9249339; 2.1772775; -0.0611094; 5.9995920; 0.0920923
37.9866579; -21.5080356; -31.0380912; 2.1653740; -0.0577623; 6.0026601; 0.2030590
38.1865877; -21.6750172; -31.1496266; 2.1541136; -0.0543870; 6.0094196; 0.3039805
