# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.8367327668,0.8367327668
-0.2109487981,0.3350536353,0.8365017892,0.8365017892
-0.4217897964,0.6701738831,0.8363594038,0.8363594038
-0.6325282225,1.0053574960,0.8363045584,0.8363045584
-0.8431692248,1.3406012266,0.8363360750,0.8363360750
-1.0537181101,1.6759018272,0.8364526520,0.8364526520
-1.2641801853,2.0112559713,0.8366528673,0.8366528673
-1.4745605988,2.3466604907,0.8369351811,0.8369351811
-1.6848645781,2.6821119794,0.8372979397,0.8372979397
-1.8950974302,3.0176073484,0.8377393790,0.8377393790
-2.1052644618,3.3531432711,0.8382576274,0.8382576274
-2.3153707421,3.6887164208,0.8388507115,0.8388507115
-2.5254215781,4.0243237083,0.8395165581,0.8395165581
-2.7354221972,4.3599616487,0.8402529996,0.8402529996
-2.9453779855,4.6956272322,0.8410577786,0.8410577786
-3.1552939330,5.0313169735,0.8419285516,0.8419285516
-3.3651755050,5.3670277838,0.8428628945,0.8428628945
-3.5750278498,5.7027563362,0.8438583065,0.8438583065
-3.7848561160,6.0384993043,0.8449122159,0.8449122159
-3.9946656894,6.3742535988,0.8460219849,0.8460219849
-4.2044617977,6.7100158139,0.8471849141,0.8471849141
-4.4142495894,7.0457827023,0.8483982484,0.8483982484
-4.6240343713,7.3815510955,0.8496591824,0.8496591824
-4.8338213709,7.7173177462,0.8509648644,0.8509648644
-5.0436158159,8.0530792485,0.8523124038,0.8523124038
-5.2534229340,8.3888324342,0.8536988751,0.8536988751
-5.4632480318,8.7245740557,0.8551213234,0.8551213234
-5.6730963372,9.0603008656,0.8565767708,0.8565767708
-5.8829729984,9.3960095373,0.8580622211,0.8580622211
-6.0928833222,9.7316969024,0.8595746655,0.8595746655
-6.3028325364,10.0673596345,0.8611110882,0.8611110882
-6.5128259478,10.4029944858,0.8626684716,0.8626684716
-6.7228686254,10.7385982883,0.8642438022,0.8642438022
-6.9329660347,11.0741676361,0.8658340754,0.8658340754
-7.1431232447,11.4096993608,0.8674363011,0.8674363011
-7.3533455623,11.7451902150,0.8690475090,0.8690475090
-7.5636382152,12.0806368722,0.8706647539,0.8706647539
-7.7740065101,12.4160360847,0.8722851204,0.8722851204
-7.9844555162,12.7513846844,0.8739057282,0.8739057282
-8.1949887187,13.0866806119,0.8755237368,0.8755237368
-8.4056001770,13.4219278275,0.8771363507,0.8771363507
-8.6162810201,13.7571321132,0.8787408233,0.8787408233
-8.8270226144,14.0922994096,0.8803344621,0.8803344621
-9.0378163265,14.4274353403,0.8819146332,0.8819146332
-9.2486532853,14.7625457666,0.8834787645,0.8834787645
-9.4595248572,15.0976364704,0.8850243511,0.8850243511
-9.6704224088,15.4327133132,0.8865489582,0.8865489582
-9.8813370690,15.7677820769,0.8880502251,0.8880502251
-10.0922602043,16.1028484645,0.8895258693,0.8895258693
-10.3031830227,16.4379183371,0.8909736891,0.8909736891
-10.5140969700,16.7729975560,0.8923915673,0.8923915673
-10.7249931751,17.1080918242,0.8937774736,0.8937774736
-10.9358629253,17.4432069236,0.8951294683,0.8951294683
-11.1466975871,17.7783487156,0.8964457041,0.8964457041
-11.3574884477,18.1135229821,0.8977244286,0.8977244286
-11.5682267154,18.4487355053,0.8989639867,0.8989639867
-11.7789037566,18.7839920673,0.9001628225,0.9001628225
-11.9895107002,19.1192984500,0.9013194805,0.9013194805
-12.2000390710,19.4546605939,0.9024326079,0.9024326079
-12.4104799189,19.7900841228,0.9035009550,0.9035009550
-12.6208246104,20.1255748187,0.9045233771,0.9045233771
-12.8310348886,20.4611527207,0.9054988341,0.9054988341
-13.0409302425,20.7969049559,0.9064263926,0.9064263926
-13.2502875478,21.1329390864,0.9073052247,0.9073052247
-13.4588838386,21.4693626744,0.9081346095,0.9081346095
-13.6664959908,21.8062832029,0.9089139319,0.9089139319
-13.8729104640,22.1438036402,0.9096426826,0.9096426826
-14.0784523211,22.4817718310,0.9103204578,0.9103204578
-14.2842682320,22.8196460829,0.9109469577,0.9109469577
-14.4915741725,23.1568520711,0.9115219867,0.9115219867
-14.7015858805,23.4928153912,0.9120454506,0.9120454506
-14.9155190940,23.8269617179,0.9125173563,0.9125173563
-15.1333506055,24.1593479216,0.9129378099,0.9129378099
-15.3438881643,24.4957204215,0.9133070142,0.9133070142
-15.5300216186,24.8448401509,0.9136252675,0.9136252675
