# 6cd7a615-6aae-4a23-bb2f-036be8a45841
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0445653; 0.1980369; 1.8374845; 0.0002420; 6.8790871; 0.0088761
0.1999162; -0.2373955; 0.1453523; 1.8375204; 0.0001176; 6.8793450; 0.0140471
0.3998325; -0.4302344; 0.0926605; 1.8375315; -0.0000066; 6.8797532; 0.0181741
0.5997487; -0.6230822; 0.0399665; 1.8375178; -0.0001309; 6.8802813; 0.0108347
0.7996649; -0.8159391; -0.0127245; 1.8374792; -0.0002551; 6.8805961; 0.0040837
0.9995812; -1.0088053; -0.0654076; 1.8374157; -0.0003794; 6.8807148; -0.0021253
1.1994974; -1.2016461; -0.1180684; 1.8373354; -0.0004231; 6.8806530; -0.0040237
1.3994137; -1.3944969; -0.1707145; 1.8372466; -0.0004651; 6.8805361; -0.0056893
1.5993299; -1.5873599; -0.2233447; 1.8371494; -0.0005071; 6.8803708; -0.0072201
1.7992461; -1.7802362; -0.2759575; 1.8370439; -0.0005490; 6.8801610; -0.0086269
1.9991624; -1.9731273; -0.3285515; 1.8369299; -0.0005910; 6.8799104; -0.0099193
2.1990786; -2.1659893; -0.3811134; 1.8368116; -0.0005903; 6.8796221; -0.0090880
2.3989948; -2.3588656; -0.4336548; 1.8366939; -0.0005877; 6.8793580; -0.0082353
2.5989111; -2.5517584; -0.4861763; 1.8365767; -0.0005851; 6.8791187; -0.0074510
2.7988273; -2.7446680; -0.5386782; 1.8364599; -0.0005826; 6.8789022; -0.0067297
2.9987436; -2.9375946; -0.5911605; 1.8363437; -0.0005800; 6.8787066; -0.0060663
3.1986598; -3.1304855; -0.6436092; 1.8362285; -0.0005720; 6.8785303; -0.0052026
3.3985760; -3.3233904; -0.6960379; 1.8361150; -0.0005637; 6.8783791; -0.0043908
3.5984923; -3.5163130; -0.7484482; 1.8360032; -0.0005554; 6.8782514; -0.0036442
3.7984085; -3.7092537; -0.8008403; 1.8358930; -0.0005471; 6.8781455; -0.0029576
3.9983247; -3.9022127; -0.8532148; 1.8357844; -0.0005388; 6.8780596; -0.0023262
4.1982410; -4.0951313; -0.9055559; 1.8356773; -0.0005334; 6.8779919; -0.0018843
4.3981572; -4.2880629; -0.9578785; 1.8355712; -0.0005283; 6.8779372; -0.0014913
4.5980735; -4.4810135; -1.0101844; 1.8354661; -0.0005232; 6.8778938; -0.0011299
4.7979897; -4.6739832; -1.0624738; 1.8353620; -0.0005181; 6.8778610; -0.0007975
4.9979059; -4.8669723; -1.1147470; 1.8352589; -0.0005129; 6.8778378; -0.0004918
5.1978222; -5.0599180; -1.1669872; 1.8351565; -0.0005121; 6.8778235; -0.0004114
5.3977384; -5.2528752; -1.2192093; 1.8350542; -0.0005118; 6.8778115; -0.0003632
5.5976546; -5.4458523; -1.2714156; 1.8349519; -0.0005114; 6.8778010; -0.0003188
5.7975709; -5.6388494; -1.3236061; 1.8348497; -0.0005111; 6.8777917; -0.0002779
5.9974871; -5.8318667; -1.3757809; 1.8347475; -0.0005108; 6.8777836; -0.0002401
6.1974034; -6.0248396; -1.4279226; 1.8346450; -0.0005157; 6.8777767; -0.0004544
6.3973196; -6.2178223; -1.4800455; 1.8345413; -0.0005215; 6.8777635; -0.0006924
6.5972358; -6.4108257; -1.5321525; 1.8344365; -0.0005273; 6.8777433; -0.0009111
6.7971521; -6.6038500; -1.5842433; 1.8343305; -0.0005331; 6.8777168; -0.0011121
6.9970683; -6.7968954; -1.6363176; 1.8342233; -0.0005389; 6.8776845; -0.0012967
7.1969845; -6.9898970; -1.6883578; 1.8341145; -0.0005507; 6.8776468; -0.0017505
7.3969008; -7.1829065; -1.7403774; 1.8340031; -0.0005638; 6.8775959; -0.0022264
7.5968170; -7.3759377; -1.7923795; 1.8338891; -0.0005768; 6.8775312; -0.0026636
7.7967333; -7.5689907; -1.8443636; 1.8337725; -0.0005898; 6.8774538; -0.0030654
7.9966495; -7.7620657; -1.8963292; 1.8336533; -0.0006028; 6.8773647; -0.0034345
8.1965657; -7.9550990; -1.9482586; 1.8335310; -0.0006222; 6.8772649; -0.0040748
8.3964820; -8.1481384; -2.0001639; 1.8334045; -0.0006432; 6.8771464; -0.0047398
8.5963982; -8.3412006; -2.0520486; 1.8332738; -0.0006642; 6.8770086; -0.0053509
8.7963144; -8.5342857; -2.1039121; 1.8331389; -0.0006851; 6.8768531; -0.0059122
8.9962307; -8.7273940; -2.1557534; 1.8329998; -0.0007061; 6.8766812; -0.0064279
9.1961469; -8.9204639; -2.2075552; 1.8328561; -0.0007332; 6.8764943; -0.0071933
9.3960632; -9.1135383; -2.2593279; 1.8327066; -0.0007623; 6.8762852; -0.0079870
9.5959794; -9.3066367; -2.3110754; 1.8325514; -0.0007913; 6.8760530; -0.0087160
9.7958956; -9.4997594; -2.3627967; 1.8323903; -0.0008203; 6.8757996; -0.0093855
9.9958119; -9.6929067; -2.4144907; 1.8322233; -0.0008493; 6.8755267; -0.0100004
10.1957281; -9.8860200; -2.4661404; 1.8320503; -0.0008834; 6.8752359; -0.0108102
10.3956443; -10.0791364; -2.5177544; 1.8318701; -0.0009195; 6.8749215; -0.0116458
10.5955606; -10.2722783; -2.5693372; 1.8316827; -0.0009556; 6.8745829; -0.0124130
10.7954768; -10.4654461; -2.6208873; 1.8314880; -0.0009917; 6.8742219; -0.0131174
10.9953930; -10.6586400; -2.6724034; 1.8312861; -0.0010277; 6.8738404; -0.0137639
11.1953093; -10.8518052; -2.7238693; 1.8310769; -0.0010669; 6.8734401; -0.0145070
11.3952255; -11.0449724; -2.7752916; 1.8308595; -0.0011076; 6.8730181; -0.0152564
11.5951418; -11.2381668; -2.8266754; 1.8306340; -0.0011482; 6.8725744; -0.0159441
11.7950580; -11.4313888; -2.8780190; 1.8304004; -0.0011888; 6.8721106; -0.0165752
11.9949742; -11.6246387; -2.9293209; 1.8301587; -0.0012293; 6.8716283; -0.0171541
12.1948905; -11.8178657; -2.9805658; 1.8299089; -0.0012698; 6.8711293; -0.0176794
12.3948067; -12.0110936; -3.0317585; 1.8296510; -0.0013101; 6.8706149; -0.0181581
12.5947229; -12.2043505; -3.0829047; 1.8293851; -0.0013505; 6.8700865; -0.0185969
12.7946392; -12.3976366; -3.1340028; 1.8291111; -0.0013908; 6.8695453; -0.0189990
12.9945554; -12.5909523; -3.1850513; 1.8288290; -0.0014311; 6.8689924; -0.0193674
