# 3331c449-624b-45be-8554-6de5b5fbf537
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0125248; -0.1232913; -1.4782450; 0.0215012; 6.5786934; -0.0995390
0.1999927; 0.2120060; -0.1043503; -1.4740509; 0.0203601; 6.5756667; -0.0413590
0.3999853; 0.4112238; -0.0846143; -1.4700895; 0.0192141; 6.5744087; 0.0118271
0.5999780; 0.6101793; -0.0641316; -1.4663616; 0.0180634; 6.5747685; 0.0605308
0.7999707; 0.8088735; -0.0429503; -1.4628675; 0.0169080; 6.5766094; 0.1052127
0.9999633; 1.0073075; -0.0211189; -1.4596078; 0.0157479; 6.5798081; 0.1462875
1.1999560; 1.2062887; 0.0014086; -1.4565431; 0.0149064; 6.5842530; 0.1701091
1.3999487; 1.4051503; 0.0245240; -1.4536381; 0.0141131; 6.5894180; 0.1898958
1.5999414; 1.6037674; 0.0481796; -1.4508950; 0.0133144; 6.5951789; 0.2083353
1.7999340; 1.8021494; 0.0723429; -1.4483143; 0.0125104; 6.6014935; 0.2255504
1.9999267; 2.0003053; 0.0969814; -1.4458969; 0.0117016; 6.6083230; 0.2416526
2.1999194; 2.1988479; 0.1221405; -1.4436218; 0.0110860; 6.6156323; 0.2480802
2.3999120; 2.3973918; 0.1477475; -1.4414574; 0.0105371; 6.6231276; 0.2511600
2.5999047; 2.5957296; 0.1737532; -1.4394047; 0.0099853; 6.6307073; 0.2542153
2.7998974; 2.7938671; 0.2001351; -1.4374642; 0.0094308; 6.6383704; 0.2572464
2.9998900; 2.9918101; 0.2268709; -1.4356360; 0.0088736; 6.6461159; 0.2602540
3.1998827; 3.1900208; 0.2540011; -1.4339127; 0.0083776; 6.6539427; 0.2604171
3.3998754; 3.3883023; 0.2814797; -1.4322820; 0.0079147; 6.6617653; 0.2591962
3.5998681; 3.5864060; 0.3092535; -1.4307452; 0.0074497; 6.6695421; 0.2582717
3.7998607; 3.7843381; 0.3373040; -1.4293026; 0.0069825; 6.6772821; 0.2576149
3.9998534; 3.9821049; 0.3656126; -1.4279544; 0.0065133; 6.6849935; 0.2572001
4.1998461; 4.1800577; 0.3942110; -1.4266961; 0.0060902; 6.6926837; 0.2548514
4.3998387; 4.3781245; 0.4230723; -1.4255159; 0.0057027; 6.7002949; 0.2511851
4.5998314; 4.5760430; 0.4521427; -1.4244140; 0.0053136; 6.7077882; 0.2479700
4.7998241; 4.7738191; 0.4814069; -1.4233906; 0.0049231; 6.7151773; 0.2451647
4.9998167; 4.9714585; 0.5108497; -1.4224460; 0.0045311; 6.7224749; 0.2427317
5.1998094; 5.1692259; 0.5404947; -1.4215770; 0.0041834; 6.7296923; 0.2385668
5.3998021; 5.3671266; 0.5703292; -1.4207700; 0.0038804; 6.7367782; 0.2327865
5.5997948; 5.5649071; 0.6003026; -1.4200242; 0.0035763; 6.7436854; 0.2275834
5.7997874; 5.7625728; 0.6304032; -1.4193396; 0.0032712; 6.7504313; 0.2229063
5.9997801; 5.9601293; 0.6606194; -1.4187164; 0.0029651; 6.7570320; 0.2187085
6.1997728; 6.1577722; 0.6909687; -1.4181526; 0.0026942; 6.7635022; 0.2132982
6.3997654; 6.3555490; 0.7214478; -1.4176362; 0.0024667; 6.7698063; 0.2063877
6.5997581; 6.5532324; 0.7520124; -1.4171656; 0.0022385; 6.7759007; 0.2001061
6.7997508; 6.7508274; 0.7826539; -1.4167409; 0.0020097; 6.7818043; 0.1943990
6.9997434; 6.9483393; 0.8133638; -1.4163621; 0.0017803; 6.7875346; 0.1892163
7.1997361; 7.1459072; 0.8441545; -1.4160281; 0.0015737; 6.7931075; 0.1834404
7.3997288; 7.3435942; 0.8750275; -1.4157306; 0.0014000; 6.7985060; 0.1766410
7.5997214; 7.5412132; 0.9059466; -1.4154680; 0.0012259; 6.8037003; 0.1704330
7.7997141; 7.7387691; 0.9369055; -1.4152403; 0.0010514; 6.8087082; 0.1647660
7.9997068; 7.9362668; 0.9678978; -1.4150476; 0.0008767; 6.8135462; 0.1595937
8.1996995; 8.1337980; 0.9989308; -1.4148894; 0.0007114; 6.8182290; 0.1544190
8.3996921; 8.3314222; 1.0300072; -1.4147620; 0.0005619; 6.8227570; 0.1489486
8.5996848; 8.5290029; 1.0610996; -1.4146646; 0.0004122; 6.8271216; 0.1439454
8.7996775; 8.7265450; 1.0922026; -1.4145972; 0.0002623; 6.8313370; 0.1393699
8.9996701; 8.9240534; 1.1233109; -1.4145597; 0.0001123; 6.8354160; 0.1351855
