# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5232896006,0.5232896006
0.3038214682,-0.2321189024,0.5190832108,0.5190832108
0.6076365912,-0.4642442264,0.5150150405,0.5150150405
0.9114490385,-0.6963720732,0.5110901968,0.5110901968
1.2152626325,-0.9284981617,0.5073134965,0.5073134965
1.5190808899,-1.1606185166,0.5036894539,0.5036894539
1.8229057219,-1.3927312266,0.5002222709,0.5002222709
2.1267368990,-1.6248365212,0.4969158269,0.4969158269
2.4305741156,-1.8569346296,0.4937736700,0.4937736700
2.7344172186,-2.0890257812,0.4907990092,0.4907990092
3.0382659025,-2.3211105112,0.4879947074,0.4879947074
3.3421199377,-2.5531888959,0.4853632753,0.4853632753
3.6459790949,-2.7852613177,0.4829068661,0.4829068661
3.9498431448,-3.0173281588,0.4806272720,0.4806272720
4.2537117052,-3.2493895720,0.4785259205,0.4785259205
4.5575846996,-3.4814460161,0.4766038723,0.4766038723
4.8614617457,-3.7134977204,0.4748618208,0.4748618208
5.1653426143,-3.9455449906,0.4733000913,0.4733000913
5.4692271523,-4.1775880563,0.4719186422,0.4719186422
5.7731150541,-4.4096273759,0.4707170671,0.4707170671
6.0770060139,-4.6416631789,0.4696945971,0.4696945971
6.3808998022,-4.8736957712,0.4688501054,0.4688501054
6.6847962662,-5.1057253819,0.4681821116,0.4681821116
6.9886950237,-5.3377524698,0.4676887875,0.4676887875
7.2925959217,-5.5697771878,0.4673679641,0.4673679641
7.5964986545,-5.8017999946,0.4672171389,0.4672171389
7.9004029927,-6.0338210431,0.4672334847,0.4672334847
8.2043087069,-6.2658407156,0.4674138586,0.4674138586
8.5082155679,-6.4978593177,0.4677548124,0.4677548124
8.8121231934,-6.7298770790,0.4682526034,0.4682526034
9.1160315069,-6.9618943815,0.4689032064,0.4689032064
9.4199401262,-7.1939115311,0.4697023255,0.4697023255
9.7238488219,-7.4259288337,0.4706454080,0.4706454080
10.0277574412,-7.6579465949,0.4717276574,0.4717276574
10.3316656018,-7.8899650442,0.4729440482,0.4729440482
10.6355731509,-8.1219844873,0.4742893406,0.4742893406
10.9394798590,-8.3540053829,0.4757580959,0.4757580959
11.2433853439,-8.5860278839,0.4773446920,0.4773446920
11.5472894527,-8.8180522961,0.4790433403,0.4790433403
11.8511919562,-9.0500790018,0.4808481015,0.4808481015
12.1550926248,-9.2821082303,0.4827529031,0.4827529031
12.4589915352,-9.5141398287,0.4847515559,0.4847515559
12.7628886108,-9.7461737969,0.4868377719,0.4868377719
13.0667841574,-9.9782099058,0.4890051813,0.4890051813
13.3706780222,-10.2102482316,0.4912473503,0.4912473503
13.6745704345,-10.4422885451,0.4935577984,0.4935577984
13.9784613942,-10.6743307698,0.4959300163,0.4959300163
14.2823509014,-10.9063748292,0.4983574828,0.4983574828
14.5862391855,-11.1384205705,0.5008336829,0.5008336829
14.8901261699,-11.3704679173,0.5033521241,0.5033521241
15.1940120076,-11.6025168694,0.5059063540,0.5059063540
15.4978966985,-11.8345671976,0.5084899767,0.5084899767
15.8017803957,-12.0666188255,0.5110966688,0.5110966688
16.1056630990,-12.2986717529,0.5137201959,0.5137201959
16.4095448849,-12.5307257506,0.5163544278,0.5163544278
16.7134259064,-12.7627807422,0.5189933531,0.5189933531
17.0173060869,-12.9948366511,0.5216310947,0.5216310947
17.3211856559,-13.2268934010,0.5242619226,0.5242619226
17.6250645368,-13.4589508389,0.5268802683,0.5268802683
17.9289428825,-13.6910089649,0.5294807365,0.5294807365
18.2328207696,-13.9230675495,0.5320581180,0.5320581180
