# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5074947248,0.5074947248
0.4161633664,0.1867735919,0.5091384591,0.5091384591
0.8334651695,0.3710359803,0.5108368441,0.5108368441
1.2517692639,0.5531059932,0.5125781449,0.5125781449
1.6709362196,0.7333090283,0.5143505665,0.5143505665
2.0908266975,0.9119703014,0.5161423245,0.5161423245
2.5113013588,1.0894151189,0.5179417142,0.5179417142
2.9322208644,1.2659687877,0.5197371807,0.5197371807
3.3534457843,1.4419567057,0.5215173856,0.5215173856
3.7748367793,1.6177040883,0.5232712741,0.5232712741
4.1962546019,1.7935362424,0.5249881385,0.5249881385
4.6175598218,1.9697784745,0.5266576799,0.5266576799
5.0386131002,2.1467560914,0.5282700675,0.5282700675
5.4592769230,2.3247895635,0.5298159936,0.5298159936
5.8795532977,2.5038329920,0.5312867262,0.5312867262
6.2996781972,2.6832260911,0.5326741571,0.5326741571
6.7199098594,2.8622499921,0.5339708463,0.5339708463
7.1405067046,3.0401854616,0.5351700618,0.5351700618
7.5617270619,3.2163136310,0.5362658153,0.5362658153
7.9838291692,3.3899154494,0.5372528920,0.5372528920
8.4070714468,3.5602718657,0.5381268771,0.5381268771
8.8317122240,3.7266639202,0.5388841756,0.5388841756
9.2580097385,3.8883724706,0.5395220284,0.5395220284
9.6862224106,4.0446787396,0.5400385215,0.5400385215
10.1166085696,4.1948634025,0.5404325917,0.5404325917
10.5494263620,4.3382076819,0.5407040257,0.5407040257
10.9848744394,4.4741079585,0.5408534544,0.5408534544
11.4228434840,4.6025520957,0.5408823419,0.5408823419
11.8631262670,4.7237174839,0.5407929699,0.5407929699
12.3055153766,4.8377811484,0.5405884161,0.5405884161
12.7498034927,4.9449204794,0.5402725289,0.5402725289
13.1957832036,5.0453126846,0.5398498965,0.5398498965
13.6432553104,5.1389211728,0.5393258126,0.5393258126
14.0921886055,5.2213262439,0.5387062370,0.5387062370
14.5427091967,5.2840009385,0.5379977529,0.5379977529
14.9949482102,5.3184116357,0.5372075204,0.5372075204
15.4489601224,5.3253366992,0.5363432268,0.5363432268
15.9046803284,5.3201079756,0.5354130339,0.5354130339
16.3620139278,5.3187554662,0.5344255227,0.5344255227
16.8204721851,5.3260794753,0.5333896362,0.5333896362
17.2792055615,5.3365851026,0.5323146198,0.5323146198
17.7373511046,5.3443970261,0.5312099608,0.5312099608
18.1940458619,5.3436396500,0.5300853266,0.5300853266
18.6484269722,5.3284374698,0.5289505024,0.5289505024
19.0996743706,5.2930479325,0.5278153286,0.5278153286
19.5477931671,5.2342791084,0.5266896383,0.5266896383
19.9935314302,5.1512369289,0.5255831959,0.5255831959
20.4376248185,5.0431210390,0.5245056358,0.5245056358
20.8786680800,4.9097678274,0.5234664035,0.5234664035
21.3120453269,4.7519685238,0.5224746975,0.5224746975
21.7330018801,4.5705699294,0.5215394143,0.5215394143
22.1390856661,4.3660014674,0.5206690953,0.5206690953
22.5298707293,4.1383250965,0.5198718763,0.5198718763
22.9050004641,3.8875902745,0.5191554408,0.5191554408
23.2641181739,3.6138463675,0.5185269766,0.5185269766
23.6068672532,3.3171428331,0.5179931354,0.5179931354
23.9328898189,2.9975318665,0.5175599971,0.5175599971
24.2413917211,2.6561387642,0.5172330384,0.5172330384
24.5304883710,2.2967711203,0.5170171046,0.5170171046
24.7981276444,1.9236481582,0.5169163874,0.5169163874
25.0420965431,1.5399405463,0.5169344063,0.5169344063
25.2594655732,1.1441376385,0.5170739948,0.5170739948
25.4471164439,0.7334307560,0.5173372922,0.5173372922
25.6056975786,0.3073671156,0.5177257390,0.5177257390
25.7450417262,-0.1287621439,0.5182400784,0.5182400784
25.8763552237,-0.5688067640,0.5188803615,0.5188803615
26.0077937340,-1.0079290278,0.5196459577,0.5196459577
26.1342566484,-1.4469951728,0.5205355700,0.5205355700
26.2470538524,-1.8884177611,0.5215472545,0.5215472545
26.3405087666,-2.3337744161,0.5226784437,0.5226784437
26.4161444469,-2.7826491287,0.5239259751,0.5239259751
26.4765362457,-3.2343342539,0.5252861229,0.5252861229
26.5242594242,-3.6881223296,0.5267546336,0.5267546336
26.5618891523,-4.1433058936,0.5283267650,0.5283267650
26.5919993222,-4.5991779397,0.5299973286,0.5299973286
26.6167910696,-5.0552177036,0.5317607345,0.5317607345
26.6375926314,-5.5113402313,0.5336110387,0.5336110387
26.6556074143,-5.9675228017,0.5355419932,0.5355419932
26.6720389162,-6.4237425108,0.5375470974,0.5375470974
26.6880905438,-6.8799766374,0.5396196507,0.5396196507
26.7049657039,-7.3362024603,0.5417528070,0.5417528070
26.7236261727,-7.7923993569,0.5439396288,0.5439396288
26.7431884665,-8.2485623085,0.5461731425,0.5461731425
26.7619181941,-8.7046937787,0.5484463932,0.5484463932
26.7780766757,-9.1607964140,0.5507524989,0.5507524989
26.7899249573,-9.6168725866,0.5530847038,0.5530847038
26.7957240855,-10.0729247605,0.5554364308,0.5554364308
26.7939464418,-10.5289535744,0.5578013316,0.5578013316
26.7846416662,-10.9849448845,0.5601733356,0.5601733356
26.7685738873,-11.4408782507,0.5625466957,0.5625466957
26.7465102449,-11.8967329593,0.5649160321,0.5649160321
26.7192183352,-12.3524884790,0.5672763728,0.5672763728
26.6874653892,-12.8081241874,0.5696231904,0.5696231904
26.6520189118,-13.2636194617,0.5719524363,0.5719524363
26.6136462252,-13.7189536796,0.5742605702,0.5742605702
26.5731147431,-14.1741061272,0.5765445865,0.5765445865
26.5311918790,-14.6290564558,0.5788020352,0.5788020352
26.4886450466,-15.0837837691,0.5810310400,0.5810310400
26.4462415680,-15.5382676270,0.5832303106,0.5832303106
26.4046524057,-15.9924963496,0.5853991514,0.5853991514
26.3638579407,-16.4465224969,0.5875374646,0.5875374646
26.3235373376,-16.9004266428,0.5896457493,0.5896457493
26.2833685748,-17.3542894523,0.5917250959,0.5917250959
26.2430295392,-17.8081914995,0.5937771751,0.5937771751
26.2021982092,-18.2622135405,0.5958042231,0.5958042231
26.1605524717,-18.7164362406,0.5978090221,0.5978090221
26.1177703964,-19.1709402648,0.5997948756,0.5997948756
26.0735297791,-19.6258063695,0.6017655807,0.6017655807
26.0275085980,-20.0811150374,0.6037253956,0.6037253956
25.9793849227,-20.5369471159,0.6056790028,0.6056790028
25.9288365489,-20.9933830879,0.6076314699,0.6076314699
25.8752990948,-21.4503979506,0.6095882059,0.6095882059
25.8099693864,-21.9043687091,0.6115549152,0.6115549152
25.7139840149,-22.3472792220,0.6135375480,0.6135375480
25.5679177441,-22.7708479014,0.6155422494,0.6155422494
25.3598945522,-23.1670605222,0.6175753050,0.6175753050
25.0935598819,-23.5284526414,0.6196430864,0.6196430864
24.7745637586,-23.8478355740,0.6217519937,0.6217519937
24.4114844245,-24.1244697376,0.6239083983,0.6239083983
24.0163218189,-24.3651508942,0.6261185844,0.6261185844
23.6012468840,-24.5770105153,0.6283886907,0.6283886907
23.1755505254,-24.7557199683,0.6307246521,0.6307246521
22.7428695169,-24.8744522632,0.6331321421,0.6331321421
22.3063243393,-24.9043690741,0.6356165162,0.6356165162
21.8732253140,-24.8346079858,0.6381827571,0.6381827571
21.4556673718,-24.6748312919,0.6408354208,0.6408354208
21.0660000315,-24.4358373501,0.6435785861,0.6435785861
20.7158948231,-24.1301000530,0.6464158057,0.6464158057
20.4157532577,-23.7732330276,0.6493500604,0.6493500604
20.1758355908,-23.3811942789,0.6523837172,0.6523837172
20.0019181383,-22.9674192934,0.6555184900,0.6555184900
19.8852423476,-22.5371675458,0.6587554048,0.6587554048
19.8141098611,-22.0940449676,0.6620947686,0.6620947686
19.7768224123,-21.6416572164,0.6655361432,0.6655361432
19.7616815522,-21.1836102234,0.6690783229,0.6690783229
19.7569902919,-20.7235095551,0.6727193175,0.6727193175
19.7535496145,-20.2641650766,0.6764563400,0.6764563400
19.7499853845,-19.8058960720,0.6802857990,0.6802857990
19.7464511758,-19.3485351888,0.6842032971,0.6842032971
19.7431007448,-18.8919151653,0.6882036335,0.6882036335
19.7400876656,-18.4358686490,0.6922808127,0.6922808127
19.7375655120,-17.9802282869,0.6964280573,0.6964280573
19.7356879494,-17.5248269089,0.7006378276,0.7006378276
19.7346086428,-17.0694971623,0.7049018445,0.7049018445
19.7344810752,-16.6140716943,0.7092111187,0.7092111187
19.7354590028,-16.1583833346,0.7135559841,0.7135559841
19.7376959997,-15.7022646394,0.7179261363,0.7179261363
19.7413452748,-15.2455485296,0.7223106749,0.7223106749
19.7459704701,-14.7881821713,0.7266981510,0.7266981510
19.7493587699,-14.3304576563,0.7310766180,0.7310766180
19.7489642043,-13.8727315900,0.7354336862,0.7354336862
19.7422407123,-13.4153609430,0.7397565810,0.7397565810
19.7266423241,-12.9587023208,0.7440322039,0.7440322039
19.6996231610,-12.5031124200,0.7482471967,0.7482471967
19.6587322447,-12.0489732138,0.7523880072,0.7523880072
19.6024937867,-11.5969235443,0.7564409580,0.7564409580
19.5300031333,-11.1477531814,0.7603923155,0.7603923155
19.4403629307,-10.7022536286,0.7642283612,0.7642283612
19.3326760077,-10.2612163896,0.7679354633,0.7679354633
19.2060449193,-9.8254332418,0.7715001482,0.7715001482
19.0599515471,-9.3955278797,0.7749091725,0.7749091725
18.8976651097,-8.9704497407,0.7781495937,0.7781495937
18.7246333309,-8.5481843869,0.7812088410,0.7812088410
18.5463298496,-8.1267063393,0.7840747833,0.7840747833
18.3682286699,-7.7039898448,0.7867357966,0.7867357966
18.1958034307,-7.2780092421,0.7891808281,0.7891808281
18.0334936332,-6.8472680288,0.7913994583,0.7913994583
17.8756439595,-6.4154353728,0.7933819603,0.7933819603
17.7108991524,-5.9890972521,0.7951193545,0.7951193545
17.5278392582,-5.5748724033,0.7966034613,0.7966034613
17.3150445970,-5.1793799285,0.7978269482,0.7978269482
17.0610953067,-4.8092383820,0.7987833732,0.7987833732
16.7559519567,-4.4713487371,0.7994672241,0.7994672241
16.4026216038,-4.1752751024,0.7998739520,0.7998739520
16.0112926899,-3.9320477021,0.8000000000,0.8000000000
15.5921654280,-3.7523250988,0.7998428273,0.7998428273
15.1542133559,-3.6392090670,0.7994009268,0.7994009268
14.7052933833,-3.5889246798,0.7986738385,0.7986738385
14.2531681586,-3.5973500780,0.7976621559,0.7976621559
13.8025680887,-3.6549192366,0.7963675277,0.7963675277
13.3536303223,-3.7438184881,0.7947926536,0.7947926536
12.9061086667,-3.8455571802,0.7929412744,0.7929412744
12.4597511802,-3.9466887852,0.7908181563,0.7908181563
12.0142902262,-4.0468548726,0.7884290701,0.7884290701
11.5694567994,-4.1477768761,0.7857807649,0.7857807649
11.1250447656,-4.2503668407,0.7828809363,0.7828809363
10.6809407923,-4.3543356859,0.7797381897,0.7797381897
10.2370392118,-4.4592972413,0.7763619989,0.7763619989
9.7932341739,-4.5648654276,0.7727626601,0.7727626601
9.3494201023,-4.6706540742,0.7689512413,0.7689512413
8.9054912379,-4.7762768280,0.7649395281,0.7649395281
8.4613418221,-4.8813476098,0.7607399653,0.7607399653
8.0168661870,-4.9854803403,0.7563655958,0.7563655958
7.5719585738,-5.0882886664,0.7518299957,0.7518299957
7.1265132236,-5.1893865089,0.7471472079,0.7471472079
6.6804244687,-5.2883876971,0.7423316723,0.7423316723
