# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.6328428255,0.6328428255
-0.3547468317,0.2926600264,0.6324763236,0.6324763236
-0.7095285240,0.5852757182,0.6319738195,0.6319738195
-1.0643405697,0.8778526864,0.6313312704,0.6313312704
-1.4191782780,1.1703967256,0.6305450862,0.6305450862
-1.7740371418,1.4629136306,0.6296121545,0.6296121545
-2.1289125620,1.7554090122,0.6285298644,0.6285298644
-2.4837998476,2.0478887572,0.6272961274,0.6272961274
-2.8386944917,2.3403585683,0.6259093964,0.6259093964
-3.1935918032,2.6328241482,0.6243686821,0.6243686821
-3.5484873671,2.9252911999,0.6226735668,0.6226735668
-3.9033764004,3.2177656100,0.6208242155,0.6208242155
-4.2582543961,3.5102530813,0.6188213849,0.6188213849
-4.6131166631,3.8027592246,0.6166664283,0.6166664283
-4.9679587864,4.0952899267,0.6143612992,0.6143612992
-5.3227759831,4.3878508903,0.6119085513,0.6119085513
-5.6775637461,4.6804479101,0.6093113353,0.6093113353
-6.0323175683,4.9730865971,0.6065733935,0.6065733935
-6.3870326668,5.2657728378,0.6036990510,0.6036990510
-6.7417045346,5.5585123352,0.6006932047,0.6006932047
-7.0963311480,5.8513075727,0.5975613086,0.5975613086
-7.4509160024,6.1441545030,0.5943093572,0.5943093572
-7.8054631448,6.4370478835,0.5909438657,0.5909438657
-8.1599768065,6.7299826551,0.5874718477,0.5874718477
-8.5144611264,7.0229537589,0.5839007904,0.5839007904
-8.8689203356,7.3159561360,0.5802386279,0.5802386279
-9.2233585734,7.6089845435,0.5764937112,0.5764937112
-9.5777799788,7.9020340146,0.5726747766,0.5726747766
-9.9321887828,8.1950994902,0.5687909129,0.5687909129
-10.2865891247,8.4881757275,0.5648515250,0.5648515250
-10.6409850515,8.7812576676,0.5608662974,0.5608662974
-10.9953808863,9.0743402515,0.5568451553,0.5568451553
-11.3497807683,9.3674183284,0.5527982248,0.5527982248
-11.7041888365,9.6604869314,0.5487357917,0.5487357917
-12.0586092301,9.9535408175,0.5446682595,0.5446682595
-12.4130461801,10.2465749278,0.5406061065,0.5406061065
-12.7675038258,10.5395842034,0.5365598426,0.5365598426
-13.1219863060,10.8325634935,0.5325399656,0.5325399656
-13.4764978521,11.1255077390,0.5285569171,0.5285569171
-13.8310425111,11.4184118812,0.5246210392,0.5246210392
-14.1856246061,11.7112707690,0.5207425308,0.5207425308
-14.5402482762,12.0040792516,0.5169314046,0.5169314046
-14.8949175685,12.2968323621,0.5131974451,0.5131974451
-15.2496368061,12.5895248575,0.5095501668,0.5095501668
-15.6044099442,12.8821517709,0.5059987749,0.5059987749
-15.9592413978,13.1747078596,0.5025521252,0.5025521252
-16.3141352141,13.4671882484,0.4992186876,0.4992186876
-16.6690952562,13.7595879705,0.4960065102,0.4960065102
-17.0241213401,14.0519073018,0.4929231850,0.4929231850
-17.3792102466,14.3441501974,0.4899758166,0.4899758166
-17.7343587564,14.6363205206,0.4871709922,0.4871709922
-18.0895634661,14.9284223184,0.4845147542,0.4845147542
-18.4448211565,15.2204595461,0.4820125755,0.4820125755
-18.8001285163,15.5124361587,0.4796693371,0.4796693371
-19.1554823261,15.8043561115,0.4774893084,0.4774893084
-19.5108791828,16.0962234515,0.4754761304,0.4754761304
-19.8663159588,16.3880419499,0.4736328017,0.4736328017
-20.2217891591,16.6798157460,0.4719616673,0.4719616673
-20.5772957482,16.9715487947,0.4704644109,0.4704644109
-20.9328322310,17.2632450514,0.4691420494,0.4691420494
-21.2883953880,17.5549083790,0.4679949312,0.4679949312
-21.6439820000,17.8465429169,0.4670227373,0.4670227373
-21.9995886637,18.1381524360,0.4662244853,0.4662244853
-22.3552122518,18.4297410757,0.4655985365,0.4655985365
-22.7108492690,18.7213126990,0.4651426064,0.4651426064
-23.0664965881,19.0128713531,0.4648537776,0.4648537776
-23.4221508976,19.3044209931,0.4647285160,0.4647285160
-23.7778088863,19.5959654822,0.4647626893,0.4647626893
-24.1334672430,19.8875088675,0.4649515891,0.4649515891
-24.4891227482,20.1790551042,0.4652899546,0.4652899546
-24.8447719988,20.4706082395,0.4657719995,0.4657719995
-25.2004118674,20.7621721365,0.4663914413,0.4663914413
-25.5560389508,21.0537507503,0.4671415320,0.4671415320
-25.9116500296,21.3453480361,0.4680150918,0.4680150918
-26.2672417925,21.6369681330,0.4690045447,0.4690045447
-26.6228104683,21.9286154561,0.4701019548,0.4701019548
-26.9783518260,22.2202953402,0.4712990653,0.4712990653
