# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5979568522,0.5979568522
-0.2428405567,-0.3765121896,0.6016421392,0.6016421392
-0.4856639050,-0.7530351344,0.6052452577,0.6052452577
-0.7284709412,-1.1295682967,0.6087609699,0.6087609699
-0.9712630098,-1.5061109594,0.6121844624,0.6121844624
-1.2140410966,-1.8826623159,0.6155113597,0.6155113597
-1.4568064564,-2.2592216492,0.6187377367,0.6187377367
-1.6995601647,-2.6357883318,0.6218601279,0.6218601279
-1.9423034763,-3.0123616469,0.6248755354,0.6248755354
-2.1850373771,-3.3889407877,0.6277814338,0.6277814338
-2.4277631219,-3.7655251269,0.6305757734,0.6305757734
-2.6704818757,-4.1421139474,0.6332569807,0.6332569807
-2.9131946246,-4.5187064426,0.6358239570,0.6358239570
-3.1559027129,-4.8953019851,0.6382760744,0.6382760744
-3.3986071265,-5.2718998579,0.6406131701,0.6406131701
-3.6413091201,-5.6484992543,0.6428355380,0.6428355380
-3.8840097694,-6.0250995471,0.6449439183,0.6449439183
-4.1267103290,-6.4017001087,0.6469394855,0.6469394855
-4.3694117849,-6.7783000429,0.6488238335,0.6488238335
-4.6121153022,-7.1548987223,0.6505989600,0.6505989600
-4.8548221357,-7.5314953404,0.6522672478,0.6522672478
-5.0975333609,-7.9080893592,0.6538314454,0.6538314454
-5.3402501430,-8.2846799722,0.6552946455,0.6552946455
-5.5829736471,-8.6612664624,0.6566602619,0.6566602619
-5.8257049487,-9.0378481128,0.6579320054,0.6579320054
-6.0684452130,-9.4144241167,0.6591138580,0.6591138580
-6.3111956051,-9.7909939363,0.6602100466,0.6602100466
-6.5539572006,-10.1675568546,0.6612250146,0.6612250146
-6.7967299098,-10.5441127821,0.6621633942,0.6621633942
-7.0395131053,-10.9206623461,0.6630299763,0.6630299763
-7.2823057116,-11.2972060843,0.6638296813,0.6638296813
-7.5251070118,-11.6737444449,0.6645675286,0.6645675286
-7.7679161094,-12.0502779657,0.6652486060,0.6652486060
-8.0107322876,-12.4268072740,0.6658780394,0.6658780394
-8.2535545604,-12.8033328180,0.6664609619,0.6664609619
-8.4963821212,-13.1798552250,0.6670024838,0.6670024838
-8.7392141633,-13.5563748537,0.6675076621,0.6675076621
-8.9820497905,-13.9328924209,0.6679814715,0.6679814715
-9.2248881962,-14.3094083748,0.6684287753,0.6684287753
-9.4677285736,-14.6859233428,0.6688542973,0.6688542973
-9.7105700265,-15.0624376834,0.6692625945,0.6692625945
-9.9534117483,-15.4389520241,0.6696580315,0.6696580315
-10.1962528428,-15.8154669025,0.6700447552,0.6700447552
-10.4390925928,-16.1919828564,0.6704266714,0.6704266714
-10.6819299229,-16.5685004236,0.6708074224,0.6708074224
-10.9247642953,-16.9450201418,0.6711903669,0.6711903669
-11.1675946345,-17.3215424593,0.6715785605,0.6715785605
-11.4104201339,-17.6980680032,0.6719747391,0.6719747391
-11.6532399868,-18.0745973116,0.6723813030,0.6723813030
-11.8960533865,-18.4511308323,0.6728003036,0.6728003036
-12.1388594369,-18.8276691929,0.6732334322,0.6732334322
-12.3816574208,-19.2042129312,0.6736820101,0.6736820101
-12.6244462628,-19.5807624951,0.6741469815,0.6741469815
-12.8672253355,-19.9573184226,0.6746289082,0.6746289082
-13.1099936530,-20.3338813410,0.6751279666,0.6751279666
-13.3527504983,-20.7104516983,0.6756439464,0.6756439464
-13.5954948854,-21.0870300325,0.6761762524,0.6761762524
-13.8382260974,-21.4636168812,0.6767239074,0.6767239074
-14.0809432380,-21.8402128719,0.6772855581,0.6772855581
-14.3236454109,-22.2168183629,0.6778594828,0.6778594828
-14.5663318991,-22.5934340715,0.6784436008,0.6784436008
-14.8090018063,-22.9700604456,0.6790354849,0.6790354849
-15.0516542364,-23.3466980231,0.6796323748,0.6796323748
-15.2942884722,-23.7233472520,0.6802311929,0.6802311929
-15.5369035279,-24.1000088495,0.6808285625,0.6808285625
-15.7794985968,-24.4766831739,0.6814208264,0.6814208264
-16.0220728722,-24.8533708528,0.6820040687,0.6820040687
-16.2646255477,-25.2300724238,0.6825741372,0.6825741372
-16.5071557268,-25.6067884247,0.6831266677,0.6831266677
-16.7496626029,-25.9835193036,0.6836571095,0.6836571095
-16.9921452798,-26.3602655984,0.6841607523,0.6841607523
-17.2346029508,-26.7370279364,0.6846327539,0.6846327539
-17.4770347197,-27.1138068553,0.6850681693,0.6850681693
-17.7194398695,-27.4906028033,0.6854619801,0.6854619801
-17.9618174141,-27.8674164078,0.6858091256,0.6858091256
-18.2041666367,-28.2442480272,0.6861045327,0.6861045327
-18.4464865514,-28.6210983787,0.6863431483,0.6863431483
-18.6887765307,-28.9979679999,0.6865199702,0.6865199702
-18.9310354992,-29.3748572494,0.6866300791,0.6866300791
-19.1732627397,-29.7517667546,0.6866686701,0.6866686701
-19.4154574457,-30.1286971428,0.6866310840,0.6866310840
-19.6576186314,-30.5056488621,0.6865128388,0.6865128388
-19.8997455795,-30.8826223608,0.6863096593,0.6863096593
-20.1418373940,-31.2596183558,0.6860175076,0.6860175076
-20.3838933578,-31.6366372056,0.6856326119,0.6856326119
-20.6259123953,-32.0136795377,0.6851514941,0.6851514941
-20.8678946858,-32.3907454416,0.6845709974,0.6845709974
-21.1098417531,-32.7678336625,0.6838883108,0.6838883108
-21.3517556584,-33.1449430354,0.6831009942,0.6831009942
-21.5936382839,-33.5220723951,0.6822070008,0.6822070008
-21.8354915119,-33.8992204867,0.6812046979,0.6812046979
-22.0773174037,-34.2763860556,0.6800928861,0.6800928861
-22.3191177519,-34.6535678469,0.6788708174,0.6788708174
-22.5608945282,-35.0307646956,0.6775382097,0.6775382097
-22.8026496148,-35.4079752571,0.6760952609,0.6760952609
-23.0443850732,-35.7851984560,0.6745426599,0.6745426599
-23.2861026958,-36.1624330375,0.6728815959,0.6728815959
-23.5278044545,-36.5396776572,0.6711137648,0.6711137648
-23.7694922314,-36.9169312396,0.6692413742,0.6692413742
-24.0111680880,-37.2941924403,0.6672671457,0.6672671457
-24.2528338167,-37.6714600045,0.6651943141,0.6651943141
-24.4944913894,-38.0487328566,0.6630266256,0.6630266256
-24.7361426882,-38.4260095627,0.6607683324,0.6607683324
-24.9777897746,-38.8032890472,0.6584241856,0.6584241856
-25.2194344410,-39.1805700554,0.6559994254,0.6559994254
-25.4610786593,-39.5578514221,0.6534997693,0.6534997693
-25.7027244012,-39.9351317133,0.6509313975,0.6509313975
-25.9443734594,-40.3124098534,0.6483009364,0.6483009364
-26.1860279848,-40.6896845877,0.6456154398,0.6456154398
-26.4276896803,-41.0669547511,0.6428823681,0.6428823681
-26.6693606074,-41.4442189990,0.6401095651,0.6401095651
-26.9110426482,-41.8214760769,0.6373052332,0.6373052332
-27.1527376849,-42.1987249090,0.6344779065,0.6344779065
-27.3944476892,-42.5759641511,0.6316364224,0.6316364224
-27.6361747227,-42.9531926380,0.6287898910,0.6287898910
-27.8779204881,-43.3304091149,0.6259476636,0.6259476636
-28.1196869574,-43.7076123271,0.6231192996,0.6231192996
-28.3614761918,-44.0848011093,0.6203145316,0.6203145316
-28.6032899840,-44.4619741172,0.6175432305,0.6175432305
-28.8451303057,-44.8391302753,0.6148153685,0.6148153685
-29.0869991287,-45.2162682391,0.6121409818,0.6121409818
-29.3288983352,-45.5933868435,0.6095301328,0.6095301328
-29.5708298970,-45.9704847442,0.6069928715,0.6069928715
-29.8127956066,-46.3475608655,0.6045391963,0.6045391963
-30.0547976150,-46.7246139528,0.6021790155,0.6021790155
-30.2968376252,-47.1016426616,0.5999221079,0.5999221079
-30.5389176986,-47.4786458267,0.5977780840,0.5977780840
-30.7810397173,-47.8556222831,0.5957563474,0.5957563474
-31.0232055635,-48.2325706862,0.5938660568,0.5938660568
-31.2654172986,-48.6094899607,0.5921160885,0.5921160885
-31.5076767152,-48.9863787621,0.5905150000,0.5905150000
-31.7499857850,-49.3632358356,0.5890709940,0.5890709940
-31.9923464799,-49.7400600160,0.5877918843,0.5877918843
-32.2347606819,-50.1168500486,0.5866850624,0.5866850624
-32.4772303629,-50.4936047683,0.5857574657,0.5857574657
-32.7197574051,-50.8703228306,0.5850155473,0.5850155473
-32.9623436906,-51.2470030705,0.5844652479,0.5844652479
-33.2049912808,-51.6236443226,0.5841119684,0.5841119684
-33.4477019682,-52.0002452428,0.5839605458,0.5839605458
-33.6904777247,-52.3768046657,0.5840152301,0.5840152301
-33.9333205220,-52.7533213366,0.5842796644,0.5842796644
-34.1762322424,-53.1297940904,0.5847568659,0.5847568659
-34.4192147679,-53.5062215827,0.5854492105,0.5854492105
-34.6622692637,-53.8826031861,0.5863584193,0.5863584193
-34.9052354771,-54.2590367730,0.5874855472,0.5874855472
-35.1476020873,-54.6358347824,0.5888309749,0.5888309749
-35.3888120638,-55.0133376169,0.5903944027,0.5903944027
-35.6283080177,-55.3918858582,0.5921748472,0.5921748472
-35.8655328286,-55.7718199986,0.5941706406,0.5941706406
-36.0999291974,-56.1534804405,0.5963794327,0.5963794327
-36.3309400039,-56.5372079451,0.5987981954,0.5987981954
-36.5581733998,-56.9232417262,0.6014232298,0.6014232298
-36.7836231330,-57.3103633076,0.6042501762,0.6042501762
-37.0110754871,-57.6962587946,0.6072740260,0.6072740260
-37.2443600356,-58.0785877627,0.6104891371,0.6104891371
