# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5992327307,0.5992327307
-0.1706322774,0.3552331239,0.5980187597,0.5980187597
-0.3407710916,0.7107420392,0.5967119238,0.5967119238
-0.5104794446,1.0664871332,0.5953204730,0.5953204730
-0.6798202596,1.4224287935,0.5938527331,0.5938527331
-0.8488564599,1.7785275650,0.5923170685,0.5923170685
-1.0176508900,2.1347436778,0.5907218461,0.5907218461
-1.1862665519,2.4910377555,0.5890753982,0.5890753982
-1.3547662901,2.8473700283,0.5873859879,0.5873859879
-1.5232131853,3.2037011197,0.5856617738,0.5856617738
-1.6916700034,3.5599912598,0.5839107762,0.5839107762
-1.8601997463,3.9162009937,0.5821408448,0.5821408448
-2.0288654160,4.2722907874,0.5803596271,0.5803596271
-2.1977297783,4.6282208711,0.5785745382,0.5785745382
-2.3668558352,4.9839518684,0.5767927325,0.5767927325
-2.5363095813,5.3394478682,0.5750210771,0.5750210771
-2.7061664615,5.6946853235,0.5732661260,0.5732661260
-2.8765039683,6.0496426562,0.5715340978,0.5715340978
-3.0473994366,6.4042985242,0.5698308535,0.5698308535
-3.2189301227,6.7586315069,0.5681618781,0.5681618781
-3.3911735190,7.1126201837,0.5665322631,0.5665322631
-3.5642069605,7.4662430550,0.5649466915,0.5649466915
-3.7381077034,7.8194787003,0.5634094256,0.5634094256
-3.9129532401,8.1723057775,0.5619242962,0.5619242962
-4.0888209057,8.5247028661,0.5604946947,0.5604946947
-4.2657880351,8.8766483877,0.5591235676,0.5591235676
-4.4439319632,9.2281211580,0.5578134128,0.5578134128
-4.6233301039,9.5790995200,0.5565662790,0.5565662790
-4.8040597920,9.9295622106,0.5553837666,0.5553837666
-4.9861326041,10.2795061584,0.5542670318,0.5542670318
-5.1693618182,10.6289837339,0.5532167923,0.5532167923
-5.3535231469,10.9780579390,0.5522333355,0.5522333355
-5.5383923032,11.3267916970,0.5513165287,0.5513165287
-5.7237450000,11.6752477736,0.5504658319,0.5504658319
-5.9093571862,12.0234892496,0.5496803120,0.5496803120
-6.0950044961,12.3715789696,0.5489586592,0.5489586592
-6.2804626424,12.7195797779,0.5482992055,0.5482992055
-6.4655074956,13.0675546767,0.5476999443,0.5476999443
-6.6499147684,13.4155665104,0.5471585526,0.5471585526
-6.8334602526,13.7636782023,0.5466724136,0.5466724136
-7.0159196608,14.1119527544,0.5462386414,0.5462386414
-7.1970687060,14.4604529325,0.5458541068,0.5458541068
-7.3766832585,14.8092417384,0.5455154642,0.5455154642
-7.5546169962,15.1583851670,0.5452191793,0.5452191793
-7.7315182885,15.5079803987,0.5449615576,0.5449615576
-7.9084995934,15.8581431210,0.5447387740,0.5447387740
-8.0866794327,16.2089891000,0.5445469023,0.5445469023
-8.2671762496,16.5606341021,0.5443819452,0.5443819452
-8.4511084873,16.9131938933,0.5442398651,0.5442398651
-8.6395945102,17.2667844761,0.5441166138,0.5441166138
-8.8330758048,17.6215565829,0.5440081629,0.5440081629
-9.0170209579,17.9784400444,0.5439105339,0.5439105339
-9.1622495654,18.3391261497,0.5438198271,0.5438198271
-9.2389690013,18.7053380824,0.5437322511,0.5437322511
-9.2245991882,19.0779939393,0.5436441499,0.5436441499
-9.1342372974,19.4538058030,0.5435520311,0.5435520311
-8.9952426598,19.8281171952,0.5434525909,0.5434525909
-8.8348176528,20.1963196764,0.5433427398,0.5433427398
-8.6704029649,20.5567400707,0.5432196260,0.5432196260
-8.5043303791,20.9122474896,0.5430806571,0.5430806571
-8.3376345459,21.2661010271,0.5429235213,0.5429235213
-8.1712018248,21.6212594936,0.5427462059,0.5427462059
-8.0045671036,21.9779448926,0.5425470146,0.5425470146
-7.8365424793,22.3349162420,0.5423245826,0.5423245826
-7.6659342214,22.6909194080,0.5420778903,0.5420778903
-7.4920053639,23.0450960670,0.5418062745,0.5418062745
-7.3152322019,23.3976389264,0.5415094374,0.5415094374
-7.1362901958,23.7489132404,0.5411874542,0.5411874542
-6.9558548059,24.0992842630,0.5408407779,0.5408407779
-6.7746012561,24.4491172486,0.5404702420,0.5404702420
-6.5932051642,24.7987772936,0.5400770613,0.5400770613
-6.4123417544,25.1486297310,0.5396628301,0.5396628301
-6.2324603883,25.4989231824,0.5392295185,0.5392295185
-6.0529388425,25.8493535845,0.5387794664,0.5387794664
-5.8728377569,26.1994533835,0.5383153752,0.5383153752
-5.6912178505,26.5487551046,0.5378402974,0.5378402974
-5.5071396844,26.8967911154,0.5373576245,0.5373576245
-5.3196638200,27.2430937833,0.5368710723,0.5368710723
