# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.4882629216,0.4882629216
0.0073712883,-0.3640844678,0.4856027448,0.4856027448
0.0147546727,-0.7281690813,0.4830929456,0.4830929456
0.0221490602,-1.0922537676,0.4807339083,0.4807339083
0.0295535036,-1.4563385997,0.4785252099,0.4785252099
0.0369669826,-1.8204235047,0.4764656546,0.4764656546
0.0443884771,-2.1845084097,0.4745533136,0.4745533136
0.0518169671,-2.5485933875,0.4727855681,0.4727855681
0.0592514322,-2.9126782196,0.4711591575,0.4711591575
0.0666909252,-3.2767630517,0.4696702306,0.4696702306
0.0741343531,-3.6408477381,0.4683143997,0.4683143997
0.0815807686,-4.0049322787,0.4670867991,0.4670867991
0.0890291516,-4.3690166008,0.4659821440,0.4659821440
0.0964784819,-4.7331007771,0.4649947932,0.4649947932
0.1039277392,-5.0971846619,0.4641188129,0.4641188129
0.1113759765,-5.4612682552,0.4633480408,0.4633480408
0.1188221005,-5.8253515571,0.4626761527,0.4626761527
0.1262650912,-6.1894344946,0.4620967276,0.4620967276
0.1337040742,-6.5535170678,0.4616033141,0.4616033141
0.1411378835,-6.9175991309,0.4611894950,0.4611894950
0.1485655718,-7.2816808297,0.4608489516,0.4608489516
0.1559861191,-7.6457620184,0.4605755265,0.4605755265
0.1633985051,-8.0098426241,0.4603632839,0.4603632839
0.1708017826,-8.3739227198,0.4602065683,0.4602065683
0.1781949313,-8.7380022325,0.4601000599,0.4601000599
0.1855768584,-9.1020810165,0.4600388272,0.4600388272
0.1929466164,-9.4661592176,0.4600183761,0.4600183761
0.2003031853,-9.8302366900,0.4600346951,0.4600346951
0.2076455448,-10.1943134337,0.4600842967,0.4600842967
0.2149727477,-10.5583894488,0.4601642540,0.4601642540
0.2222837010,-10.9224645894,0.4602722329,0.4602722329
0.2295773845,-11.2865389284,0.4604065196,0.4604065196
0.2368528509,-11.6506123931,0.4605660425,0.4605660425
0.2441090800,-12.0146849104,0.4607503900,0.4607503900
