# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.6731771883,0.6731771883
0.0376257365,0.3832393723,0.6767664390,0.6767664390
0.0752123361,0.7664771267,0.6803910820,0.6803910820
0.1127629575,1.1497132632,0.6840463349,0.6840463349
0.1502809134,1.5329475508,0.6877273045,0.6877273045
0.1877693626,1.9161800664,0.6914289973,0.6914289973
0.2252314638,2.2994105790,0.6951463298,0.6951463298
0.2626706066,2.6826390885,0.6988741387,0.6988741387
0.3000898729,3.0658654408,0.7026071926,0.7026071926
0.3374925753,3.4490895589,0.7063402021,0.7063402021
0.3748819496,3.8323114429,0.7100678319,0.7100678319
0.4122610774,4.2155309385,0.7137847119,0.7137847119
0.4496333485,4.5987479689,0.7174854488,0.7174854488
0.4870019217,4.9819623798,0.7211646375,0.7211646375
0.5243700326,5.3651741714,0.7248168734,0.7248168734
0.5617409171,5.7483831895,0.7284367637,0.7284367637
0.5991177336,6.1315894341,0.7320189390,0.7320189390
0.6365037952,6.5147927511,0.7355580658,0.7355580658
0.6739023373,6.8979929865,0.7390488572,0.7390488572
0.7113165189,7.2811902172,0.7424860853,0.7424860853
0.7487494984,7.6643842123,0.7458645920,0.7458645920
0.7862046659,8.0475748946,0.7491793009,0.7491793009
0.8236851798,8.4307622641,0.7524252279,0.7524252279
0.8611941990,8.8139461667,0.7555974924,0.7555974924
0.8987351132,9.1971265255,0.7586913282,0.7586913282
0.9363109270,9.5803032633,0.7617020931,0.7617020931
0.9739250303,9.9634762262,0.7646252800,0.7646252800
1.0115805818,10.3466454910,0.7674565260,0.7674565260
1.0492808170,10.7298107497,0.7701916220,0.7701916220
1.0870289719,11.1129720793,0.7728265220,0.7728265220
1.1248282821,11.4961293257,0.7753573514,0.7753573514
1.1626819833,11.8792824120,0.7777804155,0.7777804155
1.2005932343,12.2624311839,0.7800922072,0.7800922072
1.2385652707,12.6455757185,0.7822894144,0.7822894144
1.2766014054,13.0287157847,0.7843689268,0.7843689268
1.3147047969,13.4118513056,0.7863278422,0.7863278422
1.3528786811,13.7949822039,0.7881634724,0.7881634724
1.3911259085,14.1781084798,0.7898733486,0.7898733486
1.4294442448,14.5612302873,0.7914552261,0.7914552261
1.4678270646,14.9443481657,0.7929070883,0.7929070883
1.5062678963,15.3274625773,0.7942271507,0.7942271507
1.5447600375,15.7105740613,0.7954138638,0.7954138638
1.5832969395,16.0936831570,0.7964659154,0.7964659154
1.6218720540,16.4767903267,0.7973822327,0.7973822327
1.6604786783,16.8598961096,0.7981619836,0.7981619836
1.6991103409,17.2430009681,0.7988045773,0.7988045773
1.7377602623,17.6261053643,0.7993096645,0.7993096645
1.7764220480,18.0092098375,0.7996771366,0.7996771366
1.8150889955,18.3923149271,0.7999071253,0.7999071253
1.8537545563,18.7754211723,0.8000000000,0.8000000000
1.8924121047,19.1585289583,0.7999563663,0.7999563663
1.9310550154,19.5416388244,0.7997770629,0.7997770629
1.9696766627,19.9247513100,0.7994631579,0.7994631579
2.0082705752,20.3078669542,0.7990159454,0.7990159454
2.0468301273,20.6909861423,0.7984369405,0.7984369405
2.0853486166,21.0741094906,0.7977278746,0.7977278746
2.1238194943,21.4572373844,0.7968906897,0.7968906897
2.1622362122,21.8403704399,0.7959275322,0.7959275322
2.2005921446,22.2235091194,0.7948407468,0.7948407468
2.2388806660,22.6066538851,0.7936328689,0.7936328689
2.2770952280,22.9898053535,0.7923066177,0.7923066177
2.3152292819,23.3729639096,0.7908648881,0.7908648881
2.3532760482,23.7561300928,0.7893107424,0.7893107424
2.3912291325,24.1393044424,0.7876474017,0.7876474017
2.4290817552,24.5224873435,0.7858782370,0.7858782370
2.4668275218,24.9056794895,0.7840067599,0.7840067599
2.5044596527,25.2888811887,0.7820366129,0.7820366129
2.5419715994,25.6720931343,0.7799715595,0.7799715595
2.5793568905,26.0553156346,0.7778154741,0.7778154741
2.6166087464,26.4385493059,0.7755723318,0.7755723318
2.6537206955,26.8217946873,0.7732461979,0.7732461979
2.6906860354,27.2050521643,0.7708412169,0.7708412169
2.7274982945,27.5883223530,0.7683616021,0.7683616021
2.7641510785,27.9716057158,0.7658116245,0.7658116245
2.8006433087,28.3549022526,0.7631956019,0.7631956019
2.8369776816,28.7382118094,0.7605178878,0.7605178878
2.8731572019,29.1215342320,0.7577828608,0.7577828608
2.9091850281,29.5048692894,0.7549949131,0.7549949131
2.9450640109,29.8882166733,0.7521584398,0.7521584398
2.9807970777,30.2715763068,0.7492778285,0.7492778285
3.0163873874,30.6549478817,0.7463574478,0.7463574478
3.0518378673,31.0383312439,0.7434016375,0.7434016375
3.0871514452,31.4217260852,0.7404146977,0.7404146977
3.1223311255,31.8051323285,0.7374008790,0.7374008790
3.1573799900,32.1885495888,0.7343643723,0.7343643723
3.1923008892,32.5719778660,0.7313092991,0.7313092991
3.2270969046,32.9554167748,0.7282397025,0.7282397025
3.2617710410,33.3388661612,0.7251595375,0.7251595375
3.2963262259,33.7223257941,0.7220726627,0.7220726627
3.3307654639,34.1057955194,0.7189828317,0.7189828317
3.3650918366,34.4892750289,0.7158936851,0.7158936851
3.3993081175,34.8727641686,0.7128087430,0.7128087430
3.4334175423,35.2562627072,0.7097313976,0.7097313976
3.4674229617,35.6397704908,0.7066649063,0.7066649063
3.5013273030,36.0232872112,0.7036123861,0.7036123861
3.5351337250,36.4068127143,0.7005768067,0.7005768067
3.5688451554,36.7903467689,0.6975609860,0.6975609860
3.6024645215,37.1738891440,0.6945675848,0.6945675848
