# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.7117600226,0.7117600226
0.0435553712,0.3951383916,0.7078830659,0.7078830659
0.0871667423,0.7902625648,0.7037470239,0.7037470239
0.1308234695,1.1853741876,0.6993538665,0.6993538665
0.1745151471,1.5804750870,0.6947065887,0.6947065887
0.2182310516,1.9755667722,0.6898092161,0.6898092161
0.2619608568,2.3706510702,0.6846668055,0.6846668055
0.3056939187,2.7657297285,0.6792854394,0.6792854394
0.3494197523,3.1608042563,0.6736722155,0.6736722155
0.3931277930,3.5558764805,0.6678352301,0.6678352301
0.4368075556,3.9509480693,0.6617835568,0.6617835568
0.4804483963,4.3460206907,0.6555272194,0.6555272194
0.5240399888,4.7410960922,0.6490771596,0.6490771596
0.5675716890,5.1361759420,0.6424451995,0.6424451995
0.6110329325,5.5312619081,0.6356439995,0.6356439995
0.6544132342,5.9263557380,0.6286870112,0.6286870112
0.6977021089,6.3214590998,0.6215884261,0.6215884261
0.7408889126,6.7165736617,0.6143631195,0.6143631195
0.7839637959,7.1117010121,0.6070265915,0.6070265915
0.8269244549,7.5068417867,0.5995949029,0.5995949029
0.8697746233,7.9019955088,0.5920846096,0.5920846096
0.9125183519,8.2971617813,0.5845126921,0.5845126921
0.9551594535,8.6923402864,0.5768964843,0.5768964843
0.9977018204,9.0875305475,0.5692535984,0.5692535984
1.0401494241,9.4827321675,0.5616018495,0.5616018495
1.0825061570,9.8779448286,0.5539591777,0.5539591777
1.1247758317,10.2731681337,0.5463435696,0.5463435696
1.1669624198,10.6684016062,0.5387729796,0.5387729796
1.2090698137,11.0636449283,0.5312652505,0.5312652505
1.2511019054,11.4588977029,0.5238380345,0.5238380345
1.2930626666,11.8541595328,0.5165087156,0.5165087156
1.3349559895,12.2494299414,0.5092943322,0.5092943322
1.3767856868,12.6447086905,0.5022115019,0.5022115019
1.4185558097,13.0399953034,0.4952763479,0.4952763479
1.4602700915,13.4352893829,0.4885044283,0.4885044283
1.5019325037,13.8305905320,0.4819106677,0.4819106677
1.5435470976,14.2258984328,0.4755092921,0.4755092921
1.5851175268,14.6212126088,0.4693137673,0.4693137673
1.6266478426,15.0165326629,0.4633367411,0.4633367411
1.6681420166,15.4118582772,0.4575899899,0.4575899899
1.7096037820,15.8071889752,0.4520843694,0.4520843694
1.7510371900,16.2025244391,0.4468297698,0.4468297698
1.7924459739,16.5978642719,0.4418350769,0.4418350769
1.8338342642,16.9932080763,0.4371081373,0.4371081373
1.8752057942,17.3885553757,0.4326557296,0.4326557296
1.9165645355,17.7839058524,0.4284835405,0.4284835405
1.9579143804,18.1792591887,0.4245961473,0.4245961473
1.9992593004,18.5746148286,0.4209970055,0.4209970055
2.0406031084,18.9699724542,0.4176884420,0.4176884420
2.0819496966,19.3653317480,0.4146716549,0.4146716549
2.1233030365,19.7606922332,0.4119467184,0.4119467184
2.1646670203,20.1560535128,0.4095125935,0.4095125935
2.2060454610,20.5514152689,0.4073671444,0.4073671444
2.2474424094,20.9467770251,0.4055071608,0.4055071608
2.2888617578,21.3421383841,0.4039283852,0.4039283852
2.3303073190,21.7374990282,0.4026255455,0.4026255455
2.3717829852,22.1328585602,0.4015923929,0.4015923929
2.4132928073,22.5282165830,0.4008217443,0.4008217443
2.4548405189,22.9235726200,0.4003055297,0.4003055297
2.4964300914,23.3189263535,0.4000348435,0.4000348435
2.5380654966,23.7142774657,0.4000000000,0.4000000000
2.5797506266,24.1096254006,0.4001905926,0.4001905926
2.6214892942,24.5049698404,0.4005955561,0.4005955561
2.6632853915,24.9003103881,0.4012032327,0.4012032327
2.7051429697,25.2956467258,0.4020014393,0.4020014393
2.7470658416,25.6909783770,0.4029775384,0.4029775384
2.7890578992,26.0863049445,0.4041185099,0.4041185099
2.8311231143,26.4816261106,0.4054110247,0.4054110247
2.8732652997,26.8769413986,0.4068415191,0.4068415191
2.9133378679,27.2720780427,0.4083962698,0.4083962698
2.9354948840,27.6657646442,0.4100614692,0.4100614692
2.9185150482,28.0562990414,0.4118232998,0.4118232998
2.8429182238,28.4418463406,0.4136680091,0.4136680091
2.7103583571,28.8189862524,0.4155819818,0.4155819818
2.5364882029,29.1832487852,0.4175518118,0.4175518118
2.3361612652,29.5294228410,0.4195643718,0.4195643718
2.0949728344,29.8321623426,0.4216068798,0.4216068798
1.7774649807,30.0547417745,0.4236669645,0.4236669645
1.4150783288,30.2252474803,0.4257327264,0.4257327264
1.0468008739,30.3814021731,0.4277927956,0.4277927956
0.6786080148,30.5335127126,0.4298363870,0.4298363870
0.3129700267,30.6889746734,0.4318533499,0.4318533499
-0.0483142592,30.8533169635,0.4338342149,0.4338342149
-0.4055838613,31.0261272482,0.4357702352,0.4357702352
-0.7596021272,31.2058131414,0.4376534237,0.4376534237
-1.1111325633,31.3907823370,0.4394765854,0.4394765854
-1.4609386759,31.5794426078,0.4412333441,0.4412333441
-1.8097839715,31.7702014885,0.4429181649,0.4429181649
-2.1583905720,31.9615492034,0.4445263703,0.4445263703
-2.5070275952,32.1528828586,0.4460541521,0.4460541521
