# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5344124141,0.5344124141
-0.3131746566,-0.3001359712,0.5334919681,0.5334919681
-0.6263122823,-0.6003101007,0.5325019084,0.5325019084
-0.9394108824,-0.9005243831,0.5314454586,0.5314454586
-1.2524686359,-1.2007811599,0.5303261008,0.5303261008
-1.5654836347,-1.5010825993,0.5291475650,0.5291475650
-1.8784540578,-1.8014308693,0.5279138163,0.5279138163
-2.1913781705,-2.1018283115,0.5266290422,0.5266290422
-2.5042538916,-2.4022769205,0.5252976385,0.5252976385
-2.8170794866,-2.7027790377,0.5239241949,0.5239241949
-3.1298530476,-3.0033368314,0.5225134798,0.5225134798
-3.4425728401,-3.3039524696,0.5210704243,0.5210704243
-3.7552367828,-3.6046282938,0.5196001056,0.5196001056
-4.0678432278,-3.9053662986,0.5181077306,0.5181077306
-4.3803901806,-4.2061689123,0.5165986179,0.5165986179
-4.6928759067,-4.5070381296,0.5150781803,0.5150781803
-5.0052984115,-4.8079762920,0.5135519067,0.5135519067
-5.3176558738,-5.1089855676,0.5120253436,0.5120253436
-5.6299465590,-5.4100681244,0.5105040764,0.5105040764
-5.9421683859,-5.7112262172,0.5089937108,0.5089937108
-6.2543197067,-6.0124620142,0.5074998539,0.5074998539
-6.5663985267,-6.3137777701,0.5060280954,0.5060280954
-6.8784031116,-6.6151756531,0.5045839888,0.5045839888
-7.1903314666,-6.9166578312,0.5031730328,0.5031730328
-7.5021817706,-7.2182265592,0.5018006527,0.5018006527
-7.8139522023,-7.5198840052,0.5004721822,0.5004721822
-8.1256408539,-7.8216324241,0.4991928457,0.4991928457
-8.4372459042,-8.1234740705,0.4979677406,0.4979677406
-8.7487655320,-8.4254109392,0.4968018201,0.4968018201
-9.0601977426,-8.7274454585,0.4956998768,0.4956998768
-9.3715625691,-9.0295556005,0.4946665268,0.4946665268
-9.6829769147,-9.3316113669,0.4937061937,0.4937061937
-9.9945852605,-9.6334524931,0.4928230945,0.4928230945
-10.3065320876,-9.9349185406,0.4920212251,0.4920212251
-10.6189617904,-10.2358491581,0.4913043473,0.4913043473
-10.9320185899,-10.5360840806,0.4906759760,0.4906759760
-11.2458471407,-10.8354629568,0.4901393681,0.4901393681
-11.5605917504,-11.1338253483,0.4896975110,0.4896975110
-11.8763968136,-11.4310109037,0.4893531136,0.4893531136
-12.1934067245,-11.7268593582,0.4891085969,0.4891085969
-12.5117659644,-12.0212103602,0.4889660864,0.4889660864
-12.8316188408,-12.3139035583,0.4889274052,0.4889274052
-13.1531098350,-12.6047785141,0.4889940681,0.4889940681
-13.4763833414,-12.8936748763,0.4891672771,0.4891672771
-13.8015838411,-13.1804324667,0.4894479174,0.4894479174
-14.1288555551,-13.4648907603,0.4898365551,0.4898365551
-14.4583146059,-13.7469141219,0.4903334357,0.4903334357
