# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5830811404,0.5830811404
-0.3388605540,0.0990058765,0.5819033136,0.5819033136
-0.6777198371,0.1980253805,0.5807887835,0.5807887835
-1.0165779904,0.2970583710,0.5797339290,0.5797339290
-1.3554352258,0.3961047066,0.5787345334,0.5787345334
-1.6942917551,0.4951643873,0.5777858564,0.5777858564
-2.0331477195,0.5942373426,0.5768827106,0.5768827106
-2.3720032602,0.6933233606,0.5760195408,0.5760195408
-2.7108585892,0.7924224414,0.5751905064,0.5751905064
-3.0497139181,0.8915343730,0.5743895665,0.5743895665
-3.3885693882,0.9906592261,0.5736105647,0.5736105647
-3.7274251408,1.0897967183,0.5728473168,0.5728473168
-4.0662814583,1.1889469202,0.5720936962,0.5720936962
-4.4051384112,1.2881096199,0.5713437202,0.5713437202
-4.7439962821,1.3872847468,0.5705916338,0.5705916338
-5.0828551415,1.4864722304,0.5698319920,0.5698319920
-5.4217152719,1.5856719294,0.5690597384,0.5690597384
-5.7605768144,1.6848838437,0.5682702809,0.5682702809
-6.0994399104,1.7841077617,0.5674595631,0.5674595631
-6.4383047716,1.8833436832,0.5666241307,0.5666241307
-6.7771715392,1.9825913965,0.5657611929,0.5657611929
-7.1160404957,2.0818509016,0.5648686774,0.5648686774
-7.4549117118,2.1811220571,0.5639452798,0.5639452798
-7.7937853991,2.2804047926,0.5629905053,0.5629905053
-8.1326616990,2.3796990375,0.5620047042,0.5620047042
-8.4715408939,2.4790046504,0.5609890993,0.5609890993
-8.8104230543,2.5783214902,0.5599458054,0.5599458054
-9.1493084628,2.6776494862,0.5588778419,0.5588778419
-9.4881971899,2.7769886385,0.5577891359,0.5577891359
-9.8270895182,2.8763387353,0.5566845182,0.5566845182
-10.1659855886,2.9756997765,0.5555697105,0.5555697105
-10.5048854720,3.0750715503,0.5544513051,0.5544513051
-10.8437895214,3.1744540568,0.5533367354,0.5533367354
-11.1826978073,3.2738470840,0.5522342400,0.5522342400
-11.5216105416,3.3732507026,0.5511528179,0.5511528179
-11.8605279361,3.4726647007,0.5501021772,0.5501021772
-12.1994501320,3.5720890079,0.5490926763,0.5490926763
-12.5383772706,3.6715234827,0.5481352585,0.5481352585
-12.8773095636,3.7709681253,0.5472413810,0.5472413810
-13.2162472230,3.8704227239,0.5464229375,0.5464229375
-13.5551903899,3.9698872783,0.5456921762,0.5456921762
-13.8941392761,4.0693617180,0.5450616133,0.5450616133
-14.2330940230,4.1688457606,0.5445439420,0.5445439420
-14.5720547010,4.2683394767,0.5441519396,0.5441519396
-14.9110172854,4.3678422307,0.5438983704,0.5438983704
-15.2499735150,4.4673528224,0.5437958879,0.5437958879
-15.5889149873,4.5668700513,0.5438569361,0.5438569361
-15.9278330173,4.6663928584,0.5440936490,0.5440936490
-16.2667192731,4.7659200433,0.5445177524,0.5445177524
-16.6055652110,4.8654503350,0.5451404655,0.5451404655
-16.9443623578,4.9649826743,0.5459724046,0.5459724046
-17.2831020994,5.0645158610,0.5470234899,0.5470234899
-17.6217760330,5.1640487652,0.5483028554,0.5483028554
-17.9603756857,5.2635801160,0.5498187626,0.5498187626
-18.2988925137,5.3631088543,0.5515785190,0.5515785190
-18.6373179733,5.4626337090,0.5535884024,0.5535884024
-18.9756436619,5.5621536211,0.5558535905,0.5558535905
-19.3138610359,5.6616673196,0.5583780975,0.5583780975
-19.6519615515,5.7611737454,0.5611647175,0.5611647175
-19.9899368062,5.8606716274,0.5642149754,0.5642149754
-20.3277782564,5.9601598359,0.5675290860,0.5675290860
-20.6654773582,6.0596371706,0.5711059213,0.5711059213
-21.0030257091,6.1591025724,0.5749429862,0.5749429862
-21.3404146949,6.2585546995,0.5790364032,0.5790364032
-21.6776359836,6.3579925637,0.5833809065,0.5833809065
-22.0146808903,6.4574148937,0.5879698445,0.5879698445
-22.3515436251,6.5568202776,0.5927951926,0.5927951926
-22.6884762630,6.6561852023,0.5978475740,0.5978475740
-23.0262045265,6.7554453428,0.6031162909,0.6031162909
-23.3655049058,6.8545321375,0.6085893636,0.6085893636
-23.7071539619,6.9533768836,0.6142535792,0.6142535792
-24.0519281852,7.0519110194,0.6200945486,0.6200945486
-24.4005914977,7.1500311729,0.6260967717,0.6260967717
-24.7526598021,7.2441950879,0.6322437101,0.6322437101
-25.1053592829,7.3245510029,0.6385178680,0.6385178680
-25.4556709693,7.3805712140,0.6449008791,0.6449008791
-25.8005757492,7.4017282289,0.6513736007,0.6513736007
-26.1370545812,7.3774944142,0.6579162124,0.6579162124
-26.4623100664,7.2984317083,0.6645083215,0.6645083215
