# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5378115773,0.5378115773
0.0186138077,0.4083699736,0.5380500116,0.5380500116
0.0372161703,0.8167406011,0.5384271094,0.5384271094
0.0558074966,1.2251120462,0.5389397899,0.5389397899
0.0743881136,1.6334841453,0.5395846724,0.5395846724
0.0929585119,2.0418568983,0.5403580850,0.5403580850
0.1115191001,2.4502303054,0.5412560750,0.5412560750
0.1300702870,2.8586042030,0.5422744186,0.5422744186
0.1486124814,3.2669787546,0.5434086331,0.5434086331
0.1671460103,3.6753537149,0.5446539884,0.5446539884
0.1856713641,4.0837291657,0.5460055201,0.5460055201
0.2041888699,4.4921051071,0.5474580429,0.5474580429
0.2226990182,4.9004812936,0.5490061648,0.5490061648
0.2412022177,5.3088578890,0.5506443016,0.5506443016
0.2596987954,5.7172348113,0.5523666922,0.5523666922
0.2781892419,6.1256119789,0.5541674144,0.5541674144
0.2966739658,6.5339893100,0.5560404009,0.5560404009
0.3151532942,6.9423668863,0.5579794562,0.5579794562
0.3336276359,7.3507446262,0.5599782730,0.5599782730
0.3520974813,7.7591223660,0.5620304498,0.5620304498
0.3705631574,8.1675002694,0.5641295082,0.5641295082
0.3890248277,8.5758781727,0.5662689105,0.5662689105
0.4074829011,8.9842561578,0.5684420774,0.5684420774
0.4259376226,9.3926342246,0.5706424061,0.5706424061
0.4443891559,9.8010122915,0.5728632876,0.5728632876
0.4628379097,10.2093903583,0.5750981253,0.5750981253
0.4812841293,10.6177684252,0.5773403520,0.5773403520
0.4997279781,11.0261464920,0.5795834480,0.5795834480
0.5181698648,11.4345246406,0.5818209581,0.5818209581
0.5366100349,11.8429026257,0.5840465092,0.5840465092
0.5550487334,12.2512806925,0.5862538266,0.5862538266
0.5734862056,12.6596586776,0.5884367510,0.5884367510
0.5919226969,13.0680365810,0.5905892544,0.5905892544
0.6103586159,13.4764144026,0.5927054557,0.5927054557
0.6287941261,13.8847922241,0.5947796359,0.5947796359
0.6472295547,14.2931698822,0.5968062525,0.5968062525
0.6656650649,14.7015474586,0.5987799540,0.5987799540
0.6841011474,15.1099249532,0.6006955927,0.6006955927
0.7025378022,15.5183022843,0.6025482380,0.6025482380
0.7209755197,15.9266794518,0.6043331878,0.6043331878
0.7394144634,16.3350565377,0.6060459802,0.6060459802
0.7578549605,16.7434334600,0.6076824040,0.6076824040
0.7762972560,17.1518102189,0.6092385081,0.6092385081
0.7947415953,17.5601868142,0.6107106104,0.6107106104
0.8131883053,17.9685631643,0.6120953061,0.6120953061
0.8316376314,18.3769393509,0.6133894746,0.6133894746
0.8500898187,18.7853153739,0.6145902855,0.6145902855
0.8685451943,19.1936910700,0.6156952043,0.6156952043
0.8870040034,19.6020666026,0.6167019966,0.6167019966
0.9054665730,20.0104418899,0.6176087314,0.6176087314
