# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5366193554,0.5366193554
0.1020168472,-0.3869235707,0.5365213162,0.5365213162
0.2031727094,-0.7740540405,0.5365983809,0.5365983809
0.3033991272,-1.1614074233,0.5368469375,0.5368469375
0.4026274812,-1.5489994125,0.5372627182,0.5372627182
0.5008106107,-1.9368408175,0.5378408131,0.5378408131
0.5982083405,-2.3248690242,0.5385756870,0.5385756870
0.6953098939,-2.7129664108,0.5394612001,0.5394612001
0.7926098591,-3.1010143146,0.5404906306,0.5404906306
0.8906031443,-3.4888938326,0.5416567013,0.5416567013
0.9897843375,-3.8764862222,0.5429516077,0.5429516077
1.0906483471,-4.2636725003,0.5443670501,0.5443670501
1.1936080903,-4.6503534611,0.5458942670,0.5458942670
1.2984906976,-5.0365691392,0.5475240718,0.5475240718
1.4048677983,-5.4224205821,0.5492468910,0.5492468910
1.5123096605,-5.8080089173,0.5510528045,0.5510528045
1.6203867924,-6.1934354325,0.5529315882,0.5529315882
1.7286696224,-6.5788013352,0.5548727574,0.5548727574
1.8367284985,-6.9642079131,0.5568656124,0.5568656124
1.9442186424,-7.3497368369,0.5588992844,0.5588992844
2.0511259620,-7.7353932310,0.5609627832,0.5609627832
2.1575169147,-8.1211639640,0.5630450446,0.5630450446
2.2634581181,-8.5070355043,0.5651349796,0.5651349796
2.3690161900,-8.8929946404,0.5672215226,0.5672215226
2.4742577480,-9.2790278406,0.5692936800,0.5692936800
2.5792493296,-9.6651218935,0.5713405791,0.5713405791
2.6840575526,-10.0512633474,0.5733515154,0.5733515154
2.7887489544,-10.4374389108,0.5753160004,0.5753160004
2.8933900728,-10.8236351321,0.5772238077,0.5772238077
2.9980476854,-11.2098387197,0.5790650178,0.5790650178
3.1027880896,-11.5960363022,0.5808300622,0.5808300622
3.2076781434,-11.9822145880,0.5825097652,0.5825097652
3.3127762973,-12.3683613264,0.5840953843,0.5840953843
3.4180834320,-12.7544733148,0.5855786480,0.5855786480
3.5235748062,-13.1405512738,0.5869517925,0.5869517925
3.6292255182,-13.5265959239,0.5882075946,0.5882075946
3.7350108268,-13.9126079057,0.5893394031,0.5893394031
3.8409058303,-14.2985880200,0.5903411670,0.5903411670
3.9468857072,-14.6845369873,0.5912074610,0.5912074610
4.0529257161,-15.0704553681,0.5919335079,0.5919335079
4.1590007955,-15.4563440432,0.5925151982,0.5925151982
4.2650863639,-15.8422036532,0.5929491061,0.5929491061
4.3711574397,-16.2280349187,0.5932325024,0.5932325024
4.4771892015,-16.6138385602,0.5933633643,0.5933633643
4.5831567478,-16.9996152184,0.5933403817,0.5933403817
4.6890353371,-17.3853658540,0.5931629598,0.5931629598
4.7947905396,-17.7711081625,0.5928312189,0.5928312189
4.9003667872,-18.1568980321,0.5923459900,0.5923459900
5.0057059496,-18.5427963156,0.5917088079,0.5917088079
5.1107495763,-18.9288638655,0.5909219005,0.5909219005
5.2154394568,-19.3151616146,0.5899881746,0.5899881746
5.3197172207,-19.7017502555,0.5889111987,0.5889111987
5.4235501997,-20.0886804720,0.5876951834,0.5876951834
5.5278900173,-20.4756008400,0.5863449572,0.5863449572
5.6349633205,-20.8616401255,0.5848659411,0.5848659411
5.7470814696,-21.2458923444,0.5832641195,0.5832641195
5.8665558249,-21.6274515927,0.5815460082,0.5815460082
5.9956979068,-22.0054117264,0.5797186213,0.5797186213
6.1368190756,-22.3788670014,0.5777894344,0.5777894344
6.2934814541,-22.7458466723,0.5757663462,0.5757663462
6.4742496542,-23.1001216684,0.5736576391,0.5736576391
6.6830843836,-23.4386521589,0.5714719363,0.5714719363
6.9010120222,-23.7750287854,0.5692181593,0.5692181593
7.1182930212,-24.1149218150,0.5669054830,0.5669054830
