# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.4718447517,0.4718447517
-0.4382904906,-0.0372000856,0.4720853396,0.4720853396
-0.8765844989,-0.0743567269,0.4723989792,0.4723989792
-1.3148820250,-0.1114711551,0.4727838756,0.4727838756
-1.7531828049,-0.1485446895,0.4732381335,0.4732381335
-2.1914868389,-0.1855787370,0.4737597660,0.4737597660
-2.6297939508,-0.2225743531,0.4743467049,0.4743467049
-3.0681038770,-0.2595329448,0.4749968096,0.4749968096
-3.5064167053,-0.2964557433,0.4757078773,0.4757078773
-3.9447322599,-0.3333440678,0.4764776527,0.4764776527
-4.3830502769,-0.3701991496,0.4773038386,0.4773038386
-4.8213707563,-0.4070223077,0.4781841048,0.4781841048
-5.2596935222,-0.4438148613,0.4791160994,0.4791160994
-5.6980184868,-0.4805779537,0.4800974578,0.4800974578
-6.1363455620,-0.5173129921,0.4811258132,0.4811258132
-6.5746744841,-0.5540212076,0.4821988063,0.4821988063
-7.0130052529,-0.5907039193,0.4833140949,0.4833140949
-7.4513376048,-0.6273623585,0.4844693634,0.4844693634
-7.8896716276,-0.6639977564,0.4856623324,0.4856623324
-8.3280069695,-0.7006115202,0.4868907674,0.4868907674
-8.7663436306,-0.7372048809,0.4881524877,0.4881524877
-9.2046814350,-0.7737789820,0.4894453751,0.4894453751
-9.6430202947,-0.8103353183,0.4907673819,0.4907673819
-10.0813600338,-0.8468750333,0.4921165389,0.4921165389
-10.5197005644,-0.8833994461,0.4934909625,0.4934909625
-10.9580417986,-0.9199098757,0.4948888619,0.4948888619
-11.3963835605,-0.9564075536,0.4963085460,0.4963085460
-11.8347256741,-0.9928937107,0.4977484288,0.4977484288
-12.2730680515,-1.0293697543,0.4992070357,0.4992070357
-12.7114106928,-1.0658368277,0.5006830085,0.5006830085
-13.1497532461,-1.1022962499,0.5021751096,0.5021751096
-13.5880957115,-1.1387493402,0.5036822269,0.5036822269
-14.0264380010,-1.1751974176,0.5052033763,0.5052033763
-14.4647798508,-1.2116416255,0.5067377058,0.5067377058
-14.9031212609,-1.2480833710,0.5082844970,0.5082844970
-15.3414620554,-1.2845238853,0.5098431675,0.5098431675
-15.7798021463,-1.3209643996,0.5114132719,0.5114132719
-16.2181412698,-1.3574062331,0.5129945025,0.5129945025
-16.6564795139,-1.3938507048,0.5145866895,0.5145866895
-17.0948165268,-1.4302990461,0.5161898004,0.5161898004
-17.5331523964,-1.4667525761,0.5178039386,0.5178039386
-17.9714868589,-1.5032125260,0.5194293424,0.5194293424
-18.4098198263,-1.5396802149,0.5210663820,0.5210663820
-18.8481511229,-1.5761568742,0.5227155570,0.5227155570
-19.2864807484,-1.6126438228,0.5243774931,0.5243774931
-19.7248084393,-1.6491422921,0.5260529380,0.5260529380
-20.1631341074,-1.6856536892,0.5277427568,0.5277427568
-20.6014578407,-1.7221785416,0.5294479271,0.5294479271
-21.0397794634,-1.7587167616,0.5311695335,0.5311695335
-21.4780993272,-1.7952679972,0.5329087618,0.5329087618
-21.9164174322,-1.8318318968,0.5346668921,0.5346668921
-22.3547339541,-1.8684081964,0.5364452921,0.5364452921
-22.7930488931,-1.9049963685,0.5382454100,0.5382454100
-23.2313625129,-1.9415963250,0.5400687665,0.5400687665
-23.6696748135,-1.9782075384,0.5419169469,0.5419169469
-24.1079858830,-2.0148298327,0.5437915925,0.5437915925
-24.5462959850,-2.0514627681,0.5456943922,0.5456943922
-24.9846050317,-2.0881060810,0.5476270732,0.5476270732
-25.4229132870,-2.1247593316,0.5495913920,0.5495913920
-25.8612208386,-2.1614223439,0.5515891248,0.5515891248
-26.2995276868,-2.1980946782,0.5536220582,0.5536220582
-26.7378340952,-2.2347759829,0.5556919788,0.5556919788
-27.1761400639,-2.2714659939,0.5578006641,0.5578006641
-27.6144457687,-2.3081643597,0.5599498720,0.5599498720
-28.0527512977,-2.3448708163,0.5621413312,0.5621413312
-28.4910567387,-2.3815848360,0.5643767307,0.5643767307
-28.9293621797,-2.4183063310,0.5666577106,0.5666577106
-29.3676678846,-2.4550347735,0.5689858515,0.5689858515
-29.8059737653,-2.4917698998,0.5713626653,0.5713626653
-30.2442799978,-2.5285113581,0.5737895851,0.5737895851
-30.6825867580,-2.5652589724,0.5762679560,0.5762679560
-31.1208941338,-2.6020121272,0.5787990259,0.5787990259
-31.5592022131,-2.6387707345,0.5813839362,0.5813839362
-31.9975111719,-2.6755343546,0.5840237135,0.5840237135
-32.4358209222,-2.7123027237,0.5867192607,0.5867192607
-32.8741318157,-2.7490754020,0.5894713493,0.5894713493
-33.3124438525,-2.7858521257,0.5922806117,0.5922806117
-33.7507571206,-2.8226325431,0.5951475333,0.5951475333
-34.1890717957,-2.8594163024,0.5980724465,0.5980724465
-34.6273879659,-2.8962031397,0.6010555237,0.6010555237
-35.0657057190,-2.9329927032,0.6040967713,0.6040967713
-35.5040251431,-2.9697845533,0.6071960247,0.6071960247
-35.9423464141,-3.0065785140,0.6103529431,0.6103529431
-36.3806696197,-3.0433742337,0.6135670049,0.6135670049
-36.8189948481,-3.0801712724,0.6168375044,0.6168375044
-37.2573222751,-3.1169692786,0.6201635483,0.6201635483
-37.6956519007,-3.1537680763,0.6235440530,0.6235440530
-38.1339839887,-3.1905673136,0.6269777429,0.6269777429
-38.5723185392,-3.2273665510,0.6304631484,0.6304631484
-39.0106556400,-3.2641654366,0.6339986059,0.6339986059
-39.4489954671,-3.3009637945,0.6375822571,0.6375822571
-39.8873381084,-3.3377611851,0.6412120499,0.6412120499
-40.3256836518,-3.3745572565,0.6448857392,0.6448857392
-40.7640322733,-3.4113517449,0.6486008890,0.6486008890
-41.2023840607,-3.4481442985,0.6523548748,0.6523548748
-41.6407391021,-3.4849345656,0.6561448866,0.6561448866
-42.0790974853,-3.5217222824,0.6599679327,0.6599679327
-42.5174593863,-3.5585070090,0.6638208442,0.6638208442
-42.9558248051,-3.5952883938,0.6677002795,0.6677002795
-43.3941940054,-3.6320662608,0.6716027308,0.6716027308
-43.8325670753,-3.6688401703,0.6755245293,0.6755245293
-44.2709440147,-3.7056098586,0.6794618527,0.6794618527
-44.7093249995,-3.7423748858,0.6834107321,0.6834107321
-45.1477101176,-3.7791349881,0.6873670602,0.6873670602
-45.5860994571,-3.8158898138,0.6913265994,0.6913265994
-46.0244932818,-3.8526390991,0.6952849909,0.6952849909
-46.4628915036,-3.8893824042,0.6992377640,0.6992377640
-46.9012942985,-3.9261194652,0.7031803461,0.7031803461
-47.3397018423,-3.9628499305,0.7071080726,0.7071080726
-47.7781142231,-3.9995735361,0.7110161978,0.7110161978
-48.2165315287,-4.0362898424,0.7148999056,0.7148999056
-48.6549538472,-4.0729984976,0.7187543214,0.7187543214
-49.0933813543,-4.1096993258,0.7225745230,0.7225745230
-49.5318140501,-4.1463917993,0.7263555530,0.7263555530
-49.9702521985,-4.1830757422,0.7300924307,0.7300924307
-50.4086957993,-4.2197502752,0.7337801644,0.7337801644
-50.8471440612,-4.2559457778,0.7374137639,0.7374137639
-51.2855935543,-4.2898563225,0.7409882529,0.7409882529
-51.7240403211,-4.3194398524,0.7444986820,0.7444986820
-52.1624804922,-4.3426538709,0.7479401409,0.7479401409
-52.6009101979,-4.3574562331,0.7513077716,0.7513077716
-53.0393254808,-4.3618045304,0.7545967806,0.7545967806
-53.4777223835,-4.3536566178,0.7578024518,0.7578024518
-53.9160970364,-4.3309701746,0.7609201588,0.7609201588
-54.3542873588,-4.2914061575,0.7639453773,0.7639453773
-54.7815782685,-4.2128377982,0.7668736970,0.7668736970
-55.1702590005,-4.0412683455,0.7697008341,0.7697008341
-55.4995622229,-3.7438954355,0.7724226420,0.7724226420
-55.7850794184,-3.3963313698,0.7750351236,0.7750351236
-56.0128860805,-3.0218572682,0.7775344416,0.7775344416
-56.1804167985,-2.6200852102,0.7799169295,0.7799169295
-56.2966407048,-2.1985191833,0.7821791018,0.7821791018
-56.3705296582,-1.7646653736,0.7843176637,0.7843176637
-56.4106355854,-1.3259215323,0.7863295205,0.7863295205
-56.4173209913,-0.8875770442,0.7882117864,0.7882117864
-56.3835035791,-0.4530039415,0.7899617929,0.7899617929
-56.3018298334,-0.0255045169,0.7915770965,0.7915770965
-56.1649520430,0.3916122533,0.7930554860,0.7930554860
-55.9683788259,0.7915695013,0.7943949891,0.7943949891
-55.7151413438,1.1584596744,0.7955938781,0.7955938781
-55.4094939700,1.4748897595,0.7966506757,0.7966506757
-55.0556912534,1.7234667436,0.7975641595,0.7975641595
-54.6589330519,1.8886328265,0.7983333659,0.7983333659
-54.2327570947,1.9710173346,0.7989575937,0.7989575937
-53.7949231208,1.9797940460,0.7994364064,0.7994364064
-53.3573550013,1.9300121812,0.7997696345,0.7997696345
-52.9234995206,1.8449011489,0.7999573767,0.7999573767
-52.4948702810,1.7400957881,0.8000000000,0.8000000000
-52.0711562248,1.6194623757,0.7998981400,0.7998981400
-51.6519062879,1.4859638289,0.7996526996,0.7996526996
-51.2366358116,1.3426694770,0.7992648477,0.7992648477
-50.8232477741,1.1977228355,0.7987360164,0.7987360164
-50.4073577332,1.0664676491,0.7980678983,0.7980678983
-49.9844072058,0.9647953770,0.7972624425,0.7972624425
-49.5498377967,0.9085975664,0.7963218502,0.7963218502
-49.1030669657,0.9121491801,0.7952485696,0.7952485696
-48.6608340389,0.9826824588,0.7940452898,0.7940452898
-48.2445940693,1.1255125549,0.7927149348,0.7927149348
-47.8758020218,1.3459544448,0.7912606558,0.7912606558
-47.5753080714,1.6483290750,0.7896858240,0.7896858240
-47.3541994790,2.0209175719,0.7879940221,0.7879940221
-47.2156682556,2.4390291632,0.7861890352,0.7861890352
-47.1626797811,2.8776010742,0.7842748417,0.7842748417
-47.1981689185,3.3116079942,0.7822556033,0.7822556033
-47.3182700066,3.7242741004,0.7801356544,0.7801356544
-47.5038032766,4.1174016267,0.7779194912,0.7779194912
-47.7334942244,4.4953338576,0.7756117609,0.7756117609
-47.9860964878,4.8624102079,0.7732172493,0.7732172493
-48.2458514029,5.2222837785,0.7707408692,0.7707408692
-48.5090671736,5.5770979376,0.7681876479,0.7681876479
-48.7736575950,5.9287951897,0.7655627147,0.7655627147
-49.0375360228,6.2793181272,0.7628712876,0.7628712876
-49.2986162522,6.6306092545,0.7601186607,0.7601186607
-49.5548118146,6.9846110760,0.7573101904,0.7573101904
-49.8040362415,7.3432661842,0.7544512824,0.7544512824
-50.0442032402,7.7085170833,0.7515473780,0.7515473780
-50.2732432274,8.0822746182,0.7486039403,0.7486039403
-50.4897012595,8.4652905330,0.7456264412,0.7456264412
-50.6928996409,8.8568519547,0.7426203472,0.7426203472
-50.8822101006,9.2561520861,0.7395911063,0.7395911063
-51.0570046313,9.6623842180,0.7365441344,0.7365441344
-51.2166550499,10.0747414653,0.7334848022,0.7334848022
-51.3605331732,10.4924171188,0.7304184220,0.7304184220
-51.4880109941,10.9146043812,0.7273502348,0.7273502348
-51.5984604172,11.3404965435,0.7242853981,0.7242853981
-51.6915362629,11.7693671012,0.7212289727,0.7212289727
-51.7679741817,12.2007960343,0.7181859118,0.7181859118
-51.8287675877,12.6344362284,0.7151610487,0.7151610487
-51.8749098950,13.0699410086,0.7121590855,0.7121590855
-51.9073946056,13.5069632604,0.7091845828,0.7091845828
-51.9272151336,13.9451561333,0.7062419489,0.7062419489
-51.9353648051,14.3841726006,0.7033354302,0.7033354302
-51.9328371221,14.8236658996,0.7004691017,0.7004691017
-51.9206254107,15.2632894435,0.6976468583,0.6976468583
-51.8997084864,15.7027794007,0.6948724065,0.6948724065
-51.8710346480,16.1420453647,0.6921492567,0.6921492567
-51.8355483248,16.5810188275,0.6894807163,0.6894807163
-51.7941938582,17.0196311926,0.6868698830,0.6868698830
-51.7479158535,17.4578138640,0.6843196393,0.6843196393
-51.6976587400,17.8954985092,0.6818326472,0.6818326472
-51.6443668590,18.3326164440,0.6794113440,0.6794113440
-51.5889846400,18.7690990722,0.6770579381,0.6770579381
-51.5323804407,19.2048701465,0.6747744062,0.6747744062
-51.4728683770,19.6395872133,0.6725624910,0.6725624910
-51.4056623670,20.0725855050,0.6704236992,0.6704236992
-51.3257902397,20.5031806422,0.6683593007,0.6683593007
-51.2282792961,20.9306885094,0.6663703283,0.6663703283
-51.1096410665,21.3544462737,0.6644575783,0.6644575783
-50.9718264099,21.7738704274,0.6626216112,0.6626216112
-50.8180321743,22.1883954034,0.6608627537,0.6608627537
-50.6514552957,22.5974556346,0.6591811012,0.6591811012
-50.4751483061,23.0005406948,0.6575765211,0.6575765211
-50.2902497271,23.3978678052,0.6560486563,0.6560486563
-50.0965433925,23.7901692747,0.6545969297,0.6545969297
-49.8937843787,24.1781884048,0.6532205495,0.6532205495
