# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5165759525,0.5165759525
-0.4470895979,-0.0941688227,0.5157397418,0.5157397418
-0.8941657622,-0.1884129467,0.5148731092,0.5148731092
-1.3412179836,-0.2827768763,0.5139741301,0.5139741301
-1.7882358443,-0.3773050247,0.5130411004,0.5130411004
-2.2352089264,-0.4720418964,0.5120725416,0.5120725416
-2.6821266291,-0.5670319044,0.5110672040,0.5110672040
-3.1289787175,-0.6623196446,0.5100240703,0.5100240703
-3.5757545908,-0.7579494388,0.5089423570,0.5089423570
-4.0224462986,-0.8539549165,0.5078215159,0.5078215159
-4.4690563082,-0.9503252030,0.5066612343,0.5066612343
-4.9155894630,-1.0470381831,0.5054614350,0.5054614350
-5.3620508807,-1.1440714674,0.5042222741,0.5042222741
-5.8084453132,-1.2414029410,0.5029441397,0.5029441397
-6.2547779694,-1.3390104885,0.5016276485,0.5016276485
-6.7010536014,-1.4368717206,0.5002736420,0.5002736420
-7.1472772354,-1.5349646136,0.4988831821,0.4988831821
-7.5934538975,-1.6332669610,0.4974575457,0.4974575457
-8.0395885225,-1.7317564648,0.4959982186,0.4959982186
-8.4856859539,-1.8304109184,0.4945068885,0.4945068885
-8.9317513091,-1.9292082067,0.4929854379,0.4929854379
-9.3777895230,-2.0281261232,0.4914359355,0.4914359355
-9.8238055303,-2.1271423699,0.4898606277,0.4898606277
-10.2698042659,-2.2262348317,0.4882619289,0.4882619289
-10.7157907559,-2.3253813019,0.4866424117,0.4866424117
-11.1617699351,-2.4245595742,0.4850047964,0.4850047964
-11.6077467383,-2.5237474418,0.4833519398,0.4833519398
-12.0537261003,-2.6229226983,0.4816868239,0.4816868239
-12.4997131386,-2.7220631372,0.4800125438,0.4800125438
-12.9457126053,-2.8211466432,0.4783322958,0.4783322958
-13.3917296179,-2.9201509185,0.4766493645,0.4766493645
-13.8377691111,-3.0190537564,0.4749671101,0.4749671101
-14.2838359285,-3.1178329505,0.4732889552,0.4732889552
-14.7299351876,-3.2164664770,0.4716183719,0.4716183719
-15.1760718231,-3.3149318551,0.4699588679,0.4699588679
-15.6222507698,-3.4132071526,0.4683139732,0.4683139732
-16.0684769626,-3.5112699799,0.4666872267,0.4666872267
-16.5147554275,-3.6090982221,0.4650821626,0.4650821626
-16.9610910081,-3.7066696726,0.4635022970,0.4635022970
-17.4074888218,-3.8039620333,0.4619511143,0.4619511143
-17.8539537121,-3.9009532806,0.4604320541,0.4604320541
-18.3004907051,-3.9976211166,0.4589484985,0.4589484985
-18.7471047356,-4.0939433345,0.4575037589,0.4575037589
-19.1937979969,-4.1899103392,0.4561010636,0.4561010636
-19.6405612591,-4.2855629796,0.4547435460,0.4547435460
-20.0873826421,-4.3809550814,0.4534342323,0.4534342323
-20.5342499918,-4.4761403791,0.4521760307,0.4521760307
-20.9811513367,-4.5711725156,0.4509717201,0.4509717201
-21.4280746139,-4.6661053166,0.4498239400,0.4498239400
-21.8750079435,-4.7609924251,0.4487351802,0.4487351802
-22.3219391713,-4.8558875756,0.4477077721,0.4477077721
-22.7688563257,-4.9508445936,0.4467438795,0.4467438795
-23.2157475268,-5.0459171222,0.4458454910,0.4458454910
-23.6626005291,-5.1411588958,0.4450144122,0.4450144122
-24.1094034523,-5.2366237401,0.4442522590,0.4442522590
-24.5561442338,-5.3323652066,0.4435604519,0.4435604519
-25.0028109935,-5.4284372126,0.4429402105,0.4429402105
-25.4493914857,-5.5248933096,0.4423925491,0.4423925491
-25.8958738305,-5.6217873233,0.4419182728,0.4419182728
-26.3422460565,-5.7191730795,0.4415179745,0.4415179745
-26.7885031373,-5.8170715967,0.4411920329,0.4411920329
-27.2346930503,-5.9152630941,0.4409406108,0.4409406108
-27.6808871669,-6.0134190428,0.4407636549,0.4407636549
-28.1271572245,-6.1112103654,0.4406608956,0.4406608956
-28.5735748687,-6.2083081676,0.4406318481,0.4406318481
-29.0202117455,-6.3043832806,0.4406758145,0.4406758145
-29.4671395920,-6.3991069015,0.4407918860,0.4407918860
-29.9144299626,-6.4921497701,0.4409789465,0.4409789465
-30.3621525842,-6.5831921305,0.4412356766,0.4412356766
-30.8102985922,-6.6722678865,0.4415605586,0.4415605586
