# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5578218445,0.5578218445
-0.2109487981,0.3350536353,0.5576678595,0.5576678595
-0.4217897964,0.6701738831,0.5575729359,0.5575729359
-0.6325282225,1.0053574960,0.5575363723,0.5575363723
-0.8431692248,1.3406012266,0.5575573833,0.5575573833
-1.0537181101,1.6759018272,0.5576351013,0.5576351013
-1.2641801853,2.0112559713,0.5577685782,0.5577685782
-1.4745605988,2.3466604907,0.5579567874,0.5579567874
-1.6848645781,2.6821119794,0.5581986265,0.5581986265
-1.8950974302,3.0176073484,0.5584929193,0.5584929193
-2.1052644618,3.3531432711,0.5588384183,0.5588384183
-2.3153707421,3.6887164208,0.5592338077,0.5592338077
-2.5254215781,4.0243237083,0.5596777054,0.5596777054
-2.7354221972,4.3599616487,0.5601686664,0.5601686664
-2.9453779855,4.6956272322,0.5607051857,0.5607051857
-3.1552939330,5.0313169735,0.5612857011,0.5612857011
-3.3651755050,5.3670277838,0.5619085963,0.5619085963
-3.5750278498,5.7027563362,0.5625722043,0.5625722043
-3.7848561160,6.0384993043,0.5632748106,0.5632748106
-3.9946656894,6.3742535988,0.5640146566,0.5640146566
-4.2044617977,6.7100158139,0.5647899427,0.5647899427
-4.4142495894,7.0457827023,0.5655988323,0.5655988323
-4.6240343713,7.3815510955,0.5664394549,0.5664394549
-4.8338213709,7.7173177462,0.5673099096,0.5673099096
-5.0436158159,8.0530792485,0.5682082692,0.5682082692
-5.2534229340,8.3888324342,0.5691325834,0.5691325834
-5.4632480318,8.7245740557,0.5700808823,0.5700808823
-5.6730963372,9.0603008656,0.5710511805,0.5710511805
-5.8829729984,9.3960095373,0.5720414807,0.5720414807
-6.0928833222,9.7316969024,0.5730497770,0.5730497770
-6.3028325364,10.0673596345,0.5740740588,0.5740740588
-6.5128259478,10.4029944858,0.5751123144,0.5751123144
-6.7228686254,10.7385982883,0.5761625348,0.5761625348
-6.9329660347,11.0741676361,0.5772227169,0.5772227169
-7.1431232447,11.4096993608,0.5782908674,0.5782908674
-7.3533455623,11.7451902150,0.5793650060,0.5793650060
-7.5636382152,12.0806368722,0.5804431693,0.5804431693
-7.7740065101,12.4160360847,0.5815234136,0.5815234136
-7.9844555162,12.7513846844,0.5826038188,0.5826038188
-8.1949887187,13.0866806119,0.5836824912,0.5836824912
-8.4056001770,13.4219278275,0.5847575671,0.5847575671
-8.6162810201,13.7571321132,0.5858272155,0.5858272155
-8.8270226144,14.0922994096,0.5868896414,0.5868896414
-9.0378163265,14.4274353403,0.5879430888,0.5879430888
-9.2486532853,14.7625457666,0.5889858430,0.5889858430
-9.4595248572,15.0976364704,0.5900162341,0.5900162341
-9.6704224088,15.4327133132,0.5910326388,0.5910326388
-9.8813370690,15.7677820769,0.5920334834,0.5920334834
-10.0922602043,16.1028484645,0.5930172462,0.5930172462
-10.3031830227,16.4379183371,0.5939824594,0.5939824594
-10.5140969700,16.7729975560,0.5949277115,0.5949277115
-10.7249931751,17.1080918242,0.5958516491,0.5958516491
-10.9358629253,17.4432069236,0.5967529789,0.5967529789
-11.1466975871,17.7783487156,0.5976304694,0.5976304694
-11.3574884477,18.1135229821,0.5984829524,0.5984829524
-11.5682267154,18.4487355053,0.5993093245,0.5993093245
-11.7789037566,18.7839920673,0.6001085483,0.6001085483
-11.9895107002,19.1192984500,0.6008796537,0.6008796537
-12.2000390710,19.4546605939,0.6016217386,0.6016217386
-12.4104799189,19.7900841228,0.6023339700,0.6023339700
-12.6208246104,20.1255748187,0.6030155847,0.6030155847
-12.8310348886,20.4611527207,0.6036658894,0.6036658894
-13.0409302425,20.7969049559,0.6042842617,0.6042842617
-13.2502875478,21.1329390864,0.6048701498,0.6048701498
-13.4588838386,21.4693626744,0.6054230730,0.6054230730
-13.6664959908,21.8062832029,0.6059426213,0.6059426213
-13.8729104640,22.1438036402,0.6064284551,0.6064284551
-14.0784523211,22.4817718310,0.6068803052,0.6068803052
-14.2842682320,22.8196460829,0.6072979718,0.6072979718
-14.4915741725,23.1568520711,0.6076813245,0.6076813245
-14.7015858805,23.4928153912,0.6080303004,0.6080303004
-14.9155190940,23.8269617179,0.6083449042,0.6083449042
-15.1333506055,24.1593479216,0.6086252066,0.6086252066
-15.3438881643,24.4957204215,0.6088713428,0.6088713428
-15.5300216186,24.8448401509,0.6090835117,0.6090835117
-15.6731146690,25.2128170862,0.6092619740,0.6092619740
-15.7474885434,25.5929456985,0.6094070506,0.6094070506
-15.7253959173,25.9746919417,0.6095191208,0.6095191208
-15.5946779058,26.3471075998,0.6095986208,0.6095986208
-15.3832250386,26.6981834088,0.6096460411,0.6096460411
-15.1243405684,27.0147137721,0.6096619248,0.6096619248
-14.8086497130,27.2296658958,0.6096468653,0.6096468653
-14.4366232748,27.2265934030,0.6096015040,0.6096015040
-14.0624322860,27.1248826512,0.6095265279,0.6095265279
-13.6929469453,26.9971843020,0.6094226669,0.6094226669
-13.3271077890,26.8498820687,0.6092906917,0.6092906917
-12.9638551946,26.6893592690,0.6091314106,0.6091314106
-12.6021296982,26.5219994579,0.6089456673,0.6089456673
-12.2408817369,26.3541173602,0.6087343378,0.6087343378
-11.8794780559,26.1892049456,0.6084983275,0.6084983275
-11.5178385777,26.0270008330,0.6082385686,0.6082385686
-11.1559214020,25.8669838449,0.6079560169,0.6079560169
-10.7936848665,25.7086328036,0.6076516492,0.6076516492
-10.4310869916,25.5514265314,0.6073264597,0.6073264597
-10.0681000552,25.3948668204,0.6069814576,0.6069814576
-9.7048020756,25.2386303506,0.6066176636,0.6066176636
-9.3413199413,25.0824738791,0.6062361072,0.6062361072
-8.9777808576,24.9261547970,0.6058378234,0.6058378234
-8.6143117923,24.7694304161,0.6054238497,0.6054238497
-8.2510398715,24.6120579690,0.6049952231,0.6049952231
-7.8880921423,24.4537948467,0.6045529771,0.6045529771
-7.5255958100,24.2943982818,0.6040981386,0.6040981386
-7.1636780007,24.1336256653,0.6036317252,0.6036317252
-6.8024656822,23.9712342298,0.6031547417,0.6031547417
-6.4420859807,23.8069813663,0.6026681780,0.6026681780
-6.0826517651,23.6406583660,0.6021730055,0.6021730055
-5.7242165790,23.4721965572,0.6016701749,0.6016701749
-5.3668191543,23.3015631484,0.6011606133,0.6011606133
-5.0104979852,23.1287253482,0.6006452211,0.6006452211
-4.6552917245,22.9536504443,0.6001248704,0.6001248704
-4.3012389455,22.7763054870,0.5996004016,0.5996004016
-3.9483782219,22.5966578432,0.5990726215,0.5990726215
-3.5967481270,22.4146745631,0.5985423006,0.5985423006
-3.2463873928,22.2303230136,0.5980101715,0.5980101715
-2.8973344344,22.0435702450,0.5974769261,0.5974769261
-2.5496279044,21.8543836242,0.5969432142,0.5969432142
-2.2033064555,21.6627302014,0.5964096410,0.5964096410
-1.8584085820,21.4685773436,0.5958767659,0.5958767659
-1.5149729366,21.2718921010,0.5953451006,0.5953451006
-1.1730380928,21.0726417613,0.5948151074,0.5948151074
-0.8326427033,20.8707935331,0.5942871981,0.5942871981
-0.4938252623,20.6663147042,0.5937617325,0.5937617325
-0.1566243433,20.4591723248,0.5932390176,0.5932390176
0.1789213218,20.2493336826,0.5927193059,0.5927193059
0.5127732386,20.0367659071,0.5922027955,0.5922027955
0.8448928338,19.8214363652,0.5916896285,0.5916896285
1.1752426426,19.6033141664,0.5911798911,0.5911798911
1.5038327244,19.3824507157,0.5906736125,0.5906736125
1.8307364242,19.1590065643,0.5901707653,0.5901707653
2.1560314434,18.9331497880,0.5896712650,0.5896712650
2.4797952458,18.7050485419,0.5891749698,0.5891749698
2.8021055328,18.4748708226,0.5886816812,0.5886816812
3.1230399266,18.2427847852,0.5881911442,0.5881911442
3.4426761286,18.0089585054,0.5877030473,0.5877030473
3.7610916818,17.7735599799,0.5872170238,0.5872170238
4.0783642084,17.5367574430,0.5867326519,0.5867326519
4.3945714099,17.2987188913,0.5862494561,0.5862494561
4.7097914629,17.0596127967,0.5857669078,0.5857669078
5.0242365611,16.8196786790,0.5852844268,0.5852844268
5.3384252684,16.5793191441,0.5848013823,0.5848013823
5.6528866832,16.3389257090,0.5843170946,0.5843170946
5.9668459297,16.0975267494,0.5838308367,0.5838308367
6.2777974743,15.8523407767,0.5833418355,0.5833418355
6.5832373670,15.6006004801,0.5828492744,0.5828492744
6.8825370265,15.3416909807,0.5823522946,0.5823522946
7.1765423763,15.0766901975,0.5818499976,0.5818499976
7.4661153398,14.8066989403,0.5813414471,0.5813414471
7.7519359033,14.5326458239,0.5808256713,0.5808256713
8.0345977183,14.2553743958,0.5803016655,0.5803016655
8.3145574885,13.9754844856,0.5797683946,0.5797683946
8.5920918816,13.6932529194,0.5792247955,0.5792247955
8.8674647339,13.4089344248,0.5786697797,0.5786697797
9.1409401193,13.1227837292,0.5781022365,0.5781022365
9.4127821117,12.8350553228,0.5775210355,0.5775210355
9.6832547851,12.5460040122,0.5769250295,0.5769250295
9.9526219757,12.2558844458,0.5763130576,0.5763130576
10.2211478366,11.9649511928,0.5756839483,0.5756839483
10.4890964418,11.6734590599,0.5750365226,0.5750365226
10.7567317067,11.3816626955,0.5743695968,0.5743695968
11.0243173093,11.0898163518,0.5736819862,0.5736819862
11.2920358201,10.7980964215,0.5729725079,0.5729725079
11.5598846253,10.5065014788,0.5722399844,0.5722399844
11.8278356859,10.2150054648,0.5714832464,0.5714832464
12.0958606460,9.9235821622,0.5707011366,0.5707011366
12.3639314666,9.6322055121,0.5698925125,0.5698925125
12.6320199501,9.3408494557,0.5690562501,0.5690562501
12.9000977408,9.0494878548,0.5681912470,0.5681912470
13.1681368789,8.7580946506,0.5672964254,0.5672964254
13.4361090083,8.4666436258,0.5663707358,0.5663707358
13.7039860110,8.1751088798,0.5654131598,0.5654131598
13.9717400855,7.8834644332,0.5644227136,0.5644227136
14.2393585586,7.5916984048,0.5633984508,0.5633984508
14.5068488760,7.2998172103,0.5623394658,0.5623394658
14.7742196710,7.0078282953,0.5612448965,0.5612448965
15.0414799732,6.7157393427,0.5601139274,0.5601139274
15.3086384160,6.4235578771,0.5589457926,0.5589457926
15.5757037914,6.1312915023,0.5577397784,0.5577397784
15.8426849704,5.8389478221,0.5564952262,0.5564952262
16.1095907450,5.5465343611,0.5552115348,0.5552115348
16.3764298279,5.2540588024,0.5538881633,0.5538881633
16.6432110902,4.9615285913,0.5525246336,0.5525246336
16.9099432446,4.6689514109,0.5511205321,0.5511205321
17.1766351621,4.3763348649,0.5496755126,0.5496755126
17.4432956347,4.0836864779,0.5481892982,0.5481892982
17.7099334543,3.7910137746,0.5466616831,0.5466616831
17.9765574128,3.4983245172,0.5450925344,0.5450925344
