# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5990887917,0.5990887917
-0.3839369986,-0.1032084728,0.5981305018,0.5981305018
-0.7678753497,-0.2064116949,0.5970071885,0.5970071885
-1.1518140190,-0.3096112573,0.5957276508,0.5957276508
-1.5357522109,-0.4128090696,0.5943013358,0.5943013358
-1.9196891300,-0.5160067227,0.5927382983,0.5927382983
-2.3036237419,-0.6192059669,0.5910491582,0.5910491582
-2.6875553307,-0.7224086321,0.5892450543,0.5892450543
-3.0714830211,-0.8256163093,0.5873375958,0.5873375958
-3.4554060178,-0.9288305102,0.5853388114,0.5853388114
-3.8393244797,-1.0320512347,0.5832610964,0.5832610964
-4.2232386455,-1.1352782443,0.5811171579,0.5811171579
-4.6071485949,-1.2385113796,0.5789199585,0.5789199585
-4.9910545664,-1.3417504818,0.5766826580,0.5766826580
-5.3749567987,-1.4449953120,0.5744185554,0.5744185554
-5.7588555306,-1.5482455520,0.5721410287,0.5721410287
-6.1427509210,-1.6515012020,0.5698634753,0.5698634753
-6.5266431292,-1.7547618639,0.5675992520,0.5675992520
-6.9105323938,-1.8580274584,0.5653616142,0.5653616142
-7.2944189535,-1.9612977468,0.5631636574,0.5631636574
-7.6783029674,-2.0645725699,0.5610182573,0.5610182573
-8.0621846741,-2.1678516890,0.5589380127,0.5589380127
-8.4460642328,-2.2711347860,0.5569351883,0.5569351883
-8.8299418026,-2.3744218608,0.5550216603,0.5550216603
-9.2138177812,-2.4777125952,0.5532088626,0.5532088626
-9.5976921687,-2.5810067505,0.5515077361,0.5515077361
-9.9815652038,-2.6843042473,0.5499286801,0.5499286801
-10.3654372046,-2.7876047671,0.5484815057,0.5484815057
-10.7493082507,-2.8909081511,0.5471753930,0.5471753930
-11.1331785808,-2.9942142399,0.5460188504,0.5460188504
-11.5170484336,-3.0975227155,0.5450196778,0.5450196778
-11.9009179682,-3.2008334981,0.5441849330,0.5441849330
-12.2847874232,-3.3041462698,0.5435209014,0.5435209014
-12.6686570373,-3.4074609507,0.5430330697,0.5430330697
-13.0525268900,-3.5107772228,0.5427261035,0.5427261035
-13.4363972202,-3.6140949269,0.5426038288,0.5426038288
-13.8202683459,-3.7174139040,0.5426692173,0.5426692173
-14.2041403467,-3.8207338357,0.5429243759,0.5429243759
-14.5880134613,-3.9240546425,0.5433705410,0.5433705410
-14.9718879283,-4.0273760858,0.5440080756,0.5440080756
-15.3557638274,-4.1306979269,0.5448364722,0.5448364722
-15.7396415563,-4.2340200066,0.5458543584,0.5458543584
-16.1235211946,-4.3373420863,0.5470595077,0.5470595077
-16.5074029808,-4.4406639274,0.5484488540,0.5484488540
-16.8912870743,-4.5439853707,0.5500185097,0.5500185097
-17.2751737135,-4.6473062571,0.5517637884,0.5517637884
-17.6590630577,-4.7506263479,0.5536792309,0.5536792309
-18.0429554250,-4.8539454045,0.5557586348,0.5557586348
-18.4268508950,-4.9572632677,0.5579950880,0.5579950880
-18.8107497064,-5.0605796194,0.5603810050,0.5603810050
-19.1946520979,-5.1638944595,0.5629081669,0.5629081669
-19.5785582285,-5.2672074697,0.5655677633,0.5655677633
-19.9624683369,-5.3705184115,0.5683504384,0.5683504384
-20.3463825823,-5.4738271258,0.5712463380,0.5712463380
-20.7303012034,-5.5771333737,0.5742451597,0.5742451597
-21.1142243591,-5.6804370759,0.5773362050,0.5773362050
-21.4981522883,-5.7837378344,0.5805084323,0.5805084323
-21.8820852295,-5.8870356494,0.5837505126,0.5837505126
-22.2660233419,-5.9903301229,0.5870508850,0.5870508850
-22.6499668641,-6.0936211756,0.5903978139,0.5903978139
-23.0339159554,-6.1969085686,0.5937794468,0.5937794468
-23.4178707747,-6.3001921429,0.5971838715,0.5971838715
-23.8018316403,-6.4034715803,0.6005991747,0.6005991747
-24.1857975180,-6.5067465625,0.6040134987,0.6040134987
-24.5697631570,-6.6100156575,0.6074150988,0.6074150988
-24.9537221132,-6.7132773537,0.6107923991,0.6107923991
-25.3376680222,-6.8165299805,0.6141340474,0.6141340474
-25.7215945193,-6.9197721057,0.6174289686,0.6174289686
-26.1054951605,-7.0230020588,0.6206664161,0.6206664161
-26.4893637404,-7.1262182487,0.6238360224,0.6238360224
-26.8731937353,-7.2294192431,0.6269278454,0.6269278454
-27.2569787806,-7.3326033716,0.6299324148,0.6299324148
-27.6407125915,-7.4357690429,0.6328407736,0.6328407736
-28.0243886442,-7.5389146660,0.6356445181,0.6356445181
-28.4080007334,-7.6420388087,0.6383358346,0.6383358346
-28.7915424149,-7.7451398005,0.6409075326,0.6409075326
-29.1750093927,-7.8482173230,0.6433530745,0.6433530745
-29.5584765296,-7.9513184738,0.6456666026,0.6456666026
-29.9421195663,-8.0545507341,0.6478429616,0.6478429616
-30.3261207671,-8.1580253240,0.6498777179,0.6498777179
-30.7106624760,-8.2618537024,0.6517671744,0.6517671744
-31.0959268777,-8.3661471691,0.6535083828,0.6535083828
-31.4820962365,-8.4710171034,0.6550991503,0.6550991503
-31.8690505810,-8.5763368512,0.6565380436,0.6565380436
-32.2522017188,-8.6784629555,0.6578243885,0.6578243885
-32.6248720607,-8.7723842211,0.6589582657,0.6589582657
-32.9999359445,-8.8725918958,0.6599405025,0.6599405025
-33.3968857893,-8.9942008721,0.6607726612,0.6607726612
-33.8019943299,-9.0953991865,0.6614570232,0.6614570232
-34.1931570633,-9.1200880085,0.6619965700,0.6619965700
-34.5501652422,-9.0202835271,0.6623949604,0.6623949604
-34.8664580666,-8.8064312149,0.6626565043,0.6626565043
-35.1414535000,-8.5145717560,0.6627861336,0.6627861336
-35.3746228086,-8.1808047859,0.6627893697,0.6627893697
-35.5704745486,-7.8322870541,0.6626722885,0.6626722885
-35.7443380974,-7.4769643628,0.6624414828,0.6624414828
-35.9129445413,-7.1202941406,0.6621040216,0.6621040216
-36.0899829582,-6.7667991048,0.6616674079,0.6616674079
-36.2773944513,-6.4173916907,0.6611395347,0.6611395347
-36.4742840081,-6.0721127906,0.6605286384,0.6605286384
-36.6797568547,-5.7310032966,0.6598432513,0.6598432513
-36.8929178990,-5.3941041803,0.6590921535,0.6590921535
-37.1128723670,-5.0614562543,0.6582843225,0.6582843225
-37.3387247690,-4.7330990584,0.6574288832,0.6574288832
-37.5695001377,-4.4087870010,0.6565350572,0.6565350572
-37.8040490386,-4.0876522779,0.6556121121,0.6556121121
-38.0411994426,-3.7687452212,0.6546693109,0.6546693109
-38.2797789232,-3.4511160038,0.6537158617,0.6537158617
-38.5186153717,-3.1338148781,0.6527608681,0.6527608681
-38.7565365208,-2.8158920966,0.6518132812,0.6518132812
-38.9923885599,-2.4964124705,0.6508818520,0.6508818520
-39.2257150725,-2.1749954804,0.6499750859,0.6499750859
-39.4569569616,-1.8519738322,0.6491011985,0.6491011985
-39.6866141614,-1.5277270908,0.6482680736,0.6482680736
-39.9151865264,-1.2026350597,0.6474832236,0.6474832236
-40.1431739111,-0.8770773835,0.6467537518,0.6467537518
-40.3710762498,-0.5514336269,0.6460863175,0.6460863175
-40.5993060438,-0.2260174025,0.6454871041,0.6454871041
-40.8279264610,0.0991227604,0.6449617900,0.6449617900
-41.0569133162,0.4240044436,0.6445155223,0.6445155223
-41.2862424243,0.7486451496,0.6441528941,0.6441528941
-41.5158895999,1.0730624605,0.6438779248,0.6438779248
-41.7458306579,1.3972739583,0.6436940443,0.6436940443
-41.9760414925,1.7212972250,0.6436040800,0.6436040800
-42.2064978391,2.0451497631,0.6436102479,0.6436102479
-42.4371755122,2.3688492341,0.6437141474,0.6437141474
-42.6680504064,2.6924131406,0.6439167586,0.6439167586
-42.8990982568,3.0158590645,0.6442184449,0.6442184449
-43.1302949577,3.3392045880,0.6446189578,0.6446189578
-43.3616162444,3.6624672133,0.6451174456,0.6451174456
-43.5930380112,3.9856646022,0.6457124659,0.6457124659
-43.8245359932,4.3088143367,0.6464020011,0.6464020011
-44.0560860053,4.6319338396,0.6471834775,0.6471834775
-44.2876640213,4.9550407725,0.6480537870,0.6480537870
-44.5192456970,5.2781527176,0.6490093125,0.6490093125
-44.7508069266,5.6012872567,0.6500459557,0.6500459557
-44.9823235249,5.9244618924,0.6511591681,0.6511591681
-45.2137712271,6.2476942066,0.6523439836,0.6523439836
-45.4451260071,6.5710017815,0.6535950544,0.6535950544
-45.6763635206,6.8944021990,0.6549066885,0.6549066885
-45.9074596619,7.2179129617,0.6562728893,0.6562728893
-46.1383902458,7.5415517310,0.6576873966,0.6576873966
-46.3691310870,7.8653360094,0.6591437292,0.6591437292
-46.5996580798,8.1892834586,0.6606352289,0.6606352289
-46.8298857805,8.5134493705,0.6621551045,0.6621551045
-47.0592528371,8.8381842716,0.6636964778,0.6636964778
-47.2869745025,9.1639768787,0.6652524291,0.6652524291
-47.5122648366,9.4913168630,0.6668160425,0.6668160425
-47.7343376601,9.8206938164,0.6683804522,0.6683804522
-47.9524070328,10.1525973306,0.6699388876,0.6699388876
-48.1656868552,10.4875169973,0.6714847177,0.6714847177
-48.3736341530,10.8257889436,0.6730114946,0.6730114946
-48.5767373245,11.1670983635,0.6745129966,0.6745129966
-48.7757582841,11.5109575748,0.6759832683,0.6759832683
-48.9714589460,11.8568790541,0.6774166610,0.6774166610
-49.1646013836,12.2043751191,0.6788078691,0.6788078691
-49.3559474315,12.5529581670,0.6801519661,0.6801519661
-49.5462584471,12.9021410721,0.6814444375,0.6814444375
-49.7360743020,13.2515760127,0.6826812108,0.6826812108
-49.9254073274,13.6012476345,0.6838586840,0.6838586840
-50.1141926847,13.9511891124,0.6849737495,0.6849737495
-50.3023655352,14.3014335422,0.6860238169,0.6860238169
-50.4898610402,14.6520141785,0.6870068310,0.6870068310
-50.6766144405,15.0029641964,0.6879212875,0.6879212875
-50.8625608975,15.3543166915,0.6887662448,0.6887662448
-51.0476355725,15.7061049186,0.6895413329,0.6895413329
-51.2317736268,16.0583618935,0.6902467578,0.6902467578
-51.4149103013,16.4111209506,0.6908833038,0.6908833038
-51.5969806777,16.7644152649,0.6914523308,0.6914523308
-51.7779200765,17.1182778526,0.6919557687,0.6919557687
-51.9576635793,17.4727419683,0.6923961085,0.6923961085
-52.1361649639,17.8278312403,0.6927763890,0.6927763890
-52.3134596328,18.1835275297,0.6931001810,0.6931001810
-52.4896055829,18.5398011619,0.6933715673,0.6933715673
-52.6646606520,18.8966223030,0.6935951202,0.6935951202
-52.8386827572,19.2539614377,0.6937758750,0.6937758750
-53.0117298159,19.6117888117,0.6939193012,0.6939193012
-53.1838597452,19.9700746708,0.6940312700,0.6940312700
-53.3551303830,20.3287894199,0.6941180201,0.6941180201
-53.5255997259,20.6879033048,0.6941861200,0.6941861200
-53.6953256117,21.0473866509,0.6942424285,0.6942424285
-53.8643659577,21.4072097836,0.6942940528,0.6942940528
-54.0327786811,21.7673430281,0.6943483049,0.6943483049
-54.2006216197,22.1277566304,0.6944126561,0.6944126561
-54.3679528497,22.4884209158,0.6944946904,0.6944946904
-54.5348300497,22.8493062095,0.6946020562,0.6946020562
-54.7013112963,23.2103828371,0.6947424177,0.6947424177
-54.8674544269,23.5716211239,0.6949234049,0.6949234049
-55.0333174385,23.9329913156,0.6951525642,0.6951525642
-55.1989580893,24.2944637376,0.6954373079,0.6954373079
-55.3644342964,24.6560087153,0.6957848645,0.6957848645
-55.5298040566,25.0175965740,0.6962022292,0.6962022292
-55.6951252873,25.3791976392,0.6966961152,0.6966961152
-55.8604558261,25.7407821566,0.6972729059,0.6972729059
-56.0258535108,26.1023204515,0.6979386088,0.6979386088
-56.1913764176,26.4637828494,0.6986988101,0.6986988101
-56.3570823048,26.8251396756,0.6995586316,0.6995586316
-56.5230291692,27.1863611759,0.7005226900,0.7005226900
-56.6892573459,27.5474264268,0.7015950577,0.7015950577
-56.8556562513,27.9083900044,0.7027792264,0.7027792264
-57.0220377337,28.2693449898,0.7040780736,0.7040780736
-57.1882131644,28.6303849418,0.7054938321,0.7054938321
-57.3539937553,28.9916032598,0.7070280617,0.7070280617
-57.5191908776,29.3530935025,0.7086816256,0.7086816256
-57.6836157433,29.7149490694,0.7104546689,0.7104546689
-57.8472642949,30.0771778367,0.7123466015,0.7123466015
-58.0109955855,30.4393871127,0.7143560841,0.7143560841
-58.1759209422,30.8010670980,0.7164810186,0.7164810186
-58.3431516921,31.1617079937,0.7187185419,0.7187185419
-58.5137990829,31.5208000801,0.7210650237,0.7210650237
-58.6889744416,31.8778336376,0.7235160680,0.7235160680
-58.8697893342,32.2322982306,0.7260665197,0.7260665197
-59.0574751387,32.5834033045,0.7287104734,0.7287104734
-59.2535763685,32.9296248716,0.7314412877,0.7314412877
-59.4596881347,33.2693208027,0.7342516026,0.7342516026
-59.6772088846,33.6010104685,0.7371333610,0.7371333610
-59.9037899461,33.9262924014,0.7400778340,0.7400778340
-60.1337235257,34.2495254316,0.7430756496,0.7430756496
-60.3612350025,34.5751255116,0.7461168255,0.7461168255
-60.5835244588,34.9051830723,0.7491908044,0.7491908044
-60.8023200248,35.2382488299,0.7522864936,0.7522864936
-61.0197296341,35.5725767541,0.7553923068,0.7553923068
-61.2378611405,35.9064205760,0.7584962092,0.7584962092
-61.4588226369,36.2380343447,0.7615857654,0.7615857654
-61.6847220568,36.5656717119,0.7646481891,0.7646481891
-61.9173048737,36.8878847461,0.7676703957,0.7676703957
-62.1565619384,37.2046691513,0.7706390566,0.7706390566
-62.4019536180,37.5164569200,0.7735406548,0.7735406548
-62.6529401207,37.8236802043,0.7763615431,0.7763615431
-62.9089815747,38.1267710764,0.7790880016,0.7790880016
-63.1695383472,38.4261616085,0.7817062980,0.7817062980
-63.4340706462,38.7222841117,0.7842027474,0.7842027474
-63.7020386795,39.0155705786,0.7865637722,0.7865637722
-63.9729026554,39.3064531611,0.7887759630,0.7887759630
