# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.5202401949,0.5202401949
0.1649015345,0.4179813346,0.5215175589,0.5215175589
0.3298169097,0.8359551197,0.5227599520,0.5227599520
0.4947424407,1.2539224338,0.5239699238,0.5239699238
0.6596746225,1.6718843554,0.5251503458,0.5251503458
0.8246097702,2.0898419630,0.5263043762,0.5263043762
0.9895441988,2.5077965149,0.5274354222,0.5274354222
1.1544744033,2.9257489098,0.5285471020,0.5285471020
1.3193967888,3.3437004059,0.5296432045,0.5296432045
1.4843075804,3.7616519919,0.5307276495,0.5307276495
1.6492032730,4.1796048362,0.5318044458,0.5318044458
1.8140802716,4.5975600172,0.5328776504,0.5328776504
1.9789348914,5.0155186135,0.5339513263,0.5339513263
2.1437635374,5.4334817933,0.5350295016,0.5350295016
2.3085626145,5.8514506353,0.5361161276,0.5361161276
2.4733285279,6.2694261280,0.5372150395,0.5372150395
2.6380584913,6.6874093500,0.5383299156,0.5383299156
2.8027535833,7.1054002113,0.5394642398,0.5394642398
2.9674156912,7.5233984423,0.5406212643,0.5406212643
3.1320466125,7.9414039533,0.5418039737,0.5418039737
3.2966483246,8.3594164744,0.5430150518,0.5430150518
3.4612227146,8.7774358260,0.5442568498,0.5442568498
3.6257714904,9.1954619183,0.5455313568,0.5455313568
3.7902967189,9.6134943018,0.5468401726,0.5468401726
3.9548001978,10.0315329765,0.5481844832,0.5481844832
4.1192838143,10.4495777627,0.5495650394,0.5495650394
4.2837494558,10.8676283009,0.5509821371,0.5509821371
4.4481990097,11.2856845012,0.5524356019,0.5524356019
4.6126343634,11.7037460940,0.5539247759,0.5539247759
4.7770573144,12.1218129895,0.5554485079,0.5554485079
4.9414697500,12.5398848280,0.5570051472,0.5570051472
5.1058736476,12.9579616097,0.5585925400,0.5585925400
5.2702708943,13.3760429749,0.5602080297,0.5602080297
5.4346631980,13.7941287441,0.5618484602,0.5618484602
5.5990526257,14.2122188272,0.5635101828,0.5635101828
5.7634408850,14.6303128648,0.5651890664,0.5651890664
5.9278300430,15.0484107671,0.5668805105,0.5668805105
6.0922218074,15.4665122643,0.5685794623,0.5685794623
6.2566182453,15.8846172667,0.5702804357,0.5702804357
6.4210209745,16.3027254146,0.5719775349,0.5719775349
6.5854321519,16.7208367082,0.5736644794,0.5736644794
6.7498533952,17.1389506981,0.5753346329,0.5753346329
6.9142867717,17.5570673841,0.5769810342,0.5769810342
7.0787341686,17.9751864968,0.5785964307,0.5785964307
7.2431972937,18.3933078564,0.5801733150,0.5801733150
7.4076782139,18.8114312831,0.5817039622,0.5817039622
7.5721786370,19.2295565073,0.5831804701,0.5831804701
7.7367005402,19.6476833492,0.5845948012,0.5845948012
7.9012458108,20.0658116292,0.5859388256,0.5859388256
8.0658163363,20.4839410775,0.5872043653,0.5872043653
8.2304139141,20.9020716043,0.5883832399,0.5883832399
8.3950404315,21.3202030298,0.5894673129,0.5894673129
8.5596978660,21.7383349946,0.5904485379,0.5904485379
8.7243880148,22.1564674088,0.5913190060,0.5913190060
8.8891127655,22.5746000027,0.5920709927,0.5920709927
9.0538740053,22.9927326865,0.5926970043,0.5926970043
9.2186737116,23.4108651906,0.5931898245,0.5931898245
9.3835135920,23.8289973351,0.5935425592,0.5935425592
9.5483955337,24.2471289404,0.5937486815,0.5937486815
9.7133216040,24.6652597369,0.5938020740,0.5938020740
9.8782935105,25.0833895447,0.5936970709,0.5936970709
10.0433131405,25.5015181841,0.5934284973,0.5934284973
10.2083824713,25.9196453855,0.5929917074,0.5929917074
10.3735033003,26.3377711490,0.5923826191,0.5923826191
10.5386775150,26.7558950250,0.5915977481,0.5915977481
10.7039070028,27.1740169239,0.5906342374,0.5906342374
10.8691936509,27.5921367556,0.5894898857,0.5894898857
11.0345393468,28.0102541606,0.5881631711,0.5881631711
11.1999459778,28.4283689593,0.5866532734,0.5866532734
11.3654153415,28.8464809719,0.5849600917,0.5849600917
11.5340900910,29.2625743958,0.5830842595,0.5830842595
11.7216757637,29.6665703975,0.5810271559,0.5810271559
11.9470185727,30.0463748803,0.5787909131,0.5787909131
12.2285853694,30.3899018362,0.5763784207,0.5763784207
12.5704183645,30.6853880876,0.5737933256,0.5737933256
12.9580076256,30.9214852292,0.5710400290,0.5710400290
13.3756375496,31.0869175644,0.5681236791,0.5681236791
13.8105993857,31.1789534376,0.5650501598,0.5650501598
14.2567206203,31.2134346363,0.5618260766,0.5618260766
14.7086874040,31.2086417013,0.5584587380,0.5584587380
15.1611242330,31.1814808977,0.5549561335,0.5549561335
15.6077787848,31.1291344697,0.5513269086,0.5513269086
16.0417422015,31.0340206530,0.5475803353,0.5475803353
16.4561288123,30.8785585824,0.5437262809,0.5437262809
16.8454829455,30.6581378585,0.5397751721,0.5397751721
17.2061498410,30.3844914612,0.5357379569,0.5357379569
17.5345901378,30.0703950978,0.5316260639,0.5316260639
17.8267006006,29.7273712612,0.5274513582,0.5274513582
18.0744041781,29.3581064899,0.5232260958,0.5232260958
18.2679156580,28.9614882233,0.5189628750,0.5189628750
18.3979931213,28.5369179850,0.5146745865,0.5146745865
18.4631513865,28.0912499891,0.5103743611,0.5103743611
18.4676417129,27.6368506533,0.5060755166,0.5060755166
18.4158500822,27.1862157248,0.5017915028,0.5017915028
18.3142961047,26.7487522227,0.4975358462,0.4975358462
18.1776098753,26.3221263672,0.4933220935,0.4933220935
18.0223483154,25.9012153827,0.4891637551,0.4891637551
17.8635491023,25.4813661794,0.4850742477,0.4850742477
17.7055985773,25.0612196703,0.4810668383,0.4810668383
17.5483262478,24.6408258255,0.4771545873,0.4771545873
17.3915445449,24.2202400981,0.4733502932,0.4733502932
17.2350656304,23.7995180304,0.4696664377,0.4696664377
17.0787018456,23.3787148957,0.4661151328,0.4661151328
16.9222655318,22.9578862366,0.4627080681,0.4627080681
16.7655689404,22.5370875057,0.4594564616,0.4594564616
16.6084244129,22.1163739762,0.4563710107,0.4563710107
16.4506442007,21.6958011008,0.4534618469,0.4534618469
16.2920407350,21.2754244222,0.4507384922,0.4507384922
16.1324261774,20.8552993032,0.4482098185,0.4482098185
15.9716128694,20.4354811967,0.4458840096,0.4458840096
15.8094149496,20.0160249262,0.4437685268,0.4437685268
15.6459684887,19.5968917558,0.4418700771,0.4418700771
15.4821000654,19.1778423487,0.4401945855,0.4401945855
15.3187253246,18.7586112147,0.4387471704,0.4387471704
15.1567601807,18.3389329534,0.4375321227,0.4375321227
14.9971201886,17.9185421644,0.4365528892,0.4365528892
14.8407210829,17.4971734474,0.4358120589,0.4358120589
14.6884787782,17.0745614019,0.4353113545,0.4353113545
14.5413088292,16.6504406276,0.4350516267,0.4350516267
14.4001270606,16.2245456343,0.4350328532,0.4350328532
14.2658492970,15.7966111113,0.4352541417,0.4352541417
14.1393910931,15.3663716584,0.4357137365,0.4357137365
14.0216682737,14.9335617853,0.4364090294,0.4364090294
13.9135966632,14.4979161814,0.4373365748,0.4373365748
13.8159349849,14.0592991358,0.4384921077,0.4384921077
13.7288371046,13.6180754505,0.4398705664,0.4398705664
13.6523112009,13.1747306292,0.4414661186,0.4414661186
13.5863651828,12.7297500859,0.4432721906,0.4432721906
13.5310070491,12.2836192347,0.4452815003,0.4452815003
13.4862448886,11.8368235793,0.4474860932,0.4474860932
13.4520850824,11.3898473654,0.4498773818,0.4498773818
13.4282283473,10.9429496122,0.4524461869,0.4524461869
13.4137154491,10.4959025769,0.4551827827,0.4551827827
13.4075005146,10.0484150651,0.4580769432,0.4580769432
13.4085381195,9.6001957924,0.4611179918,0.4611179918
13.4157823905,9.1509534744,0.4642948518,0.4642948518
13.4281878137,8.7003970067,0.4675960992,0.4675960992
13.4446458729,8.2482541583,0.4710100170,0.4710100170
13.4617487839,7.7949522840,0.4745246497,0.4745246497
13.4731815817,7.3418030172,0.4781278601,0.4781278601
13.4724427207,6.8901750617,0.4818073852,0.4818073852
13.4530305656,6.4414366719,0.4855508936,0.4855508936
13.4084436611,5.9969565517,0.4893460419,0.4893460419
13.3321802818,5.5581029556,0.4931805319,0.4931805319
13.2180544329,5.1263587283,0.4970421659,0.4970421659
13.0644138555,4.7048480091,0.5009189029,0.5009189029
12.8730057163,4.2979256828,0.5047989117,0.5047989117
12.6456594176,3.9099765629,0.5086706246,0.5086706246
12.3842040919,3.5453852829,0.5125227880,0.5125227880
12.0904693213,3.2085365663,0.5163445120,0.5163445120
11.7662842383,2.9038150467,0.5201253174,0.5201253174
11.4137537115,2.6346878256,0.5238551807,0.5238551807
11.0369425099,2.3980878343,0.5275245764,0.5275245764
10.6407663377,2.1881135319,0.5311245165,0.5311245165
10.2301438645,1.9988518734,0.5346465871,0.5346465871
9.8099939401,1.8243899934,0.5380829820,0.5380829820
9.3852355938,1.6588146673,0.5414265332,0.5414265332
8.9607875852,1.4962131197,0.5446707371,0.5446707371
8.5404325664,1.3319982290,0.5478097785,0.5478097785
