# 0df57f48-4725-4407-b3d8-9db01e172e50
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2087427; 0.2142269; -2.2183909; -0.0132762; 6.5200061; 0.4207917
0.1999401; 0.3680116; 0.0934279; -2.2209603; -0.0124312; 6.5328972; 0.4208782
0.3998802; 0.5269916; -0.0277756; -2.2233609; -0.0115850; 6.5457656; 0.4212968
0.5998202; 0.6857074; -0.1493599; -2.2255925; -0.0107377; 6.5586214; 0.4220075
0.7997603; 0.8441838; -0.2713016; -2.2276548; -0.0098897; 6.5714738; 0.4229744
0.9997004; 1.0024457; -0.3935773; -2.2295479; -0.0090413; 6.5843304; 0.4241656
1.1996405; 1.1603831; -0.5160594; -2.2312753; -0.0082450; 6.5971980; 0.4232736
1.3995806; 1.3181490; -0.6388253; -2.2328440; -0.0074498; 6.6100137; 0.4226803
1.5995206; 1.4757614; -0.7618491; -2.2342541; -0.0066555; 6.6227866; 0.4223634
1.7994607; 1.6332384; -0.8851048; -2.2355057; -0.0058622; 6.6355254; 0.4223006
1.9994008; 1.7905980; -1.0085664; -2.2365990; -0.0050698; 6.6482379; 0.4224723
2.1993409; 1.9477238; -1.1321034; -2.2375473; -0.0044208; 6.6609312; 0.4165329
2.3992810; 2.1047655; -1.2557988; -2.2383663; -0.0037732; 6.6734225; 0.4112328
2.5992211; 2.2617398; -1.3796333; -2.2390560; -0.0031262; 6.6857320; 0.4065560
2.7991611; 2.4186626; -1.5035863; -2.2396165; -0.0024797; 6.6978792; 0.4024475
2.9991012; 2.5755498; -1.6276375; -2.2400479; -0.0018338; 6.7098820; 0.3988575
3.1990413; 2.7322910; -1.7516684; -2.2403694; -0.0013863; 6.7217566; 0.3868022
3.3989814; 2.8890210; -1.8757611; -2.2406021; -0.0009423; 6.7332523; 0.3756965
3.5989215; 3.0457525; -1.9999030; -2.2407462; -0.0004988; 6.7443991; 0.3656044
3.7988615; 3.2024961; -2.1240799; -2.2408016; -0.0000555; 6.7552289; 0.3564390
3.9988016; 3.3592621; -2.2482775; -2.2407684; 0.0003873; 6.7657705; 0.3126605
4.1987417; 3.5159459; -2.3723915; -2.2406635; 0.0006574; 6.7750039; 0.2751432
4.3986818; 3.6726657; -2.4965005; -2.2405056; 0.0009220; 6.7831189; 0.2408343
4.5986219; 3.8294311; -2.6205986; -2.2402948; 0.0011864; 6.7902140; 0.2092432
4.7985619; 3.9862484; -2.7446774; -2.2400312; 0.0014506; 6.7963725; 0.1801611
4.9985020; 4.1431240; -2.8687283; -2.2397147; 0.0017146; 6.8016705; 0.1533951
5.1984421; 4.2999586; -2.9926603; -2.2393578; 0.0018502; 6.8061782; 0.1347089
5.3983822; 4.4568555; -3.1165474; -2.2389750; 0.0019793; 6.8101343; 0.1178192
5.5983223; 4.6138228; -3.2403892; -2.2385664; 0.0021083; 6.8135925; 0.1022878
5.7982623; 4.7708635; -3.3641816; -2.2381319; 0.0022372; 6.8165934; 0.0880070
5.9982024; 4.9279805; -3.4879202; -2.2376716; 0.0023661; 6.8191742; 0.0748776
6.1981425; 5.0850794; -3.6115248; -2.2371939; 0.0024073; 6.8213693; 0.0668880
6.3980826; 5.2422512; -3.7350644; -2.2367092; 0.0024420; 6.8233296; 0.0598452
6.5980227; 5.3995036; -3.8585431; -2.2362175; 0.0024766; 6.8250830; 0.0533726
6.7979628; 5.5568372; -3.9819597; -2.2357188; 0.0025113; 6.8266463; 0.0474244
6.9979028; 5.7142527; -4.1053129; -2.2352131; 0.0025460; 6.8280352; 0.0419581
7.1978429; 5.8716606; -4.2285313; -2.2347056; 0.0025263; 6.8292637; 0.0394670
7.3977830; 6.0291411; -4.3516782; -2.2342031; 0.0025011; 6.8304190; 0.0374370
7.5977231; 6.1867024; -4.4747615; -2.2337055; 0.0024760; 6.8315148; 0.0355712
7.7976632; 6.3443439; -4.5977818; -2.2332129; 0.0024509; 6.8325558; 0.0338564
7.9976032; 6.5020647; -4.7207396; -2.2327253; 0.0024258; 6.8335465; 0.0322802
8.1975433; 6.6597806; -4.8435708; -2.2322454; 0.0023716; 6.8344909; 0.0321909
8.3974834; 6.8175620; -4.9663330; -2.2317771; 0.0023135; 6.8354325; 0.0322944
8.5974235; 6.9754187; -5.0890365; -2.2313204; 0.0022554; 6.8363771; 0.0323889
8.7973636; 7.1333489; -5.2116830; -2.2308752; 0.0021974; 6.8373243; 0.0324751
8.9973036; 7.2913512; -5.3342741; -2.2304416; 0.0021394; 6.8382739; 0.0325538
9.1972437; 7.4493472; -5.4567524; -2.2300207; 0.0020698; 6.8392256; 0.0331703
9.3971838; 7.6073981; -5.5791684; -2.2296141; 0.0019982; 6.8401953; 0.0338332
9.5971239; 7.7655155; -5.7015349; -2.2292217; 0.0019266; 6.8411842; 0.0344421
9.7970640; 7.9236973; -5.8238539; -2.2288436; 0.0018551; 6.8421907; 0.0350013
9.9970040; 8.0819418; -5.9461275; -2.2284798; 0.0017837; 6.8432134; 0.0355150
10.1969441; 8.2401771; -6.0683040; -2.2281304; 0.0017116; 6.8442510; 0.0360175
10.3968842; 8.3984553; -6.1904271; -2.2277954; 0.0016394; 6.8453031; 0.0364862
10.5968243; 8.5567902; -6.3125112; -2.2274748; 0.0015673; 6.8463687; 0.0369169
10.7967644; 8.7151797; -6.4345584; -2.2271686; 0.0014952; 6.8474467; 0.0373128
10.9967044; 8.8736219; -6.5565706; -2.2268768; 0.0014232; 6.8485361; 0.0376768
11.1966445; 9.0320522; -6.6785018; -2.2265991; 0.0013566; 6.8496360; 0.0377585
11.3965846; 9.1905135; -6.8003885; -2.2263344; 0.0012916; 6.8507381; 0.0377621
11.5965247; 9.3490220; -6.9222463; -2.2260826; 0.0012266; 6.8518401; 0.0377655
11.7964648; 9.5075758; -7.0440771; -2.2258439; 0.0011617; 6.8529420; 0.0377689
11.9964049; 9.6661731; -7.1658828; -2.2256181; 0.0010967; 6.8540439; 0.0377722
12.1963449; 9.8247563; -7.2876223; -2.2254047; 0.0010398; 6.8551456; 0.0374005
12.3962850; 9.9833600; -7.4093252; -2.2252022; 0.0009858; 6.8562364; 0.0369277
12.5962251; 10.1420023; -7.5310080; -2.2250105; 0.0009317; 6.8573132; 0.0364932
12.7961652; 10.3006817; -7.6526723; -2.2248296; 0.0008777; 6.8583771; 0.0360939
12.9961053; 10.4593967; -7.7743197; -2.2246595; 0.0008237; 6.8594293; 0.0357270
13.1960453; 10.6180966; -7.8959139; -2.2244996; 0.0007781; 6.8604706; 0.0349956
13.3959854; 10.7768080; -8.0174779; -2.2243483; 0.0007362; 6.8614904; 0.0341539
13.5959255; 10.9355509; -8.1390289; -2.2242053; 0.0006942; 6.8624856; 0.0333801
13.7958656; 11.0943241; -8.2605681; -2.2240706; 0.0006523; 6.8634581; 0.0326687
13.9958057; 11.2531263; -8.3820967; -2.2239444; 0.0006104; 6.8644097; 0.0320147
14.1957457; 11.4119136; -8.5035831; -2.2238260; 0.0005761; 6.8653421; 0.0310558
14.3956858; 11.5707054; -8.6250439; -2.2237139; 0.0005458; 6.8662465; 0.0299869
14.5956259; 11.7295229; -8.7464970; -2.2236078; 0.0005155; 6.8671196; 0.0290039
14.7955660; 11.8883653; -8.8679431; -2.2235077; 0.0004853; 6.8679640; 0.0281000
14.9955061; 12.0472316; -8.9893831; -2.2234137; 0.0004550; 6.8687820; 0.0272688
15.1954461; 12.2060844; -9.1107898; -2.2233254; 0.0004311; 6.8695757; 0.0262065
15.3953862; 12.3649360; -9.2321740; -2.2232412; 0.0004112; 6.8703384; 0.0250397
15.5953263; 12.5238092; -9.3535540; -2.2231610; 0.0003913; 6.8710671; 0.0239667
15.7952664; 12.6827032; -9.4749302; -2.2230847; 0.0003714; 6.8717645; 0.0229798
15.9952065; 12.8416173; -9.5963030; -2.2230124; 0.0003515; 6.8724331; 0.0220722
16.1951466; 13.0005201; -9.7176495; -2.2229438; 0.0003367; 6.8730752; 0.0210007
16.3950866; 13.1594180; -9.8389753; -2.2228776; 0.0003257; 6.8736861; 0.0198320
16.5950267; 13.3183342; -9.9602987; -2.2228136; 0.0003148; 6.8742629; 0.0187571
16.7949668; 13.4772683; -10.0816200; -2.2227517; 0.0003038; 6.8748084; 0.0177685
16.9949069; 13.6362199; -10.2029393; -2.2226921; 0.0002929; 6.8753252; 0.0168592
17.1948470; 13.7951631; -10.3242375; -2.2226344; 0.0002858; 6.8758154; 0.0158376
17.3947870; 13.9540990; -10.4455157; -2.2225776; 0.0002825; 6.8762760; 0.0147233
17.5947271; 14.1130511; -10.5667921; -2.2225215; 0.0002792; 6.8767041; 0.0136984
17.7946672; 14.2720193; -10.6880667; -2.2224660; 0.0002758; 6.8771023; 0.0127558
17.9946073; 14.4310031; -10.8093395; -2.2224112; 0.0002725; 6.8774732; 0.0118887
18.1945474; 14.5899820; -10.9305947; -2.2223569; 0.0002723; 6.8778188; 0.0109437
18.3944874; 14.7489526; -11.0518298; -2.2223021; 0.0002757; 6.8781369; 0.0099041
18.5944275; 14.9079382; -11.1730626; -2.2222466; 0.0002791; 6.8784248; 0.0089480
18.7943676; 15.0669387; -11.2942927; -2.2221905; 0.0002825; 6.8786849; 0.0080685
18.9943077; 15.2259542; -11.4155200; -2.2221336; 0.0002859; 6.8789194; 0.0072596
19.1942478; 15.3849684; -11.5367320; -2.2220760; 0.0002919; 6.8791304; 0.0063930
19.3941878; 15.5439744; -11.6579230; -2.2220167; 0.0003016; 6.8793162; 0.0054208
19.5941279; 15.7029952; -11.7791102; -2.2219554; 0.0003113; 6.8794738; 0.0045267
19.7940680; 15.8620306; -11.9002928; -2.2218922; 0.0003210; 6.8796053; 0.0037043
19.9940081; 16.0210808; -12.0214706; -2.2218271; 0.0003307; 6.8797130; 0.0029480
20.1939482; 16.1801338; -12.1426339; -2.2217599; 0.0003426; 6.8797987; 0.0021462
20.3938883; 16.3391801; -12.2637749; -2.2216898; 0.0003586; 6.8798610; 0.0012188
20.5938283; 16.4982415; -12.3849093; -2.2216165; 0.0003745; 6.8798965; 0.0003660
20.7937684; 16.6573181; -12.5060365; -2.2215400; 0.0003905; 6.8799071; -0.0004183
20.9937085; 16.8164101; -12.6271557; -2.2214604; 0.0004064; 6.8798949; -0.0011395
21.1936486; 16.9755090; -12.7482599; -2.2213775; 0.0004243; 6.8798618; -0.0018963
21.3935887; 17.1346042; -12.8693398; -2.2212904; 0.0004468; 6.8798067; -0.0028061
21.5935287; 17.2937154; -12.9904096; -2.2211988; 0.0004692; 6.8797252; -0.0036427
21.7934688; 17.4528431; -13.1114683; -2.2211027; 0.0004917; 6.8796193; -0.0044119
21.9934089; 17.6119877; -13.2325151; -2.2210022; 0.0005141; 6.8794911; -0.0051191
22.1933490; 17.7711436; -13.3535447; -2.2208971; 0.0005382; 6.8793423; -0.0058463
22.3932891; 17.9302998; -13.4745476; -2.2207866; 0.0005671; 6.8791724; -0.0067465
22.5932291; 18.0894741; -13.5955356; -2.2206703; 0.0005961; 6.8789763; -0.0075742
22.7931692; 18.2486668; -13.7165078; -2.2205483; 0.0006250; 6.8787561; -0.0083350
22.9931093; 18.4078785; -13.8374630; -2.2204204; 0.0006540; 6.8785139; -0.0090345
23.1930494; 18.5671062; -13.9583975; -2.2202867; 0.0006842; 6.8782513; -0.0097385
23.3929895; 18.7263398; -14.0793021; -2.2201464; 0.0007198; 6.8779682; -0.0106400
23.5929295; 18.8855939; -14.2001862; -2.2199989; 0.0007555; 6.8776589; -0.0114686
23.7928696; 19.0448694; -14.3210485; -2.2198443; 0.0007911; 6.8773255; -0.0122303
23.9928097; 19.2041668; -14.4418879; -2.2196825; 0.0008267; 6.8769699; -0.0129303
24.1927498; 19.3634852; -14.5627016; -2.2195137; 0.0008632; 6.8765939; -0.0136145
24.3926899; 19.5228161; -14.6834815; -2.2193369; 0.0009051; 6.8761981; -0.0145008
24.5926299; 19.6821712; -14.8042343; -2.2191517; 0.0009471; 6.8757764; -0.0153154
24.7925700; 19.8415511; -14.9249584; -2.2189582; 0.0009890; 6.8753311; -0.0160640
24.9925101; 20.0009566; -15.0456523; -2.2187563; 0.0010309; 6.8748639; -0.0167519
25.1924502; 20.1603879; -15.1663141; -2.2185459; 0.0010742; 6.8743767; -0.0174473
25.3923903; 20.3198401; -15.2869377; -2.2183253; 0.0011330; 6.8738692; -0.0188151
25.5923304; 20.4793207; -15.4075260; -2.2180929; 0.0011917; 6.8733219; -0.0200717
25.7922704; 20.6388311; -15.5280771; -2.2178487; 0.0012504; 6.8727380; -0.0212262
25.9922105; 20.7983725; -15.6485890; -2.2175929; 0.0013091; 6.8721205; -0.0222867
26.1921506; 20.9579461; -15.7690596; -2.2173252; 0.0013677; 6.8714720; -0.0232522
26.3920907; 21.1175505; -15.8894851; -2.2170467; 0.0014185; 6.8707954; -0.0237762
26.5920308; 21.2771894; -16.0098655; -2.2167580; 0.0014694; 6.8701035; -0.0242573
26.7919708; 21.4368639; -16.1301992; -2.2164591; 0.0015203; 6.8693975; -0.0246989
26.9919109; 21.5965750; -16.2504844; -2.2161501; 0.0015712; 6.8686786; -0.0251042
27.1918510; 21.7563236; -16.3707192; -2.2158309; 0.0016221; 6.8679478; -0.0254761
27.3917911; 21.9161172; -16.4909071; -2.2155061; 0.0016247; 6.8672061; -0.0235385
27.5917312; 22.0759484; -16.6110419; -2.2151812; 0.0016256; 6.8665207; -0.0216789
