# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.9848728363,0.9848728363
0.0026832189,0.4257398085,0.9863785751,0.9863785751
0.0049606871,0.8514819809,0.9863307531,0.9863307531
0.0069218491,1.2772257278,0.9848997603,0.9848997603
0.0086297901,1.7029705659,0.9822796699,0.9822796699
0.0101296960,2.1287161877,0.9786823944,0.9786823944
0.0114543210,2.5544623909,0.9743314488,0.9743314488
0.0126275815,2.9802090382,0.9694555131,0.9694555131
0.0136669518,3.4059560334,0.9642819884,0.9642819884
0.0147063221,3.8317030286,0.9590307398,0.9590307398
0.0157456924,4.2574500238,0.9539082143,0.9539082143
0.0167850627,4.6831970190,0.9491021036,0.9491021036
0.0178244331,5.1089440141,0.9447767106,0.9447767106
0.0188638034,5.5346910093,0.9410691465,0.9410691465
-0.1100241672,5.9404612340,0.9380864658,0.9380864658
-0.3565522198,6.2875714521,0.9359038106,0.9359038106
-0.6972181300,6.5429306537,0.9345636051,0.9345636051
-1.0969691940,6.6894252646,0.9340758086,0.9340758086
-1.5021301116,6.8202159946,0.9344191972,0.9344191972
-1.9079788831,6.9488564194,0.9355436188,0.9355436188
-2.3139343278,7.0771598141,0.9373731263,0.9373731263
-2.7198897725,7.2054632088,0.9398098753,0.9398098753
-3.1258452173,7.3337666036,0.9427386453,0.9427386453
-3.5318006620,7.4620699983,0.9460318198,0.9460318198
-3.9377561067,7.5903733930,0.9495546579,0.9495546579
-4.3437115515,7.7186767878,0.9531706730,0.9531706730
-4.7496669962,7.8469801825,0.9567469358,0.9567469358
-5.1556224409,7.9752835772,0.9601591244,0.9601591244
-5.5615778856,8.1035869720,0.9632961519,0.9632961519
-5.9675333304,8.2318903667,0.9660642183,0.9660642183
-6.3734887751,8.3601937615,0.9683901540,0.9683901540
-6.7794442198,8.4884971562,0.9702239495,0.9702239495
-7.1853996645,8.6168005509,0.9715403868,0.9715403868
-7.5913551093,8.7451039457,0.9723397295,0.9723397295
-7.9973105540,8.8734073404,0.9726474498,0.9726474498
-8.4032659987,9.0017107351,0.9725130120,0.9725130120
