# cb83968e-e0b8-435a-bce1-d51c0b20413e
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2511410; -0.0603390; 0.0053957; -0.0543972; 5.8704108; 0.7246069
0.1999413; 0.2510968; 0.1390287; -0.0047046; -0.0469383; 5.8950386; 0.9099464
0.3998827; 0.2529221; 0.3386542; -0.0133358; -0.0395442; 5.9258208; 1.0795440
0.5998240; 0.2563286; 0.5385086; -0.0205063; -0.0322140; 5.9621341; 1.2364713
0.7997654; 0.2610280; 0.7385634; -0.0262241; -0.0249430; 6.0034562; 1.3834461
0.9997067; 0.2667322; 0.9387899; -0.0304964; -0.0177238; 6.0493556; 1.5228934
1.1996481; 0.2731598; 1.1393679; -0.0333375; -0.0108023; 6.0994821; 1.6474832
1.3995894; 0.2800534; 1.3407081; -0.0349123; -0.0048373; 6.1532497; 1.7341024
1.5995308; 0.2871330; 1.5417555; -0.0352857; 0.0011366; 6.2093413; 1.7343768
1.7994721; 0.2941443; 1.7421702; -0.0344513; 0.0072136; 6.2649395; 1.3559874
1.9994135; 0.3008332; 1.9416124; -0.0323902; 0.0134923; 6.3080664; 0.9934990
2.1993548; 0.3069452; 2.1397421; -0.0290697; 0.0200787; 6.3394783; 0.6437697
2.3992962; 0.3123431; 2.3410596; -0.0242823; 0.0278804; 6.3597498; 0.2714256
2.5992375; 0.3166669; 2.5457853; -0.0176341; 0.0371857; 6.3682773; -0.1307427
2.7991789; 0.3194063; 2.7480755; -0.0091085; 0.0472595; 6.3641711; -0.5263293
2.9991202; 0.3202118; 2.9476558; 0.0014027; 0.0582707; 6.3476141; -0.9178425
3.1990616; 0.3187340; 3.1442518; 0.0140291; 0.0704119; 6.3186371; -1.3075927
3.3990029; 0.3146211; 3.3376638; 0.0289288; 0.0839160; 6.2771245; -1.6980109
3.5989443; 0.3066375; 3.5459994; 0.0483223; 0.1025173; 6.2228037; -2.2251709
3.7988856; 0.2944990; 3.7498579; 0.0713300; 0.1232493; 6.1508925; -2.7398760
3.9988269; 0.2776506; 3.9490260; 0.0982250; 0.1463518; 6.0611756; -3.2338662
4.1987683; 0.2555373; 4.1432901; 0.1292978; 0.1720217; 5.9535437; -3.6951461
4.3987096; 0.2275089; 4.3330086; 0.1649630; 0.2004629; 5.8281264; -4.1107116
4.5986510; 0.1893691; 4.5349346; 0.2095245; 0.2333068; 5.6853545; -4.5131726
4.7985923; 0.1426633; 4.7307931; 0.2597360; 0.2651567; 5.5243566; -4.7022127
4.9985337; 0.0865394; 4.9209432; 0.3152297; 0.2939401; 5.3514654; -4.6508609
