# 7731aeac-bc95-495b-843e-d5127d210c81
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0547155; -0.0425460; 0.4655860; -0.0026308; 6.8548575; -0.0365617
0.1999022; -0.0346304; 0.1353946; 0.4650941; -0.0023108; 6.8537912; -0.0185596
0.3998045; -0.1240771; 0.3137409; 0.4646646; -0.0019946; 6.8532498; -0.0022012
0.5997067; -0.2136303; 0.4924771; 0.4642972; -0.0016819; 6.8531856; 0.0126629
0.7996089; -0.3032955; 0.6715874; 0.4639914; -0.0013725; 6.8535550; 0.0261687
0.9995112; -0.3930693; 0.8510379; 0.4637467; -0.0010678; 6.8543182; 0.0383721
1.1994134; -0.4821737; 1.0292474; 0.4635514; -0.0008936; 6.8554372; 0.0434681
1.3993157; -0.5713991; 1.2077784; 0.4633903; -0.0007211; 6.8567046; 0.0480787
1.5992179; -0.6607455; 1.3866158; 0.4632632; -0.0005501; 6.8581062; 0.0522494
1.7991201; -0.7502129; 1.5657448; 0.4631701; -0.0003807; 6.8596290; 0.0560220
1.9990224; -0.8398013; 1.7451504; 0.4631106; -0.0002126; 6.8612614; 0.0594344
2.1989246; -0.9288792; 1.9235531; 0.4630812; -0.0000830; 6.8629928; 0.0607693
2.3988268; -1.0180607; 2.1021707; 0.4630775; 0.0000449; 6.8647626; 0.0576917
2.5987291; -1.1073589; 2.2810181; 0.4630991; 0.0001719; 6.8664424; 0.0470746
2.7986313; -1.1967725; 2.4600812; 0.4631462; 0.0002983; 6.8678127; 0.0373385
2.9985335; -1.2863002; 2.6393460; 0.4632186; 0.0004239; 6.8688995; 0.0284107
3.1984358; -1.3754957; 2.8179073; 0.4633189; 0.0005848; 6.8697262; 0.0185351
3.3983380; -1.4647574; 2.9965489; 0.4634521; 0.0007487; 6.8702656; 0.0093102
3.5982403; -1.5541304; 3.1753465; 0.4636181; 0.0009120; 6.8705365; 0.0008532
3.7981425; -1.6436149; 3.3542854; 0.4638168; 0.0010748; 6.8705613; -0.0069008
3.9980447; -1.7332108; 3.5333508; 0.4640483; 0.0012372; 6.8703605; -0.0140115
4.1979470; -1.8226465; 3.7119852; 0.4643147; 0.0014372; 6.8699528; -0.0223187
4.3978492; -1.9121303; 3.8905876; 0.4646227; 0.0016457; 6.8693033; -0.0303568
4.5977514; -2.0017276; 4.0692698; 0.4649725; 0.0018541; 6.8684199; -0.0377311
4.7976537; -2.0914402; 4.2480165; 0.4653641; 0.0020623; 6.8673216; -0.0444990
4.9975559; -2.1812697; 4.4268120; 0.4657976; 0.0022706; 6.8660262; -0.0507137
5.1974581; -2.2710920; 4.6053909; 0.4662739; 0.0025025; 6.8645495; -0.0575292
5.3973604; -2.3609791; 4.7838762; 0.4667982; 0.0027450; 6.8628740; -0.0642831
5.5972626; -2.4509896; 4.9623626; 0.4673712; 0.0029880; 6.8610013; -0.0704937
5.7971648; -2.5411263; 5.1408342; 0.4679930; 0.0032314; 6.8589471; -0.0762099
5.9970671; -2.6313922; 5.3192748; 0.4686636; 0.0034755; 6.8567256; -0.0814770
6.1969693; -2.7217743; 5.4976372; 0.4693834; 0.0037278; 6.8543498; -0.0866860
6.3968716; -2.8122792; 5.6759124; 0.4701546; 0.0039868; 6.8518212; -0.0917655
6.5967738; -2.9029225; 5.8541081; 0.4709776; 0.0042469; 6.8491434; -0.0964622
6.7966760; -2.9937075; 6.0322079; 0.4718527; 0.0045082; 6.8463275; -0.1008127
6.9965783; -3.0846374; 6.2101956; 0.4727799; 0.0047709; 6.8433832; -0.1048508
7.1964805; -3.1757708; 6.3881624; 0.4737598; 0.0050260; 6.8403198; -0.1081822
7.3963827; -3.2671271; 6.5661233; 0.4747897; 0.0052710; 6.8371575; -0.1107462
7.5962850; -3.3586377; 6.7439232; 0.4758684; 0.0055179; 6.8339188; -0.1131619
7.7961872; -3.4503053; 6.9215462; 0.4769961; 0.0057667; 6.8306078; -0.1154471
7.9960894; -3.5421323; 7.0989762; 0.4781733; 0.0060175; 6.8272284; -0.1176183
8.1959917; -3.6342104; 7.2763685; 0.4794005; 0.0062488; 6.8237836; -0.1186738
8.3958939; -3.7266470; 7.4539086; 0.4806699; 0.0064346; 6.8203062; -0.1175077
8.5957962; -3.8192485; 7.6312080; 0.4819757; 0.0066228; 6.8168612; -0.1165273
8.7956984; -3.9120152; 7.8082516; 0.4833185; 0.0068133; 6.8134432; -0.1157225
8.9956006; -4.0049469; 7.9850246; 0.4846984; 0.0070064; 6.8100471; -0.1150840
9.1955029; -4.0981358; 8.1616862; 0.4861168; 0.0071778; 6.8066681; -0.1134739
9.3954051; -4.1918402; 8.3387095; 0.4875626; 0.0072587; 6.8033347; -0.1077951
9.5953073; -4.2857070; 8.5154179; 0.4890232; 0.0073417; 6.8001666; -0.1026802
9.7952096; -4.3797324; 8.6917995; 0.4904992; 0.0074270; 6.7971475; -0.0980849
9.9951118; -4.4739128; 8.8678420; 0.4919907; 0.0075145; 6.7942622; -0.0939691
10.1950140; -4.5683207; 9.0436753; 0.4934993; 0.0076005; 6.7914969; -0.0901221
10.3949163; -4.6634060; 9.2201263; 0.4950289; 0.0076630; 6.7888437; -0.0855023
10.5948185; -4.7586343; 9.3961950; 0.4965693; 0.0077282; 6.7863256; -0.0813866
