# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.8230269605,0.8230269605
-0.3224249314,0.3106273026,0.8242436489,0.8242436489
-0.6448316035,0.6212850372,0.8254002684,0.8254002684
-0.9672217170,0.9319706978,0.8264934621,0.8264934621
-1.2895973305,1.2426815991,0.8275201350,0.8275201350
-1.6119603236,1.5534151455,0.8284774689,0.8284774689
-1.9343125759,1.8641685623,0.8293629367,0.8293629367
-2.2566559672,2.1749392537,0.8301743155,0.8301743155
-2.5789925560,2.4857245347,0.8309096994,0.8309096994
-2.9013241324,2.7965216304,0.8315675098,0.8315675098
-3.2236525762,3.1073280348,0.8321465065,0.8321465065
-3.5459799458,3.4181410627,0.8326457961,0.8326457961
-3.8683081210,3.7289578498,0.8330648395,0.8330648395
-4.1906389814,4.0397758900,0.8334034597,0.8334034597
-4.5129744962,4.3505924981,0.8336618454,0.8336618454
-4.8353164553,4.6614049890,0.8338405564,0.8338405564
-5.1576669176,4.9722105878,0.8339405259,0.8339405259
-5.4800277625,5.2830067885,0.8339630616,0.8339630616
-5.8024008698,5.5937907269,0.8339098465,0.8339098465
-6.1247881191,5.9045599862,0.8337829373,0.8337829373
-6.4471915690,6.2153116129,0.8335847616,0.8335847616
-6.7696130097,6.5260431006,0.8333181145,0.8333181145
-7.0920544997,6.8367517643,0.8329861536,0.8329861536
-7.4145177397,7.1474349187,0.8325923916,0.8325923916
-7.7370048779,7.4580898787,0.8321406891,0.8321406891
-8.0595176148,7.7687138695,0.8316352459,0.8316352459
-8.3820580986,8.0793043850,0.8310805897,0.8310805897
-8.7046280300,8.3898587401,0.8304815655,0.8304815655
-9.0272294675,8.7003741599,0.8298433221,0.8298433221
-9.3498642909,9.0108480489,0.8291712987,0.8291712987
-9.6725343796,9.3212776324,0.8284712097,0.8284712097
-9.9952417925,9.6316603146,0.8277490287,0.8277490287
-10.3179882300,9.9419934999,0.8270109713,0.8270109713
-10.6407757509,10.2522743241,0.8262634771,0.8262634771
-10.9636062347,10.5625002810,0.8255131913,0.8255131913
-11.2864815611,10.8726686854,0.8247669435,0.8247669435
-11.6094037887,11.1827767627,0.8240317290,0.8240317290
-11.9323746182,11.4928219172,0.8233146858,0.8233146858
-12.2553961977,11.8028013741,0.8226230741,0.8226230741
-12.5784702278,12.1127126274,0.8219642523,0.8219642523
-12.9015988567,12.4225528127,0.8213456556,0.8213456556
-13.2247837849,12.7323194240,0.8207747712,0.8207747712
-13.5480270712,13.0420097760,0.8202591157,0.8202591157
-13.8713305951,13.3516210045,0.8198062097,0.8198062097
-14.1946962363,13.6611506930,0.8194235548,0.8194235548
-14.5181258744,13.9705959771,0.8191186084,0.8191186084
-14.8416215680,14.2799542612,0.8188987599,0.8188987599
-15.1651851969,14.5892229497,0.8187713058,0.8187713058
-15.4888185510,14.8983991783,0.8187434258,0.8187434258
-15.8125236891,15.2074804408,0.8188221585,0.8188221585
-16.1363024907,15.5164639627,0.8190143786,0.8190143786
-16.4601568356,15.8253471481,0.8193267721,0.8193267721
-16.7840886928,16.1341272224,0.8197658145,0.8197658145
-17.1080999420,16.4428016794,0.8203377479,0.8203377479
-17.4321924627,16.7513676549,0.8210485596,0.8210485596
-17.7563683137,17.0598225533,0.8219039606,0.8219039606
-18.0806291956,17.3681637789,0.8229093652,0.8229093652
-18.4049772565,17.6763885569,0.8240698725,0.8240698725
-18.7294142865,17.9844942918,0.8253902462,0.8253902462
-19.0539422548,18.2924782087,0.8268748974,0.8268748974
-19.3785630409,18.6003377121,0.8285278689,0.8285278689
-19.7032785246,18.9080701167,0.8303528181,0.8303528181
-20.0280906750,19.2156727374,0.8323530034,0.8323530034
-20.3530014611,19.5231428889,0.8345312703,0.8345312703
-20.6780126732,19.8304779757,0.8368900395,0.8368900395
-21.0031263698,20.1376752229,0.8394312962,0.8394312962
-21.3283443411,20.4447319455,0.8421565800,0.8421565800
-21.6536686457,20.7516455477,0.8450669772,0.8450669772
-21.9790718053,21.0586903659,0.8481631130,0.8481631130
-22.3043901130,21.3674347273,0.8514451471,0.8514451471
-22.6294197634,21.6798249433,0.8549127685,0.8549127685
-22.9539571298,21.9978071466,0.8585651936,0.8585651936
-23.2769284963,22.3234904605,0.8624011643,0.8624011643
-23.5813343147,22.6619657272,0.8664189485,0.8664189485
-23.8362326613,23.0209343258,0.8706163415,0.8706163415
-24.0102104517,23.4081856199,0.8749906691,0.8749906691
-24.0734452158,23.8303761833,0.8795387919,0.8795387919
-24.0247294260,24.2737811402,0.8842571115,0.8842571115
-23.8876561022,24.7070616967,0.8891415774,0.8891415774
-23.6925894953,25.1129543507,0.8941876958,0.8941876958
-23.4846702504,25.5106763447,0.8993905392,0.8993905392
-23.2953986308,25.9167490851,0.9047447583,0.9047447583
-23.1168070660,26.3271461370,0.9102445941,0.9102445941
-22.9412833251,26.7378509110,0.9158838921,0.9158838921
-22.7769815093,27.1526217712,0.9216561167,0.9216561167
-22.6316266274,27.5748295197,0.9275543679,0.9275543679
-22.5059820775,28.0039771289,0.9335713985,0.9335713985
-22.3997580385,28.4389825586,0.9396996319,0.9396996319
-22.3126646001,28.8787635899,0.9459311826,0.9459311826
-22.2444121203,29.3222380931,0.9522578745,0.9522578745
-22.1947105990,29.7683239388,0.9586712637,0.9586712637
-22.1632702154,30.2159390868,0.9651626595,0.9651626595
-22.1498012379,30.6640014077,0.9717231474,0.9717231474
-22.1540398920,31.1114737933,0.9783436116,0.9783436116
-22.1759340849,31.5576858427,0.9850147600,0.9850147600
-22.2155346562,32.0021450033,0.9917271472,0.9917271472
-22.2728931615,32.4443600652,0.9984712002,0.9984712002
-22.3480611563,32.8838397293,1.0052372429,1.0052372429
-22.4410900171,33.3200927855,1.0120155213,1.0120155213
-22.5520313891,33.7526278450,1.0187962300,1.0187962300
-22.6809367382,34.1809536981,1.0255695366,1.0255695366
-22.8278534132,34.6045095885,1.0323256077,1.0323256077
-22.9927956456,35.0221794639,1.0390546348,1.0390546348
-23.1757614663,35.4325812596,1.0457468595,1.0457468595
-23.3767490851,35.8343311206,1.0523925982,1.0523925982
-23.5957566224,36.2260454608,1.0589822677,1.0589822677
-23.8327821090,36.6063403357,1.0655064091,1.0655064091
-24.0878237550,36.9738320695,1.0719557124,1.0719557124
-24.3608795910,37.3271369864,1.0783210389,1.0783210389
-24.6519072807,37.6649213550,1.0845934455,1.0845934455
-24.9591096298,37.9880242956,1.0907642056,1.0907642056
-25.2783008824,38.3002425703,1.0968248314,1.0968248314
-25.6051240573,38.6055849812,1.1027670939,1.1027670939
-25.9352632567,38.9080218430,1.1085830430,1.1085830430
-26.2661467893,39.2098854178,1.1142650260,1.1142650260
-26.5975612725,39.5112939432,1.1198057058,1.1198057058
-26.9294604317,39.8122088421,1.1251980771,1.1251980771
-27.2617976340,40.1125927009,1.1304354820,1.1304354820
-27.5945064659,40.4124699549,1.1355116253,1.1355116253
-27.9274945570,40.7119470267,1.1404205869,1.1404205869
-28.2606675679,41.0111366048,1.1451568341,1.1451568341
-28.5939313380,41.3101511088,1.1497152327,1.1497152327
-28.9271914384,41.6091029584,1.1540910561,1.1540910561
-29.2603535295,41.9081046630,1.1582799936,1.1582799936
-29.5933235404,42.2072687318,1.1622781577,1.1622781577
-29.9260069526,42.5067076741,1.1660820885,1.1660820885
-30.2583096055,42.8065339990,1.1696887595,1.1696887595
-30.5901370702,43.1068600368,1.1730955787,1.1730955787
-30.9213951861,43.4077983864,1.1763003911,1.1763003911
-31.2519897034,43.7094615568,1.1793014784,1.1793014784
-31.5818261034,44.0119619680,1.1820975576,1.1820975576
-31.9108103151,44.3154121291,1.1846877785,1.1846877785
-32.2388479097,44.6199245494,1.1870717196,1.1870717196
-32.5658446371,44.9256116486,1.1892493830,1.1892493830
-32.8917152874,45.2325704514,1.1912211875,1.1912211875
-33.2164106322,45.5408351492,1.1929879613,1.1929879613
-33.5398909307,45.8504242697,1.1945509322,1.1945509322
-33.8621162634,46.1613562513,1.1959117182,1.1959117182
-34.1830467103,46.4736495321,1.1970723156,1.1970723156
-34.5026425307,46.7873226400,1.1980350867,1.1980350867
-34.8208637155,47.1023938343,1.1988027465,1.1988027465
-35.1376704343,47.4188817321,1.1993783479,1.1993783479
-35.4530228569,47.7368046823,1.1997652670,1.1997652670
-35.7668810636,48.0561812127,1.1999671856,1.1999671856
-36.0792052241,48.3770297614,1.1999880753,1.1999880753
-36.3899554186,48.6993686774,1.1998321794,1.1998321794
-36.6990917274,49.0232164883,1.1995039941,1.1995039941
-37.0065743203,49.3485917219,1.1990082493,1.1990082493
-37.3123633671,49.6755127271,1.1983498898,1.1983498898
-37.6164190374,50.0039979420,1.1975340540,1.1975340540
-37.9187015010,50.3340656259,1.1965660547,1.1965660547
-38.2192173814,50.6656988622,1.1954513571,1.1954513571
-38.5180741756,50.9988031324,1.1941955589,1.1941955589
-38.8153926272,51.3332738932,1.1928043680,1.1928043680
-39.1112936592,51.6690064224,1.1912835819,1.1912835819
-39.4058981048,52.0058961768,1.1896390662,1.1896390662
-39.6993268870,52.3438386133,1.1878767338,1.1878767338
-39.9917007494,52.6827289201,1.1860025227,1.1860025227
-40.2831405256,53.0224625540,1.1840223765,1.1840223765
-40.5737671382,53.3629349718,1.1819422229,1.1819422229
-40.8637015101,53.7040414512,1.1797679538,1.1797679538
-41.1530643851,54.0456774492,1.1775054054,1.1775054054
-41.4419765966,54.3877382434,1.1751603392,1.1751603392
-41.7305590673,54.7301192907,1.1727384230,1.1727384230
-42.0189325412,55.0727158688,1.1702452129,1.1702452129
-42.3072180305,55.4154235241,1.1676861364,1.1676861364
-42.5955362790,55.7581374448,1.1650664749,1.1650664749
-42.8839691850,56.1007836988,1.1623913485,1.1623913485
-43.1723249366,56.4435025424,1.1596657011,1.1596657011
-43.4602944692,56.7865258859,1.1568942859,1.1568942859
-43.7475686283,57.1300862665,1.1540816534,1.1540816534
-44.0338377226,57.4744159525,1.1512321379,1.1512321379
-44.3187925980,57.8197473916,1.1483498474,1.1483498474
-44.6021236524,58.1663128521,1.1454386538,1.1454386538
-44.8835216422,58.5143448712,1.1425021836,1.1425021836
-45.1626780395,58.8640749118,1.1395438105,1.1395438105
-45.4393178815,59.2157041838,1.1365666488,1.1365666488
-45.7132071095,59.5693968414,1.1335735479,1.1335735479
-45.9841141709,59.9253148013,1.1305670884,1.1305670884
