# 60cb3b36-54c3-4af3-9447-e4623751b2ec
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0521953; 0.0707372; 0.8070630; -0.0003463; 6.8827491; -0.0061827
0.1999418; -0.0922356; 0.2090512; 0.8069963; -0.0003202; 6.8825694; -0.0044516
0.3998836; -0.2366443; 0.3473615; 0.8069349; -0.0002941; 6.8824401; -0.0028588
0.5998254; -0.3810320; 0.4856680; 0.8068787; -0.0002680; 6.8823571; -0.0013932
0.7997672; -0.5253999; 0.6239704; 0.8068277; -0.0002419; 6.8823166; -0.0000446
0.9997090; -0.6697495; 0.7622687; 0.8067820; -0.0002158; 6.8823153; 0.0011964
1.1996509; -0.8141371; 0.9006154; 0.8067398; -0.0002060; 6.8823501; 0.0015632
1.3995927; -0.9585097; 1.0389591; 0.8066996; -0.0001966; 6.8823955; 0.0018819
1.5995345; -1.1028664; 1.1772986; 0.8066612; -0.0001873; 6.8824501; 0.0021754
1.7994763; -1.2472081; 1.3156340; 0.8066247; -0.0001779; 6.8825133; 0.0024455
1.9994181; -1.3915354; 1.4539655; 0.8065901; -0.0001685; 6.8825844; 0.0026942
2.1993599; -1.5358923; 1.5923347; 0.8065564; -0.0001690; 6.8826627; 0.0024514
2.3993017; -1.6802379; 1.7307026; 0.8065225; -0.0001701; 6.8827339; 0.0022055
2.5992435; -1.8245706; 1.8690674; 0.8064884; -0.0001711; 6.8827979; 0.0019795
2.7991853; -1.9688907; 2.0074296; 0.8064541; -0.0001721; 6.8828554; 0.0017717
2.9991271; -2.1131986; 2.1457897; 0.8064195; -0.0001732; 6.8829069; 0.0015807
3.1990689; -2.2575274; 2.2841794; 0.8063845; -0.0001779; 6.8829528; 0.0012293
3.3990107; -2.4018470; 2.4225701; 0.8063484; -0.0001829; 6.8829885; 0.0008939
3.5989526; -2.5461554; 2.5609603; 0.8063113; -0.0001879; 6.8830145; 0.0005853
3.7988944; -2.6904528; 2.6993503; 0.8062733; -0.0001929; 6.8830315; 0.0003016
3.9988362; -2.8347396; 2.8377409; 0.8062342; -0.0001979; 6.8830403; 0.0000408
4.1987780; -2.9790384; 2.9761539; 0.8061939; -0.0002057; 6.8830414; -0.0003322
4.3987198; -3.1233291; 3.1145705; 0.8061519; -0.0002138; 6.8830318; -0.0006876
4.5986616; -3.2676098; 3.2529894; 0.8061084; -0.0002218; 6.8830118; -0.0010144
4.7986034; -3.4118807; 3.3914112; 0.8060632; -0.0002299; 6.8829824; -0.0013148
4.9985452; -3.5561419; 3.5298364; 0.8060165; -0.0002379; 6.8829442; -0.0015911
5.1984870; -3.7004064; 3.6682780; 0.8059678; -0.0002490; 6.8828979; -0.0019873
5.3984288; -3.8446630; 3.8067258; 0.8059169; -0.0002604; 6.8828402; -0.0023679
5.5983706; -3.9889103; 3.9451791; 0.8058637; -0.0002718; 6.8827714; -0.0027178
5.7983124; -4.1331484; 4.0836387; 0.8058082; -0.0002832; 6.8826925; -0.0030395
5.9982543; -4.2773775; 4.2221052; 0.8057504; -0.0002946; 6.8826042; -0.0033352
6.1981961; -4.4216011; 4.3605829; 0.8056901; -0.0003088; 6.8825073; -0.0037397
6.3981379; -4.5658162; 4.4990695; 0.8056269; -0.0003234; 6.8823986; -0.0041298
6.5980797; -4.7100223; 4.6375653; 0.8055608; -0.0003379; 6.8822787; -0.0044883
6.7980215; -4.8542193; 4.7760713; 0.8054918; -0.0003525; 6.8821483; -0.0048178
6.9979633; -4.9984073; 4.9145880; 0.8054199; -0.0003671; 6.8820083; -0.0051205
