# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,1.0949523190,1.0949523190
0.4107271212,-0.0608933713,1.0912419343,1.0912419343
0.8215009711,-0.1214749963,1.0876134939,1.0876134939
1.2323195577,-0.1817589018,1.0840759085,1.0840759085
1.6431806402,-0.2417589489,1.0806371727,1.0806371727
2.0540820604,-0.3014891644,1.0773043379,1.0773043379
2.4650216604,-0.3609633263,1.0740834906,1.0740834906
2.8759972823,-0.4201954615,1.0709797352,1.0709797352
3.2870067679,-0.4791994309,1.0679971827,1.0679971827
3.6980479594,-0.5379890955,1.0651389447,1.0651389447
4.1091186987,-0.5965785651,1.0624071328,1.0624071328
4.5202168279,-0.6549815347,1.0598028633,1.0598028633
4.9313402719,-0.7132121143,1.0573262666,1.0573262666
5.3424867068,-0.7712840817,1.0549765032,1.0549765032
5.7536540576,-0.8292114638,1.0527517838,1.0527517838
6.1648401663,-0.8870081217,1.0506493935,1.0506493935
6.5760429579,-0.9446879162,1.0486657233,1.0486657233
6.9872601085,-1.0022648742,1.0467963038,1.0467963038
7.3984895430,-1.0597528567,1.0450358441,1.0450358441
7.8097291034,-1.1171657247,1.0433782755,1.0433782755
8.2209767148,-1.1745173389,1.0418167981,1.0418167981
8.6322310491,-1.2318157504,1.0403439315,1.0403439315
9.0434918574,-1.2890639472,1.0389515689,1.0389515689
9.4547587247,-1.3462645853,1.0376310342,1.0376310342
9.8660314019,-1.4034204036,1.0363731406,1.0363731406
10.2773095571,-1.4605339751,1.0351682547,1.0351682547
10.6885929413,-1.5176080388,1.0340063580,1.0340063580
11.0998811395,-1.5746452508,1.0328771145,1.0328771145
11.5111739026,-1.6316482669,1.0317699366,1.0317699366
11.9224708987,-1.6886197431,1.0306740531,1.0306740531
12.3337717958,-1.7455624186,1.0295785770,1.0295785770
12.7450763449,-1.8024790321,1.0284725748,1.0284725748
13.1563841309,-1.8593720738,1.0273451341,1.0273451341
13.5676949049,-1.9162443657,1.0261854309,1.0261854309
13.9790083350,-1.9730985636,1.0249827965,1.0249827965
14.3903241720,-2.0299372405,1.0237267825,1.0237267825
14.8016420010,-2.0867632186,1.0224072246,1.0224072246
15.2129615730,-2.1435790707,1.0210143033,1.0210143033
15.6242825559,-2.2003874529,1.0195386035,1.0195386035
16.0356047009,-2.2571911870,1.0179711702,1.0179711702
16.4469275099,-2.3139927632,1.0163035625,1.0163035625
16.8582508999,-2.3707950034,1.0145279030,1.0145279030
17.2695743728,-2.4276004806,1.0126369243,1.0126369243
17.6808977628,-2.4844119337,1.0106240121,1.0106240121
18.0922206548,-2.5412320188,1.0084832427,1.0084832427
18.5035427167,-2.5980633918,1.0062094184,1.0062094184
18.9148637827,-2.6549087918,1.0037980965,1.0037980965
19.3261833547,-2.7117706256,1.0012456158,1.0012456158
19.7375015157,-2.7686494744,0.9985491161,0.9985491161
20.1488182657,-2.8255449231,0.9957065542,0.9957065542
20.5601335217,-2.8824563077,0.9927167161,0.9927167161
20.9714474498,-2.9393833792,0.9895792218,0.9895792218
21.3827599668,-2.9963255567,0.9862945269,0.9862945269
21.7940711558,-3.0532822590,0.9828639188,0.9828639188
22.2053810169,-3.1102532373,0.9792895083,0.9792895083
22.6166895499,-3.1672378275,0.9755742164,0.9755742164
23.0279969210,-3.2242356146,0.9717217553,0.9717217553
23.4393029640,-3.2812461007,0.9677366061,0.9677366061
23.8506077621,-3.3382688707,0.9636239921,0.9636239921
24.2619113982,-3.3953034267,0.9593898463,0.9593898463
24.6732139552,-3.4523491875,0.9550407768,0.9550407768
25.0845152673,-3.5094058214,0.9505840260,0.9505840260
25.4958155004,-3.5664727471,0.9460274286,0.9460274286
25.9071146545,-3.6235494668,0.9413793645,0.9413793645
26.3184127296,-3.6806356485,0.9366487092,0.9366487092
26.7297097257,-3.7377307111,0.9318447810,0.9318447810
27.1410058089,-3.7948341567,0.9269772864,0.9269772864
27.5523008130,-3.8519455702,0.9220562625,0.9220562625
27.9635949041,-3.9090643707,0.9170920175,0.9170920175
28.3748880822,-3.9661902262,0.9120950710,0.9120950710
28.7861802644,-4.0233225556,0.9070760911,0.9070760911
29.1974716165,-4.0804609440,0.9020458326,0.9020458326
29.6087621387,-4.1376048103,0.8970150727,0.8970150727
30.0200517478,-4.1947538227,0.8919945495,0.8919945495
30.4313406100,-4.2519074000,0.8869948971,0.8869948971
30.8426286421,-4.3090650443,0.8820265846,0.8820265846
31.2539159273,-4.3662263405,0.8770998547,0.8770998547
31.6652025484,-4.4233908738,0.8722246630,0.8722246630
32.0764884226,-4.4805579800,0.8674106205,0.8674106205
32.4877735498,-4.5377273272,0.8626669370,0.8626669370
32.8990580960,-4.5948984174,0.8580023671,0.8580023671
33.3103419781,-4.6520706696,0.8534251599,0.8534251599
33.7216252793,-4.7092437518,0.8489430096,0.8489430096
34.1329079995,-4.7664171660,0.8445630116,0.8445630116
34.5441901387,-4.8235903312,0.8402916205,0.8402916205
34.9554717799,-4.8807628324,0.8361346130,0.8361346130
35.3667529231,-4.9379341716,0.8320970535,0.8320970535
35.7780335683,-4.9951039339,0.8281832658,0.8281832658
36.1893137155,-5.0522715381,0.8243968071,0.8243968071
36.6005935307,-5.1094365693,0.8207404477,0.8207404477
37.0118728479,-5.1665986126,0.8172161560,0.8172161560
37.4231518331,-5.2237570869,0.8138250860,0.8138250860
37.8344304863,-5.2809114942,0.8105675720,0.8105675720
38.2457088075,-5.3380614195,0.8074431270,0.8074431270
38.6569867967,-5.3952064478,0.8044504467,0.8044504467
39.0682645369,-5.4523459152,0.8015874171,0.8015874171
39.4795420282,-5.5094795726,0.7988511284,0.7988511284
39.8908193534,-5.5666067561,0.7962378929,0.7962378929
40.3020964296,-5.6237270506,0.7937432681,0.7937432681
40.7133733398,-5.6808399581,0.7913620842,0.7913620842
41.1246500840,-5.7379450637,0.7890884756,0.7890884756
41.5359266622,-5.7950421183,0.7869159177,0.7869159177
41.9472032405,-5.8521313709,0.7848372667,0.7848372667
42.3584798187,-5.9092130706,0.7828448048,0.7828448048
42.7697563969,-5.9662877983,0.7809302867,0.7809302867
43.1810329751,-6.0233557201,0.7790849924,0.7790849924
43.5923097193,-6.0804172509,0.7772997805,0.7772997805
44.0035865466,-6.1374727227,0.7755651465,0.7755651465
44.4148636228,-6.1945225506,0.7738712822,0.7738712822
44.8261408650,-6.2515669835,0.7722081371,0.7722081371
45.2374184392,-6.3086065194,0.7705654836,0.7705654836
45.6486963454,-6.3656414073,0.7689329817,0.7689329817
46.0599746666,-6.4226720623,0.7673002454,0.7673002454
46.4712533198,-6.4796987333,0.7656569101,0.7656569101
46.8825324710,-6.5367219183,0.7639927015,0.7639927015
47.2938121202,-6.5937418663,0.7622975016,0.7622975016
47.7050923504,-6.6507589093,0.7605614173,0.7605614173
48.1163730786,-6.7077735454,0.7587748473,0.7587748473
48.5276545538,-6.7647860234,0.7569285470,0.7569285470
48.9389366100,-6.8217966755,0.7550136930,0.7550136930
49.3502194132,-6.8788059166,0.7530219460,0.7530219460
49.7615030464,-6.9358140787,0.7509455100,0.7509455100
50.1727874266,-6.9928214937,0.7487771906,0.7487771906
50.5840726367,-7.0498285768,0.7465104497,0.7465104497
50.9953588429,-7.1068355769,0.7441394570,0.7441394570
51.4066459621,-7.1638429920,0.7416591378,0.7416591378
51.8179339942,-7.2208510711,0.7390652182,0.7390652182
52.2292231884,-7.2778601462,0.7363542645,0.7363542645
52.6405133785,-7.3348706322,0.7335237196,0.7335237196
53.0518046477,-7.3918829443,0.7305719346,0.7305719346
53.4630971618,-7.4488972483,0.7274981955,0.7274981955
53.8743908379,-7.5059141254,0.7243027449,0.7243027449
54.2856858421,-7.5629337414,0.7209867999,0.7209867999
54.6969820912,-7.6199565944,0.7175525623,0.7175525623
