# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,1.0069803078,1.0069803078
0.0721655035,-0.3188177960,1.0124048923,1.0124048923
0.1442012234,-0.6376376199,1.0177910916,1.0177910916
0.2155866516,-0.9565719202,1.0231430081,1.0231430081
0.2855491046,-1.2757883560,1.0284644523,1.0284644523
0.3533134788,-1.5954550440,1.0337588967,1.0337588967
0.4181045395,-1.9157400358,1.0390294290,1.0390294290
0.4791471829,-2.2368115135,1.0442787102,1.0442787102
0.5356663053,-2.5588374633,1.0495089349,1.0495089349
0.5870094562,-2.8819415197,1.0547217947,1.0547217947
0.6331212945,-3.2060307932,1.0599184449,1.0599184449
0.6741272864,-3.5309465868,1.0650994754,1.0650994754
0.7101531597,-3.8565302688,1.0702648844,1.0702648844
0.7413245769,-4.1826232728,1.0754140567,1.0754140567
0.7677671350,-4.5090668366,1.0805457463,1.0805457463
0.7896066272,-4.8357025245,1.0856580625,1.0856580625
0.8069797059,-5.1624068983,1.0907484603,1.0907484603
0.8200530486,-5.4891506520,1.0958137364,1.0958137364
0.8289981739,-5.8159199831,1.1008500276,1.1008500276
0.8339864694,-6.1427010234,1.1058528159,1.1058528159
0.8351894535,-6.4694799051,1.1108169360,1.1108169360
0.8327785138,-6.7962427600,1.1157365889,1.1157365889
0.8269252996,-7.1229758510,1.1206053582,1.1206053582
0.8178011331,-7.4496652448,1.1254162323,1.1254162323
0.8055775328,-7.7762971387,1.1301616300,1.1301616300
0.7904259516,-8.1028575992,1.1348334300,1.1348334300
0.7725179735,-8.4293329547,1.1394230046,1.1394230046
0.7520249207,-8.7557092063,1.1439212574,1.1439212574
0.7291183770,-9.0819725513,1.1483186643,1.1483186643
0.7039711037,-9.4081097106,1.1526053176,1.1526053176
0.6767824207,-9.7341175442,1.1567709741,1.1567709741
0.6477750012,-10.0600022012,1.1608051047,1.1608051047
0.6171726301,-10.3857700921,1.1646969485,1.1646969485
0.5851989619,-10.7114276277,1.1684355670,1.1684355670
0.5520775854,-11.0369811533,1.1720099029,1.1720099029
0.5180321549,-11.3624372104,1.1754088385,1.1754088385
0.4832863901,-11.6878020788,1.1786212563,1.1786212563
0.4480640107,-12.0130822346,1.1816361012,1.1816361012
0.4125885402,-12.3382840885,1.1844424431,1.1844424431
0.3770836984,-12.6634140512,1.1870295393,1.1870295393
0.3417731394,-12.9884785333,1.1893868985,1.1893868985
0.3068805831,-13.3134840110,1.1915043429,1.1915043429
0.2726296183,-13.6384367642,1.1933720709,1.1933720709
0.2388974608,-13.9633460816,1.1949807186,1.1949807186
0.2039284341,-14.2882337467,1.1963214194,1.1963214194
0.1654865188,-14.6131255330,1.1973858626,1.1973858626
0.1214613574,-14.9380524471,1.1981663502,1.1981663502
0.0766358420,-15.2633318179,1.1986558516,1.1986558516
0.0461091563,-15.5897097703,1.1988480541,1.1988480541
0.0458205448,-15.9179590530,1.1987374131,1.1987374131
0.0889072608,-16.2448535232,1.1983191966,1.1983191966
0.1812525441,-16.5568140483,1.1975895288,1.1975895288
0.3275812635,-16.8386081287,1.1965454280,1.1965454280
0.5319988065,-17.0757461844,1.1951848412,1.1951848412
0.7875255760,-17.2670334735,1.1935066752,1.1935066752
1.0776128546,-17.4227519448,1.1915108234,1.1915108234
1.3854977561,-17.5535401901,1.1891981862,1.1891981862
1.6993633658,-17.6690340531,1.1865706900,1.1865706900
2.0145117660,-17.7774259927,1.1836312983,1.1836312983
2.3267976005,-17.8867964770,1.1803840201,1.1803840201
2.6320755131,-18.0052259090,1.1768339126,1.1768339126
2.9261999514,-18.1407947568,1.1729870784,1.1729870784
3.2050256899,-18.3015835540,1.1688506586,1.1688506586
3.4643303134,-18.4952758301,1.1644328206,1.1644328206
3.6985655077,-18.7227207385,1.1597427404,1.1597427404
3.9010654064,-18.9790066505,1.1547905804,1.1547905804
4.0651290155,-19.2590415875,1.1495874624,1.1495874624
4.1840555369,-19.5577337020,1.1441454359,1.1441454359
4.2511441075,-19.8699910809,1.1384774406,1.1384774406
4.2596937984,-20.1907219421,1.1325972667,1.1325972667
4.2041166537,-20.5140909952,1.1265195084,1.1265195084
4.0877131935,-20.8283268545,1.1202595146,1.1202595146
3.9180434431,-21.1188134270,1.1138333356,1.1138333356
3.7026961455,-21.3709378906,1.1072576662,1.1072576662
3.4497769536,-21.5755758172,1.1005497846,1.1005497846
3.1685950932,-21.7363784824,1.0937274886,1.0937274886
2.8686305238,-21.8588111236,1.0868090299,1.0868090299
2.5581492308,-21.9479175080,1.0798130441,1.0798130441
2.2403680028,-22.0069889322,1.0727584793,1.0727584793
1.9171910740,-22.0388610761,1.0656645234,1.0656645234
1.5905226131,-22.0463696199,1.0585505290,1.0585505290
1.2622669851,-22.0323502437,1.0514359372,1.0514359372
0.9343284242,-21.9996387583,1.0443402009,1.0443402009
0.6086081554,-21.9510702552,1.0372827072,1.0372827072
0.2863047147,-21.8893551443,1.0302827000,1.0302827000
-0.0329901538,-21.8169184951,1.0233592032,1.0233592032
-0.3499082293,-21.7361456046,1.0165309432,1.0165309432
-0.6650813564,-21.6494219005,1.0098162741,1.0098162741
-0.9791411836,-21.5591326799,1.0032331032,1.0032331032
-1.2927196209,-21.4676633704,0.9967988182,0.9967988182
-1.6064405323,-21.3773662346,0.9905302167,0.9905302167
-1.9206105186,-21.2892571036,0.9844434387,0.9844434387
-2.2351169348,-21.2025861241,0.9785539005,0.9785539005
-2.5498184189,-21.1164825554,0.9728762330,0.9728762330
-2.8645735434,-21.0300754605,0.9674242221,0.9674242221
-3.1792410117,-20.9424940988,0.9622107542,0.9622107542
-3.4936793962,-20.8528675333,0.9572477638,0.9572477638
-3.8077392233,-20.7603403960,0.9525461875,0.9525461875
-4.1211484317,-20.6642918972,0.9481159197,0.9481159197
-4.4335392575,-20.5642842137,0.9439657751,0.9439657751
-4.7445416474,-20.4598841665,0.9401034554,0.9401034554
-5.0537852209,-20.3506587075,0.9365355200,0.9365355200
-5.3608999247,-20.2361747231,0.9332673631,0.9332673631
-5.6655154438,-20.1159992307,0.9303031952,0.9303031952
-5.9672615286,-19.9896990514,0.9276460301,0.9276460301
-6.2657681258,-19.8568410716,0.9252976767,0.9252976767
-6.5606649204,-19.7169923741,0.9232587379,0.9232587379
-6.8515817282,-19.5697197146,0.9215286125,0.9215286125
-7.1381482996,-19.4145900448,0.9201055040,0.9201055040
-7.4199945159,-19.2511703822,0.9189864347,0.9189864347
-7.6967501275,-19.0790274824,0.9181672644,0.9181672644
-7.9682536244,-18.8980592978,0.9176427150,0.9176427150
-8.2351786517,-18.7094869979,0.9174063989,0.9174063989
-8.4984074629,-18.5148628835,0.9174508542,0.9174508542
-8.7588224427,-18.3157389937,0.9177675830,0.9177675830
-9.0173058448,-18.1136676294,0.9183470946,0.9183470946
-9.2747400538,-17.9102009606,0.9191789538,0.9191789538
-9.5320073888,-17.7068910919,0.9202518327,0.9202518327
-9.7898868785,-17.5051061804,0.9215535656,0.9215535656
-10.0484005678,-17.3048651966,0.9230712091,0.9230712091
-10.3072334829,-17.1055864039,0.9247911043,0.9247911043
-10.5660692109,-16.9066853180,0.9266989420,0.9266989420
-10.8245912079,-16.7075775858,0.9287798313,0.9287798313
-11.0824829956,-16.5076788539,0.9310183692,0.9310183692
-11.3394281612,-16.3064045729,0.9333987138,0.9333987138
-11.5951873506,-16.1033073033,0.9359046583,0.9359046583
-11.8498254556,-15.8984797383,0.9385197052,0.9385197052
-12.1034825301,-15.6921478218,0.9412271437,0.9412271437
-12.3562986278,-15.4845374321,0.9440101253,0.9440101253
-12.6084137371,-15.2758745132,0.9468517413,0.9468517413
-12.8599677808,-15.0663849434,0.9497350989,0.9497350989
-13.1111008783,-14.8562946665,0.9526433974,0.9526433974
-13.3619530178,-14.6458296264,0.9555600032,0.9555600032
-13.6126641877,-14.4352156361,0.9584685227,0.9584685227
-13.8633744419,-14.2246786393,0.9613528758,0.9613528758
-14.1142237031,-14.0144446454,0.9641973643,0.9641973643
-14.3653520907,-13.8047394674,0.9669867408,0.9669867408
-14.6168995275,-13.5957889836,0.9697062723,0.9697062723
-14.8689800322,-13.3877874769,0.9723418037,0.9723418037
-15.1207447126,-13.1797530665,0.9748798150,0.9748798150
-15.3701216758,-12.9692103786,0.9773074777,0.9773074777
-15.6149600070,-12.7535875525,0.9796127052,0.9796127052
-15.8531088571,-12.5303127926,0.9817842007,0.9817842007
-16.0824172461,-12.2968141072,0.9838115006,0.9838115006
