# 514d4ff1-6abd-40da-b3c1-5030f14ac9f8
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2314279; -0.0156699; -2.9479537; -0.0042493; 6.8350664; -0.0571306
0.1999072; -0.1931006; -0.2116118; -2.9489475; -0.0057045; 6.8333953; -0.1204002
0.3998143; -0.1549679; -0.4077450; -2.9502324; -0.0071572; 6.8298722; -0.1782383
0.5997215; -0.1170924; -0.6040538; -2.9518085; -0.0086093; 6.8246532; -0.2310711
0.7996286; -0.0795368; -0.8005226; -2.9536759; -0.0100625; 6.8178813; -0.2792992
0.9995358; -0.0423637; -0.9971356; -2.9558350; -0.0115185; 6.8096871; -0.3232987
1.1994430; -0.0056737; -1.1936647; -2.9582582; -0.0126933; 6.8001896; -0.3502160
1.3993501; 0.0305171; -1.3902844; -2.9609103; -0.0138384; 6.7898864; -0.3731514
1.5992573; 0.0661646; -1.5870083; -2.9637919; -0.0149887; 6.7788912; -0.3940283
1.7991644; 0.1012200; -1.7838246; -2.9669038; -0.0161451; 6.7672615; -0.4130315
1.9990716; 0.1356345; -1.9807214; -2.9702470; -0.0173083; 6.7550494; -0.4303312
2.1989788; 0.1693966; -2.1779024; -2.9738116; -0.0182871; 6.7423022; -0.4373419
2.3988859; 0.2024358; -2.3751980; -2.9775630; -0.0192207; 6.7293227; -0.4413570
2.5987931; 0.2347020; -2.5725317; -2.9815004; -0.0201640; 6.7161986; -0.4451303
2.7987002; 0.2661556; -2.7698875; -2.9856252; -0.0211178; 6.7029362; -0.4487051
2.9986074; 0.2967569; -2.9672495; -2.9899390; -0.0220827; 6.6895407; -0.4521197
3.1985146; 0.3265404; -3.1650999; -2.9944476; -0.0229515; 6.6760161; -0.4506031
3.3984217; 0.3554267; -3.3631664; -2.9991243; -0.0237789; 6.6625095; -0.4470648
3.5983289; 0.3833461; -3.5611957; -3.0039633; -0.0246166; 6.6490819; -0.4440075
3.7982360; 0.4102654; -3.7591747; -3.0089663; -0.0254652; 6.6357193; -0.4414021
3.9981432; 0.4361517; -3.9570900; -3.0141348; -0.0263248; 6.6224083; -0.4392207
4.1980503; 0.4610488; -4.1555552; -3.0194851; -0.0271570; 6.6091364; -0.4357338
4.3979575; 0.4848932; -4.3543714; -3.0250043; -0.0279709; 6.5959436; -0.4314729
4.5978647; 0.5075984; -4.5530919; -3.0306810; -0.0287929; 6.5828537; -0.4276743
4.7977718; 0.5291344; -4.7517090; -3.0365160; -0.0296231; 6.5698533; -0.4242958
4.9976790; 0.5494713; -4.9502149; -3.0425106; -0.0304615; 6.5569301; -0.4212969
5.1975861; 0.5686361; -5.1492174; -3.0486863; -0.0313282; 6.5440731; -0.4195080
5.3974933; 0.5865812; -5.3486466; -3.0550481; -0.0322155; 6.5312454; -0.4184651
5.5974005; 0.6032210; -5.5479579; -3.0615801; -0.0331027; 6.5184245; -0.4172242
5.7973076; 0.6185247; -5.7471554; -3.0682821; -0.0339894; 6.5056165; -0.4157750
5.9972148; 0.6324615; -5.9462431; -3.0751539; -0.0348746; 6.4928279; -0.4141073
6.1971219; 0.6450274; -6.1456795; -3.0822165; -0.0358617; 6.4800654; -0.4165814
6.3970291; 0.6561780; -6.3454760; -3.0895012; -0.0369444; 6.4672013; -0.4224932
6.5969363; 0.6658443; -6.5451924; -3.0969955; -0.0380147; 6.4541284; -0.4269624
6.7968434; 0.6739874; -6.7448450; -3.1046973; -0.0390708; 6.4408903; -0.4300519
6.9967506; 0.6805686; -6.9444502; -3.1126044; -0.0401108; 6.4275288; -0.4318204
7.1966577; 0.6855507; -7.1441565; -3.1207533; -0.0418144; 6.4140844; -0.4603592
7.3965649; 0.6888645; -7.3439888; -3.1293489; -0.0441972; 6.3997204; -0.5133442
7.5964721; 0.6904131; -7.5438355; -3.1384174; -0.0465490; 6.3836650; -0.5589529
7.7963792; 0.6901023; -7.7437215; 3.1352313; -0.0488637; 6.3661371; -0.5975455
7.9962864; 0.6878382; -7.9436718; 3.1252325; -0.0511350; 6.3473454; -0.6294690
8.1961935; 0.6835383; -8.1432609; 3.1147894; -0.0536068; 6.3274895; -0.6650980
8.3961007; 0.6771130; -8.3425151; 3.1038372; -0.0562488; 6.3064417; -0.7025920
8.5960079; 0.6684406; -8.5419597; 3.0923534; -0.0587789; 6.2841309; -0.7303751
8.7959150; 0.6574066; -8.7416548; 3.0803548; -0.0611844; 6.2608535; -0.7489432
8.9958222; 0.6438962; -8.9416603; 3.0678598; -0.0634528; 6.2368941; -0.7588112
9.1957293; 0.6278976; -9.1409124; 3.0551236; -0.0621144; 6.2125248; -0.6270667
9.3956365; 0.6095024; -9.3392521; 3.0432707; -0.0569222; 6.1923141; -0.3621254
9.5955437; 0.5888026; -9.5378847; 3.0324095; -0.0518722; 6.1806126; -0.1319370
9.7954508; 0.5659920; -9.7367418; 3.0225213; -0.0469530; 6.1763437; 0.0690305
9.9953580; 0.5412642; -9.9357557; 3.0135885; -0.0421521; 6.1785776; 0.2454741
10.1952651; 0.5148698; -10.1344403; 3.0055992; -0.0377819; 6.1865147; 0.3889139
10.3951723; 0.4870363; -10.3324585; 2.9984201; -0.0340397; 6.1990691; 0.4956648
10.5950794; 0.4578423; -10.5303689; 2.9919766; -0.0303917; 6.2150327; 0.5900898
10.7949866; 0.4274512; -10.7280602; 2.9862563; -0.0268185; 6.2339841; 0.6744715
10.9948938; 0.3960266; -10.9254210; 2.9812489; -0.0233007; 6.2555753; 0.7508208
11.1948009; 0.3636509; -11.1228291; 2.9769497; -0.0193539; 6.2795231; 0.8392597
11.3947081; 0.3303642; -11.3210027; 2.9735817; -0.0141592; 6.3061842; 0.9720600
11.5946152; 0.2966002; -11.5185798; 2.9712673; -0.0089224; 6.3369237; 1.0989106
11.7945224; 0.2625847; -11.7155100; 2.9700123; -0.0036227; 6.3714961; 1.2220308
11.9944296; 0.2285436; -11.9117427; 2.9698251; 0.0017622; 6.4097229; 1.1987219
12.1943367; 0.1945609; -12.1080521; 2.9707308; 0.0076374; 6.4470004; 0.8575712
12.3942439; 0.1604902; -12.3067211; 2.9730215; 0.0151259; 6.4735371; 0.4723774
12.5941510; 0.1271758; -12.5045932; 2.9768223; 0.0227942; 6.4881081; 0.1088467
12.7940582; 0.0949168; -12.7016878; 2.9821557; 0.0306552; 6.4914609; -0.2321305
12.9939654; 0.0640121; -12.8980244; 2.9890460; 0.0387204; 6.4843084; -0.5497847
13.1938725; 0.0345977; -13.0947527; 2.9976114; 0.0486601; 6.4673367; -0.9129359
13.3937797; 0.0067706; -13.2942894; 3.0089619; 0.0640890; 6.4390558; -1.4616800
13.5936868; -0.0183593; -13.4931820; 3.0233834; 0.0798469; 6.3935154; -1.9511724
13.7935940; -0.0402075; -13.6915226; 3.0409101; 0.0958709; 6.3322138; -2.3749574
13.9935012; -0.0581893; -13.8894038; 3.0615653; 0.1120599; 6.2567875; -2.7272653
14.1934083; -0.0717910; -14.0882145; 3.0856061; 0.1305017; 6.1690348; -3.0882522
14.3933155; -0.0802466; -14.2886618; 3.1140025; 0.1526386; 6.0681350; -3.4946407
14.5932226; -0.0825627; -14.4886627; -3.1364163; 0.1750172; 5.9518951; -3.7939502
14.7931298; -0.0778982; -14.6881279; -3.0992662; 0.1973161; 5.8230731; -3.9803981
14.9930370; -0.0654121; -14.8869679; -3.0577718; 0.2190598; 5.6847832; -4.0499371
15.1929441; -0.0442736; -15.0850444; -3.0121495; 0.2382794; 5.5405358; -3.9605153
15.3928513; -0.0137354; -15.2820296; -2.9628188; 0.2566292; 5.3957452; -3.7999011
15.5927584; 0.0268921; -15.4774334; -2.9097715; 0.2748078; 5.2530764; -3.6069877
15.7926656; 0.0782954; -15.6707427; -2.8530380; 0.2921685; 5.1139697; -3.3755138
15.9925728; 0.1411613; -15.8614443; -2.7927459; 0.3079151; 4.9802718; -3.1011369
16.1924799; 0.2142082; -16.0446269; -2.7314517; 0.3121025; 4.8541970; -2.5693877
16.3923871; 0.2986516; -16.2234910; -2.6694875; 0.3142733; 4.7472045; -2.0916877
16.5922942; 0.3948730; -16.3981645; -2.6066318; 0.3158786; 4.6582898; -1.6959968
16.7922014; 0.5029776; -16.5680171; -2.5429309; 0.3166252; 4.5849296; -1.3615189
16.9921085; 0.6230708; -16.7324185; -2.4784758; 0.3162278; 4.5251768; -1.0718632
17.1920157; 0.7473044; -16.8819978; -2.4194082; 0.2900431; 4.4775751; -0.3254372
17.3919229; 0.8812032; -17.0257861; -2.3650454; 0.2635548; 4.4630219; 0.2660021
17.5918300; 1.0244741; -17.1643841; -2.3150168; 0.2387061; 4.4749207; 0.7142390
17.7917372; 1.1764393; -17.2979011; -2.2690809; 0.2158167; 4.5067148; 1.0537019
17.9916443; 1.3364212; -17.4264461; -2.2269624; 0.1950089; 4.5532147; 1.3096818
18.1915515; 1.4959641; -17.5446803; -2.1915241; 0.1566432; 4.6103572; 1.9180423
18.3914587; 1.6581860; -17.6572621; -2.1648367; 0.1142717; 4.6927875; 2.5772519
18.5913658; 1.8246187; -17.7672524; -2.1460236; 0.0748280; 4.8013203; 3.1621505
18.7912730; 1.9940574; -17.8756107; -2.1347524; 0.0376004; 4.9312219; 3.7192794
18.9911801; 2.1652971; -17.9832966; -2.1307884; 0.0017864; 5.0797609; 4.2893117
19.1910873; 2.3373420; -18.0914008; -2.1339497; -0.0298280; 5.2458459; 3.1706707
19.3909945; 2.5098113; -18.2011409; -2.1414737; -0.0439434; 5.3653125; 2.4723112
19.5909016; 2.6804540; -18.3118836; -2.1519483; -0.0593268; 5.4566513; 1.7726119
19.7908088; 2.8480589; -18.4235442; -2.1656048; -0.0767372; 5.5212099; 1.0577083
19.9907159; 3.0114151; -18.5360376; -2.1827811; -0.0971011; 5.5593746; 0.3110735
20.1906231; 3.1693114; -18.6492791; -2.2039419; -0.1216061; 5.5705491; -0.4863591
20.3905303; 3.3324010; -18.7724129; -2.2323563; -0.1593874; 5.5530680; -8.9900265
20.5904374; 3.4930062; -18.9021781; -2.2700305; -0.2065145; 5.2194083; -8.1409187
20.7903446; 3.6436682; -19.0347538; -2.3165303; -0.2576099; 4.8976900; -7.1854219
20.9902517; 3.7838023; -19.1713623; -2.3721125; -0.3106285; 4.5950553; -6.5185401
21.1901589; 3.9128235; -19.3132261; -2.4366747; -0.3621625; 4.3021305; -6.3855938
21.3900661; 4.0414346; -19.4769639; -2.5159240; -0.3963575; 3.9944055; -6.0653996
21.5899732; 4.1568535; -19.6522263; -2.6045842; -0.4551200; 3.6783477; -5.4157172
21.7898804; 4.2511532; -19.8297865; -2.7057122; -0.5607897; 3.3711957; -4.3460712
21.9897875; 4.3210547; -20.0058573; -2.8271612; -0.7369165; 3.1027953; -2.6213271
22.1896947; 4.3656368; -20.1915230; -2.9934013; -1.0034764; 2.9290433; -1.5927458
22.3896019; 4.3737912; -20.3883946; 3.0696918; -1.1973572; 2.8182428; -1.5927458
22.5895090; 4.3375062; -20.5783880; 2.8374856; -1.1547992; 2.7029039; -0.3916495
22.7894162; 4.2557828; -20.7642667; 2.6256824; -0.9102630; 2.6737806; 1.5687929
22.9893233; 4.1543859; -20.9155583; 2.4848767; -0.6458183; 2.7886069; 2.9284806
23.1892305; 4.0300551; -21.0596303; 2.3798071; -0.4729425; 2.9911832; 3.4842799
23.3891376; 3.8836467; -21.2002386; 2.2958657; -0.3632178; 3.2156247; 3.6806624
23.5890448; 3.7190372; -21.3358501; 2.2263929; -0.2939889; 3.4368333; 3.6687735
23.7889520; 3.5503458; -21.4579522; 2.1693747; -0.2642462; 3.6439884; 3.3383357
23.9888591; 3.3898042; -21.5616188; 2.1190098; -0.2624925; 3.8227433; 2.7436132
24.1887663; 3.2204088; -21.6592065; 2.0680128; -0.2588770; 3.9636223; 2.2925028
24.3886734; 3.0419048; -21.7502057; 2.0166573; -0.2534182; 4.0776068; 1.9621801
24.5885806; 2.8540370; -21.8341073; 1.9652266; -0.2462094; 4.1726952; 1.7315659
24.7884878; 2.6577334; -21.9099788; 1.9143072; -0.2367161; 4.2548431; 1.5941464
24.9883949; 2.4742321; -21.9710513; 1.8704643; -0.2179081; 4.3290937; 1.6679399
25.1883021; 2.2843740; -22.0253599; 1.8287504; -0.2055480; 4.4054419; 1.6287789
25.3882092; 2.0895235; -22.0725526; 1.7883218; -0.1985859; 4.4787418; 1.5039875
25.5881164; 1.8910451; -22.1122777; 1.7484208; -0.1964055; 4.5453761; 1.3090386
25.7880236; 1.6903035; -22.1441835; 1.7083351; -0.1987381; 4.6025880; 1.0518763
25.9879307; 1.4885323; -22.1679309; 1.6673466; -0.2042704; 4.6480502; 0.7644399
26.1878379; 1.2855183; -22.1833944; 1.6265569; -0.1964475; 4.6808124; 0.8121161
26.3877450; 1.0833750; -22.1907034; 1.5875665; -0.1891322; 4.7153686; 0.8458720
26.5876522; 0.8825720; -22.1903036; 1.5502684; -0.1824388; 4.7510938; 0.8651799
26.7875594; 0.6835791; -22.1826406; 1.5145425; -0.1764607; 4.7873587; 0.8697144
26.9874665; 0.4868658; -22.1681598; 1.4802587; -0.1712779; 4.8235390; 0.8592094
