# a1e88fe5-0006-4371-8603-34cc078cd863
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1231987; 0.0864292; 2.3333218; 0.0001897; 6.8828099; 0.0010643
0.1999988; -0.2678758; -0.0517811; 2.3333536; 0.0001275; 6.8828408; 0.0039258
0.3999976; -0.4125184; -0.1899656; 2.3333729; 0.0000652; 6.8829549; 0.0065609
0.5999963; -0.5571287; -0.3281228; 2.3333797; 0.0000029; 6.8831456; 0.0089880
0.7999951; -0.7017086; -0.4662511; 2.3333740; -0.0000595; 6.8834067; 0.0055857
0.9999939; -0.8462601; -0.6043490; 2.3333559; -0.0001220; 6.8835690; 0.0021775
1.1999927; -0.9909298; -0.7425535; 2.3333296; -0.0001400; 6.8836323; 0.0011463
1.3999915; -1.1355774; -0.8807291; 2.3332999; -0.0001572; 6.8836656; 0.0002430
1.5999903; -1.2802007; -1.0188729; 2.3332667; -0.0001743; 6.8836726; -0.0005884
1.7999890; -1.4248010; -1.1569849; 2.3332301; -0.0001914; 6.8836555; -0.0013538
1.9999878; -1.5693792; -1.2950654; 2.3331902; -0.0002086; 6.8836162; -0.0020583
2.1999866; -1.7140657; -1.4332379; 2.3331491; -0.0002005; 6.8835564; -0.0015098
2.3999854; -1.8587366; -1.5713845; 2.3331099; -0.0001914; 6.8835125; -0.0009584
2.5999842; -2.0033870; -1.7095008; 2.3330725; -0.0001824; 6.8834847; -0.0004507
2.7999829; -2.1480172; -1.8475878; 2.3330370; -0.0001733; 6.8834716; 0.0000167
2.9999817; -2.2926272; -1.9856459; 2.3330033; -0.0001641; 6.8834721; 0.0004470
3.1999805; -2.4373337; -2.1237872; 2.3329719; -0.0001487; 6.8834851; 0.0011409
3.3999793; -2.5820263; -2.2619069; 2.3329438; -0.0001330; 6.8835182; 0.0017951
3.5999781; -2.7266990; -2.4000002; 2.3329187; -0.0001172; 6.8835704; 0.0023975
3.7999769; -2.8713517; -2.5380681; 2.3328969; -0.0001015; 6.8836400; 0.0029522
3.9999756; -3.0159845; -2.6761113; 2.3328782; -0.0000857; 6.8837258; 0.0034631
4.1999744; -3.1607028; -2.8142313; 2.3328627; -0.0000688; 6.8838264; 0.0039861
4.3999732; -3.3054072; -2.9523344; 2.3328506; -0.0000518; 6.8839422; 0.0044709
4.5999720; -3.4500917; -3.0904155; 2.3328420; -0.0000348; 6.8840721; 0.0049175
4.7999708; -3.5947560; -3.2284754; 2.3328367; -0.0000178; 6.8842150; 0.0053290
4.9999695; -3.7394001; -3.3665151; 2.3328348; -0.0000008; 6.8843698; 0.0057081
5.1999683; -3.8841192; -3.5046263; 2.3328362; 0.0000148; 6.8845356; 0.0045882
5.3999671; -4.0288240; -3.6427248; 2.3328407; 0.0000302; 6.8846689; 0.0034865
5.5999659; -4.1735086; -3.7808055; 2.3328483; 0.0000457; 6.8847702; 0.0024727
5.7999647; -4.3181728; -3.9188694; 2.3328590; 0.0000612; 6.8848420; 0.0015397
5.9999635; -4.4628168; -4.0569173; 2.3328728; 0.0000767; 6.8848867; 0.0006811
6.1999622; -4.6075258; -4.1950314; 2.3328892; 0.0000868; 6.8849065; 0.0001490
6.3999610; -4.7522200; -4.3331363; 2.3329076; 0.0000965; 6.8849109; -0.0003243
6.5999598; -4.8968942; -4.4712274; 2.3329278; 0.0001063; 6.8849014; -0.0007599
6.7999586; -5.0415487; -4.6093056; 2.3329501; 0.0001160; 6.8848794; -0.0011607
6.9999574; -5.1861837; -4.7473715; 2.3329742; 0.0001258; 6.8848456; -0.0015296
