# abe3123c-4d69-4bed-aa7f-6f283146ee39
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1395128; 0.0227908; -0.0413738; -0.0002891; 6.8805161; 0.0026979
0.1999682; 0.1477918; 0.2226386; -0.0414316; -0.0002885; 6.8805945; 0.0025072
0.3999364; 0.1560812; 0.4224604; -0.0414892; -0.0002880; 6.8806674; 0.0023319
0.5999046; 0.1643811; 0.6222566; -0.0415467; -0.0002874; 6.8807351; 0.0021708
0.7998727; 0.1726915; 0.8220274; -0.0416041; -0.0002869; 6.8807982; 0.0020227
0.9998409; 0.1810122; 1.0217731; -0.0416614; -0.0002863; 6.8808570; 0.0018866
1.1998091; 0.1893483; 1.2216109; -0.0417185; -0.0002845; 6.8809118; 0.0018205
1.3997773; 0.1976950; 1.4214300; -0.0417752; -0.0002826; 6.8809647; 0.0017627
1.5997455; 0.2060520; 1.6212249; -0.0418316; -0.0002808; 6.8810160; 0.0017097
1.7997137; 0.2144192; 1.8209958; -0.0418875; -0.0002789; 6.8810657; 0.0016612
1.9996819; 0.2227966; 2.0207429; -0.0419431; -0.0002770; 6.8811139; 0.0016166
2.1996500; 0.2311885; 2.2205715; -0.0419983; -0.0002746; 6.8811609; 0.0015999
2.3996182; 0.2395908; 2.4203878; -0.0420530; -0.0002722; 6.8812074; 0.0015871
2.5995864; 0.2480031; 2.6201812; -0.0421071; -0.0002697; 6.8812535; 0.0015755
2.7995546; 0.2564252; 2.8199520; -0.0421608; -0.0002673; 6.8812993; 0.0015650
2.9995228; 0.2648571; 3.0197007; -0.0422140; -0.0002648; 6.8813448; 0.0015554
3.1994910; 0.2733026; 3.2195210; -0.0422668; -0.0002624; 6.8813900; 0.0015447
3.3994592; 0.2817584; 3.4193342; -0.0423190; -0.0002600; 6.8814349; 0.0015347
3.5994273; 0.2902236; 3.6191260; -0.0423707; -0.0002576; 6.8814795; 0.0015257
3.7993955; 0.2986982; 3.8188968; -0.0424220; -0.0002552; 6.8815238; 0.0015175
3.9993637; 0.3071822; 4.0186468; -0.0424728; -0.0002528; 6.8815679; 0.0015101
4.1993319; 0.3156790; 4.2184595; -0.0425231; -0.0002506; 6.8816118; 0.0014938
