# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,1.0319109953,1.0319109953
0.2280310291,0.3151271160,1.0282206823,1.0282206823
0.4560415221,0.6302573435,1.0244621493,1.0244621493
0.6840329569,0.9453908381,1.0206428700,1.0206428700
0.9120069672,1.2605279109,1.0167704016,1.0167704016
1.1399650309,1.5756686399,1.0128523678,1.0128523678
1.3679086259,1.8908133360,1.0088964430,1.0088964430
1.5958393081,2.2059620771,1.0049103346,1.0049103346
1.8237586331,2.5211151744,1.0009017675,1.0009017675
2.0516680013,2.8362727833,0.9968784669,0.9968784669
2.2795690461,3.1514351374,0.9928481415,0.9928481415
2.5074632456,3.4666023144,0.9888184674,0.9888184674
2.7353521554,3.7817746253,0.9847970710,0.9847970710
2.9632372536,4.0969523037,0.9807915135,0.9807915135
3.1911198626,4.4121353495,0.9768092735,0.9768092735
3.4190004491,4.7273235293,0.9728577320,0.9728577320
3.6468793242,5.0425163764,0.9689441566,0.9689441566
3.8747566436,5.3577135796,0.9650756860,0.9650756860
4.1026328739,5.6729147501,0.9612593148,0.9612593148
4.3305080930,5.9881194210,0.9575018793,0.9575018793
4.5583826898,6.3033272812,0.9538100426,0.9538100426
4.7862568977,6.6185378641,0.9501902816,0.9501902816
5.0141309499,6.9337508584,0.9466488731,0.9466488731
5.2420052356,7.2489658751,0.9431918815,0.9431918815
5.4698798323,7.5641824477,0.9398251467,0.9398251467
5.6977552070,7.8794002648,0.9365542716,0.9365542716
5.9256315929,8.1946188598,0.9333846124,0.9333846124
6.1535091457,8.5098379216,0.9303212672,0.9303212672
6.3813882542,8.8250569834,0.9273690666,0.9273690666
6.6092691518,9.1402757340,0.9245325654,0.9245325654
6.8371520719,9.4554937067,0.9218160333,0.9218160333
7.0650373257,9.7707105126,0.9192234482,0.9192234482
7.2929252243,10.0859258405,0.9167584884,0.9167584884
7.5208160011,10.4011393015,0.9144245281,0.9144245281
7.7487098894,10.7163503511,0.9122246307,0.9122246307
7.9766071226,11.0315587559,0.9101615451,0.9101615451
8.2045081674,11.3467641269,0.9082377017,0.9082377017
8.4324131016,11.6619659196,0.9064552101,0.9064552101
8.6603222364,11.9771639785,0.9048158563,0.9048158563
8.8882359607,12.2923576813,0.9033211023,0.9033211023
9.1161543523,12.6075467168,0.9019720848,0.9019720848
9.3440778780,12.9227307738,0.9007696164,0.9007696164
9.5720066932,13.2379093856,0.8997141867,0.8997141867
9.7999411092,13.5530822411,0.8988059635,0.8988059635
10.0278813594,13.8682487958,0.8980447970,0.8980447970
10.2558276770,14.1834088162,0.8974302221,0.8974302221
10.4837804510,14.4985618357,0.8969614634,0.8969614634
10.7117399149,14.8137074653,0.8966374404,0.8966374404
10.9397063797,15.1288453160,0.8964567734,0.8964567734
11.1676800010,15.4439749990,0.8964177892,0.8964177892
11.3956610122,15.7590962030,0.8965185300,0.8965185300
11.6236440459,16.0742129732,0.8967567598,0.8967567598
11.8516112108,16.3893390001,0.8971299743,0.8971299743
12.0795432154,16.7044892192,0.8976354087,0.8976354087
12.3074206125,17.0196784102,0.8982700491,0.8982700491
12.5352242664,17.3349215864,0.8990306419,0.8990306419
12.7629346520,17.6502335274,0.8999137055,0.8999137055
12.9905324779,17.9656291687,0.9009155408,0.9009155408
13.2179983749,18.2811233677,0.9020322438,0.9020322438
13.4453131291,18.5967310600,0.9032597182,0.9032597182
13.6724572157,18.9124671029,0.9045936879,0.9045936879
13.8994114210,19.2283463542,0.9060297097,0.9060297097
14.1261563757,19.5443838269,0.9075631876,0.9075631876
