# 78b828a6-1138-4564-bd47-4fae880d8bee
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1192283; 0.0720772; -0.6733157; 0.0125609; 6.5699792; 0.3118072
0.1999614; 0.0057871; 0.2292029; -0.6708586; 0.0119109; 6.5794624; 0.3133701
0.3999229; 0.1301640; 0.3862949; -0.6685382; 0.0112482; 6.5889794; 0.3155171
0.5998843; 0.2539398; 0.5433531; -0.6663561; 0.0105733; 6.5985477; 0.3181779
0.7998457; 0.3771520; 0.7003771; -0.6643141; 0.0098870; 6.6081827; 0.3212874
0.9998072; 0.4998379; 0.8573668; -0.6624134; 0.0091898; 6.6178976; 0.3247856
1.1997686; 0.6229220; 1.0154659; -0.6606148; 0.0088225; 6.6277038; 0.3136750
1.3997300; 0.7457154; 1.1737681; -0.6588772; 0.0085227; 6.6371608; 0.3006211
1.5996915; 0.8680452; 1.3320294; -0.6572027; 0.0082192; 6.6462116; 0.2888937
1.7996529; 0.9899264; 1.4902468; -0.6555918; 0.0079121; 6.6548978; 0.2783755
1.9996143; 1.1113737; 1.6484169; -0.6540449; 0.0076015; 6.6632569; 0.2689592
2.1995758; 1.2330340; 1.8073643; -0.6525448; 0.0074293; 6.6713234; 0.2542346
2.3995372; 1.3545562; 1.9666216; -0.6510678; 0.0073162; 6.6789393; 0.2381362
2.5994986; 1.4756755; 2.1258339; -0.6496157; 0.0072008; 6.6860651; 0.2235004
2.7994601; 1.5964023; 2.2850053; -0.6481889; 0.0070831; 6.6927460; 0.2102027
2.9994215; 1.7167471; 2.4441399; -0.6467876; 0.0069633; 6.6990234; 0.1981286
3.1993829; 1.8371828; 2.6038558; -0.6454086; 0.0068130; 6.7049348; 0.1884443
3.3993444; 1.9575532; 2.7639388; -0.6440611; 0.0066423; 6.7105524; 0.1805051
3.5993058; 2.0775684; 2.9239919; -0.6427496; 0.0064695; 6.7159290; 0.1733407
3.7992672; 2.1972389; 3.0840162; -0.6414743; 0.0062948; 6.7210880; 0.1668834
3.9992286; 2.3165754; 3.2440128; -0.6402354; 0.0061181; 6.7260512; 0.1610715
4.1991901; 2.4359398; 3.4044556; -0.6390314; 0.0059100; 6.7308381; 0.1571898
4.3991515; 2.5552787; 3.5652608; -0.6378714; 0.0056755; 6.7355063; 0.1548509
4.5991129; 2.6743140; 3.7260382; -0.6367596; 0.0054390; 6.7401019; 0.1528240
4.7990744; 2.7930579; 3.8867873; -0.6356964; 0.0052006; 6.7446343; 0.1510801
4.9990358; 2.9115224; 4.0475071; -0.6346820; 0.0049603; 6.7491119; 0.1495928
5.1989972; 3.0299976; 4.2085755; -0.6337145; 0.0047161; 6.7535426; 0.1484386
5.3989587; 3.1484751; 4.3699658; -0.6327951; 0.0044681; 6.7579362; 0.1475788
5.5989201; 3.2667065; 4.5313232; -0.6319262; 0.0042186; 6.7623015; 0.1468922
5.7988815; 3.3847036; 4.6926461; -0.6311081; 0.0039675; 6.7666437; 0.1463618
5.9988430; 3.5024783; 4.8539330; -0.6303410; 0.0037149; 6.7709675; 0.1459722
6.1988044; 3.6202710; 5.0154963; -0.6296229; 0.0034750; 6.7752770; 0.1450572
6.3987658; 3.7380837; 5.1773232; -0.6289500; 0.0032477; 6.7795567; 0.1436731
6.5987273; 3.8557061; 5.3391095; -0.6283233; 0.0030191; 6.7837930; 0.1424820
6.7986887; 3.9731488; 5.5008539; -0.6277427; 0.0027894; 6.7879916; 0.1414656
6.9986501; 4.0904225; 5.6625551; -0.6272085; 0.0025587; 6.7921576; 0.1406074
7.1986116; 4.2077309; 5.8244784; -0.6267188; 0.0023512; 6.7962958; 0.1387707
7.3985730; 4.3250684; 5.9866023; -0.6262669; 0.0021653; 6.8003775; 0.1361081
7.5985344; 4.4422655; 6.1486799; -0.6258524; 0.0019786; 6.8043785; 0.1337175
7.7984959; 4.5593312; 6.3107109; -0.6254756; 0.0017912; 6.8083070; 0.1315747
7.9984573; 4.6762746; 6.4726945; -0.6251366; 0.0016031; 6.8121703; 0.1296573
8.1984187; 4.7932681; 6.6348573; -0.6248332; 0.0014447; 6.8159751; 0.1265342
8.3983802; 4.9102919; 6.7971608; -0.6245575; 0.0013111; 6.8196863; 0.1225298
8.5983416; 5.0272171; 6.9594173; -0.6243087; 0.0011770; 6.8232780; 0.1188829
8.7983030; 5.1440509; 7.1216276; -0.6240868; 0.0010424; 6.8267611; 0.1155628
