# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.7958325089,0.7958325089
-0.2130138370,-0.3350884645,0.7959313374,0.7959313374
-0.4260790476,-0.6701589045,0.7961007321,0.7961007321
-0.6391917411,-1.0052124318,0.7963447653,0.7963447653
-0.8523479473,-1.3402503961,0.7966673475,0.7966673475
-1.0655436960,-1.6752738297,0.7970722146,0.7970722146
-1.2787751760,-2.0102840825,0.7975629152,0.7975629152
-1.4920383378,-2.3452821866,0.7981427985,0.7981427985
-1.7053293699,-2.6802694919,0.7988150039,0.7988150039
-1.9186443022,-3.0152471101,0.7995824486,0.7995824486
-2.1319791647,-3.3502162322,0.8004478188,0.8004478188
-2.3453301459,-3.6851781287,0.8014135587,0.8014135587
-2.5586931963,-4.0201339111,0.8024818620,0.8024818620
-2.7720644252,-4.3550847706,0.8036546637,0.8036546637
-2.9854399419,-4.6900320570,0.8049336313,0.8049336313
-3.1988158556,-5.0249767230,0.8063201592,0.8063201592
-3.4121881961,-5.3599201980,0.8078153608,0.8078153608
-3.6255551373,-5.6948629584,0.8094200643,0.8094200643
-3.8389166790,-6.0298053218,0.8111348064,0.8111348064
-4.0522727420,-6.3647475263,0.8129598297,0.8129598297
-4.2656234850,-6.6996896515,0.8148950787,0.8148950787
-4.4789689080,-7.0346320149,0.8169401972,0.8169401972
-4.6923090905,-7.3695746958,0.8190945272,0.8190945272
-4.9056439529,-7.7045180120,0.8213571074,0.8213571074
-5.1189736542,-8.0394620429,0.8237266742,0.8237266742
-5.3322981942,-8.3744070265,0.8262016614,0.8262016614
-5.5456176525,-8.7093532806,0.8287802029,0.8287802029
-5.7589320291,-9.0443008052,0.8314601350,0.8314601350
-5.9722413238,-9.3792499178,0.8342389989,0.8342389989
-6.1855456956,-9.7142007773,0.8371140460,0.8371140460
-6.3988451444,-10.0491535424,0.8400822424,0.8400822424
-6.6121395908,-10.3841085308,0.8431402749,0.8431402749
-6.8254292731,-10.7190658219,0.8462845570,0.8462845570
-7.0387141118,-11.0540257333,0.8495112369,0.8495112369
-7.2519941069,-11.3889882650,0.8528162054,0.8528162054
-7.4652694966,-11.7239538139,0.8561951046,0.8561951046
-7.6785401222,-12.0589224596,0.8596433375,0.8596433375
-7.8918060631,-12.3938944402,0.8631560784,0.8631560784
-8.1050673985,-12.7288699940,0.8667282837,0.8667282837
-8.3183242080,-13.0638492002,0.8703547035,0.8703547035
-8.5315764916,-13.3988323766,0.8740298933,0.8740298933
-8.7448243286,-13.7338196820,0.8777482273,0.8777482273
-8.9580676396,-14.0688111957,0.8815039116,0.8815039116
-9.1713065835,-14.4038073147,0.8852909976,0.8852909976
-9.3845412396,-14.7388081185,0.8891033961,0.8891033961
-9.5977715286,-15.0738138453,0.8929348927,0.8929348927
-9.8109975298,-15.4088246539,0.8967791622,0.8967791622
-10.0242193227,-15.7438407030,0.9006297842,0.9006297842
-10.2374369073,-16.0788623104,0.9044802585,0.9044802585
-10.4506503629,-16.4138896347,0.9083240220,0.9083240220
-10.6638596895,-16.7489227555,0.9121544634,0.9121544634
-10.8770649666,-17.0839620696,0.9159649413,0.9159649413
-11.0902662736,-17.4190075772,0.9197487991,0.9197487991
-11.3034643250,-17.7540587224,0.9234993831,0.9234993831
-11.5166623765,-18.0891127261,0.9272100579,0.9272100579
-11.7298639216,-18.4241660151,0.9308742235,0.9308742235
-11.9430724543,-18.7592154929,0.9344853327,0.9344853327
-12.1562915474,-19.0942577449,0.9380369064,0.9380369064
-12.3695246155,-19.4292893570,0.9415225509,0.9415225509
-12.5827753110,-19.7643072324,0.9449359736,0.9449359736
-12.7960470483,-20.0993077980,0.9482709992,0.9482709992
-13.0093434797,-20.4342878777,0.9515215860,0.9515215860
-13.2226679404,-20.7692441366,0.9546818403,0.9546818403
-13.4360241622,-21.1041732397,0.9577460325,0.9577460325
-13.6494155594,-21.4390719315,0.9607086111,0.9607086111
-13.8628456258,-21.7739367184,0.9635642175,0.9635642175
-14.0763179345,-22.1087644241,0.9663076997,0.9663076997
-14.2898360585,-22.4435516345,0.9689341249,0.9689341249
-14.5034034123,-22.7782950939,0.9714387940,0.9714387940
-14.7170235689,-23.1129914674,0.9738172520,0.9738172520
-14.9307001015,-23.4476374996,0.9760653005,0.9760653005
-15.1444303104,-23.7822347785,0.9781790085,0.9781790085
-15.3581536112,-24.1168332485,0.9801547229,0.9801547229
-15.5717768646,-24.4515098507,0.9819890778,0.9819890778
-15.7852066133,-24.7863414472,0.9836790034,0.9836790034
-15.9983494799,-25.1214051380,0.9852217347,0.9852217347
-16.2111120865,-25.4567779439,0.9866148178,0.9866148178
-16.4234009761,-25.7925368854,0.9878561177,0.9878561177
-16.6351226917,-26.1287590628,0.9889438226,0.9889438226
-16.8461837761,-26.4655214967,0.9898764507,0.9898764507
-17.0565874849,-26.8028260928,0.9906528527,0.9906528527
-17.2683207933,-27.1391302138,0.9912722157,0.9912722157
-17.4852329892,-27.4714415661,0.9917340661,0.9917340661
-17.7112449024,-27.7967121945,0.9920382704,0.9920382704
-17.9502776805,-28.1118938263,0.9921850360,0.9921850360
-18.2052660501,-28.4147677890,0.9921749117,0.9921749117
-18.4698383352,-28.7109420628,0.9920087854,0.9920087854
-18.7326694762,-29.0101644505,0.9916878840,0.9916878840
