# f3e2aeb3-fe28-4f95-97ca-8d43787471c2
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1783386; -0.1387481; 0.5305567; -0.0031007; 6.6919440; 0.3907735
0.1999837; -0.2794105; 0.0336509; 0.5299787; -0.0026848; 6.7036118; 0.3776358
0.3999674; -0.3804267; 0.2061670; 0.5294834; -0.0022698; 6.7148681; 0.3656534
0.5999510; -0.4814000; 0.3787895; 0.5290709; -0.0018556; 6.7257492; 0.3547280
0.7999347; -0.5823433; 0.5515078; 0.5287411; -0.0014423; 6.7362885; 0.3447702
0.9999184; -0.6832695; 0.7243113; 0.5284937; -0.0010297; 6.7465161; 0.3356985
1.1999021; -0.7840381; 0.8969282; 0.5283150; -0.0007628; 6.7564597; 0.3208168
1.3998857; -0.8848056; 1.0696038; 0.5281887; -0.0005007; 6.7659488; 0.3069855
1.5998694; -0.9855843; 1.2423383; 0.5281148; -0.0002390; 6.7750164; 0.2943138
1.7998531; -1.0863818; 1.4151241; 0.5280931; 0.0000223; 6.7836984; 0.2806508
1.9998368; -1.1872057; 1.5879533; 0.5281237; 0.0002833; 6.7919669; 0.2460976
2.1998204; -1.2879490; 1.7606232; 0.5281958; 0.0004302; 6.7992092; 0.2195436
2.3998041; -1.3887220; 1.9333099; 0.5282956; 0.0005688; 6.8056635; 0.1954744
2.5997878; -1.4895363; 2.1060222; 0.5284232; 0.0007074; 6.8114051; 0.1733238
2.7997715; -1.5903954; 2.2787550; 0.5285786; 0.0008458; 6.8164920; 0.1529404
2.9997551; -1.6913027; 2.4515035; 0.5287616; 0.0009841; 6.8209775; 0.1341849
3.1997388; -1.7921819; 2.6241266; 0.5289647; 0.0010379; 6.8249106; 0.1208634
3.3997225; -1.8931038; 2.7967405; 0.5291766; 0.0010815; 6.8284512; 0.1090901
3.5997062; -1.9940784; 2.9693588; 0.5293972; 0.0011250; 6.8316453; 0.0982613
3.7996898; -2.0951058; 3.1419785; 0.5296266; 0.0011686; 6.8345212; 0.0883011
3.9996735; -2.1961866; 3.3145965; 0.5298647; 0.0012121; 6.8371044; 0.0791399
4.1996572; -2.2972715; 3.4871265; 0.5301067; 0.0011996; 6.8394189; 0.0733393
4.3996409; -2.3983993; 3.6596346; 0.5303443; 0.0011768; 6.8415630; 0.0684902
4.5996245; -2.4995770; 3.8321347; 0.5305774; 0.0011540; 6.8435647; 0.0640305
4.7996082; -2.6008025; 4.0046252; 0.5308059; 0.0011313; 6.8454355; 0.0599288
4.9995919; -2.7020740; 4.1771046; 0.5310299; 0.0011087; 6.8471861; 0.0561562
5.1995756; -2.8033673; 4.3495339; 0.5312468; 0.0010532; 6.8488260; 0.0542292
5.3995592; -2.9046958; 4.5219398; 0.5314510; 0.0009893; 6.8504093; 0.0528582
5.5995429; -3.0060617; 4.6943315; 0.5316425; 0.0009254; 6.8519522; 0.0515978
5.7995266; -3.1074618; 4.8667081; 0.5318211; 0.0008615; 6.8534580; 0.0504393
5.9995103; -3.2088926; 5.0390690; 0.5319870; 0.0007977; 6.8549297; 0.0493747
6.1994940; -3.3103523; 5.2114163; 0.5321391; 0.0007189; 6.8563700; 0.0491030
6.3994776; -3.4118361; 5.3837478; 0.5322745; 0.0006349; 6.8578020; 0.0491005
6.5994613; -3.5133393; 5.5560622; 0.5323931; 0.0005510; 6.8592337; 0.0491006
6.7994450; -3.6148578; 5.7283591; 0.5324948; 0.0004670; 6.8606651; 0.0491035
