# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.9165088473,0.9165088473
0.3559355106,0.0463851454,0.9139098234,0.9139098234
0.7118879569,0.0926648730,0.9114177592,0.9114177592
1.0678567649,0.1388416227,0.9090297893,0.9090297893
1.4238414322,0.1849178343,0.9067427689,0.9067427689
1.7798415283,0.2308958759,0.9045532893,0.9045532893
2.1358564791,0.2767781158,0.9024576905,0.9024576905
2.4918858539,0.3225668503,0.9004520781,0.9004520781
2.8479290069,0.3682646627,0.8985323386,0.8985323386
3.2039855794,0.4138737778,0.8966941561,0.8966941561
3.5600549255,0.4593966354,0.8949330293,0.8949330293
3.9161366863,0.5048356036,0.8932442884,0.8932442884
4.2722302878,0.5501931223,0.8916231138,0.8916231138
4.6283352276,0.5954715598,0.8900645537,0.8900645537
4.9844510034,0.6406732840,0.8885635431,0.8885635431
5.3405771129,0.6858006632,0.8871149219,0.8871149219
5.6967131256,0.7308561372,0.8857134542,0.8857134542
6.0528583237,0.7758420024,0.8843538471,0.8843538471
6.4090124202,0.8207607705,0.8830307698,0.8830307698
6.7651748411,0.8656148096,0.8817388722,0.8817388722
7.1213450840,0.9104064161,0.8804728044,0.8804728044
7.4775225749,0.9551379580,0.8792272350,0.8792272350
7.8337068831,0.9998120189,0.8779968696,0.8779968696
8.1898975063,1.0444307516,0.8767764696,0.8767764696
8.5460939422,1.0889967395,0.8755608696,0.8755608696
8.9022956167,1.1335122071,0.8743449951,0.8743449951
9.2585021710,1.1779796663,0.8731238801,0.8731238801
9.6147128875,1.2224014132,0.8718926831,0.8718926831
9.9709274791,1.2667798879,0.8706467040,0.8706467040
10.3271453000,1.3111175303,0.8693813991,0.8693813991
10.6833658479,1.3554165648,0.8680923958,0.8680923958
11.0395886921,1.3996795751,0.8667755082,0.8667755082
11.3958133303,1.4439087855,0.8654267486,0.8654267486
11.7520391885,1.4881066362,0.8640423418,0.8640423418
12.1082657643,1.5322755669,0.8626187369,0.8626187369
12.4644926272,1.5764178741,0.8611526178,0.8611526178
12.8207192030,1.6205360693,0.8596409138,0.8596409138
13.1769450612,1.6646323772,0.8580808090,0.8580808090
13.5331696276,1.7087093813,0.8564697508,0.8564697508
13.8893924001,1.7527692343,0.8548054574,0.8548054574
14.2456128761,1.7968145197,0.8530859237,0.8530859237
14.6018306253,1.8408476056,0.8513094277,0.8513094277
14.9580450734,1.8848707884,0.8494745349,0.8494745349
15.3142557181,1.9288864363,0.8475801012,0.8475801012
15.6704620571,1.9728970608,0.8456252760,0.8456252760
16.0266635881,2.0169049584,0.8436095032,0.8436095032
16.3828598805,2.0609125690,0.8415325225,0.8415325225
16.7390502884,2.1049222606,0.8393943675,0.8393943675
17.0952344531,2.1489364014,0.8371953655,0.8371953655
17.4514117287,2.1929573597,0.8349361338,0.8349361338
17.8075817563,2.2369875751,0.8326175771,0.8326175771
18.1637438902,2.2810294160,0.8302408818,0.8302408818
18.5198977714,2.3250852503,0.8278075117,0.8278075117
18.8760427543,2.3691575181,0.8253192007,0.8253192007
19.2321784081,2.4132485874,0.8227779458,0.8227779458
19.5883042305,2.4573607547,0.8201859985,0.8201859985
19.9444196476,2.5014965315,0.8175458561,0.8175458561
20.3005243003,2.5456582861,0.8148602517,0.8148602517
20.6566175430,2.5898483147,0.8121321433,0.8121321433
21.0127016720,2.6340670480,0.8093647026,0.8093647026
21.3687868056,2.6783088885,0.8065613027,0.8065613027
21.7248841387,2.7225675213,0.8037255050,0.8037255050
22.0810052249,2.7668362725,0.8008610464,0.8008610464
22.4371614743,2.8111087552,0.7979718253,0.7979718253
22.7933641534,2.8553783675,0.7950618864,0.7950618864
23.1496247443,2.8996387225,0.7921354062,0.7921354062
23.5059545851,2.9438832183,0.7891966779,0.7891966779
23.8623650860,2.9881054679,0.7862500948,0.7862500948
24.2188677288,3.0322988693,0.7833001356,0.7833001356
24.5754737802,3.0764569640,0.7803513467,0.7803513467
24.9321947219,3.1205732217,0.7774083266,0.7774083266
25.2890418924,3.1646411838,0.7744757090,0.7744757090
25.6460267017,3.2086543917,0.7715581463,0.7715581463
26.0031605599,3.2526062435,0.7686602928,0.7686602928
26.3604548054,3.2964902805,0.7657867876,0.7657867876
26.7179209200,3.3402999724,0.7629422391,0.7629422391
27.0753800738,3.3844488816,0.7601312073,0.7601312073
27.4287254197,3.4380229647,0.7573581885,0.7573581885
27.7701558217,3.5182648214,0.7546275988,0.7546275988
28.0917268357,3.6427340945,0.7519437589,0.7519437589
28.3854951657,3.8289738500,0.7493108789,0.7493108789
28.6444675680,4.0842203162,0.7467330426,0.7467330426
28.8642242434,4.3877773644,0.7442141943,0.7442141943
29.0410634392,4.7155007191,0.7417581241,0.7417581241
29.1739113144,5.0546089862,0.7393684554,0.7393684554
29.2634392709,5.3988497894,0.7370486311,0.7370486311
29.3133199258,5.7457849550,0.7348019031,0.7348019031
29.3288068772,6.0949634614,0.7326313198,0.7326313198
29.3151678598,6.4459525856,0.7305397161,0.7305397161
29.2776708958,6.7983195334,0.7285297032,0.7285297032
29.2215839355,7.1516313666,0.7266036606,0.7266036606
29.1521747854,7.5054554345,0.7247637267,0.7247637267
29.0747113959,7.8593587990,0.7230117925,0.7230117925
28.9944249752,8.2129121102,0.7213494948,0.7213494948
28.9145300860,8.5658696562,0.7197782108,0.7197782108
28.8352207001,8.9182609312,0.7182990532,0.7182990532
28.7564429243,9.2701381057,0.7169128677,0.7169128677
28.6781427941,9.6215532788,0.7156202294,0.7156202294
28.6002662010,9.9725586930,0.7144214410,0.7144214410
28.5227592522,10.3232065189,0.7133165332,0.7133165332
28.4455679828,10.6735487120,0.7123052639,0.7123052639
28.3686384282,11.0236376582,0.7113871200,0.7113871200
28.2919165517,11.3735253131,0.7105613196,0.7105613196
28.2153483886,11.7232639190,0.7098268152,0.7098268152
28.1388800460,12.0729056467,0.7091822976,0.7091822976
28.0624574155,12.4225025951,0.7086262012,0.7086262012
27.9860266760,12.7721069350,0.7081567106,0.7081567106
27.9095337192,13.1217707653,0.7077717662,0.7077717662
27.8329245802,13.4715463285,0.7074690729,0.7074690729
27.7561454379,13.8214856517,0.7072461090,0.7072461090
27.6791421123,14.1716409775,0.7071001350,0.7071001350
27.6018626478,14.5220575156,0.7070282042,0.7070282042
27.5242713073,14.8727203397,0.7070271735,0.7070271735
27.4463408930,15.2235842399,0.7070937158,0.7070937158
27.3680440638,15.5746034323,0.7072243315,0.7072243315
27.2893536220,15.9257322764,0.7074153623,0.7074153623
27.2102422982,16.2769252038,0.7076630043,0.7076630043
27.1306829665,16.6281365021,0.7079633229,0.7079633229
27.0506482856,16.9793205309,0.7083122669,0.7083122669
26.9701111298,17.3304316500,0.7087056836,0.7087056836
26.8891556753,17.6813678859,0.7091393351,0.7091393351
26.8083744581,18.0317704305,0.7096089134,0.7096089134
26.7285049726,18.3812074223,0.7101100569,0.7101100569
26.6502846413,18.7292469279,0.7106383672,0.7106383672
26.5742673205,19.0755093282,0.7111894250,0.7111894250
26.4977488165,19.4205455373,0.7117588071,0.7117588071
26.4152254420,19.7657056071,0.7123421037,0.7123421037
26.3211025877,20.1123657104,0.7129349345,0.7129349345
26.2097819846,20.4614792007,0.7135329657,0.7135329657
26.0756061603,20.8065491378,0.7141319269,0.7141319269
25.9128667632,21.1347072245,0.7147276274,0.7147276274
25.7158537915,21.4328800686,0.7153159720,0.7153159720
25.4788695145,21.6880127209,0.7158929781,0.7158929781
25.2004591085,21.8934979436,0.7164547902,0.7164547902
24.8896204066,22.0586113592,0.7169976958,0.7169976958
24.5569319358,22.1950308830,0.7175181402,0.7175181402
24.2129720795,22.3144341432,0.7180127405,0.7180127405
23.8674876471,22.4276310261,0.7184782998,0.7184782998
23.5234442603,22.5383552900,0.7189118199,0.7189118199
23.1805014099,22.6468906803,0.7193105144,0.7193105144
22.8382962692,22.7534976919,0.7196718204,0.7196718204
22.4964661548,22.8584368194,0.7199934093,0.7199934093
22.1546482399,22.9619687011,0.7202731976,0.7202731976
21.8124797695,23.0643537601,0.7205093562,0.7205093562
21.4695979882,23.1658526345,0.7207003194,0.7207003194
21.1256401413,23.2667257475,0.7208447925,0.7208447925
20.7805358303,23.3676290721,0.7209417588,0.7209417588
20.4354824701,23.4709331106,0.7209904859,0.7209904859
20.0920207831,23.5794725196,0.7209905301,0.7209905301
19.7516917069,23.6960820991,0.7209417416,0.7209417416
19.4160302232,23.8235548122,0.7208442661,0.7208442661
19.0864763008,23.9639896868,0.7206985488,0.7206985488
18.7643916888,24.1189154612,0.7205053332,0.7205053332
18.4511356243,24.2898439378,0.7202656633,0.7202656633
18.1480625366,24.4782793124,0.7199808813,0.7199808813
17.8550636349,24.6836082382,0.7196526256,0.7196526256
17.5685607404,24.9001952019,0.7192828288,0.7192828288
17.2844724816,25.1216761659,0.7188737125,0.7188737125
16.9987175588,25.3416873080,0.7184277825,0.7184277825
16.7080389980,25.5549563005,0.7179478232,0.7179478232
16.4156788467,25.7648156104,0.7174368897,0.7174368897
16.1279589466,25.9786756318,0.7168983005,0.7168983005
15.8512195820,26.2039712293,0.7163356282,0.7163356282
15.5908710785,26.4471021061,0.7157526894,0.7157526894
15.3450419640,26.7063657172,0.7151535340,0.7151535340
15.1084314217,26.9762427313,0.7145424339,0.7145424339
14.8757182540,27.2511917865,0.7139238696,0.7139238696
14.6416796488,27.5257569885,0.7133025177,0.7133025177
14.4052967343,27.7981437943,0.7126832365,0.7126832365
14.1712460732,28.0715183273,0.7120710516,0.7120710516
13.9446094659,28.3493995630,0.7114711396,0.7114711396
13.7304685694,28.6353064053,0.7108888130,0.7108888130
13.5328169192,28.9319990221,0.7103295030,0.7103295030
13.3511053950,29.2390696637,0.7097987424,0.7097987424
13.1835996616,29.5552842454,0.7093021483,0.7093021483
13.0285654554,29.8794084667,0.7088454039,0.7088454039
12.8844701630,30.2102271162,0.7084342398,0.7084342398
12.7529326553,30.5468191332,0.7080744157,0.7080744157
12.6380670272,30.8884965388,0.7077717015,0.7077717015
12.5440556905,31.2345778127,0.7075318577,0.7075318577
12.4747104083,31.5843895437,0.7073606167,0.7073606167
12.4281153601,31.9373849082,0.7072636635,0.7072636635
12.3978500318,32.2931165440,0.7072466157,0.7072466157
12.3773727043,32.6511398160,0.7073150052,0.7073150052
12.3601596702,33.0110085820,0.7074742584,0.7074742584
12.3438605924,33.3719404251,0.7077296775,0.7077296775
12.3355804473,33.7323908193,0.7080864221,0.7080864221
12.3437265417,34.0907104668,0.7085494901,0.7085494901
12.3767062539,34.4452498547,0.7091237002,0.7091237002
12.4414100650,34.7946310159,0.7098136744,0.7098136744
12.5334178885,35.1394995181,0.7106238205,0.7106238205
12.6432001373,35.4814151006,0.7115583155,0.7115583155
12.7612026103,35.8219418800,0.7126210896,0.7126210896
12.8780014252,36.1626220141,0.7138158116,0.7138158116
12.9892816265,36.5041378125,0.7151458725,0.7151458725
13.0973830742,36.8460514574,0.7166143737,0.7166143737
13.2050919858,37.1878498531,0.7182241119,0.7182241119
13.3151426949,37.5290313858,0.7199775681,0.7199775681
13.4282524592,37.8695312547,0.7218768954,0.7218768954
13.5425219634,38.2098515759,0.7239239085,0.7239239085
13.6558776549,38.5505322840,0.7261200747,0.7261200747
13.7662456222,38.8921132420,0.7284665043,0.7284665043
13.8719162161,39.2350311911,0.7309639438,0.7309639438
13.9726259278,39.5793130419,0.7336127691,0.7336127691
14.0684702721,39.9248838752,0.7364129796,0.7364129796
14.1595449789,40.2716687003,0.7393641940,0.7393641940
14.2459434820,40.6195937460,0.7424656473,0.7424656473
14.3277277117,40.9686021773,0.7457161880,0.7457161880
14.4049358450,41.3186498606,0.7491142768,0.7491142768
14.4776051982,41.6696930931,0.7526579880,0.7526579880
14.5457733742,42.0216880285,0.7563450089,0.7563450089
14.6094778327,42.3745910357,0.7601726431,0.7601726431
14.6687559615,42.7283582684,0.7641378141,0.7641378141
14.7236452201,43.0829460236,0.7682370687,0.7682370687
14.7741832116,43.4383104551,0.7724665839,0.7724665839
14.8203895271,43.7944036977,0.7768221734,0.7768221734
14.8621562369,44.1511469574,0.7812992946,0.7812992946
14.8993195092,44.5084482355,0.7858930588,0.7858930588
14.9317152970,44.8662154620,0.7905982403,0.7905982403
14.9591795531,45.2243564230,0.7954092876,0.7954092876
14.9815481587,45.5827789768,0.8003203353,0.8003203353
14.9986571384,45.9413911248,0.8053252175,0.8053252175
15.0103424451,46.3001007251,0.8104174806,0.8104174806
15.0164398881,46.6588155640,0.8155903992,0.8155903992
