# 8f4ae337-00f4-4759-9e70-aac9df601bc2
# 89e42a2a4c9c172135bf570350eb96c92c637be0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1472419; -0.1021670; -0.3738574; -0.0006113; 6.8772436; -0.0035001
0.1999637; 0.2202285; 0.0838443; -0.3739769; -0.0005844; 6.8771418; -0.0019485
0.3999274; 0.2932637; 0.2699157; -0.3740910; -0.0005576; 6.8770851; -0.0005246
0.5998911; 0.3663463; 0.4560467; -0.3741998; -0.0005309; 6.8770699; 0.0007821
0.7998548; 0.4394749; 0.6422369; -0.3743034; -0.0005042; 6.8770926; 0.0019809
0.9998185; 0.5126483; 0.8284859; -0.3744016; -0.0004776; 6.8771502; 0.0030808
1.1997822; 0.5857377; 1.0144686; -0.3744960; -0.0004673; 6.8772398; 0.0033193
1.3997459; 0.6588695; 1.2005081; -0.3745884; -0.0004571; 6.8773363; 0.0035365
1.5997096; 0.7320429; 1.3866035; -0.3746788; -0.0004469; 6.8774391; 0.0037348
1.7996734; 0.8052571; 1.5727538; -0.3747672; -0.0004367; 6.8775477; 0.0039158
1.9996371; 0.8785112; 1.7589579; -0.3748535; -0.0004266; 6.8776616; 0.0040811
2.1996008; 0.9516894; 1.9449222; -0.3749388; -0.0004272; 6.8777802; 0.0037257
2.3995645; 1.0249049; 2.1309347; -0.3750243; -0.0004279; 6.8778886; 0.0033929
2.5995282; 1.0981586; 2.3169976; -0.3751099; -0.0004286; 6.8779872; 0.0030863
2.7994919; 1.1714501; 2.5031096; -0.3751957; -0.0004293; 6.8780769; 0.0028040
2.9994556; 1.2447790; 2.6892697; -0.3752817; -0.0004300; 6.8781584; 0.0025439
3.1994193; 1.3180428; 2.8752177; -0.3753682; -0.0004360; 6.8782324; 0.0020560
3.3993830; 1.3913403; 3.0612035; -0.3754560; -0.0004422; 6.8782922; 0.0015999
3.5993467; 1.4646742; 3.2472337; -0.3755450; -0.0004483; 6.8783387; 0.0011802
3.7993104; 1.5380445; 3.4333069; -0.3756353; -0.0004545; 6.8783730; 0.0007942
3.9992741; 1.6114507; 3.6194220; -0.3757269; -0.0004606; 6.8783961; 0.0004390
4.1992378; 1.6848041; 3.8053529; -0.3758200; -0.0004719; 6.8784089; -0.0001284
4.3992015; 1.7581882; 3.9913101; -0.3759155; -0.0004834; 6.8784051; -0.0006639
4.5991652; 1.8316081; 4.1773052; -0.3760133; -0.0004950; 6.8783858; -0.0011561
4.7991289; 1.9050636; 4.3633369; -0.3761135; -0.0005065; 6.8783522; -0.0016087
4.9990927; 1.9785549; 4.5494038; -0.3762160; -0.0005180; 6.8783054; -0.0020249
5.1990564; 2.0520065; 4.7353139; -0.3763212; -0.0005355; 6.8782466; -0.0026876
5.3990201; 2.1254869; 4.9212388; -0.3764300; -0.0005535; 6.8781684; -0.0033228
5.5989838; 2.1990034; 5.1071946; -0.3765425; -0.0005714; 6.8780718; -0.0039066
5.7989475; 2.2725562; 5.2931801; -0.3766586; -0.0005894; 6.8779583; -0.0044432
5.9989112; 2.3461455; 5.4791939; -0.3767783; -0.0006074; 6.8778291; -0.0049364
6.1988749; 2.4197093; 5.6650769; -0.3769021; -0.0006316; 6.8776856; -0.0056857
6.3988386; 2.4933015; 5.8509634; -0.3770309; -0.0006567; 6.8775203; -0.0064155
6.5988023; 2.5669314; 6.0368735; -0.3771647; -0.0006818; 6.8773337; -0.0070862
6.7987660; 2.6405995; 6.2228060; -0.3773036; -0.0007069; 6.8771277; -0.0077025
6.9987297; 2.7143062; 6.4087592; -0.3774475; -0.0007320; 6.8769037; -0.0082689
7.1986934; 2.7880021; 6.5946058; -0.3775968; -0.0007629; 6.8766633; -0.0090658
7.3986571; 2.8617281; 6.7804453; -0.3777526; -0.0007950; 6.8763997; -0.0098525
7.5986208; 2.9354946; 6.9663009; -0.3779147; -0.0008271; 6.8761131; -0.0105754
7.7985845; 3.0093024; 7.1521709; -0.3780834; -0.0008591; 6.8758056; -0.0112397
7.9985482; 3.0831523; 7.3380537; -0.3782584; -0.0008912; 6.8754787; -0.0118501
8.1985120; 3.1570068; 7.5238514; -0.3784401; -0.0009277; 6.8751341; -0.0126198
8.3984757; 3.2308947; 7.7096330; -0.3786294; -0.0009653; 6.8747670; -0.0133826
8.5984394; 3.3048273; 7.8954226; -0.3788262; -0.0010030; 6.8743777; -0.0140837
8.7984031; 3.3788056; 8.0812184; -0.3790305; -0.0010407; 6.8739681; -0.0147279
8.9983668; 3.4528306; 8.2670188; -0.3792424; -0.0010783; 6.8735396; -0.0153199
9.1983305; 3.5268753; 8.4527524; -0.3794619; -0.0011177; 6.8730939; -0.0159455
9.3982942; 3.6009590; 8.6384629; -0.3796894; -0.0011577; 6.8726300; -0.0165490
9.5982579; 3.6750923; 8.8241730; -0.3799249; -0.0011977; 6.8721485; -0.0171037
9.7982216; 3.7492763; 9.0098810; -0.3801684; -0.0012377; 6.8716508; -0.0176136
9.9981853; 3.8235121; 9.1955852; -0.3804200; -0.0012778; 6.8711382; -0.0180824
10.1981490; 3.8977824; 9.3812379; -0.3806793; -0.0013154; 6.8706119; -0.0184006
10.3981127; 3.9720982; 9.5668628; -0.3809460; -0.0013520; 6.8700764; -0.0186423
10.5980764; 4.0464687; 9.7524790; -0.3812200; -0.0013886; 6.8695337; -0.0188647
10.7980401; 4.1208950; 9.9380850; -0.3815013; -0.0014253; 6.8689846; -0.0190697
10.9980038; 4.1953779; 10.1236793; -0.3817900; -0.0014619; 6.8684294; -0.0192585
11.1979675; 4.2699081; 10.3092343; -0.3820855; -0.0014907; 6.8678687; -0.0190581
11.3979313; 4.3444906; 10.4947596; -0.3823860; -0.0015148; 6.8673138; -0.0186590
11.5978950; 4.4191319; 10.6802687; -0.3826913; -0.0015391; 6.8667705; -0.0182932
11.7978587; 4.4938324; 10.8657603; -0.3830015; -0.0015633; 6.8662377; -0.0179579
11.9978224; 4.5685927; 11.0512329; -0.3833166; -0.0015876; 6.8657147; -0.0176508
12.1977861; 4.6434096; 11.2366763; -0.3836356; -0.0015972; 6.8652006; -0.0166757
12.3977498; 4.7182841; 11.4220918; -0.3839549; -0.0015961; 6.8647149; -0.0152779
12.5977135; 4.7932184; 11.6074848; -0.3842739; -0.0015951; 6.8642699; -0.0139947
